 Diffraction intensities for potential:ga5x5_25D10003.in                       
#    -28    13       2.1828017310E-006
#    -28    14       3.9118021150E-007
#    -28    15       3.8982412805E-006
#    -27     7       1.0614487856E-007
#    -27     8       2.2319600563E-006
#    -27     9       1.6766088813E-006
#    -27    10       3.4648487101E-006
#    -27    11       1.0031677223E-005
#    -27    12       2.1180290649E-007
#    -27    13       2.0083639019E-006
#    -27    14       1.9575475662E-006
#    -27    15       1.6627302771E-006
#    -27    16       3.3520469289E-009
#    -27    17       1.4473533690E-006
#    -27    18       5.8206240913E-007
#    -27    19       6.7810625521E-007
#    -27    20       6.8773863978E-007
#    -26     4       5.6419462854E-007
#    -26     5       2.5991129383E-006
#    -26     6       1.9774279169E-007
#    -26     7       6.6458796611E-008
#    -26     8       8.8416303295E-007
#    -26     9       9.8238381548E-007
#    -26    10       3.1680080826E-006
#    -26    11       5.1966611629E-006
#    -26    12       4.1134351745E-006
#    -26    13       6.3502504840E-006
#    -26    14       4.6532293519E-007
#    -26    15       5.6160746132E-007
#    -26    16       2.3180717813E-006
#    -26    17       1.6536747918E-006
#    -26    18       2.7988730057E-006
#    -26    19       2.0048111111E-005
#    -26    20       9.0279731321E-006
#    -26    21       3.0171114054E-007
#    -26    22       1.1554354511E-006
#    -25     2       1.1997295387E-006
#    -25     3       3.2004289570E-007
#    -25     4       3.3612955482E-007
#    -25     5       3.4466394960E-006
#    -25     6       4.1576142346E-006
#    -25     7       9.3133114352E-007
#    -25     8       2.1497275837E-006
#    -25     9       6.3744479248E-006
#    -25    10       8.4986152968E-007
#    -25    11       5.3625818528E-006
#    -25    12       4.8485989777E-007
#    -25    13       2.0727412409E-007
#    -25    14       9.8109804353E-007
#    -25    15       6.1180068293E-006
#    -25    16       1.9937716720E-006
#    -25    17       2.5661233566E-006
#    -25    18       1.1079744967E-005
#    -25    19       3.5783034599E-007
#    -25    20       2.1422472289E-006
#    -25    21       1.7553059305E-006
#    -25    22       8.4641098353E-006
#    -25    23       6.0417575438E-006
#    -24     0       4.7708374994E-007
#    -24     1       2.2945483351E-006
#    -24     2       5.6537714393E-008
#    -24     3       3.9128881650E-006
#    -24     4       6.4044084240E-006
#    -24     5       2.4140722016E-006
#    -24     6       2.9698173711E-006
#    -24     7       2.1903162948E-006
#    -24     8       2.1679444172E-006
#    -24     9       3.3624876337E-006
#    -24    10       2.5978529679E-007
