 Diffraction intensities for potential:ensembletest10003.in                    
#    -45    11       1.3197103588E-006
#    -45    12       8.0108599014E-005
#    -45    13       6.7329481886E-005
#    -45    14       1.7824484865E-005
#    -45    15       1.1636740524E-004
#    -45    16       5.2570347204E-005
#    -44     7       5.0347585379E-006
#    -44     8       4.2011529652E-006
#    -44     9       9.2066644329E-006
#    -44    10       6.2412745948E-006
#    -44    11       4.4193773239E-006
#    -44    12       3.2100636011E-005
#    -44    13       1.4819905444E-005
#    -44    14       1.7997678454E-005
#    -44    15       3.1959568938E-005
#    -44    16       7.1916907791E-006
#    -44    17       2.2072439391E-005
#    -44    18       5.3533347698E-006
#    -44    19       2.0258685388E-005
#    -44    20       2.0928363948E-005
#    -43     4       1.4469768459E-006
#    -43     5       3.0112304449E-005
#    -43     6       1.3142168440E-005
#    -43     7       1.9380961849E-005
#    -43     8       1.0077714613E-004
#    -43     9       1.6841654365E-005
#    -43    10       1.0400424086E-004
#    -43    11       5.4115331808E-005
#    -43    12       6.5432801384E-005
#    -43    13       1.0869341644E-004
#    -43    14       1.0904833299E-005
#    -43    15       1.0976197211E-004
#    -43    16       2.7544701467E-005
#    -43    17       4.8875949632E-005
#    -43    18       1.6618864044E-004
#    -43    19       4.9425362165E-006
#    -43    20       1.0713062573E-004
#    -43    21       2.1682888262E-005
#    -43    22       5.1290162345E-005
#    -42     2       6.1374274390E-005
#    -42     3       9.1565224367E-006
#    -42     4       2.4990346908E-005
#    -42     5       3.0201305741E-005
#    -42     6       2.6728174786E-006
#    -42     7       4.3452101989E-005
#    -42     8       4.4612584411E-005
#    -42     9       4.0767323461E-005
#    -42    10       1.3379461772E-004
#    -42    11       7.8141964078E-007
#    -42    12       1.6525256486E-004
#    -42    13       7.7701299113E-005
#    -42    14       5.6135205787E-005
#    -42    15       1.1767283940E-004
#    -42    16       6.4106176185E-006
#    -42    17       1.4057502989E-004
#    -42    18       5.3537274531E-005
#    -42    19       9.2508750074E-005
#    -42    20       1.5562399823E-004
#    -42    21       1.0988584995E-005
#    -42    22       1.0744126311E-004
