 Diffraction intensities for potential:restest_16_5010001.in                   
#    -45    11       7.9646321055E-007
#    -45    12       1.5744721007E-005
#    -45    13       1.0841103937E-005
#    -45    14       1.6484733385E-005
#    -45    15       1.0503723755E-005
#    -45    16       1.4081651298E-005
#    -44     7       6.9650723954E-006
#    -44     8       6.5557805669E-006
#    -44     9       1.1880653008E-005
#    -44    10       5.4460463014E-006
#    -44    11       8.1389107099E-006
#    -44    12       2.2599788818E-005
#    -44    13       1.0509046366E-005
#    -44    14       2.0913402476E-005
#    -44    15       1.2241904383E-005
#    -44    16       2.2113345707E-005
#    -44    17       9.0334016878E-006
#    -44    18       1.5912937644E-005
#    -44    19       7.8583688567E-006
#    -44    20       6.2021724203E-006
#    -43     4       5.5261539008E-006
#    -43     5       5.8403846054E-006
#    -43     6       7.0606538556E-006
#    -43     7       1.0061342553E-005
#    -43     8       1.2339468564E-005
#    -43     9       1.2490407526E-005
#    -43    10       1.2279228240E-005
#    -43    11       1.8736349405E-005
#    -43    12       2.2272129959E-005
#    -43    13       1.4328450004E-005
#    -43    14       2.2528415208E-005
#    -43    15       1.7944568398E-005
#    -43    16       1.3807966924E-005
#    -43    17       1.7631321934E-005
#    -43    18       4.9234502956E-005
#    -43    19       1.8420292305E-005
#    -43    20       1.7719958599E-005
#    -43    21       8.3855617015E-006
#    -43    22       1.9026029848E-005
#    -42     2       6.5023452727E-006
#    -42     3       7.2868374551E-006
#    -42     4       7.3410372456E-006
#    -42     5       5.7814730084E-006
#    -42     6       1.6461996408E-006
#    -42     7       5.5279983609E-006
#    -42     8       2.3346904093E-005
#    -42     9       1.4833448275E-005
#    -42    10       1.8941418809E-005
#    -42    11       2.1279857089E-005
#    -42    12       3.2222315265E-005
#    -42    13       4.9532992631E-005
#    -42    14       2.0339582727E-005
#    -42    15       2.1651449781E-005
#    -42    16       2.4539875420E-005
#    -42    17       2.6452572688E-005
#    -42    18       2.1588221087E-005
#    -42    19       2.9872329719E-005
#    -42    20       2.2621685506E-005
#    -42    21       1.7668640057E-005
#    -42    22       1.6268794302E-005
#    -42    23       2.8872756570E-005
#    -41     0       6.4466461618E-006
#    -41     1       6.0095967990E-006
#    -41     2       5.0139308383E-006
#    -41     3       1.1762846408E-005
#    -41     4       7.4356177270E-006
#    -41     5       9.9683184742E-006
#    -41     6       1.1205543171E-005
#    -41     7       1.5353585177E-005
#    -41     8       1.3181820193E-005
#    -41     9       1.9828712129E-005
#    -41    10       2.0935541120E-005
#    -41    11       3.2188480523E-005
#    -41    12       2.3353610583E-005
#    -41    13       2.6964994523E-005
#    -41    14       2.7387830059E-005
