 Diffraction intensities for potential:-1x1pristine10001.in
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
#     -9     6       3.6193890054E-008
#     -8     1       5.9627385559E-007
#     -8     2       4.2097313990E-006
#     -8     3       9.0365030868E-006
#     -8     4       5.5935484064E-006
#     -8     5       9.7506353069E-007
#     -8     6       6.5305943417E-007
#     -8     7       3.0862359276E-008
#     -7     0       2.3038820597E-006
#     -7     1       2.8015753929E-005
#     -7     2       9.9351648995E-005
#     -7     3       1.2370060488E-004
#     -7     4       2.9830424406E-005
#     -7     5       2.1917143248E-005
#     -7     6       2.9415858077E-006
#     -7     7       1.8812675935E-007
#     -6    -1       6.3500006796E-006
#     -6     0       9.1360826429E-005
#     -6     1       5.7754870402E-004
#     -6     2       8.6042412785E-004
#     -6     3       5.6345842809E-004
#     -6     4       2.3465231613E-004
#     -6     5       1.4706929710E-004
#     -6     6       7.7896757317E-006
#     -6     7       7.3479248298E-007
#     -5    -2       6.4735392716E-006
#     -5    -1       1.8629750715E-004
#     -5     0       1.6748706701E-003
#     -5     1       3.9767504092E-003
#     -5     2       3.4790925136E-003
#     -5     3       1.3523582251E-003
#     -5     4       1.8306749609E-003
#     -5     5       3.1180468260E-004
#     -5     6       4.1087665147E-005
#     -5     7       3.1789534578E-007
#     -4    -2       2.7973420242E-004
#     -4    -1       2.2307598110E-003
#     -4     0       1.1798165410E-002
#     -4     1       1.1970685858E-002
#     -4     2       6.3831710030E-003
#     -4     3       7.6634918742E-003
#     -4     4       4.5631595935E-003
#     -4     5       6.5322858933E-004
#     -4     6       5.2349564861E-005
#     -3    -3       2.9685174173E-004
#     -3    -2       2.9867027627E-003
#     -3    -1       1.2889861288E-002
#     -3     0       3.6845382366E-002
#     -3     1       1.6660941266E-002
#     -3     2       1.0417363180E-002
#     -3     3       2.7465789775E-002
#     -3     4       4.6343036325E-003
#     -3     5       1.2372573571E-003
#     -3     6       2.5253786875E-004
#     -2    -3       1.4224342549E-003
#     -2    -2       1.4165343232E-002
#     -2    -1       4.5133719038E-002
#     -2     0       3.9379601698E-002
#     -2     1       6.5415513019E-003
#     -2     2       5.2808849144E-002
#     -2     3       2.5374777703E-002
#     -2     4       1.0556135013E-002
#     -2     5       2.0011413011E-003
#     -1    -3       4.6654385934E-003
#     -1    -2       2.0956797233E-002
#     -1    -1       7.7419817407E-002
#     -1     0       2.6269637639E-003
#     -1     1       4.9884009101E-003
#     -1     2       7.6166672513E-002
#     -1     3       3.5616736127E-002
#     -1     4       9.1375169892E-003
#      0    -3       7.2908005355E-003
#      0    -2       7.3693138606E-003
#      0    -1       2.5623230404E-002
#      0     0       8.1009021143E-002
#      0     1       3.6078027181E-002
#      0     2       2.1163623126E-002
#      0     3       2.1729414776E-002
#      1    -2       6.7883429363E-002
#      1    -1       4.2722789250E-002
