 Diffraction intensities for potential:1x1unpristine10001.in                   
#     -9     3       5.0743686045E-002
#     -8     0       1.2885681231E-002
#     -8     1       6.9311101389E-002
#     -8     2       5.0495228632E-003
#     -8     3       3.9392968370E-002
#     -8     4       1.2014825124E-002
#     -8     5       7.4663703146E-003
#     -7    -1       9.2862694175E-003
#     -7     0       7.6917800950E-003
#     -7     1       1.1590130823E-002
#     -7     2       1.8411671197E-004
#     -7     3       4.4491795338E-003
#     -7     4       2.6548813886E-002
#     -7     5       2.0217972584E-003
#     -6    -3       1.5247958185E-003
#     -6    -2       2.3970811727E-002
#     -6    -1       2.4832573340E-002
#     -6     0       1.7872142174E-002
#     -6     1       1.2315891210E-002
#     -6     2       4.7957025645E-003
#     -6     3       1.8485846963E-002
#     -6     4       1.9267779913E-002
#     -6     5       9.9693364523E-003
#     -5    -3       2.7531577736E-002
#     -5    -2       2.8523596361E-003
#     -5    -1       6.4056142976E-003
#     -5     0       7.7185337104E-003
#     -5     1       1.4586875654E-002
#     -5     2       7.3144703239E-003
#     -5     3       3.0029910763E-002
#     -5     4       3.7969414755E-004
#     -5     5       2.3169902003E-003
#     -4    -4       2.9463716774E-002
#     -4    -3       7.3814074334E-004
#     -4    -2       1.3711848324E-003
#     -4    -1       2.7027576052E-002
#     -4     0       4.4730606685E-003
#     -4     1       8.4402619758E-005
#     -4     2       6.1730719153E-003
#     -4     3       8.1809984165E-003
#     -4     4       3.2996220230E-002
#     -4     5       1.0213147139E-002
#     -3    -5       4.6758124287E-003
#     -3    -4       1.2817420677E-004
#     -3    -3       3.0843532812E-003
#     -3    -2       1.2349674012E-002
#     -3    -1       6.3428820750E-003
#     -3     0       1.5038289811E-002
#     -3     1       3.8771752278E-003
#     -3     2       5.5090110629E-003
#     -3     3       2.1522055660E-003
#     -3     4       2.0227642165E-004
#     -2    -5       5.1535538458E-003
#     -2    -4       3.6499525495E-002
#     -2    -3       4.6896498954E-003
#     -2    -2       8.7938894461E-003
#     -2    -1       1.0210941714E-002
#     -2     0       3.0667863622E-003
#     -2     1       4.8867049524E-003
#     -2     2       6.4012991326E-003
#     -2     3       2.8017667538E-004
#     -1    -5       2.7320901766E-002
#     -1    -4       8.3622411093E-003
#     -1    -3       9.4608977710E-003
#     -1    -2       1.5999204973E-003
#     -1    -1       1.8784455959E-004
#     -1     0       4.3610482997E-003
#     -1     1       1.5854185182E-002
#     -1     2       3.0249875776E-003
#     -1     3       1.8197072166E-003
#      0    -5       1.8421706006E-003
#      0    -4       1.5452711811E-003
#      0    -3       9.7736930496E-005
#      0    -2       2.6391666945E-002
#      0    -1       1.0448631562E-002
#      0     0       1.0218789848E-003
#      0     1       7.4289522781E-003
#      0     2       5.8735909100E-002
#      1    -5       1.5326385581E-002
#      1    -4       4.6541035464E-003
#      1    -3       4.9287845424E-003
#      1    -2       4.5064045090E-003
#      1    -1       7.2091128605E-003
#      1     0       3.3814839818E-003
#      2    -3       3.2635713112E-002
#      2    -2       2.9795305144E-003
