 Diffraction intensities for potential:ga5x5_01D10010.in                       
#    -28    13       2.9935139655E-008
#    -28    14       1.7701321749E-008
#    -28    15       1.0289163766E-007
#    -27     7       3.1006555227E-007
#    -27     8       2.3017865891E-007
#    -27     9       1.4965117918E-007
#    -27    10       3.4888900049E-007
#    -27    11       4.2760373394E-007
#    -27    12       4.9735491299E-008
#    -27    13       2.5507839631E-007
#    -27    14       2.1435724644E-007
#    -27    15       4.0993486374E-008
#    -27    16       3.4418333402E-008
#    -27    17       9.0337637895E-008
#    -27    18       7.5231997737E-009
#    -27    19       1.5537110829E-008
#    -27    20       1.1673438459E-007
#    -26     4       1.1520559132E-007
#    -26     5       6.8989342246E-007
#    -26     6       5.7823754477E-007
#    -26     7       8.8066375344E-007
#    -26     8       1.2542958264E-006
#    -26     9       8.1955013577E-007
#    -26    10       6.4086956209E-007
#    -26    11       5.6378692170E-007
#    -26    12       2.5514961228E-007
#    -26    13       1.0799741308E-006
#    -26    14       3.9641285481E-007
#    -26    15       2.2127484218E-007
#    -26    16       1.2477001949E-007
#    -26    17       2.5646640029E-008
#    -26    18       8.1770545828E-008
#    -26    19       2.1720646624E-008
#    -26    20       1.3266042326E-008
#    -26    21       1.5765927625E-007
#    -26    22       1.6722120697E-007
#    -25     2       3.2022539853E-007
#    -25     3       3.3940405586E-007
#    -25     4       9.1570732782E-007
#    -25     5       7.7079271499E-004
#    -25     6       1.1867918383E-006
#    -25     7       8.9447820853E-007
#    -25     8       5.5176349296E-008
#    -25     9       1.2833010725E-006
#    -25    10       9.0066017216E-004
#    -25    11       6.5707261825E-007
#    -25    12       1.6984319230E-007
#    -25    13       2.3254496595E-007
#    -25    14       2.1515376257E-007
#    -25    15       4.2099610799E-004
#    -25    16       1.0149558555E-006
#    -25    17       6.4544167116E-007
#    -25    18       1.4832260850E-006
#    -25    19       4.3110642653E-007
#    -25    20       3.1156003081E-004
#    -25    21       1.7695067917E-007
#    -25    22       2.2352920695E-007
#    -25    23       7.9028918780E-008
#    -24     0       2.2168352519E-007
#    -24     1       9.0393158888E-007
#    -24     2       1.2662117614E-006
#    -24     3       2.0662865700E-006
#    -24     4       2.6733616488E-006
#    -24     5       2.7977694404E-006
#    -24     6       2.2679630357E-006
#    -24     7       3.5410801185E-006
#    -24     8       2.7695170882E-006
#    -24     9       2.5358547007E-006
#    -24    10       1.8321971364E-006
#    -24    11       8.6865972623E-007
#    -24    12       1.2957888084E-007
#    -24    13       3.6955079737E-008
#    -24    14       2.6105581447E-007
#    -24    15       5.9446225886E-007
#    -24    16       2.1198348550E-006
#    -24    17       8.6220892357E-007
#    -24    18       6.1391425917E-007
#    -24    19       2.2606697043E-007
#    -24    20       3.7021378970E-008
#    -24    21       2.9393112135E-007
#    -24    22       3.6880240291E-007
#    -24    23       5.6143446739E-007
#    -24    24       3.2577712096E-007
#    -23    -2       8.7026120319E-007
#    -23    -1       1.0470709221E-006
#    -23     0       1.6394632866E-006
#    -23     1       2.1166169967E-006
#    -23     2       2.8417676148E-006
#    -23     3       4.4039353224E-006
#    -23     4       6.5014450866E-006
#    -23     5       7.8314996378E-006
#    -23     6       7.4779537679E-006
#    -23     7       6.5746205069E-006
#    -23     8       6.2074264247E-006
#    -23     9       4.1463956473E-006
#    -23    10       2.5801497715E-006
#    -23    11       1.3330769185E-006
#    -23    12       4.7400652636E-007
#    -23    13       1.3258831163E-007
#    -23    14       3.6832846604E-007
#    -23    15       6.7512863218E-007
#    -23    16       1.3276720803E-006
#    -23    17       1.2729875157E-006
#    -23    18       7.5479964039E-007
#    -23    19       1.6815575783E-007
#    -23    20       8.3601672678E-008
#    -23    21       2.5972798202E-007
#    -23    22       6.3191246229E-007
#    -23    23       3.0181208938E-007
#    -23    24       5.8025687332E-007
#    -23    25       6.9217503949E-008
#    -22    -4       3.8611194315E-007
#    -22    -3       3.6336893169E-007
#    -22    -2       1.6071057008E-006
#    -22    -1       1.9736953075E-006
#    -22     0       4.6937197825E-006
#    -22     1       6.8850690190E-006
#    -22     2       9.4349274429E-006
#    -22     3       1.0972784191E-005
#    -22     4       1.2272718007E-005
#    -22     5       1.0767392908E-005
#    -22     6       1.0195181594E-005
#    -22     7       9.0305200366E-006
#    -22     8       6.3138681950E-006
#    -22     9       4.4316857414E-006
#    -22    10       2.6486030854E-006
#    -22    11       1.5982222606E-006
#    -22    12       8.7474509756E-007
#    -22    13       6.7925228486E-007
#    -22    14       6.8785913624E-007
#    -22    15       1.1589263161E-006
#    -22    16       1.0060361457E-006
#    -22    17       6.6250939692E-007
#    -22    18       6.3026697390E-007
#    -22    19       1.8744907292E-007
#    -22    20       4.4082790738E-008
#    -22    21       2.8821195068E-007
#    -22    22       6.9096534660E-007
#    -22    23       6.2954401380E-007
#    -22    24       4.1884484217E-007
#    -22    25       2.6367695871E-007
#    -22    26       1.9521964021E-007
