 Diffraction intensities for potential:7x7MoS210001.in                         
#    -63    16       1.4317933489E-006
#    -63    17       4.4414392329E-006
#    -63    18       3.6837533183E-006
#    -63    19       5.6108166932E-007
#    -63    20       8.8687364789E-007
#    -63    21       3.5445369561E-006
#    -63    22       3.0222860523E-006
#    -63    23       2.0864783433E-007
#    -62    11       1.9440998308E-006
#    -62    12       1.1559305200E-006
#    -62    13       1.0620754788E-006
#    -62    14       2.8566608886E-006
#    -62    15       7.4878454276E-007
#    -62    16       4.9340710333E-006
#    -62    17       1.6279785332E-006
#    -62    18       5.7196966549E-006
#    -62    19       4.8310084279E-006
#    -62    20       1.7394445662E-006
#    -62    21       3.8306985502E-006
#    -62    22       6.9687697779E-006
#    -62    23       3.8155827402E-006
#    -62    24       5.0127916361E-006
#    -62    25       1.2128534140E-006
#    -62    26       3.1926152871E-006
#    -62    27       5.1084849958E-006
#    -61     7       5.3642468722E-007
#    -61     8       8.3939324750E-007
#    -61     9       1.2845998718E-006
#    -61    10       1.5589023158E-006
#    -61    11       3.3671447169E-006
#    -61    12       2.5049054708E-006
#    -61    13       5.5582627147E-006
#    -61    14       3.5592433606E-006
#    -61    15       3.8121773154E-006
#    -61    16       6.1560504979E-006
#    -61    17       2.8814191540E-006
#    -61    18       6.3111393966E-006
#    -61    19       2.6967139310E-006
#    -61    20       5.9733940392E-006
#    -61    21       3.8296647697E-006
#    -61    22       6.4126541081E-006
#    -61    23       3.0228649547E-006
#    -61    24       8.5209001430E-006
#    -61    25       5.1188378573E-006
#    -61    26       8.1224125699E-006
#    -61    27       3.5110536132E-006
#    -61    28       3.9833550198E-006
#    -61    29       1.1708629236E-006
#    -60     5       7.4095224159E-007
#    -60     6       5.6956344036E-007
#    -60     7       1.1994030849E-006
#    -60     8       1.7400890230E-006
#    -60     9       2.7707257207E-006
#    -60    10       1.2255700977E-006
#    -60    11       2.1832258970E-006
#    -60    12       3.3210926805E-006
#    -60    13       3.0647682440E-006
#    -60    14       3.4355792286E-006
#    -60    15       5.7904658785E-006
#    -60    16       6.2550827316E-006
#    -60    17       3.9897580153E-006
#    -60    18       6.1047208671E-006
#    -60    19       7.7528386110E-006
#    -60    20       5.8559335580E-006
#    -60    21       7.5625823209E-006
#    -60    22       4.5800278354E-006
#    -60    23       7.0590513095E-006
#    -60    24       6.6005595689E-006
#    -60    25       6.6272312546E-006
#    -60    26       3.0141587150E-006
#    -60    27       7.6291606969E-006
#    -60    28       6.0634299960E-006
#    -60    29       4.4537309859E-006
#    -60    30       2.1771553223E-006
#    -60    31       4.1536919196E-006
#    -59     2       8.4696912966E-007
#    -59     3       1.6389136813E-006
#    -59     4       1.6501212600E-006
#    -59     5       1.4346397338E-006
#    -59     6       5.6432334577E-007
#    -59     7       8.9817047755E-007
#    -59     8       2.4035807676E-006
#    -59     9       4.7868167131E-008
#    -59    10       2.4758722314E-006
#    -59    11       3.2699657734E-006
#    -59    12       1.1331489326E-005
#    -59    13       9.4412569496E-006
#    -59    14       1.0057688849E-005
#    -59    15       8.2523414250E-006
#    -59    16       7.0943624637E-006
#    -59    17       4.2976266953E-006
#    -59    18       5.1437327272E-006
#    -59    19       9.7047535987E-006
#    -59    20       9.7545236110E-006
#    -59    21       9.5780616825E-006
#    -59    22       1.0785679076E-005
#    -59    23       1.2053526549E-005
#    -59    24       7.5875879991E-006
#    -59    25       6.0779611401E-006
#    -59    26       5.5546295658E-006
#    -59    27       4.3337588329E-006
#    -59    28       8.5795370130E-006
#    -59    29       6.2706437319E-006
#    -59    30       9.3522960765E-006
#    -59    31       3.3061472980E-006
#    -59    32       1.7286040631E-006
#    -58     0       1.6064933288E-006
#    -58     1       7.1392790917E-007
#    -58     2       2.5301746632E-006
#    -58     3       1.9379019403E-006
#    -58     4       1.2581547738E-006
#    -58     5       2.3704827110E-006
#    -58     6       4.0188436343E-006
#    -58     7       1.4123049124E-006
#    -58     8       2.0196950010E-006
#    -58     9       3.2825586058E-006
#    -58    10       3.5088249779E-006
#    -58    11       3.4330723247E-006
#    -58    12       3.9685736211E-006
#    -58    13       3.9784032889E-006
#    -58    14       4.1217636537E-006
#    -58    15       8.4805762925E-006
#    -58    16       6.6627266762E-006
#    -58    17       7.1760762806E-006
#    -58    18       8.4492389912E-006
#    -58    19       5.9220968431E-006
#    -58    20       9.2425091257E-006
#    -58    21       1.0257648944E-005
#    -58    22       6.8927831140E-006
#    -58    23       8.6174575667E-006
#    -58    24       7.3210921490E-006
#    -58    25       6.2383543649E-006
#    -58    26       7.6148392135E-006
#    -58    27       3.3840388218E-006
#    -58    28       2.1266606683E-006
#    -58    29       6.9233719497E-006
#    -58    30       4.2568594711E-006
#    -58    31       5.8681042491E-006
#    -58    32       4.1110091279E-006
#    -58    33       6.9961202734E-006
#    -58    34       3.9784980771E-006
#    -57    -2       8.4814548654E-007
#    -57    -1       7.1505043085E-007
#    -57     0       1.1561987217E-006
#    -57     1       2.8436288870E-006
#    -57     2       5.7506703960E-006
#    -57     3       3.5758633933E-006
#    -57     4       1.1268198476E-006
#    -57     5       1.4149630233E-006
#    -57     6       5.9948044154E-006
#    -57     7       2.6984078905E-006
#    -57     8       1.1809885561E-006
#    -57     9       5.0934488856E-006
#    -57    10       4.2106845882E-006
#    -57    11       3.0732733116E-006
