 Diffraction intensities for potential:x6x6_05D10001.in                        
#    -47    20       6.5493739740E-005
#    -47    21       6.6834443425E-005
#    -47    22       5.4520694106E-005
#    -47    23       8.1675942159E-005
#    -47    24       5.5930789913E-005
#    -47    25       5.6865966187E-005
#    -47    26       4.5005449936E-005
#    -47    27       3.5164308157E-005
#    -47    28       4.4691466183E-005
#    -47    29       2.1234722334E-005
#    -47    30       4.2894949707E-005
#    -47    31       2.8915934682E-005
#    -46    -6       2.5502180262E-006
#    -46    -5       5.0919309910E-005
#    -46    -4       2.6595574079E-005
#    -46    -3       6.0310046205E-005
#    -46    -2       9.8388031583E-007
#    -46    -1       1.8432916846E-006
#    -46     0       1.0754409747E-005
#    -46     1       9.0159089551E-005
#    -46     2       6.7015885536E-005
#    -46     3       1.0909039247E-004
#    -46     4       7.2909928168E-006
#    -46     5       1.4038546753E-006
#    -46     6       1.5455083927E-005
#    -46     7       1.0507673627E-004
#    -46     8       1.2555700150E-004
#    -46     9       1.3751243273E-004
#    -46    10       1.1812558531E-005
#    -46    11       2.7515384166E-005
#    -46    12       1.5655720491E-005
#    -46    13       2.8495814928E-004
#    -46    14       2.5285542338E-004
#    -46    15       2.4290908076E-004
#    -46    16       1.8276351756E-005
#    -46    17       1.8359769130E-005
#    -46    18       2.0645692078E-005
#    -46    19       2.4978093926E-004
#    -46    20       3.2168691260E-004
#    -46    21       3.4776113287E-004
#    -46    22       3.3658441873E-005
#    -46    23       1.6121307629E-005
#    -46    24       1.6568462683E-005
#    -46    25       2.2020695871E-004
#    -46    26       2.5322499573E-004
#    -46    27       3.0073998486E-004
#    -46    28       1.8556818076E-005
#    -46    29       8.6895493203E-006
#    -46    30       3.0064244758E-005
#    -46    31       1.3719765606E-004
#    -45    -7       6.0394423276E-009
#    -45    -6       1.9896768258E-005
#    -45    -5       1.7428304730E-006
#    -45    -4       3.5260471331E-007
#    -45    -3       2.5858971861E-005
#    -45    -2       8.2822082800E-007
#    -45    -1       2.7161180363E-006
#    -45     0       7.0036956017E-005
#    -45     1       7.4479311457E-007
#    -45     2       4.7683739927E-007
#    -45     3       6.7018644447E-005
#    -45     4       1.2070737895E-007
#    -45     5       1.1687808347E-006
#    -45     6       7.2552810822E-005
#    -45     7       6.7373374279E-007
#    -45     8       1.1179254397E-006
#    -45     9       1.0901181991E-004
#    -45    10       1.4449707489E-007
#    -45    11       6.4623194377E-007
#    -45    12       1.1524918241E-004
#    -45    13       4.0835280060E-006
#    -45    14       7.5225251265E-007
#    -45    15       1.4866153497E-004
#    -45    16       3.1688083429E-007
#    -45    17       1.6260956362E-006
#    -45    18       2.0951016016E-004
#    -45    19       4.7511473432E-006
#    -45    20       1.0037041255E-006
#    -45    21       2.6320187355E-004
#    -45    22       7.5941202318E-007
#    -45    23       1.6001312990E-006
#    -45    24       1.2858891816E-004
#    -45    25       2.6517540225E-006
#    -45    26       2.3765340238E-006
#    -45    27       1.1054845236E-004
#    -45    28       4.0464505795E-006
#    -45    29       4.8395189658E-006
#    -45    30       2.6937352084E-004
#    -45    31       8.7185189339E-007
#    -45    32       5.9998894605E-006
#    -44    -9       5.8776146968E-005
#    -44    -8       2.0414002786E-005
#    -44    -7       5.3381663336E-005
#    -44    -6       9.4421464651E-006
#    -44    -5       2.7719323816E-006
#    -44    -4       3.9145942634E-006
#    -44    -3       8.2132431071E-005
#    -44    -2       6.7225697055E-005
#    -44    -1       7.2312487175E-005
#    -44     0       1.2175298302E-005
#    -44     1       5.6714486834E-006
#    -44     2       8.0125734593E-006
#    -44     3       9.9399410694E-005
#    -44     4       1.1714165702E-004
#    -44     5       9.8173664117E-005
#    -44     6       6.7781868412E-006
#    -44     7       1.0783024126E-005
#    -44     8       8.6693932957E-006
#    -44     9       1.4878158504E-004
#    -44    10       1.4495098032E-004
#    -44    11       1.5467597381E-004
#    -44    12       1.7327521295E-005
#    -44    13       2.0748656957E-005
#    -44    14       2.9357960712E-005
#    -44    15       2.4548941432E-004
#    -44    16       2.5358669725E-004
#    -44    17       3.2311024946E-004
#    -44    18       8.8510571005E-006
#    -44    19       1.1226074768E-005
#    -44    20       9.9120263886E-006
#    -44    21       2.8492087729E-004
#    -44    22       3.0452951017E-004
#    -44    23       2.1278056548E-004
#    -44    24       2.2109646505E-005
#    -44    25       1.8312470104E-005
#    -44    26       1.6567493475E-005
#    -44    27       2.9719743139E-004
#    -44    28       2.8428444005E-004
#    -44    29       2.0028296470E-004
#    -44    30       1.0468616976E-005
#    -44    31       3.2553734036E-005
#    -44    32       1.8529618178E-005
#    -43   -10       7.7817996066E-006
#    -43    -9       1.9350212290E-005
#    -43    -8       1.1845428259E-005
#    -43    -7       1.1736222850E-005
#    -43    -6       2.4907390941E-005
#    -43    -5       1.2026879734E-005
#    -43    -4       1.3952534124E-005
#    -43    -3       2.1675607748E-005
#    -43    -2       2.2954420667E-005
#    -43    -1       2.5503012920E-005
#    -43     0       3.4963464901E-005
#    -43     1       2.7886419257E-005
#    -43     2       3.2042182158E-005
#    -43     3       4.8450455926E-005
#    -43     4       2.5925094947E-005
#    -43     5       3.3480321202E-005
#    -43     6       4.5367875229E-005
#    -43     7       2.6007129299E-005
#    -43     8       1.5926367272E-005
#    -43     9       3.1581240013E-005
#    -43    10       3.5404716196E-005
#    -43    11       3.0287319543E-005
#    -43    12       2.9190421406E-005
#    -43    13       2.6558884779E-005
#    -43    14       5.9874052038E-005
#    -43    15       2.1904327666E-005
#    -43    16       6.1960541287E-005
#    -43    17       4.9659238255E-005
#    -43    18       2.7316782056E-005
#    -43    19       8.1892760382E-005
#    -43    20       8.9617940633E-005
#    -43    21       6.0821712043E-005
#    -43    22       5.2851945635E-005
#    -43    23       4.8251168216E-005
#    -43    24       8.7735627127E-005
#    -43    25       2.3823655151E-005
#    -43    26       1.1569097794E-004
#    -43    27       9.0443586555E-005
#    -43    28       8.1252163946E-005
#    -43    29       6.3770013497E-005
#    -43    30       1.8266155230E-005
#    -43    31       6.7156144928E-005
#    -43    32       1.8562346689E-005
#    -42   -11       1.7657423027E-005
#    -42   -10       3.2083124551E-005
#    -42    -9       7.0699188627E-006
#    -42    -8       1.7586471031E-005
#    -42    -7       2.7978752646E-005
#    -42    -6       1.1660610318E-004
#    -42    -5       3.4537683766E-005
#    -42    -4       2.3218270909E-005
#    -42    -3       1.0861278335E-005
#    -42    -2       2.4839635173E-005
#    -42    -1       2.3761293138E-005
#    -42     0       3.5470920875E-004
#    -42     1       5.7658387981E-005
#    -42     2       4.9496634909E-005
#    -42     3       1.9351796482E-005
#    -42     4       3.7140243566E-005
#    -42     5       4.4072785860E-005
#    -42     6       1.2629918991E-004
#    -42     7       2.8869720903E-005
#    -42     8       3.3823475255E-005
#    -42     9       1.0190291996E-005
#    -42    10       2.2354163953E-005
#    -42    11       3.8883852170E-005
#    -42    12       5.1354183180E-004
#    -42    13       4.4666299927E-005
#    -42    14       4.5078761638E-005
#    -42    15       7.0962329029E-006
#    -42    16       7.5124396084E-005
#    -42    17       7.7711901379E-005
#    -42    18       6.1664408953E-004
#    -42    19       6.3531030925E-005
#    -42    20       5.6644311252E-005
#    -42    21       2.1422311189E-005
#    -42    22       5.3091752774E-005
#    -42    23       4.6352048455E-005
#    -42    24       5.2839747973E-004
#    -42    25       9.6328652692E-005
#    -42    26       9.8222693533E-005
#    -42    27       2.1852702811E-005
#    -42    28       1.0381822091E-004
#    -42    29       9.7309838434E-005
#    -42    30       4.5399914622E-004
#    -42    31       8.8821796415E-005
#    -42    32       5.2258187258E-005
#    -42    33       6.0527581917E-006
#    -41   -12       2.8766922647E-006
#    -41   -11       8.7845436596E-006
#    -41   -10       1.6238750334E-005
#    -41    -9       1.6575059861E-005
#    -41    -8       2.5444563208E-005
#    -41    -7       8.3532096866E-006
#    -41    -6       1.6079465003E-005
#    -41    -5       7.4756577937E-006
#    -41    -4       2.2854688262E-005
#    -41    -3       3.3510689041E-005
#    -41    -2       3.8067008416E-005
#    -41    -1       3.5352319681E-005
#    -41     0       4.2400408255E-005
#    -41     1       4.7059100655E-005
#    -41     2       3.1800106731E-005
#    -41     3       6.9957365985E-005
#    -41     4       4.5559871404E-005
#    -41     5       3.4291590285E-005
#    -41     6       4.9200867479E-005
#    -41     7       3.6174423295E-005
#    -41     8       2.8693622685E-005
#    -41     9       8.7932002021E-006
#    -41    10       1.3272448326E-005
#    -41    11       9.4156650966E-006
#    -41    12       1.9190816263E-005
#    -41    13       2.6596576047E-005
#    -41    14       1.7900282430E-005
#    -41    15       5.3685198926E-005
#    -41    16       3.8864609098E-005
#    -41    17       6.9047260916E-005
#    -41    18       4.8967885721E-005
#    -41    19       3.3178259247E-005
#    -41    20       4.2633477320E-005
#    -41    21       3.0976528873E-005
