 Diffraction intensities for potential:gv5x5_15D10006.in                       
#    -28    13       8.0647123606E-005
#    -28    14       9.5039853542E-006
#    -28    15       1.2165953050E-004
#    -27     7       8.0781357849E-006
#    -27     8       6.3130732842E-005
#    -27     9       9.5829727415E-005
#    -27    10       7.1574713855E-005
#    -27    11       3.0888337696E-005
#    -27    12       3.7846556371E-006
#    -27    13       8.7164209723E-005
#    -27    14       2.2582659551E-005
#    -27    15       4.4656619882E-007
#    -27    16       1.1756589987E-004
#    -27    17       1.1813562072E-004
#    -27    18       3.0876694248E-005
#    -27    19       3.7074480101E-005
#    -27    20       6.7305912463E-005
#    -26     4       2.8049060762E-005
#    -26     5       8.5750384057E-005
#    -26     6       5.3202431858E-005
#    -26     7       8.6221515311E-005
#    -26     8       1.4129168029E-004
#    -26     9       1.8231716354E-005
#    -26    10       2.0851816302E-005
#    -26    11       3.4319077601E-005
#    -26    12       1.5113697768E-005
#    -26    13       2.2408039041E-005
#    -26    14       1.5845045911E-005
#    -26    15       3.1482760367E-005
#    -26    16       4.3855082351E-005
#    -26    17       7.2839733996E-007
#    -26    18       1.2694059393E-005
#    -26    19       3.7869577717E-005
#    -26    20       2.0178814654E-005
#    -26    21       1.5991941719E-006
#    -26    22       9.4477865918E-005
#    -25     2       6.4482922209E-005
#    -25     3       3.1102519490E-006
#    -25     4       3.1256392587E-005
#    -25     5       5.7046218449E-004
#    -25     6       2.1738580411E-005
#    -25     7       8.5379573819E-006
#    -25     8       1.1662674287E-005
#    -25     9       8.6522466784E-008
#    -25    10       8.4009216549E-004
#    -25    11       1.5277315645E-004
#    -25    12       8.5099558698E-006
#    -25    13       1.4293778798E-004
#    -25    14       5.7194800443E-005
#    -25    15       9.2301327087E-005
#    -25    16       2.2249866054E-004
#    -25    17       6.0306688709E-005
#    -25    18       6.1493394429E-005
#    -25    19       9.8463937425E-005
#    -25    20       2.2862198987E-004
#    -25    21       7.4916412799E-006
#    -25    22       9.3810468913E-006
#    -25    23       2.7128660571E-005
#    -24     0       1.3256696097E-005
#    -24     1       6.8166630841E-005
#    -24     2       1.0285007494E-005
#    -24     3       1.0289140039E-004
#    -24     4       2.7397724255E-005
#    -24     5       2.2921460789E-005
#    -24     6       1.3639372408E-005
#    -24     7       7.9153563369E-005
#    -24     8       5.5823073749E-005
#    -24     9       1.0960422538E-004
#    -24    10       4.8484340332E-005
#    -24    11       2.8787212976E-004
#    -24    12       1.8597774988E-004
#    -24    13       5.2189654159E-004
#    -24    14       1.1147790260E-005
#    -24    15       2.8575503780E-005
#    -24    16       5.2287983168E-004
#    -24    17       2.5789644017E-004
#    -24    18       1.1023809496E-004
#    -24    19       6.0804872847E-005
#    -24    20       3.6655751626E-004
#    -24    21       1.3980827418E-004
#    -24    22       3.1299728541E-005
#    -24    23       8.2330262157E-006
#    -24    24       2.8141817479E-005
#    -23    -2       7.9773780442E-005
#    -23    -1       1.1172520765E-004
#    -23     0       1.5648705208E-004
#    -23     1       2.1533309551E-004
#    -23     2       2.4303950500E-004
#    -23     3       1.5928706842E-004
#    -23     4       3.7194062269E-004
#    -23     5       3.1572971081E-004
#    -23     6       2.4123741181E-004
#    -23     7       8.8196151728E-005
#    -23     8       2.5446513135E-005
#    -23     9       1.0927876500E-004
#    -23    10       8.0093944321E-005
#    -23    11       2.7852378876E-004
#    -23    12       4.5273593384E-005
#    -23    13       2.6738501267E-004
#    -23    14       1.5063153691E-004
#    -23    15       1.0283213657E-004
#    -23    16       6.9506678673E-004
#    -23    17       2.4678989072E-004
#    -23    18       2.7938177399E-004
#    -23    19       1.7113955394E-004
#    -23    20       1.9686255922E-005
#    -23    21       1.6217839802E-004
#    -23    22       1.5957834189E-004
#    -23    23       1.8108948214E-004
#    -23    24       7.6686134808E-006
#    -23    25       6.3472979997E-005
#    -22    -4       5.8477763877E-005
#    -22    -3       1.3544149912E-004
#    -22    -2       1.6194770594E-004
#    -22    -1       1.2136379172E-004
#    -22     0       2.3161581255E-004
#    -22     1       3.3086558245E-004
#    -22     2       2.4291754667E-004
#    -22     3       2.6154063971E-005
#    -22     4       2.2061964365E-004
#    -22     5       4.0973071065E-004
#    -22     6       2.6958957431E-005
#    -22     7       3.4913083412E-005
#    -22     8       7.2665955724E-005
#    -22     9       1.2663908516E-004
#    -22    10       2.1394784943E-006
#    -22    11       9.6410236070E-005
#    -22    12       1.9817151424E-005
#    -22    13       8.7119278496E-005
#    -22    14       8.8919002377E-005
#    -22    15       1.5254010373E-004
#    -22    16       3.6379669384E-005
#    -22    17       2.1441346036E-005
#    -22    18       6.4109564581E-004
#    -22    19       5.6814773864E-005
#    -22    20       3.1174731972E-004
#    -22    21       1.4196868167E-005
#    -22    22       2.5848339957E-005
#    -22    23       1.0737404557E-005
#    -22    24       8.2131320413E-005
#    -22    25       1.1695410815E-004
#    -22    26       1.0537320285E-005
#    -21    -5       2.1118496657E-006
#    -21    -4       6.8790647273E-005
#    -21    -3       2.6670948160E-005
#    -21    -2       2.3270783960E-005
#    -21    -1       1.6058955005E-005
#    -21     0       4.0014455504E-005
#    -21     1       1.1404045277E-004
#    -21     2       1.0882905478E-004
#    -21     3       1.2552721725E-004
#    -21     4       1.7810177661E-004
#    -21     5       3.4954791463E-005
#    -21     6       8.4913311321E-005
#    -21     7       3.5855349471E-005
#    -21     8       6.5900548226E-006
#    -21     9       1.9893399316E-004
#    -21    10       1.7211711792E-005
#    -21    11       1.8750425408E-004
#    -21    12       3.2251584225E-004
#    -21    13       2.1636855776E-007
#    -21    14       1.8393135696E-004
#    -21    15       1.0667765740E-004
#    -21    16       1.6261703165E-004
#    -21    17       1.0235091298E-004
#    -21    18       9.6430798656E-005
#    -21    19       1.5223449512E-004
#    -21    20       5.1686401652E-005
#    -21    21       2.2958757447E-005
#    -21    22       1.5234205803E-004
#    -21    23       5.9938558860E-005
#    -21    24       1.0423035264E-004
#    -21    25       1.4821364533E-005
#    -21    26       2.7680197329E-005
#    -20    -7       3.3969096807E-005
#    -20    -6       6.4938534022E-005
#    -20    -5       4.5389331436E-004
#    -20    -4       1.2526175646E-004
#    -20    -3       3.7568308154E-005
#    -20    -2       4.0267497130E-006
#    -20    -1       5.4418302099E-006
#    -20     0       4.0084937794E-003
#    -20     1       3.2353424711E-004
#    -20     2       1.1104700307E-004
#    -20     3       9.6121254182E-005
#    -20     4       5.6574819678E-004
#    -20     5       6.5847852436E-003
#    -20     6       5.6726351832E-005
#    -20     7       1.6462461101E-004
#    -20     8       2.7119399091E-005
#    -20     9       3.7854611860E-004
#    -20    10       4.4653445519E-003
#    -20    11       6.2154634768E-004
#    -20    12       4.6501054889E-004
#    -20    13       7.4166450875E-004
#    -20    14       4.9997807783E-004
#    -20    15       3.3057073163E-003
#    -20    16       1.0148291279E-004
#    -20    17       4.5004523370E-006
#    -20    18       3.8703244800E-004
#    -20    19       2.0717759583E-004
#    -20    20       1.6889707830E-003
#    -20    21       5.6903626041E-005
#    -20    22       1.6749930851E-004
#    -20    23       3.0651746544E-005
#    -20    24       9.5275487701E-005
#    -20    25       9.3475809144E-005
#    -20    26       9.6637555615E-007
#    -20    27       8.7865781311E-006
#    -19    -8       1.0664875904E-005
#    -19    -7       2.0727468820E-006
#    -19    -6       3.6068544700E-005
#    -19    -5       6.6726782612E-005
#    -19    -4       8.6783097045E-005
#    -19    -3       1.5643719975E-004
#    -19    -2       2.5239063518E-004
#    -19    -1       3.3295936759E-004
#    -19     0       2.3322907948E-004
#    -19     1       4.1527373743E-004
#    -19     2       1.9895995051E-004
#    -19     3       3.2701809258E-004
#    -19     4       1.6084463734E-004
#    -19     5       4.2295810659E-004
#    -19     6       2.0935538330E-004
#    -19     7       2.2378871974E-004
#    -19     8       3.2387015768E-004
#    -19     9       1.0208281361E-004
#    -19    10       1.5681116061E-004
#    -19    11       1.0831781113E-003
#    -19    12       8.2371041365E-004
#    -19    13       1.1333240469E-004
#    -19    14       4.1714382488E-005
#    -19    15       2.6110608924E-004
#    -19    16       4.9890862823E-004
#    -19    17       4.3508343471E-004
#    -19    18       2.1605622449E-004
#    -19    19       1.9075634243E-004
#    -19    20       2.9101986573E-004
#    -19    21       1.5137373368E-004
#    -19    22       1.5465975189E-004
#    -19    23       3.5049752500E-004
#    -19    24       6.9683617946E-005
#    -19    25       1.4573698193E-004
#    -19    26       2.0279475115E-006
#    -19    27       6.4558808664E-005
#    -18    -9       8.8362098037E-006
#    -18    -8       4.8308456373E-005
#    -18    -7       2.7162019241E-004
#    -18    -6       4.5487417292E-004
#    -18    -5       9.4521360013E-005
#    -18    -4       2.0997118801E-004
#    -18    -3       3.0386609206E-004
#    -18    -2       6.6089242835E-005
#    -18    -1       3.3715183475E-004
#    -18     0       4.4228728050E-004
#    -18     1       4.1247868396E-004
#    -18     2       2.6812917879E-004
#    -18     3       3.2103444748E-004
#    -18     4       6.0661761336E-004
#    -18     5       2.1457172091E-005
#    -18     6       1.1725618875E-004
#    -18     7       1.6105325652E-004
#    -18     8       1.8138291854E-004
#    -18     9       1.8026138161E-004
#    -18    10       1.8381021872E-004
#    -18    11       5.2172307846E-004
#    -18    12       2.2182624656E-004
#    -18    13       4.2828536514E-006
#    -18    14       1.4444100153E-004
#    -18    15       9.5550154276E-006
#    -18    16       4.4388198510E-004
#    -18    17       7.5497198920E-006
#    -18    18       4.1666593559E-004
#    -18    19       9.6302415397E-005
#    -18    20       3.9534787380E-004
#    -18    21       5.9942292114E-005
#    -18    22       8.3413460300E-005
#    -18    23       4.8252938779E-005
#    -18    24       1.3922409568E-004
#    -18    25       2.1194107616E-004
#    -18    26       2.6469785455E-005
#    -18    27       1.2051562263E-005
#    -17   -10       4.5626664679E-005
#    -17    -9       1.7868352947E-005
#    -17    -8       5.9254703554E-005
#    -17    -7       2.8859454097E-005
#    -17    -6       1.1650574137E-004
#    -17    -5       3.4986006805E-004
#    -17    -4       6.5873392222E-005
#    -17    -3       2.0266328706E-004
#    -17    -2       2.1441187945E-005
#    -17    -1       3.6319746217E-004
#    -17     0       1.7230617713E-004
#    -17     1       1.1482168454E-004
#    -17     2       2.1693005693E-004
#    -17     3       5.0047066257E-004
#    -17     4       9.6170588862E-005
#    -17     5       3.2454446924E-005
#    -17     6       5.6982444560E-005
#    -17     7       7.8420236209E-005
#    -17     8       5.7852165184E-005
#    -17     9       2.7718690243E-004
#    -17    10       3.7743350679E-004
#    -17    11       4.4246935618E-005
#    -17    12       4.2297317092E-005
#    -17    13       3.8847464951E-004
#    -17    14       1.3564606815E-004
#    -17    15       3.6752816423E-004
#    -17    16       6.4258917829E-005
#    -17    17       3.8885179056E-005
#    -17    18       1.3222535571E-004
#    -17    19       4.2701059890E-006
#    -17    20       3.4487417584E-004
#    -17    21       2.0686220323E-004
#    -17    22       1.6652263038E-004
#    -17    23       6.5703285339E-005
#    -17    24       6.0987944814E-006
#    -17    25       6.3909897046E-005
#    -17    26       3.1016448532E-006
#    -17    27       3.3453076799E-005
#    -16   -11       1.2975099320E-004
#    -16   -10       2.0183757694E-004
#    -16    -9       6.6321475732E-005
#    -16    -8       8.7723632970E-005
#    -16    -7       1.4054075579E-004
#    -16    -6       2.7471619109E-004
#    -16    -5       5.6598099517E-004
#    -16    -4       4.4019364780E-005
#    -16    -3       2.8021191462E-004
#    -16    -2       1.3330969515E-004
#    -16    -1       2.7655243199E-004
#    -16     0       3.5837103831E-004
#    -16     1       7.1153162327E-005
#    -16     2       2.0813881432E-004
#    -16     3       4.7846918830E-004
#    -16     4       4.9582739889E-004
#    -16     5       4.1315864001E-005
#    -16     6       2.8544376951E-004
#    -16     7       5.3953752817E-004
#    -16     8       4.4493552915E-004
#    -16     9       6.6522812466E-005
#    -16    10       3.3939302597E-004
#    -16    11       1.5431809512E-004
#    -16    12       6.0065423193E-004
#    -16    13       9.3181451124E-004
#    -16    14       2.9137142409E-004
#    -16    15       1.0690987457E-004
#    -16    16       8.6247634200E-006
#    -16    17       3.7835705047E-004
#    -16    18       1.2090409006E-004
#    -16    19       1.3892457466E-006
#    -16    20       1.3692962368E-006
#    -16    21       7.0615341990E-005
#    -16    22       3.1695617206E-005
#    -16    23       8.5267695513E-005
#    -16    24       2.1092973483E-005
#    -16    25       9.1379799472E-005
#    -16    26       1.3482496161E-005
#    -16    27       2.9214932762E-005
#    -15   -13       5.3057397673E-006
#    -15   -12       7.0143582148E-005
#    -15   -11       1.3737313918E-004
#    -15   -10       2.9080151452E-004
#    -15    -9       7.1224471038E-005
#    -15    -8       3.3764312657E-005
#    -15    -7       1.3038138128E-004
#    -15    -6       2.3635140088E-004
#    -15    -5       6.6458543628E-003
#    -15    -4       3.9470131647E-004
#    -15    -3       1.4181487835E-005
#    -15    -2       4.0246830695E-004
#    -15    -1       1.8489413480E-004
#    -15     0       2.2622471681E-002
#    -15     1       8.6736199070E-004
#    -15     2       4.2587219259E-005
#    -15     3       4.5849760160E-005
#    -15     4       1.1494857777E-003
#    -15     5       1.0666343899E-002
#    -15     6       6.8395560655E-005
#    -15     7       3.9414941822E-004
#    -15     8       1.6483465405E-004
#    -15     9       3.6250288615E-004
#    -15    10       6.1747811363E-003
#    -15    11       6.0743116822E-004
#    -15    12       3.7918445650E-004
#    -15    13       3.3553465272E-004
#    -15    14       5.2930508532E-004
#    -15    15       2.0577728828E-002
#    -15    16       4.9467899632E-004
#    -15    17       1.6923582577E-004
#    -15    18       1.8767280509E-004
#    -15    19       8.0632471972E-004
#    -15    20       5.7727482112E-003
#    -15    21       1.3672544162E-005
#    -15    22       5.5554503874E-005
#    -15    23       1.6394706798E-004
#    -15    24       1.4355260123E-004
#    -15    25       5.6934679613E-004
#    -15    26       4.8665125566E-005
#    -15    27       1.5862708981E-005
#    -15    28       1.8281691563E-006
#    -14   -14       7.0780132510E-005
#    -14   -13       1.3632261313E-005
#    -14   -12       5.3825960823E-005
#    -14   -11       3.4056465414E-004
#    -14   -10       8.2747541991E-004
#    -14    -9       3.4686851572E-004
#    -14    -8       1.8937157454E-005
#    -14    -7       6.5502286211E-005
#    -14    -6       2.3258615517E-004
#    -14    -5       6.6818438063E-004
#    -14    -4       2.3468558100E-004
#    -14    -3       1.4699731920E-004
#    -14    -2       8.6040553881E-004
#    -14    -1       6.1535403369E-004
#    -14     0       4.4257034332E-004
#    -14     1       4.6308349235E-004
#    -14     2       6.9911826239E-005
#    -14     3       1.1976949610E-003
#    -14     4       1.6625362391E-004
#    -14     5       1.0198132897E-003
#    -14     6       2.4428611180E-004
#    -14     7       3.5757816441E-004
#    -14     8       1.6902355035E-004
#    -14     9       1.4158725882E-004
#    -14    10       6.6578431527E-005
#    -14    11       2.7452353220E-004
#    -14    12       3.4192719650E-004
#    -14    13       4.2266656265E-004
#    -14    14       3.9113023209E-004
#    -14    15       6.9465774830E-005
#    -14    16       1.1307564473E-004
#    -14    17       7.1142375487E-004
#    -14    18       6.4034624386E-004
#    -14    19       8.5420512515E-005
#    -14    20       1.8866531483E-004
#    -14    21       4.7802563989E-005
#    -14    22       4.4430353296E-004
#    -14    23       7.8408570211E-005
#    -14    24       3.3905813044E-005
#    -14    25       9.7348405434E-005
#    -14    26       3.6361307614E-005
#    -14    27       7.2352697130E-005
#    -14    28       1.5342994421E-005
#    -13   -15       1.1866695691E-004
#    -13   -14       1.2257134200E-004
#    -13   -13       3.8928407853E-006
#    -13   -12       8.7373412082E-005
#    -13   -11       1.6620344783E-004
#    -13   -10       5.4209508686E-004
#    -13    -9       7.3868872074E-005
#    -13    -8       1.2227185161E-005
#    -13    -7       5.3507914456E-004
#    -13    -6       1.7056603407E-005
#    -13    -5       2.8984015694E-006
#    -13    -4       2.5042812885E-005
#    -13    -3       1.4335669795E-004
#    -13    -2       5.6366804873E-004
#    -13    -1       6.6282043698E-004
#    -13     0       2.4390581539E-004
#    -13     1       7.4276086734E-005
#    -13     2       1.4136684718E-004
#    -13     3       2.1642093919E-004
#    -13     4       1.4063242260E-004
#    -13     5       3.9036901167E-004
#    -13     6       6.2670110704E-005
#    -13     7       5.0932275715E-004
#    -13     8       3.0012759125E-004
#    -13     9       1.1737281571E-004
#    -13    10       2.3875152151E-005
#    -13    11       9.9060094898E-005
#    -13    12       9.9958152000E-005
#    -13    13       1.2097590025E-004
#    -13    14       1.3327299638E-004
#    -13    15       4.5438467425E-004
#    -13    16       1.0623490945E-004
#    -13    17       1.9247572425E-004
#    -13    18       3.7870506659E-005
#    -13    19       8.1536567184E-005
#    -13    20       7.2136437835E-004
#    -13    21       2.3433264926E-004
#    -13    22       5.3304847814E-005
#    -13    23       5.2818322784E-005
#    -13    24       1.1945074847E-004
#    -13    25       1.3107104105E-004
#    -13    26       1.4958611087E-005
#    -13    27       2.3816272059E-005
#    -13    28       7.8502892627E-006
#    -12   -15       8.1772321808E-005
#    -12   -14       3.4454218156E-005
#    -12   -13       2.5337766843E-005
#    -12   -12       1.8917895927E-004
#    -12   -11       5.7914951932E-004
#    -12   -10       3.1379766581E-004
#    -12    -9       1.1100924769E-004
#    -12    -8       1.4843184505E-004
#    -12    -7       4.9822930452E-006
#    -12    -6       3.9448530732E-004
#    -12    -5       1.0270484998E-003
#    -12    -4       2.6374317152E-004
#    -12    -3       2.4944193192E-004
#    -12    -2       9.5680107289E-005
#    -12    -1       1.0222380957E-004
#    -12     0       4.1614172549E-005
#    -12     1       5.2224225426E-005
#    -12     2       7.1582362456E-004
#    -12     3       7.7675094915E-005
#    -12     4       2.6522798752E-004
#    -12     5       5.9080170624E-004
#    -12     6       2.9626131643E-004
#    -12     7       4.1007047143E-004
#    -12     8       7.6025839913E-005
#    -12     9       1.1845480508E-004
#    -12    10       1.4171058853E-004
#    -12    11       2.5472862103E-004
#    -12    12       5.7025730529E-005
#    -12    13       2.6096427794E-004
#    -12    14       2.8394648703E-004
#    -12    15       2.6632212151E-004
#    -12    16       2.7065049405E-005
#    -12    17       1.2993648211E-004
#    -12    18       5.9196648853E-005
#    -12    19       1.5395495802E-004
#    -12    20       3.4269808744E-004
#    -12    21       3.9393656781E-005
#    -12    22       1.9379855848E-004
#    -12    23       1.2372126349E-004
#    -12    24       3.4386806592E-006
#    -12    25       3.3252719643E-005
#    -12    26       5.6141162781E-005
#    -12    27       3.6339333309E-005
#    -11   -16       1.5236349194E-004
#    -11   -15       1.3317639725E-004
#    -11   -14       2.5151551346E-004
#    -11   -13       2.2795684391E-004
#    -11   -12       2.8998112092E-004
#    -11   -11       8.0050631979E-004
#    -11   -10       6.3578022196E-004
#    -11    -9       4.2570155893E-004
#    -11    -8       1.9532219569E-004
#    -11    -7       3.4923084879E-004
#    -11    -6       1.2374027970E-004
#    -11    -5       7.8013153962E-004
#    -11    -4       1.9851917050E-004
#    -11    -3       1.2365157557E-003
#    -11    -2       8.8587732988E-004
#    -11    -1       3.2877738293E-004
#    -11     0       1.0467263652E-003
#    -11     1       1.3716475516E-005
#    -11     2       7.8338621660E-005
#    -11     3       1.3098595841E-004
#    -11     4       1.0065131321E-004
#    -11     5       5.5029386878E-004
#    -11     6       3.9631202530E-004
#    -11     7       3.7116261117E-004
#    -11     8       6.6144465140E-004
#    -11     9       1.3144117369E-003
#    -11    10       7.5021044456E-004
#    -11    11       6.8956147137E-006
#    -11    12       3.4052459312E-005
#    -11    13       6.6520361338E-004
#    -11    14       5.3115625060E-005
#    -11    15       2.8795003310E-004
#    -11    16       2.3795544489E-004
#    -11    17       2.0886131509E-005
#    -11    18       1.1937974384E-004
#    -11    19       1.4334401005E-004
#    -11    20       2.3470508008E-006
#    -11    21       3.8325553290E-005
#    -11    22       4.4022205208E-004
#    -11    23       1.6651521995E-005
#    -11    24       5.2939843421E-005
#    -11    25       4.1630503400E-005
#    -11    26       5.1763511984E-005
#    -11    27       1.9735037581E-005
#    -10   -17       4.4728034418E-005
#    -10   -16       1.5902301188E-004
#    -10   -15       4.5549787587E-005
#    -10   -14       1.2378145715E-004
#    -10   -13       1.7167344856E-004
#    -10   -12       2.8105315503E-004
#    -10   -11       4.0447441496E-004
#    -10   -10       2.9003631267E-003
#    -10    -9       4.2467727400E-004
#    -10    -8       2.7217754495E-005
#    -10    -7       2.1487606222E-005
#    -10    -6       4.4665718694E-004
#    -10    -5       1.0334265347E-002
#    -10    -4       8.1542021992E-004
#    -10    -3       7.4678868540E-005
#    -10    -2       2.8383748122E-004
#    -10    -1       5.4186529902E-004
#    -10     0       1.0486118321E-002
#    -10     1       4.1557378091E-005
#    -10     2       2.6677117375E-005
#    -10     3       7.7113223776E-005
#    -10     4       1.1636434037E-004
#    -10     5       1.5507459737E-003
#    -10     6       2.4477384824E-004
#    -10     7       4.5194473971E-004
#    -10     8       1.4837225189E-004
#    -10     9       5.7928547839E-004
#    -10    10       2.6032299406E-002
#    -10    11       1.3119259689E-004
#    -10    12       2.6830081275E-004
#    -10    13       1.6578888204E-004
#    -10    14       3.5158585572E-004
#    -10    15       1.0166875753E-002
#    -10    16       7.3092856312E-004
#    -10    17       3.6741752680E-007
#    -10    18       2.3457297563E-004
#    -10    19       4.4107096885E-004
#    -10    20       5.7219705580E-003
#    -10    21       5.2695686664E-005
#    -10    22       2.5281170229E-004
#    -10    23       2.1881413761E-005
#    -10    24       4.4616585129E-005
#    -10    25       5.0350999015E-004
#    -10    26       4.3747465433E-005
#    -10    27       3.3628585243E-005
#     -9   -18       9.0066793127E-006
#     -9   -17       2.4718239737E-005
#     -9   -16       4.5578147129E-005
#     -9   -15       1.3691896614E-004
#     -9   -14       5.5238063997E-004
#     -9   -13       2.3273225925E-004
#     -9   -12       1.7374541313E-004
#     -9   -11       3.0623907503E-004
#     -9   -10       1.7548959143E-003
#     -9    -9       1.0990273000E-003
#     -9    -8       3.0446790997E-006
#     -9    -7       4.7066706934E-004
#     -9    -6       3.1647099903E-004
#     -9    -5       2.8244876612E-005
#     -9    -4       6.7376920495E-005
#     -9    -3       1.7433511810E-004
#     -9    -2       2.3174208386E-004
#     -9    -1       3.8685715095E-004
#     -9     0       8.7912309644E-004
#     -9     1       4.8537019665E-004
#     -9     2       1.8096209940E-004
#     -9     3       4.9488079933E-005
#     -9     4       6.5628091317E-004
#     -9     5       3.5650880623E-004
#     -9     6       5.5869448935E-005
#     -9     7       2.5835607741E-004
#     -9     8       2.8944915977E-004
#     -9     9       1.0165660032E-004
#     -9    10       1.0671956813E-004
#     -9    11       5.4390797408E-007
#     -9    12       3.5779555109E-004
#     -9    13       1.4780366478E-003
#     -9    14       2.4773751847E-004
#     -9    15       1.1450558446E-003
#     -9    16       1.7169843564E-004
#     -9    17       8.1978325001E-004
#     -9    18       5.7706148838E-004
#     -9    19       1.8768260959E-004
#     -9    20       2.7869760605E-004
#     -9    21       5.1271935509E-005
#     -9    22       5.6054663264E-005
#     -9    23       1.3539803210E-005
#     -9    24       7.8745359896E-005
#     -9    25       7.8870598833E-005
#     -9    26       3.5326822540E-005
#     -9    27       2.2862626848E-005
#     -8   -19       5.7510813900E-005
#     -8   -18       1.9784596890E-006
#     -8   -17       9.1734184556E-005
#     -8   -16       8.6518263327E-005
#     -8   -15       5.8482630293E-005
#     -8   -14       8.3678615237E-005
#     -8   -13       1.4354094282E-006
#     -8   -12       8.4689995535E-005
#     -8   -11       1.2803102476E-004
#     -8   -10       1.1216315308E-004
#     -8    -9       2.4189098448E-005
#     -8    -8       2.1657359293E-004
#     -8    -7       5.1918556134E-004
#     -8    -6       5.8597640493E-004
#     -8    -5       2.7647104494E-005
#     -8    -4       1.6573341701E-004
#     -8    -3       1.7504751489E-004
#     -8    -2       1.0347720374E-004
#     -8    -1       1.9601246990E-004
#     -8     0       4.3531198493E-004
#     -8     1       1.7948203803E-004
#     -8     2       2.0072443227E-005
#     -8     3       7.8381694316E-005
#     -8     4       1.2145842956E-003
#     -8     5       2.1495076487E-004
#     -8     6       7.0142034994E-005
#     -8     7       6.4316862736E-004
#     -8     8       4.9501078578E-005
#     -8     9       2.1818888163E-006
#     -8    10       5.3796802643E-004
#     -8    11       4.2412599288E-006
#     -8    12       5.3295113158E-005
#     -8    13       1.9747876198E-004
#     -8    14       3.9558154056E-004
#     -8    15       6.8591784487E-005
#     -8    16       3.5425313567E-005
#     -8    17       1.8680238025E-004
#     -8    18       3.7585319392E-004
#     -8    19       1.7867301101E-004
#     -8    20       3.8763223261E-004
#     -8    21       9.5883236665E-005
#     -8    22       1.4985819256E-004
#     -8    23       1.6892511449E-006
#     -8    24       1.1020938230E-005
#     -8    25       1.2622075307E-005
#     -8    26       7.3608196250E-006
#     -8    27       1.1940659366E-005
#     -7   -20       2.3510799061E-005
#     -7   -19       4.6066457087E-005
#     -7   -18       2.8628763564E-005
#     -7   -17       5.4209489774E-004
#     -7   -16       9.4187476143E-006
#     -7   -15       2.4934835323E-004
#     -7   -14       1.1743624448E-004
#     -7   -13       7.1101067069E-005
#     -7   -12       2.1653105635E-004
#     -7   -11       3.0172634521E-005
#     -7   -10       8.2068111952E-004
#     -7    -9       5.2712962023E-004
#     -7    -8       6.0593113448E-004
#     -7    -7       1.4945239566E-004
#     -7    -6       5.2354663468E-004
#     -7    -5       7.0563373662E-005
#     -7    -4       7.4262011548E-004
#     -7    -3       2.3584631801E-004
#     -7    -2       4.2140811587E-004
#     -7    -1       2.0620917970E-004
#     -7     0       2.9363670158E-005
#     -7     1       5.4692648145E-005
#     -7     2       4.8815046410E-004
#     -7     3       4.9723741133E-005
#     -7     4       2.3449872354E-004
#     -7     5       1.5415625935E-005
#     -7     6       2.1323967780E-004
#     -7     7       8.4098864412E-005
#     -7     8       1.8657432685E-004
#     -7     9       4.9692990219E-005
#     -7    10       3.1768790418E-004
#     -7    11       2.6067050784E-004
#     -7    12       2.4931691066E-004
#     -7    13       3.1710240153E-004
#     -7    14       2.3763863693E-004
#     -7    15       4.4678243251E-004
#     -7    16       6.7576201389E-005
#     -7    17       1.1106871409E-004
#     -7    18       7.0953164943E-005
#     -7    19       2.6364089205E-004
#     -7    20       2.2471426941E-004
#     -7    21       2.6873753311E-004
#     -7    22       1.7568273324E-004
#     -7    23       6.7819993912E-005
