 Diffraction intensities for potential:restest_14_5010001.in                   
#    -45    11       7.9248659224E-007
#    -45    12       1.5784877840E-005
#    -45    13       1.0837716907E-005
#    -45    14       1.6455900618E-005
#    -45    15       1.0498834078E-005
#    -45    16       1.4098183075E-005
#    -44     7       6.9759463252E-006
#    -44     8       6.5618367150E-006
#    -44     9       1.1896841370E-005
#    -44    10       5.4430260726E-006
#    -44    11       8.1321417088E-006
#    -44    12       2.2591604420E-005
#    -44    13       1.0502110191E-005
#    -44    14       2.0903467905E-005
#    -44    15       1.2238712789E-005
#    -44    16       2.2108343949E-005
#    -44    17       9.0294308653E-006
#    -44    18       1.5897235271E-005
#    -44    19       7.8589344859E-006
#    -44    20       6.2032834668E-006
#    -43     4       5.5262280731E-006
#    -43     5       5.8475313621E-006
#    -43     6       7.0503023694E-006
#    -43     7       1.0066903986E-005
#    -43     8       1.2353621517E-005
#    -43     9       1.2481499672E-005
#    -43    10       1.2268629630E-005
#    -43    11       1.8722520842E-005
#    -43    12       2.2262964261E-005
#    -43    13       1.4307107565E-005
#    -43    14       2.2536637213E-005
#    -43    15       1.7966126813E-005
#    -43    16       1.3816390516E-005
#    -43    17       1.7641771033E-005
#    -43    18       4.9290164713E-005
#    -43    19       1.8422525838E-005
#    -43    20       1.7728498164E-005
#    -43    21       8.4000311827E-006
#    -43    22       1.9036503581E-005
#    -42     2       6.5120248949E-006
#    -42     3       7.2980787420E-006
#    -42     4       7.3406403218E-006
#    -42     5       5.7817093695E-006
#    -42     6       1.6488713929E-006
#    -42     7       5.5198972051E-006
#    -42     8       2.3325525768E-005
#    -42     9       1.4814772271E-005
#    -42    10       1.8932663566E-005
#    -42    11       2.1286506322E-005
#    -42    12       3.2237967042E-005
#    -42    13       4.9587171603E-005
#    -42    14       2.0362404939E-005
#    -42    15       2.1674893976E-005
#    -42    16       2.4570274520E-005
#    -42    17       2.6478975873E-005
#    -42    18       2.1610905307E-005
#    -42    19       2.9893440783E-005
#    -42    20       2.2633165927E-005
#    -42    21       1.7668975504E-005
#    -42    22       1.6279288292E-005
#    -42    23       2.8884579275E-005
#    -41     0       6.4539715634E-006
#    -41     1       5.9976059207E-006
#    -41     2       5.0150139008E-006
#    -41     3       1.1769465007E-005
#    -41     4       7.4326516289E-006
#    -41     5       9.9629216742E-006
#    -41     6       1.1180080917E-005
#    -41     7       1.5337488487E-005
#    -41     8       1.3179107544E-005
#    -41     9       1.9822541645E-005
#    -41    10       2.0942362362E-005
#    -41    11       3.2207935538E-005
#    -41    12       2.3386366790E-005
#    -41    13       2.7006295109E-005
#    -41    14       2.7438611103E-005
#    -41    15       2.9924419671E-005
#    -41    16       3.7596494462E-005
#    -41    17       2.8499169306E-005
#    -41    18       4.1413105249E-005
#    -41    19       3.2231784024E-005
#    -41    20       3.2038175480E-005
#    -41    21       3.0344088510E-005
#    -41    22       2.9334760000E-005
#    -41    23       1.6208944799E-005
#    -41    24       1.5150627664E-005
#    -40    -2       6.5126907511E-006
#    -40    -1       6.0081994456E-006
#    -40     0       1.3427839011E-005
#    -40     1       1.5082895011E-005
#    -40     2       2.6344275565E-005
#    -40     3       8.7013143619E-006
#    -40     4       1.6958347891E-005
#    -40     5       1.6405055242E-005
#    -40     6       1.4792026074E-005
#    -40     7       3.7409239008E-005
#    -40     8       2.2325269716E-005
#    -40     9       1.1376025237E-005
#    -40    10       4.0056783939E-005
#    -40    11       2.6256587428E-005
#    -40    12       3.7994521979E-005
#    -40    13       3.9388579425E-005
#    -40    14       6.2018865007E-005
#    -40    15       2.4723923746E-005
#    -40    16       3.8447559268E-005
#    -40    17       4.9243009643E-005
#    -40    18       4.5071017828E-005
#    -40    19       4.5518469087E-005
#    -40    20       2.0350166460E-005
#    -40    21       4.7248104229E-005
#    -40    22       4.8676859962E-006
#    -40    23       1.2924863152E-005
#    -40    24       2.6955874553E-005
#    -40    25       5.0685914353E-006
#    -39    -4       5.5283333385E-006
#    -39    -3       7.3035414912E-006
#    -39    -2       5.0145359228E-006
#    -39    -1       1.5088795545E-005
#    -39     0       4.3874442895E-006
#    -39     1       1.2324129121E-005
#    -39     2       1.1484720235E-005
#    -39     3       8.7496233394E-006
#    -39     4       1.9296452313E-005
#    -39     5       1.2746793773E-005
#    -39     6       1.6231411010E-005
#    -39     7       2.2216273057E-005
#    -39     8       1.8224622769E-005
#    -39     9       2.7075733999E-005
#    -39    10       2.3629588431E-005
