 Diffraction intensities for potential:pot10001.in                             
#      1   -10       4.8686275389E-005
#      1    -9       8.8019045897E-004
#      1    -8       4.2019266597E-003
#      1    -7       1.5635161411E-003
#      1    -6       1.0009219946E-002
#      1    -5       8.7784611040E-004
#      1    -4       1.8623638507E-004
#      1    -3       3.0081808828E-004
#      1    -2       4.6862728292E-003
#      1    -1       9.5123672323E-003
#      1     0       4.9947398540E-003
#      1     1       4.6862852827E-003
#      1     2       1.0625676520E-003
#      1     3       6.0044390883E-003
#      1     4       3.8339311574E-003
#      1     5       9.4713956479E-003
#      1     6       1.7658541934E-003
#      1     7       8.5215868921E-003
#      1     8       2.1334776005E-003
#      1     9       1.2791079291E-004
#      2   -10       3.9974146976E-004
#      2    -9       2.7495179253E-003
#      2    -8       4.1281337993E-003
#      2    -7       2.5278093697E-003
#      2    -6       2.9520744355E-003
#      2    -5       2.6583128966E-003
#      2    -4       6.4010591549E-004
#      2    -3       1.0626452990E-003
#      2    -2       1.8215368825E-002
#      2    -1       4.6862457607E-003
#      2     0       7.3520869414E-004
#      2     1       3.0080090194E-004
#      2     2       6.4011960900E-004
#      2     3       6.3465135102E-003
#      2     4       2.6454468169E-003
#      2     5       1.2600568591E-003
#      2     6       3.2000637473E-003
#      2     7       3.0757200918E-003
#      2     8       3.2891831035E-004
#      3   -10       4.2917388224E-004
#      3    -9       2.0163630094E-003
#      3    -8       3.9135071830E-003
#      3    -7       3.4603515587E-004
#      3    -6       7.5130608835E-003
#      3    -5       6.3463278151E-003
#      3    -4       6.0043895020E-003
#      3    -3       2.7772489449E-003
#      3    -2       1.0626479048E-003
#      3    -1       3.0082208222E-004
#      3     0       1.0820155555E-003
#      3     1       1.8622264721E-004
#      3     2       2.6583827575E-003
#      3     3       7.5130612772E-003
#      3     4       1.8359794031E-003
#      3     5       5.9408294979E-003
#      3     6       9.2973641494E-004
#      3     7       9.3844156022E-004
#      4   -11       9.3312765608E-004
#      4   -10       2.4334402525E-004
#      4    -9       1.5663599908E-004
#      4    -8       6.7797726074E-004
#      4    -7       1.8360937050E-003
#      4    -6       2.6456382978E-003
#      4    -5       3.8337103796E-003
#      4    -4       1.6682568148E-002
#      4    -3       6.0043547427E-003
#      4    -2       6.4012191558E-004
#      4    -1       1.8623014972E-004
#      4     0       6.4431785271E-003
#      4     1       8.7786342912E-004
#      4     2       2.9519955231E-003
#      4     3       3.4598250697E-004
#      4     4       6.7795800263E-004
#      4     5       6.4124096219E-005
#      4     6       1.6637346962E-005
#      4     7       1.0011079576E-003
#      5   -11       1.8599000954E-004
#      5   -10       2.7136486875E-003
#      5    -9       6.4112872019E-005
#      5    -8       5.9407699662E-003
#      5    -7       1.2601399064E-003
#      5    -6       9.4709283129E-003
#      5    -5       3.0994871794E-003
#      5    -4       3.8337009108E-003
#      5    -3       6.3463577200E-003
#      5    -2       2.6583110013E-003
#      5    -1       8.7783571522E-004
#      5     0       4.0118870664E-004
#      5     1       1.0009369059E-002
#      5     2       2.5278094370E-003
#      5     3       3.9134512104E-003
#      5     4       1.5664593819E-004
#      5     5       2.7135782720E-003
#      5     6       4.2272904158E-004
#      6   -11       4.2273334454E-004
#      6   -10       1.6635194675E-005
#      6    -9       9.2971405349E-004
#      6    -8       3.2001660806E-003
#      6    -7       1.7657793696E-003
#      6    -6       2.0604877342E-003
#      6    -5       9.4710495057E-003
#      6    -4       2.6455754343E-003
#      6    -3       7.5129345824E-003
#      6    -2       2.9520316725E-003
#      6    -1       1.0009371857E-002
#      6     0       3.0362203333E-004
#      6     1       1.5635524382E-003
#      6     2       4.1280745164E-003
#      6     3       2.0163363049E-003
#      6     4       2.4334439872E-004
#      6     5       1.8599905796E-004
#      7   -11       1.0011051147E-003
#      7   -10       9.3844680625E-004
#      7    -9       3.0757022191E-003
#      7    -8       8.5217686059E-003
#      7    -7       4.8168677610E-003
#      7    -6       1.7657512153E-003
#      7    -5       1.2601161346E-003
#      7    -4       1.8361011312E-003
#      7    -3       3.4601887431E-004
#      7    -2       2.5277230928E-003
#      7    -1       1.5635316856E-003
#      7     0       4.8606960034E-003
#      7     1       4.2018840506E-003
#      7     2       2.7495220838E-003
#      7     3       4.2918974092E-004
#      7     4       9.3311540140E-004
#      8   -10       3.2892895387E-004
#      8    -9       2.1335086089E-003
#      8    -8       2.8804563466E-003
#      8    -7       8.5216605818E-003
#      8    -6       3.2001744441E-003
#      8    -5       5.9407554461E-003
#      8    -4       6.7801154913E-004
#      8    -3       3.9135467745E-003
#      8    -2       4.1281548364E-003
#      8    -1       4.2019883514E-003
#      8     0       8.6862971561E-004
#      8     1       8.8019099989E-004
#      8     2       3.9972237660E-004
#      9   -10       1.2791030797E-004
#      9    -9       3.4253631310E-003
#      9    -8       2.1335253082E-003
#      9    -7       3.0756970984E-003
#      9    -6       9.2972896685E-004
#      9    -5       6.4112650594E-005
#      9    -4       1.5664614065E-004
#      9    -3       2.0163681511E-003
#      9    -2       2.7495687871E-003
#      9    -1       8.8019640279E-004
#      9     0       1.5702529472E-003
#      9     1       4.8685191843E-005
#     10    -9       1.2790792608E-004
#     10    -8       3.2892233951E-004
#     10    -7       9.3844187672E-004
#     10    -6       1.6634536209E-005
#     10    -5       2.7136164278E-003
#     10    -4       2.4334214344E-004
#     10    -3       4.2916979733E-004
#     10    -2       3.9972625841E-004
#     10    -1       4.8689052617E-005
#     11    -7       1.0011159957E-003
#     11    -6       4.2272240370E-004
#     11    -5       1.8599749646E-004
#     11    -4       9.3312768801E-004
#     -7     1       4.3867141021E-003
#     -7     2       6.9772179042E-003
#     -7     3       2.3964399441E-003
#     -7     4       1.3265243649E-003
#     -7     5       4.4659356642E-003
#     -7     6       2.6444726323E-003
#     -6    -1       4.3867129504E-003
#     -6     0       5.9867975606E-003
#     -6     1       5.3896841962E-003
#     -6     2       3.0058937905E-004
#     -6     3       1.3839416619E-002
#     -6     4       2.0732329774E-004
#     -6     5       4.5689574324E-003
#     -6     6       1.2378335213E-003
#     -6     7       2.6445750042E-003
#     -5    -2       6.9772169127E-003
#     -5    -1       5.3898253688E-003
#     -5     0       4.9057509524E-003
#     -5     1       5.7054319412E-005
#     -5     2       4.0297547901E-004
#     -5     3       1.7078410812E-004
#     -5     4       2.1963264407E-003
#     -5     5       1.7239671649E-002
#     -5     6       4.5688029697E-003
#     -5     7       4.4658438638E-003
#     -4    -3       2.3964550918E-003
#     -4    -2       3.0049701396E-004
#     -4    -1       5.7053014786E-005
#     -4     0       3.3205905041E-002
#     -4     1       1.2582219567E-002
#     -4     2       4.3514474309E-003
#     -4     3       4.2419489965E-003
#     -4     4       1.9282585969E-002
#     -4     5       2.1962332845E-003
#     -4     6       2.0730385523E-004
#     -4     7       1.3263831974E-003
#     -3    -4       1.3265061368E-003
#     -3    -3       1.3839728117E-002
#     -3    -2       4.0292164351E-004
#     -3    -1       1.2582082257E-002
#     -3     0       1.1063264367E-002
#     -3     1       1.8974935609E-003
#     -3     2       1.9072575285E-003
#     -3     3       1.3116295903E-003
#     -3     4       4.2419085611E-003
#     -3     5       1.7080524124E-004
#     -3     6       1.3839456983E-002
#     -3     7       2.3963226357E-003
#     -2    -5       4.4659769441E-003
#     -2    -4       2.0726408686E-004
#     -2    -3       1.7083491630E-004
#     -2    -2       4.3514617214E-003
#     -2    -1       1.8975183562E-003
#     -2     0       5.8590332630E-003
#     -2     1       9.0219277642E-003
#     -2     2       3.7908843859E-003
#     -2     3       1.9072937617E-003
#     -2     4       4.3514707634E-003
#     -2     5       4.0299519670E-004
#     -2     6       3.0062121413E-004
#     -2     7       6.9768791674E-003
#     -1    -6       2.6445003433E-003
#     -1    -5       4.5688209664E-003
#     -1    -4       2.1963910043E-003
#     -1    -3       4.2419126791E-003
#     -1    -2       1.9072821577E-003
#     -1    -1       9.0219309839E-003
#     -1     0       1.7722675140E-002
#     -1     1       1.2571551031E-002
