 Diffraction intensities for potential:x6x6_03D10003.in                        
#    -54    14       9.0737762876E-006
#    -54    15       9.3095819372E-006
#    -54    16       7.3912397731E-006
#    -54    17       9.4793465356E-009
#    -54    18       7.8203471143E-005
#    -54    19       4.3861108779E-006
#    -54    20       2.2043131732E-005
#    -53     9       1.8369973203E-005
#    -53    10       2.3986656433E-006
#    -53    11       9.5159278205E-006
#    -53    12       3.9853037407E-006
#    -53    13       7.8594508146E-005
#    -53    14       4.9230053186E-006
#    -53    15       1.7781891780E-005
#    -53    16       1.1344073499E-005
#    -53    17       1.5591036780E-005
#    -53    18       5.4295750992E-006
#    -53    19       9.9672589481E-005
#    -53    20       7.9192112250E-006
#    -53    21       3.4674338971E-005
#    -53    22       3.4111109028E-006
#    -53    23       1.5680222443E-005
#    -53    24       8.0554295846E-007
#    -52     6       4.7969761016E-006
#    -52     7       1.2099451373E-006
#    -52     8       1.1637323764E-005
#    -52     9       2.6822767269E-006
#    -52    10       3.2772510039E-006
#    -52    11       4.2148652006E-006
#    -52    12       1.6151125807E-005
#    -52    13       9.5971809321E-006
#    -52    14       7.0016352688E-005
#    -52    15       1.0225665500E-005
#    -52    16       1.4360010543E-005
#    -52    17       1.6411963782E-005
#    -52    18       2.2888784800E-005
#    -52    19       9.5128670903E-006
#    -52    20       5.9663127846E-005
#    -52    21       9.9101481695E-006
#    -52    22       5.8212038032E-005
#    -52    23       3.9139904537E-006
#    -52    24       1.5106810253E-005
#    -52    25       5.3578822022E-007
#    -52    26       4.1009331826E-005
#    -51     3       2.9328250339E-005
#    -51     4       3.3421368306E-006
#    -51     5       1.6302303368E-005
#    -51     6       3.2080164183E-006
#    -51     7       8.9947438844E-006
#    -51     8       3.7078995103E-006
#    -51     9       5.0264717950E-005
#    -51    10       4.2533375150E-006
#    -51    11       2.3715655621E-005
#    -51    12       4.4661335505E-006
#    -51    13       2.4453255083E-005
#    -51    14       1.4158316213E-005
#    -51    15       7.2447168216E-005
#    -51    16       7.1881820464E-006
#    -51    17       3.2749315729E-005
#    -51    18       1.0811708920E-005
#    -51    19       2.7645295369E-005
#    -51    20       7.8189712697E-006
#    -51    21       8.2691576360E-005
#    -51    22       1.6141923951E-005
#    -51    23       3.7129432969E-005
#    -51    24       1.1582454827E-005
#    -51    25       2.6579980079E-005
#    -51    26       3.6464467413E-006
#    -51    27       5.2983678955E-005
#    -50     1       4.2755813095E-006
#    -50     2       8.0520243970E-006
#    -50     3       5.2991225053E-006
#    -50     4       2.2040517300E-005
#    -50     5       5.2361872279E-006
#    -50     6       1.0311878331E-005
#    -50     7       8.6111091182E-006
#    -50     8       2.1149853453E-005
#    -50     9       6.6851359235E-006
#    -50    10       5.6156638820E-005
#    -50    11       1.0431728321E-005
#    -50    12       3.4466282603E-005
#    -50    13       8.2232127457E-006
#    -50    14       4.3055607653E-005
#    -50    15       1.3745609426E-005
#    -50    16       1.3288364722E-004
#    -50    17       1.3373541846E-005
#    -50    18       3.5178393902E-005
#    -50    19       1.1395933116E-005
#    -50    20       3.4343761743E-005
#    -50    21       1.0341052273E-005
#    -50    22       1.5919425437E-004
#    -50    23       1.3347048740E-005
#    -50    24       3.6677809173E-005
#    -50    25       8.9406243095E-006
#    -50    26       2.7875338513E-005
#    -50    27       7.8493883304E-006
#    -50    28       5.5659138086E-005
#    -49    -1       1.1080238460E-005
#    -49     0       1.3550431351E-007
#    -49     1       6.0486909124E-006
#    -49     2       6.7338846187E-006
#    -49     3       1.6330889621E-005
#    -49     4       5.7210004391E-006
#    -49     5       3.2675760255E-005
#    -49     6       1.4151168120E-005
#    -49     7       1.8153718462E-005
#    -49     8       9.7360993785E-006
#    -49     9       2.8908806879E-005
#    -49    10       5.1034784364E-006
#    -49    11       8.2358301848E-005
#    -49    12       2.1785524764E-005
#    -49    13       3.2421794066E-005
#    -49    14       1.4690839876E-005
#    -49    15       4.8578465017E-005
#    -49    16       2.5239422046E-005
#    -49    17       9.8085293371E-005
#    -49    18       1.9004014906E-005
#    -49    19       5.8146476471E-005
#    -49    20       2.6624638151E-005
#    -49    21       3.4199495239E-005
#    -49    22       1.9454938150E-005
#    -49    23       1.3912970694E-004
#    -49    24       8.0286417114E-006
#    -49    25       4.3523197906E-005
#    -49    26       1.1101542224E-005
#    -49    27       3.4862341542E-005
#    -49    28       1.1492357596E-005
#    -49    29       4.9742382604E-005
#    -48    -3       4.4887368814E-006
#    -48    -2       1.0169897108E-005
#    -48    -1       2.5958996533E-006
#    -48     0       5.0338623828E-005
#    -48     1       8.1455058195E-006
#    -48     2       9.4554412115E-006
#    -48     3       5.8354853821E-006
#    -48     4       8.2370150633E-006
#    -48     5       6.3626412413E-006
#    -48     6       5.5866423635E-005
#    -48     7       5.0433238003E-006
#    -48     8       1.5226537828E-005
#    -48     9       1.4052415688E-005
#    -48    10       2.1273929020E-005
#    -48    11       8.9546657211E-006
#    -48    12       1.8214468854E-004
#    -48    13       1.0169401848E-005
#    -48    14       5.1862176016E-005
#    -48    15       1.4984793928E-005
#    -48    16       4.5625136598E-005
#    -48    17       1.6869813139E-005
#    -48    18       1.3608949096E-004
#    -48    19       1.8890260448E-005
#    -48    20       6.3131014530E-005
#    -48    21       2.2432501767E-005
#    -48    22       1.2661160565E-004
#    -48    23       2.7813690049E-005
#    -48    24       1.2487284748E-004
#    -48    25       3.1777589654E-005
#    -48    26       4.5126626990E-005
#    -48    27       1.0166470482E-005
#    -48    28       3.5339256019E-006
#    -48    29       2.3312505907E-006
#    -48    30       2.3229680929E-005
#    -47    -4       1.8691538420E-006
#    -47    -3       1.7108727447E-005
#    -47    -2       7.9131947401E-006
#    -47    -1       1.1571829702E-005
#    -47     0       8.3315984875E-006
#    -47     1       6.8888561283E-005
#    -47     2       5.0664652849E-006
#    -47     3       2.7040029365E-005
#    -47     4       3.8103800945E-006
#    -47     5       1.9346019642E-005
#    -47     6       9.5016572196E-006
#    -47     7       8.4764151829E-005
#    -47     8       7.6415570339E-006
#    -47     9       3.8107076759E-005
#    -47    10       1.1214187470E-005
#    -47    11       3.9177536958E-005
#    -47    12       1.5402139782E-005
#    -47    13       1.8480923981E-004
#    -47    14       2.1039539694E-005
#    -47    15       5.3139504596E-005
#    -47    16       2.2365216925E-005
#    -47    17       5.1745764084E-005
#    -47    18       2.1776637448E-005
#    -47    19       2.1529585919E-004
#    -47    20       1.5465964082E-005
#    -47    21       1.1246969258E-004
#    -47    22       1.9001220146E-005
#    -47    23       8.3104663751E-005
#    -47    24       1.9161736485E-005
#    -47    25       1.3540290885E-004
#    -47    26       1.1547442778E-005
#    -47    27       1.1832492675E-005
#    -47    28       1.0797073263E-005
#    -47    29       3.1295131729E-005
#    -47    30       3.0054943562E-006
#    -47    31       7.0913505747E-005
#    -46    -6       5.7178849399E-006
#    -46    -5       4.7488863470E-006
#    -46    -4       1.8748314082E-005
#    -46    -3       5.5964652018E-006
#    -46    -2       9.4562478239E-006
#    -46    -1       1.2180646189E-005
#    -46     0       1.3796532620E-005
#    -46     1       9.1752763080E-006
#    -46     2       4.8184580809E-005
#    -46     3       1.1521574613E-005
#    -46     4       1.4726236883E-005
#    -46     5       8.9885768020E-006
#    -46     6       2.3844657147E-005
#    -46     7       1.1354291605E-005
#    -46     8       8.7631644993E-005
#    -46     9       1.0426425156E-005
#    -46    10       2.4394715174E-005
#    -46    11       1.3418609635E-005
#    -46    12       4.6944266624E-005
#    -46    13       2.0331342082E-005
#    -46    14       1.3628449667E-004
#    -46    15       2.0420055110E-005
#    -46    16       5.1487922643E-005
#    -46    17       2.2979793456E-005
