 Diffraction intensities for potential:gv5x5_04D10005.in                       
#    -28    13       8.9799856541E-007
#    -28    14       3.4171072919E-006
#    -28    15       8.4458136983E-006
#    -27     7       8.3798342015E-006
#    -27     8       3.1626230326E-006
#    -27     9       8.3055289797E-006
#    -27    10       2.2630717455E-007
#    -27    11       5.7980134955E-007
#    -27    12       9.8215125955E-008
#    -27    13       3.0747096919E-006
#    -27    14       3.6615775322E-006
#    -27    15       1.3706135471E-007
#    -27    16       3.1751038236E-006
#    -27    17       8.7094412305E-007
#    -27    18       1.1524276343E-005
#    -27    19       2.2102746356E-007
#    -27    20       5.8650568061E-007
#    -26     4       8.7488083694E-007
#    -26     5       1.1012581082E-005
#    -26     6       9.7830787624E-006
#    -26     7       3.5680306358E-006
#    -26     8       2.0116892372E-005
#    -26     9       5.3191344980E-006
#    -26    10       3.3768010673E-006
#    -26    11       3.8421728919E-008
#    -26    12       4.5390680312E-006
#    -26    13       1.0255371465E-005
#    -26    14       3.3667062780E-006
#    -26    15       4.1501912847E-006
#    -26    16       2.3273453048E-006
#    -26    17       2.2773298980E-006
#    -26    18       1.0427737521E-005
#    -26    19       6.1325496614E-006
#    -26    20       7.7664644332E-006
#    -26    21       1.4377972551E-006
#    -26    22       1.4105445180E-006
#    -25     2       2.6215136626E-005
#    -25     3       7.8811932527E-006
#    -25     4       2.9789986054E-005
#    -25     5       7.6244381893E-004
#    -25     6       1.5995938084E-005
#    -25     7       1.2772947972E-005
#    -25     8       3.8306945582E-006
#    -25     9       3.2839529781E-005
#    -25    10       6.2833837087E-004
#    -25    11       6.8923808467E-007
#    -25    12       4.3284000120E-007
#    -25    13       3.3102138359E-006
#    -25    14       1.2707431220E-005
#    -25    15       2.9057750471E-004
#    -25    16       3.2009012771E-005
#    -25    17       8.7960025334E-007
#    -25    18       4.4510205770E-006
#    -25    19       1.0729765372E-006
#    -25    20       2.0834964346E-004
#    -25    21       1.5246663972E-005
#    -25    22       2.6583365182E-005
#    -25    23       1.0359839640E-005
#    -24     0       1.3852579899E-005
#    -24     1       3.5513624686E-005
#    -24     2       5.3851377478E-006
#    -24     3       2.7949750020E-005
#    -24     4       2.9180342263E-005
#    -24     5       2.6129145807E-005
#    -24     6       2.7022937795E-005
#    -24     7       1.8841668990E-006
#    -24     8       2.7347011890E-005
#    -24     9       5.4132482184E-006
#    -24    10       2.6613674730E-005
#    -24    11       3.0506733323E-005
#    -24    12       1.0689882376E-005
#    -24    13       2.6809845775E-006
#    -24    14       1.6757554340E-006
#    -24    15       1.4769468645E-005
#    -24    16       9.3358003883E-006
#    -24    17       7.4966816875E-006
#    -24    18       6.4539559821E-007
#    -24    19       3.1908177113E-006
#    -24    20       1.4020222046E-005
#    -24    21       1.2047241769E-005
#    -24    22       8.7916271719E-006
#    -24    23       4.2227319764E-006
#    -24    24       1.2723586477E-005
#    -23    -2       7.1891391677E-005
#    -23    -1       2.7404784358E-005
#    -23     0       2.4152706791E-005
#    -23     1       8.7315266342E-006
#    -23     2       4.4568461790E-005
#    -23     3       1.6526850675E-005
#    -23     4       2.7130473490E-005
#    -23     5       4.7872231328E-005
#    -23     6       7.4675925483E-006
#    -23     7       3.9941543962E-005
#    -23     8       7.9986605635E-007
#    -23     9       1.1884188975E-005
