 Diffraction intensities for potential:gv5x5_05D10001.in                       
#    -28    13       1.2798254925E-005
#    -28    14       2.0270654454E-005
#    -28    15       1.0735986861E-005
#    -27     7       1.6545716480E-005
#    -27     8       1.4785797700E-005
#    -27     9       8.1305864628E-006
#    -27    10       9.0020317797E-006
#    -27    11       5.7570338908E-006
#    -27    12       6.0658335502E-006
#    -27    13       4.4728761011E-005
#    -27    14       1.7200072917E-006
#    -27    15       4.4456513196E-005
#    -27    16       1.3447881984E-005
#    -27    17       3.5315414734E-005
#    -27    18       1.6133206594E-005
#    -27    19       1.5880926413E-005
#    -27    20       2.3876938686E-005
#    -26     4       6.9480243635E-005
#    -26     5       4.9273771208E-006
#    -26     6       7.0550509363E-005
#    -26     7       7.7743827894E-005
#    -26     8       3.1462883026E-005
#    -26     9       4.2337839098E-005
#    -26    10       4.2916495571E-005
#    -26    11       1.8648467602E-005
#    -26    12       3.9131053094E-005
#    -26    13       9.7357494558E-006
#    -26    14       4.4275004785E-005
#    -26    15       4.1404639906E-005
#    -26    16       3.4939794099E-005
#    -26    17       6.9128265554E-005
#    -26    18       2.7493771230E-007
#    -26    19       1.2612885516E-004
#    -26    20       5.9907454441E-006
#    -26    21       1.7902987286E-005
#    -26    22       9.9384772131E-006
#    -25     2       7.5565862402E-005
#    -25     3       3.6425742944E-005
#    -25     4       2.9958284330E-005
#    -25     5       3.7592516880E-004
#    -25     6       3.0484912451E-005
#    -25     7       2.0620887952E-005
#    -25     8       4.9235319754E-007
#    -25     9       3.4932105992E-006
#    -25    10       8.6685782158E-004
#    -25    11       3.5298972656E-005
#    -25    12       3.2384446106E-005
#    -25    13       3.3422370331E-005
#    -25    14       1.4243482696E-005
#    -25    15       4.6101505693E-004
#    -25    16       2.9771346308E-006
#    -25    17       1.9102594075E-005
#    -25    18       3.1392658624E-006
#    -25    19       2.8278028333E-006
#    -25    20       3.6797884933E-004
#    -25    21       2.7162223392E-006
#    -25    22       8.2636240850E-006
#    -25    23       1.6493365808E-005
#    -24     0       3.2824751395E-005
#    -24     1       9.0527966519E-005
#    -24     2       9.4904260143E-005
#    -24     3       5.1080022899E-005
#    -24     4       1.6035323951E-004
#    -24     5       8.1547075862E-005
#    -24     6       5.6075680405E-005
#    -24     7       7.7535012824E-005
#    -24     8       4.2052630990E-005
#    -24     9       1.5442299183E-005
#    -24    10       7.2613332833E-006
#    -24    11       7.7281807793E-005
#    -24    12       1.9835337568E-005
#    -24    13       9.0303732543E-005
#    -24    14       7.9791473549E-005
#    -24    15       4.4676361228E-005
#    -24    16       2.5710873079E-004
#    -24    17       2.5085071437E-006
#    -24    18       1.2656624567E-004
#    -24    19       2.0939255937E-006
#    -24    20       5.7098976001E-005
#    -24    21       1.9586314596E-005
#    -24    22       1.9156718194E-005
#    -24    23       3.6932902134E-005
#    -24    24       4.2228674719E-006
#    -23    -2       8.8756434992E-005
#    -23    -1       4.2064605305E-005
#    -23     0       9.0027205109E-005
#    -23     1       1.0701461944E-004
#    -23     2       5.6206142913E-005
#    -23     3       1.4859082253E-004
#    -23     4       2.1593827411E-005
#    -23     5       2.4953861835E-005
#    -23     6       4.7418206888E-005
#    -23     7       1.4329340259E-005
#    -23     8       8.5612774048E-005
#    -23     9       3.2175327286E-006
#    -23    10       1.8222203898E-004
#    -23    11       7.3457318619E-006
#    -23    12       1.5249976231E-004
#    -23    13       2.4645363832E-005
#    -23    14       5.4283950199E-005
#    -23    15       8.6181207919E-005
#    -23    16       4.0419775096E-005
#    -23    17       1.6837352867E-004
#    -23    18       3.8962296025E-005
#    -23    19       1.2598711590E-004
#    -23    20       9.5866941513E-005
#    -23    21       8.2189579145E-005
#    -23    22       6.7852688864E-005
#    -23    23       3.5964139093E-005
#    -23    24       4.6225810221E-005
#    -23    25       2.4937981194E-005
#    -22    -4       2.0924847240E-005
#    -22    -3       4.8282804914E-005
#    -22    -2       2.9325528443E-005
#    -22    -1       9.9378969537E-005
#    -22     0       1.4174153197E-004
#    -22     1       3.8669626187E-005
#    -22     2       2.4820573580E-004
#    -22     3       5.4349868029E-005
#    -22     4       2.3169585556E-004
#    -22     5       9.0601665328E-005
#    -22     6       3.2360066788E-005
#    -22     7       7.7695941688E-005
#    -22     8       1.3929904377E-005
#    -22     9       4.0244185018E-005
#    -22    10       5.7930167904E-005
#    -22    11       4.3594230526E-005
#    -22    12       7.9998834973E-005
#    -22    13       8.0508741453E-005
#    -22    14       8.7488383852E-005
#    -22    15       8.0503326672E-005
#    -22    16       4.1543037198E-005
#    -22    17       2.9287261293E-005
#    -22    18       2.7292946463E-005
#    -22    19       5.5566563751E-006
#    -22    20       1.3143647300E-005
#    -22    21       2.4886995076E-005
#    -22    22       2.6540923163E-006
#    -22    23       3.0512012386E-005
#    -22    24       7.3763757012E-007
#    -22    25       1.1911096525E-005
#    -22    26       2.3823604527E-006
#    -21    -5       2.5962394559E-006
#    -21    -4       4.4221808756E-005
#    -21    -3       5.7420759951E-005
#    -21    -2       1.4058165195E-004
#    -21    -1       8.1076988807E-005
#    -21     0       8.1867084614E-005
#    -21     1       1.6180882413E-004
#    -21     2       3.2693060183E-005
#    -21     3       1.0602950957E-004
#    -21     4       1.4899716316E-004
#    -21     5       1.9067196561E-005
#    -21     6       8.3101304202E-005
#    -21     7       1.8540396327E-005
#    -21     8       3.4222948016E-005
#    -21     9       6.1662339756E-005
#    -21    10       1.5501422503E-005
#    -21    11       8.9829116480E-005
#    -21    12       8.7850229203E-005
#    -21    13       2.5156217019E-005
#    -21    14       1.2889972966E-004
#    -21    15       2.2929067776E-005
#    -21    16       9.3251866776E-005
#    -21    17       2.2525443252E-005
#    -21    18       1.0098485546E-004
#    -21    19       1.4530578865E-005
#    -21    20       4.7663438184E-005
#    -21    21       6.0425609510E-005
#    -21    22       3.1000022936E-005
#    -21    23       2.3029363509E-005
#    -21    24       5.0736559916E-005
#    -21    25       8.6238336681E-006
#    -21    26       3.1811819506E-006
#    -20    -7       1.6905745169E-005
#    -20    -6       2.5652087467E-005
#    -20    -5       3.3765443255E-004
#    -20    -4       1.1601059640E-005
#    -20    -3       1.6160055942E-004
#    -20    -2       8.8874275367E-005
#    -20    -1       8.7494712018E-005
#    -20     0       5.5258375787E-003
#    -20     1       3.5466281666E-006
#    -20     2       2.0289779611E-004
#    -20     3       1.9460082190E-004
#    -20     4       3.6352279765E-006
#    -20     5       9.3196285543E-003
#    -20     6       1.4149503211E-004
#    -20     7       7.2513684195E-005
#    -20     8       3.6539813942E-004
#    -20     9       9.6282855270E-005
#    -20    10       7.2817812765E-003
#    -20    11       2.2463577321E-004
#    -20    12       1.2530263171E-004
#    -20    13       2.2090485632E-004
#    -20    14       5.6234748709E-005
#    -20    15       7.9838266876E-003
#    -20    16       3.5971765959E-005
#    -20    17       5.7222312386E-005
#    -20    18       9.5167025460E-005
#    -20    19       3.1555055257E-005
#    -20    20       3.1264404853E-003
#    -20    21       3.1186996352E-005
#    -20    22       1.2919840211E-004
#    -20    23       5.5009428586E-005
#    -20    24       6.9024217369E-005
#    -20    25       3.2300090874E-004
#    -20    26       2.1277099682E-005
#    -20    27       8.8295953229E-006
#    -19    -8       1.6190581591E-005
#    -19    -7       3.4546509981E-005
#    -19    -6       1.0052857852E-004
#    -19    -5       2.8196329130E-005
#    -19    -4       9.7023660778E-005
#    -19    -3       6.4097516863E-005
#    -19    -2       6.7274085833E-005
#    -19    -1       1.8614300853E-004
#    -19     0       5.8042514228E-006
#    -19     1       3.5992463502E-004
#    -19     2       5.8936832805E-005
#    -19     3       1.3267984205E-004
#    -19     4       1.2761011446E-004
#    -19     5       1.8722280108E-005
#    -19     6       9.5982703626E-005
#    -19     7       3.1169416007E-005
#    -19     8       1.4735882551E-005
#    -19     9       2.5024201129E-005
#    -19    10       2.3538806628E-005
#    -19    11       1.9175745181E-005
#    -19    12       3.0798621597E-005
#    -19    13       8.1458355824E-005
#    -19    14       1.1224661877E-004
#    -19    15       5.8873277987E-005
#    -19    16       1.2884697401E-004
#    -19    17       1.8493044383E-005
#    -19    18       7.0209817489E-005
#    -19    19       5.7169103768E-005
#    -19    20       2.7182737638E-005
#    -19    21       2.1587227870E-005
#    -19    22       3.2787288312E-005
#    -19    23       7.3639879457E-006
#    -19    24       2.6744168896E-005
#    -19    25       1.2493320669E-006
#    -19    26       8.4669425143E-006
#    -19    27       1.1229067005E-006
#    -18    -9       6.7471322828E-006
#    -18    -8       1.6729444069E-005
#    -18    -7       2.7588051830E-005
#    -18    -6       3.2327833627E-007
#    -18    -5       5.9730284729E-005
#    -18    -4       3.0194331437E-005
#    -18    -3       5.6266600892E-005
#    -18    -2       1.2520735658E-004
#    -18    -1       4.3767406924E-005
#    -18     0       3.0262644247E-004
#    -18     1       3.2940773118E-004
#    -18     2       5.5947442133E-005
#    -18     3       3.4751014614E-004
#    -18     4       9.6849825859E-005
#    -18     5       1.6346001762E-005
#    -18     6       1.9906972397E-004
#    -18     7       2.9757122281E-004
#    -18     8       2.2871551604E-005
#    -18     9       5.0519612122E-004
#    -18    10       1.1080632337E-004
#    -18    11       2.3169600188E-004
#    -18    12       2.6481200758E-004
#    -18    13       3.8731057208E-005
#    -18    14       1.2409718795E-004
#    -18    15       6.0816733052E-005
#    -18    16       2.1971129629E-005
#    -18    17       1.3176252032E-004
#    -18    18       1.8132153788E-005
#    -18    19       1.2672438678E-004
#    -18    20       1.9113976293E-006
#    -18    21       5.4140679749E-005
#    -18    22       1.9964567596E-005
#    -18    23       2.5573090617E-005
#    -18    24       1.4057423760E-005
#    -18    25       4.0087094808E-005
#    -18    26       3.4604413506E-006
#    -18    27       1.0751595607E-005
#    -17   -10       2.7699462191E-006
#    -17    -9       2.6720870540E-005
#    -17    -8       2.4359822020E-005
#    -17    -7       2.2653399059E-005
#    -17    -6       1.3545344973E-004
#    -17    -5       1.0409611022E-005
#    -17    -4       1.8208593401E-004
#    -17    -3       2.0753164643E-004
#    -17    -2       4.5015919360E-005
#    -17    -1       2.3663807724E-004
#    -17     0       1.0722213633E-004
#    -17     1       6.1353570910E-005
#    -17     2       4.6879941058E-004
#    -17     3       2.1561028956E-005
#    -17     4       5.7421162656E-004
#    -17     5       7.6765554571E-005
#    -17     6       2.9024039292E-004
#    -17     7       1.7722370680E-004
#    -17     8       6.1485872967E-005
#    -17     9       2.7178870596E-004
#    -17    10       1.1132295226E-005
#    -17    11       2.3960718370E-004
#    -17    12       8.9118933103E-005
#    -17    13       1.2351328295E-004
#    -17    14       5.9829805327E-005
#    -17    15       6.5475803071E-005
#    -17    16       7.3344199485E-006
#    -17    17       2.3407236350E-005
#    -17    18       1.1541536650E-004
#    -17    19       2.3688366949E-005
#    -17    20       1.7833160665E-004
#    -17    21       8.4672474830E-005
#    -17    22       8.1976042326E-005
#    -17    23       6.9921452790E-005
#    -17    24       3.2926041355E-005
#    -17    25       4.9678886166E-005
#    -17    26       1.7516401598E-005
#    -17    27       4.7074208522E-006
#    -16   -11       6.2280978264E-006
#    -16   -10       1.6641963360E-005
#    -16    -9       2.6243159998E-005
#    -16    -8       7.1811295184E-006
#    -16    -7       1.6777028892E-005
#    -16    -6       6.4227216958E-006
#    -16    -5       3.5489155323E-005
#    -16    -4       3.9000448146E-005
#    -16    -3       4.0157935305E-006
#    -16    -2       1.2301226902E-004
#    -16    -1       4.0269560144E-005
#    -16     0       7.1467273248E-005
#    -16     1       7.1351418310E-005
#    -16     2       1.1630919791E-004
#    -16     3       7.6721069201E-006
#    -16     4       1.2327260504E-004
#    -16     5       1.1599459279E-004
#    -16     6       6.6718612731E-006
#    -16     7       1.1003375237E-004
#    -16     8       7.3086021107E-005
#    -16     9       6.4999477475E-005
#    -16    10       2.1395085282E-005
#    -16    11       1.1202527463E-004
#    -16    12       3.0034867491E-005
#    -16    13       6.6214902784E-005
#    -16    14       1.2083687257E-004
#    -16    15       4.0611485857E-005
#    -16    16       2.0944959208E-004
#    -16    17       9.5294097974E-005
#    -16    18       1.0790541248E-004
#    -16    19       5.1928734411E-005
#    -16    20       4.2399934393E-005
#    -16    21       2.2802194088E-005
#    -16    22       3.0082564735E-005
#    -16    23       2.8475140206E-005
#    -16    24       3.6626632273E-006
#    -16    25       4.2379859386E-005
#    -16    26       1.4268762347E-006
#    -16    27       1.0389931209E-005
#    -15   -13       3.2389807014E-005
#    -15   -12       4.4197698321E-005
#    -15   -11       1.7107055627E-005
#    -15   -10       8.2468528574E-004
#    -15    -9       3.8472645428E-005
#    -15    -8       1.1562110185E-005
#    -15    -7       2.1972364201E-006
#    -15    -6       1.0488108215E-005
#    -15    -5       1.0616698713E-002
#    -15    -4       2.3463673989E-005
#    -15    -3       2.4333613723E-004
#    -15    -2       2.0877622914E-004
#    -15    -1       9.0640334690E-005
#    -15     0       3.7894324567E-002
#    -15     1       8.1627526437E-006
#    -15     2       5.1360034219E-004
#    -15     3       2.8167017090E-004
#    -15     4       9.5301695870E-005
#    -15     5       1.2269101939E-002
#    -15     6       1.0435158543E-004
#    -15     7       3.8559356558E-004
#    -15     8       5.6832787294E-004
#    -15     9       3.7179868560E-005
#    -15    10       1.0633657367E-002
#    -15    11       1.4523449872E-004
#    -15    12       3.4739533436E-004
#    -15    13       3.9165289272E-004
#    -15    14       4.5121796304E-005
#    -15    15       2.4007987633E-002
#    -15    16       6.1975317286E-005
#    -15    17       1.3883406869E-005
#    -15    18       1.0498199475E-004
#    -15    19       6.6355465174E-006
#    -15    20       7.0215231211E-003
#    -15    21       3.1354937726E-005
#    -15    22       6.9508560140E-006
#    -15    23       1.9411791855E-005
#    -15    24       7.2084209582E-006
#    -15    25       4.4468652368E-004
#    -15    26       1.0793968874E-005
#    -15    27       1.5349363473E-005
#    -15    28       7.2044538561E-006
#    -14   -14       1.9774349282E-005
#    -14   -13       1.0811714231E-006
#    -14   -12       1.8732229318E-005
#    -14   -11       3.5250584675E-006
#    -14   -10       2.9827447197E-005
#    -14    -9       3.2731276315E-005
#    -14    -8       7.4660760093E-005
#    -14    -7       1.5961716397E-005
#    -14    -6       1.0350112839E-005
#    -14    -5       1.8339778483E-005
#    -14    -4       7.1389989517E-006
#    -14    -3       8.3390064534E-005
#    -14    -2       8.6381344182E-006
#    -14    -1       2.4966348032E-004
#    -14     0       1.4792402337E-006
#    -14     1       2.2102722348E-004
#    -14     2       1.5307968370E-005
#    -14     3       8.8751589305E-005
#    -14     4       2.9660629642E-005
#    -14     5       4.4163646221E-005
#    -14     6       7.9170885070E-005
#    -14     7       9.0514540285E-005
#    -14     8       2.1248048586E-005
#    -14     9       4.7591251868E-005
#    -14    10       3.2496762819E-005
#    -14    11       1.1785620148E-005
#    -14    12       2.4622105805E-005
#    -14    13       7.3816931305E-005
#    -14    14       7.0320964306E-006
#    -14    15       7.3095481580E-005
#    -14    16       2.3450972325E-005
#    -14    17       9.9827459257E-005
#    -14    18       3.0897083979E-005
#    -14    19       1.6195597751E-004
#    -14    20       1.9155689720E-005
#    -14    21       9.4837442442E-005
#    -14    22       1.0991067188E-005
#    -14    23       4.6382138164E-005
#    -14    24       4.8875999516E-006
#    -14    25       3.4022851281E-005
#    -14    26       1.4481060238E-006
#    -14    27       1.1406451825E-005
#    -14    28       1.5089655777E-005
#    -13   -15       3.3509237946E-005
#    -13   -14       1.1346638596E-005
#    -13   -13       9.5040609278E-006
#    -13   -12       7.2803202102E-006
#    -13   -11       1.6906981602E-005
#    -13   -10       5.7890594299E-006
#    -13    -9       3.9635377712E-005
#    -13    -8       3.2876029521E-006
#    -13    -7       2.1705236600E-005
#    -13    -6       3.9356259871E-005
#    -13    -5       1.7026458012E-005
#    -13    -4       6.1674857563E-005
#    -13    -3       2.5724392135E-005
#    -13    -2       1.3307319144E-004
#    -13    -1       2.2109283127E-004
#    -13     0       1.6253108571E-004
#    -13     1       6.6770815684E-004
#    -13     2       6.2351800970E-005
#    -13     3       7.0431412931E-004
#    -13     4       6.3101061292E-005
#    -13     5       1.8655355650E-004
#    -13     6       1.7757680936E-004
#    -13     7       8.5927544399E-005
#    -13     8       5.7628881962E-005
#    -13     9       3.0636742444E-004
#    -13    10       5.8311886604E-005
#    -13    11       2.4232522545E-004
#    -13    12       2.6469246185E-004
#    -13    13       8.0956326326E-005
#    -13    14       3.1225971811E-004
#    -13    15       1.6068774486E-004
#    -13    16       1.1553356373E-004
