 Diffraction intensities for potential:pot10002.in                             
#     -4     2       2.2951677490E-002
#     -3     0       3.3297739809E-013
#     -3     1       2.9772804613E-002
#     -3     2       5.8847603773E-013
#     -3     3       5.2926561365E-002
#     -2    -2       4.7156018021E-003
#     -2    -1       7.8152479093E-013
#     -2     0       1.2033555167E-002
#     -2     1       2.7796105851E-012
#     -2     2       1.7579784732E-001
#     -2     3       6.8795160795E-013
#     -2     4       2.2951664065E-002
#     -1    -2       6.3559912857E-013
#     -1    -1       1.7324856221E-002
#     -1     0       2.6944181420E-012
#     -1     1       9.9437922612E-002
#     -1     2       2.9461205158E-012
#     -1     3       2.9772862494E-002
#      0    -3       1.9820345035E-013
#      0    -2       8.0655198669E-005
#      0    -1       2.2921630503E-012
#      0     0       1.1282260028E-001
#      0     1       2.7796068014E-012
#      0     2       1.2033551395E-002
#      0     3       2.5354492655E-013
#      1    -3       5.6434572783E-003
#      1    -2       2.5796085297E-012
#      1    -1       1.0072511193E-001
#      1     0       3.0800604650E-012
#      1     1       1.7324896007E-002
#      1     2       5.5965763195E-013
#      2    -4       2.5730165066E-002
#      2    -3       6.4428002383E-013
#      2    -2       1.6602819681E-001
#      2    -1       2.8006089407E-012
#      2     0       8.0661637614E-005
#      2     1       5.7436775608E-013
#      2     2       4.7155950362E-003
#      3    -3       5.5756190183E-002
#      3    -2       6.7404684949E-013
#      3    -1       5.6434680625E-003
#      3     0       1.5579599483E-013
#      4    -2       2.5730184706E-002
#     -6     0       4.6384541602E-003
#     -6     1       5.8563529525E-014
#     -6     2       7.4043040188E-002
#     -6     3       2.7062351261E-015
#     -5    -1       1.9166374978E-002
#     -5     0       8.0990098292E-014
#     -5     1       5.5286829019E-002
#     -5     2       1.1982394900E-013
#     -5     3       8.9933655212E-002
#     -5     4       3.3194768435E-014
#     -4    -2       1.7072368494E-003
#     -4    -1       1.1243773061E-013
#     -4     0       1.4381476811E-003
#     -4     1       8.0884003358E-014
#     -4     2       7.2425675760E-002
#     -4     3       4.7865323643E-014
#     -4     4       1.2222120934E-001
#     -3    -3       1.3724135269E-003
#     -3    -2       1.9780085164E-013
#     -3    -1       3.7578518228E-002
#     -3     0       4.0472285333E-013
#     -3     1       4.9277135261E-002
#     -3     2       3.2970895527E-013
#     -3     3       1.1987362803E-001
#     -2    -3       1.0135743255E-013
#     -2    -2       1.3032426050E-002
#     -2    -1       5.4203863784E-013
#     -2     0       2.4154118637E-002
#     -2     1       5.8741788973E-013
#     -2     2       7.7890716973E-002
#     -2     3       1.0437326423E-013
#     -1    -4       4.4108999708E-014
#     -1    -3       1.1561278225E-002
#     -1    -2       1.1382366416E-013
#     -1    -1       3.2971146252E-002
#     -1     0       5.4701695767E-013
#     -1     1       1.3703790471E-002
#     -1     2       1.5226270800E-013
#      0    -4       1.6834847891E-002
#      0    -3       6.8138774871E-014
#      0    -2       4.0347444752E-003
#      0    -1       1.9593469426E-013
#      0     0       4.8968941601E-002
#      0     1       7.3001178709E-014
#      1    -3       2.5197043064E-002
#      1    -2       2.3875318779E-014
#      1    -1       8.2689325851E-002
#      1     0       1.9783219393E-014
