 Diffraction intensities for potential:_6x6_07D10010.in                        
#    -54    14       6.3032980450E-007
#    -54    15       6.9202926599E-006
#    -54    16       2.7737460072E-006
#    -54    17       1.2734911820E-006
#    -54    18       1.7795941210E-005
#    -54    19       2.4714036024E-006
#    -54    20       6.0913950416E-007
#    -53     9       1.1165447772E-006
#    -53    10       1.4254556966E-007
#    -53    11       8.2178566753E-007
#    -53    12       1.1979875727E-007
#    -53    13       5.0001299992E-007
#    -53    14       3.2400047545E-006
#    -53    15       3.0391044977E-006
#    -53    16       7.7180306710E-007
#    -53    17       1.5340755884E-006
#    -53    18       7.8691995554E-007
#    -53    19       9.9682283667E-007
#    -53    20       4.2506091069E-006
#    -53    21       4.8908181692E-006
#    -53    22       4.3365503945E-007
#    -53    23       1.8453026319E-006
#    -53    24       4.7283775318E-007
#    -52     6       2.1079100874E-007
#    -52     7       4.0073615152E-008
#    -52     8       4.1139678336E-007
#    -52     9       7.0838496488E-007
#    -52    10       8.1339322156E-007
#    -52    11       1.4238120322E-006
#    -52    12       2.7399565183E-008
#    -52    13       4.4259086811E-008
#    -52    14       3.1623917330E-007
#    -52    15       2.0556018425E-006
#    -52    16       1.4705471284E-006
#    -52    17       1.7204499711E-006
#    -52    18       4.1550553774E-007
#    -52    19       6.0703686128E-008
#    -52    20       1.1289025309E-007
#    -52    21       8.3468674031E-007
#    -52    22       1.5132260756E-006
#    -52    23       5.8176465898E-007
#    -52    24       3.6188272236E-007
#    -52    25       3.4287653367E-009
#    -52    26       2.8459162688E-007
#    -51     3       4.7981700465E-008
#    -51     4       6.7804697316E-007
#    -51     5       1.8188580554E-006
#    -51     6       1.1950782029E-006
#    -51     7       6.6433210035E-007
#    -51     8       4.5021259924E-006
#    -51     9       3.7594500749E-007
#    -51    10       1.8505245232E-006
#    -51    11       7.8810996099E-006
#    -51    12       2.2517728272E-006
#    -51    13       1.3703367353E-006
#    -51    14       1.8820917043E-005
#    -51    15       1.3659916028E-006
#    -51    16       1.1711174026E-005
#    -51    17       2.2971389718E-005
#    -51    18       3.5224859516E-006
#    -51    19       2.1234256125E-006
#    -51    20       1.7592066939E-005
#    -51    21       1.7160422357E-006
#    -51    22       4.5784035283E-006
#    -51    23       7.7568867611E-006
#    -51    24       1.1259571618E-006
#    -51    25       1.7623292394E-006
#    -51    26       4.6350120433E-006
#    -51    27       4.6700872425E-007
#    -50     1       3.7173337441E-007
#    -50     2       1.1572368627E-007
#    -50     3       1.4926530863E-007
#    -50     4       5.9418903731E-007
#    -50     5       5.7660843194E-007
#    -50     6       2.7564657004E-006
#    -50     7       2.2032170825E-006
#    -50     8       5.0510900544E-007
#    -50     9       4.9539579855E-007
#    -50    10       2.3471461770E-006
#    -50    11       1.0980172678E-006
#    -50    12       5.5626855666E-006
#    -50    13       9.1946544060E-006
#    -50    14       1.4297186890E-006
#    -50    15       2.1867200516E-006
#    -50    16       5.1815748026E-006
#    -50    17       1.6082831469E-006
#    -50    18       6.6158432740E-006
#    -50    19       7.8027413794E-006
#    -50    20       1.3180441025E-006
#    -50    21       5.4280083943E-007
#    -50    22       1.4039087524E-006
#    -50    23       5.1926788542E-007
#    -50    24       2.5292698034E-006
#    -50    25       2.1205286745E-006
#    -50    26       6.8022693047E-007
#    -50    27       5.9842262681E-007
#    -50    28       5.5911821537E-007
#    -49    -1       5.2891072719E-007
#    -49     0       2.3393365572E-008
#    -49     1       2.4870199961E-008
#    -49     2       1.9087845197E-008
#    -49     3       1.1995088447E-006
#    -49     4       2.8728600368E-006
