 Diffraction intensities for potential:2x2unpristine10001.in                   
#    -18     5       2.0259662599E-006
#    -18     6       1.3533655022E-006
#    -17     1       2.6290373596E-006
#    -17     2       1.5791039343E-006
#    -17     3       3.1187661617E-006
#    -17     4       3.3083476506E-006
#    -17     5       1.3291201867E-005
#    -17     6       3.3674830043E-005
#    -17     7       5.3359741679E-005
#    -17     8       2.9542194179E-005
#    -17     9       9.6817646862E-006
#    -16    -1       1.9681743680E-006
#    -16     0       4.6540710560E-006
#    -16     1       8.1523509962E-006
#    -16     2       1.6730647263E-005
#    -16     3       4.0771976895E-005
#    -16     4       4.4620195033E-005
#    -16     5       4.2135031930E-005
#    -16     6       5.4253007079E-005
#    -16     7       5.1299287643E-005
#    -16     8       1.7815309190E-004
#    -16     9       9.6570390722E-005
#    -16    10       3.3936110624E-005
#    -15    -2       1.7852666410E-006
#    -15    -1       3.6275061819E-006
#    -15     0       2.5485733669E-005
#    -15     1       2.2346625862E-005
#    -15     2       5.7784584183E-005
#    -15     3       6.3600010251E-005
#    -15     4       1.7461575474E-004
#    -15     5       2.4725746492E-004
#    -15     6       3.2749895620E-004
#    -15     7       2.7876117515E-004
#    -15     8       9.7803749178E-005
#    -15     9       2.9963556078E-005
#    -15    10       8.4519644188E-006
#    -14    -3       3.1095168784E-006
#    -14    -2       1.0133731338E-005
#    -14    -1       3.3312814523E-005
#    -14     0       7.1308008719E-005
#    -14     1       1.8049227227E-004
#    -14     2       3.2325161265E-004
#    -14     3       3.2317867330E-004
#    -14     4       3.5680850438E-004
#    -14     5       2.6955253376E-004
#    -14     6       4.6731594597E-004
#    -14     7       6.7707902909E-004
#    -14     8       1.0754577349E-003
#    -14     9       7.5424459853E-004
#    -14    10       3.2204991754E-004
#    -14    11       6.7483632184E-005
#    -13    -5       1.6990627972E-006
#    -13    -4       4.6032320993E-006
#    -13    -3       2.7460909637E-005
#    -13    -2       5.7015639883E-005
#    -13    -1       1.4764415486E-004
#    -13     0       1.6503616682E-004
#    -13     1       4.1724415536E-004
#    -13     2       3.5306521760E-004
#    -13     3       7.9021698956E-004
#    -13     4       5.5514621407E-004
#    -13     5       1.0137027708E-003
#    -13     6       9.1340295962E-004
#    -13     7       4.3325109667E-004
#    -13     8       7.1727843021E-005
#    -13     9       3.7776284759E-005
#    -13    10       1.7742555044E-004
#    -13    11       2.1158402340E-005
#    -12    -6       1.8177274529E-006
#    -12    -5       4.2640855048E-006
#    -12    -4       3.2934216053E-005
#    -12    -3       4.6171513570E-005
#    -12    -2       3.6257363905E-004
#    -12    -1       3.7475210347E-004
#    -12     0       1.3408390289E-003
#    -12     1       5.8618540833E-004
#    -12     2       1.2616127142E-003
#    -12     3       5.0277009032E-004
#    -12     4       1.2456112420E-003
#    -12     5       4.7688475398E-004
#    -12     6       2.6260123299E-003
#    -12     7       1.8500283314E-003
#    -12     8       2.3429334917E-003
#    -12     9       1.5185712813E-003
#    -12    10       7.6810350551E-004
#    -12    11       2.5064732820E-005
#    -11    -6       1.3643692676E-005
#    -11    -5       5.8291503391E-005
#    -11    -4       1.0689498189E-004
#    -11    -3       4.0601315215E-004
#    -11    -2       2.6201967816E-004
#    -11    -1       8.2252373946E-004
#    -11     0       3.8039513694E-004
#    -11     1       1.8139576771E-003
#    -11     2       4.8329606564E-004
#    -11     3       1.1006166681E-003
#    -11     4       8.3236581878E-004
#    -11     5       1.1574846323E-003
#    -11     6       1.7473499993E-003
#    -11     7       3.2077054885E-004
#    -11     8       6.8831871755E-005
#    -11     9       2.5135091048E-004
#    -11    10       2.1043337287E-004
#    -11    11       1.8240911542E-005
#    -10    -7       2.9630488492E-005
#    -10    -6       5.2301390172E-005
#    -10    -5       1.2060800641E-004
#    -10    -4       5.3574757593E-004
#    -10    -3       6.0976837914E-004
#    -10    -2       1.6886554545E-003
#    -10    -1       1.2771177637E-003
#    -10     0       1.0394681183E-003
#    -10     1       6.4801659715E-004
#    -10     2       3.4668353935E-003
#    -10     3       1.0497333723E-003
#    -10     4       2.5552626687E-003
#    -10     5       1.4874993761E-003
#    -10     6       2.6316621779E-003
#    -10     7       3.7172754071E-003
#    -10     8       4.1206829779E-003
#    -10     9       2.6750124960E-003
#    -10    10       7.9186331860E-004
#     -9    -8       1.6067787529E-005
#     -9    -7       2.7802733683E-005
#     -9    -6       2.7792698102E-004
#     -9    -5       3.5809104563E-004
#     -9    -4       5.4920727866E-004
#     -9    -3       5.6871606952E-004
#     -9    -2       6.7973633580E-004
#     -9    -1       9.1977451988E-004
#     -9     0       1.3782871885E-003
#     -9     1       1.6610367149E-004
#     -9     2       1.3631995431E-003
#     -9     3       1.4504022218E-004
#     -9     4       1.4197144364E-003
#     -9     5       1.5665022150E-003
#     -9     6       1.1300105151E-003
#     -9     7       1.0516213813E-004
#     -9     8       6.1450506322E-004
#     -9     9       2.0092132844E-003
#     -9    10       1.0077153333E-005
#     -8    -9       1.9492501620E-005
#     -8    -8       5.3612249364E-005
#     -8    -7       1.8305239913E-004
#     -8    -6       3.5576463654E-004
#     -8    -5       9.2166300878E-004
#     -8    -4       1.0541582892E-003
#     -8    -3       1.7319788427E-003
#     -8    -2       2.1721800642E-003
#     -8    -1       5.4673057061E-004
#     -8     0       1.0134044457E-002
#     -8     1       1.9730492395E-003
#     -8     2       1.1642595408E-002
#     -8     3       1.0978728666E-003
#     -8     4       1.2671023943E-002
#     -8     5       4.0000233704E-003
#     -8     6       1.6735968363E-003
#     -8     7       7.9132719659E-003
#     -8     8       1.7090821434E-003
#     -8     9       2.0522097488E-003
#     -8    10       4.3276374558E-004
#     -7    -9       2.6847076465E-005
#     -7    -8       1.6164671499E-004
#     -7    -7       3.2620386139E-004
#     -7    -6       1.0549452449E-003
#     -7    -5       3.2920956217E-004
#     -7    -4       8.1952063689E-004
#     -7    -3       7.1814110473E-004
#     -7    -2       1.6543639625E-003
#     -7    -1       6.8765821306E-004
#     -7     0       3.4544562477E-003
#     -7     1       1.4291426966E-003
#     -7     2       1.4713301996E-003
#     -7     3       8.4608225713E-005
#     -7     4       1.5465941149E-003
#     -7     5       1.4831721046E-003
#     -7     6       2.1772802418E-003
#     -7     7       4.6066733425E-005
#     -7     8       3.1077470785E-003
#     -7     9       5.0806499278E-003
#     -6   -10       2.9199039670E-005
#     -6    -9       6.1674965531E-005
#     -6    -8       4.5783724032E-004
#     -6    -7       3.0789393016E-004
#     -6    -6       1.7650051802E-003
#     -6    -5       1.8540812957E-003
#     -6    -4       1.9678161759E-003
#     -6    -3       5.0689190203E-004
#     -6    -2       1.1050223045E-002
#     -6    -1       2.2181177366E-004
#     -6     0       3.5801844325E-002
#     -6     1       9.2031297922E-004
#     -6     2       2.1817310210E-002
#     -6     3       1.7109147748E-003
#     -6     4       1.8824473669E-002
#     -6     5       8.0952367900E-003
#     -6     6       1.0960615342E-002
#     -6     7       2.2770416582E-003
#     -6     8       4.0800046977E-003
#     -6     9       4.8909489612E-003
#     -5   -10       5.3129705789E-006
#     -5    -9       3.5916413244E-004
#     -5    -8       2.5654157701E-004
#     -5    -7       1.3423300698E-003
#     -5    -6       1.1039014346E-003
#     -5    -5       8.1890416495E-004
#     -5    -4       1.0850957529E-003
#     -5    -3       9.8384766155E-005
#     -5    -2       1.4404865100E-003
#     -5    -1       6.7911747521E-005
#     -5     0       2.6507348801E-003
#     -5     1       9.3460856789E-004
#     -5     2       2.2399968684E-004
#     -5     3       3.9838133319E-003
#     -5     4       7.5093915956E-004
#     -5     5       1.7289947475E-003
#     -5     6       6.9412444100E-004
#     -5     7       6.7233011314E-004
#     -5     8       1.8159212514E-002
#     -4   -10       2.1094563654E-004
#     -4    -9       3.0635493367E-005
#     -4    -8       1.6511527802E-003
#     -4    -7       7.4717618034E-004
#     -4    -6       3.7398196936E-003
#     -4    -5       3.0448391921E-003
#     -4    -4       7.5952448607E-003
#     -4    -3       6.5322112401E-005
#     -4    -2       1.8248920205E-002
#     -4    -1       1.7436792049E-004
#     -4     0       3.0721483619E-002
#     -4     1       3.6765001351E-003
#     -4     2       1.5020915295E-002
#     -4     3       9.9306678583E-004
#     -4     4       1.1541719238E-002
#     -4     5       2.2653856723E-003
#     -4     6       1.5683102899E-002
#     -4     7       1.0472177855E-002
#     -3   -11       3.3963107128E-005
#     -3   -10       2.5424606041E-005
#     -3    -9       1.1256929300E-003
#     -3    -8       3.0119888134E-005
#     -3    -7       3.8210247468E-003
#     -3    -6       5.8103835400E-004
#     -3    -5       2.9183562788E-003
#     -3    -4       1.2827185944E-003
#     -3    -3       2.7300401107E-003
#     -3    -2       1.6182405791E-003
#     -3    -1       8.0264873697E-003
#     -3     0       2.5490413892E-003
#     -3     1       1.4811730676E-003
#     -3     2       7.1141720591E-004
#     -3     3       2.2615764580E-003
#     -3     4       4.9300833085E-003
#     -3     5       4.5308855560E-003
#     -3     6       1.6205173140E-002
#     -3     7       4.1630830152E-004
#     -2   -11       3.1109152425E-005
#     -2   -10       4.8411822402E-004
#     -2    -9       2.7445810231E-005
#     -2    -8       4.4512888085E-003
#     -2    -7       6.6904134588E-004
#     -2    -6       3.6803084632E-003
#     -2    -5       2.5472395441E-003
#     -2    -4       1.5984594506E-002
#     -2    -3       4.4818341635E-003
#     -2    -2       1.3270542917E-002
#     -2    -1       5.2943777013E-004
#     -2     0       6.1087119469E-003
#     -2     1       9.1656954140E-004
#     -2     2       8.5342369798E-003
#     -2     3       3.3172214646E-003
#     -2     4       2.5772400213E-002
#     -2     5       5.9844013493E-003
#     -2     6       3.6281395151E-003
#     -1   -11       9.2468046147E-005
#     -1   -10       1.1820776608E-004
#     -1    -9       1.7513843793E-003
#     -1    -8       9.3774877485E-004
#     -1    -7       4.6314714567E-003
#     -1    -6       7.9818888377E-004
#     -1    -5       8.3588872642E-003
#     -1    -4       3.2668606191E-003
#     -1    -3       2.5076623623E-003
#     -1    -2       1.9152132544E-004
#     -1    -1       2.8511967673E-003
#     -1     0       7.4640130373E-004
#     -1     1       9.0148285356E-003
#     -1     2       3.9503497279E-003
#     -1     3       5.0381673112E-003
#     -1     4       4.1531385765E-005
#     -1     5       1.2131397647E-002
#      0   -11       2.1653492672E-005
#      0   -10       4.7476333590E-004
#      0    -9       1.1066602273E-003
#      0    -8       3.4529138582E-003
#      0    -7       5.7801156453E-004
#      0    -6       6.8353945407E-003
#      0    -5       5.7382406276E-004
#      0    -4       2.0913761646E-002
#      0    -3       2.0284022218E-003
#      0    -2       3.2936858605E-003
#      0    -1       9.3160666676E-003
#      0     0       9.4453533143E-003
#      0     1       5.3639346202E-003
#      0     2       2.0686349245E-002
#      0     3       1.3276045201E-003
#      0     4       6.3940044972E-004
#      1   -10       1.6965339174E-004
#      1    -9       2.3529481031E-004
#      1    -8       4.9160993050E-003
#      1    -7       8.6461777569E-004
#      1    -6       6.3329567454E-004
#      1    -5       1.1473349841E-003
#      1    -4       4.4580947550E-003
#      1    -3       2.7581262143E-003
#      1    -2       6.9983124386E-003
#      1    -1       2.8861110133E-003
#      1     0       5.3572425471E-003
#      1     1       5.6281700856E-004
#      1     2       9.9662496308E-004
#      2   -10       1.1231916831E-005
#      2    -9       4.8021303247E-003
#      2    -8       2.6602340532E-004
#      2    -7       2.2737803119E-003
#      2    -6       1.3251016541E-002
#      2    -5       1.0609916352E-003
#      2    -4       3.8168367770E-002
#      2    -3       5.4826585293E-003
#      2    -2       2.3832284103E-002
#      2    -1       1.5530892502E-003
#      2     0       1.6580298873E-002
#      2     1       7.5476641156E-003
#      3    -9       2.3459073887E-003
#      3    -8       9.1544705346E-003
#      3    -7       1.0369840386E-002
#      3    -6       1.3482267938E-002
#      3    -5       2.0478021200E-002
#      3    -4       2.5879463855E-003
#      3    -3       5.4801014125E-003
#      3    -2       3.3343038537E-004
#      3    -1       8.3714188359E-003
#      4    -7       3.1448988407E-003
