 Diffraction intensities for potential:smallensembletest10002.in               
#    -28    21       1.3763254516E-004
#    -28    22       4.1161741013E-006
#    -27    -9       3.5912222894E-006
#    -27    -8       6.2681604201E-005
#    -27    -7       1.1134623298E-004
#    -27    -6       6.3550733451E-005
#    -27    -5       1.6763131364E-006
#    -27    -4       6.5994593932E-005
#    -27    -3       1.5594263745E-004
#    -27    -2       1.0069218608E-004
#    -27    -1       2.5390453790E-006
#    -27     0       1.8043783784E-004
#    -27     1       2.9100686986E-004
#    -27     2       1.4762928557E-004
#    -27     3       3.4320107912E-006
#    -27     4       1.2843051357E-004
#    -27     5       9.7389147618E-005
#    -27     6       1.9765786397E-005
#    -27     7       7.4873939688E-007
#    -27     8       2.5262298326E-005
#    -27     9       7.0803564340E-005
#    -27    10       8.5734621949E-005
#    -27    11       6.9529817896E-006
#    -27    12       2.3224659547E-004
#    -27    13       3.0145541260E-004
#    -27    14       9.6250418633E-005
#    -27    15       2.0575678869E-006
#    -27    16       9.7278074675E-005
#    -27    17       3.3722966168E-004
#    -27    18       3.0972441478E-004
#    -27    19       1.3917969613E-006
#    -27    20       2.3177834778E-004
#    -27    21       2.5752083052E-004
#    -27    22       7.1181831054E-005
#    -26   -10       1.8421386057E-004
#    -26    -9       8.3389624802E-005
#    -26    -8       1.1657113080E-006
#    -26    -7       7.1387284213E-005
#    -26    -6       2.4959760570E-004
#    -26    -5       6.5232666890E-005
#    -26    -4       9.7599460980E-007
#    -26    -3       7.8788479378E-005
#    -26    -2       2.8584447071E-004
#    -26    -1       1.0158637355E-004
#    -26     0       2.6213382376E-006
#    -26     1       1.8695053568E-004
#    -26     2       3.1685820523E-004
#    -26     3       9.2111944970E-005
#    -26     4       8.6131981002E-006
#    -26     5       4.2850471997E-005
#    -26     6       2.9802131305E-005
#    -26     7       8.3273361641E-006
#    -26     8       6.9010756852E-007
#    -26     9       2.1953162711E-005
#    -26    10       1.4637342879E-004
#    -26    11       1.3050090576E-004
#    -26    12       1.1329052874E-005
#    -26    13       1.4083546116E-004
#    -26    14       1.2013183736E-004
#    -26    15       7.3760356680E-005
#    -26    16       7.2408958004E-007
#    -26    17       1.7723378379E-004
#    -26    18       5.4740921012E-004
#    -26    19       3.7409193188E-004
#    -26    20       6.4901712520E-006
#    -26    21       1.5544174389E-004
#    -26    22       1.3737379426E-004
#    -25   -11       2.6836434383E-006
#    -25   -10       5.9409236412E-005
#    -25    -9       1.6515919301E-004
#    -25    -8       1.2669591536E-004
#    -25    -7       5.5730887486E-006
#    -25    -6       5.4975040844E-005
#    -25    -5       1.3632549481E-004
#    -25    -4       1.0947617058E-004
#    -25    -3       1.6705249923E-006
#    -25    -2       1.1378328461E-004
#    -25    -1       2.3253006223E-004
#    -25     0       1.3841474529E-004
#    -25     1       6.7968181608E-007
#    -25     2       1.2490550585E-004
#    -25     3       1.2782171870E-004
#    -25     4       2.2915724328E-005
#    -25     5       1.1044430376E-005
#    -25     6       3.4009152607E-005
#    -25     7       3.2381268414E-005
#    -25     8       2.9516582356E-005
#    -25     9       7.4306031444E-006
#    -25    10       3.9826593032E-006
#    -25    11       6.3489357276E-005
#    -25    12       4.2277044212E-005
#    -25    13       1.3890368273E-005
#    -25    14       2.4272735111E-005
#    -25    15       3.5015165082E-005
#    -25    16       1.3354291172E-004
