 Diffraction intensities for potential:3x3_wideDefect10001.in                  
#    -17    -9       2.5581283539E-007
#    -17    -8       3.6013890566E-006
#    -17    -7       1.1677388896E-005
#    -17    -6       1.0682529969E-005
#    -17    -5       2.9705471138E-006
#    -17    -4       7.6890249032E-005
#    -17    -3       2.1195053779E-004
#    -17    -2       1.2521231986E-004
#    -17    -1       3.2747988346E-005
#    -17     0       3.1065776750E-004
#    -17     1       2.9091304060E-004
#    -17     2       4.3546738575E-006
#    -17     3       2.1134277568E-004
#    -17     4       8.4416476361E-005
#    -17     5       1.0691862712E-004
#    -17     6       5.1303950545E-004
#    -17     7       2.5604747571E-004
#    -17     8       3.9656957983E-004
#    -17     9       3.0351142176E-004
#    -17    10       1.2420673436E-004
#    -17    11       1.6323709475E-004
#    -17    12       3.5182668501E-005
#    -17    13       1.0427346822E-005
#    -17    14       3.8288369970E-005
#    -17    15       2.2951321729E-005
#    -17    16       8.9414540184E-006
#    -16   -10       6.8701973598E-007
#    -16    -9       5.1000169836E-006
#    -16    -8       1.0204150728E-005
#    -16    -7       6.1336195062E-006
#    -16    -6       1.0581932935E-006
#    -16    -5       1.9593916998E-005
#    -16    -4       1.4617191671E-004
#    -16    -3       2.2462156051E-004
#    -16    -2       9.2819492125E-005
#    -16    -1       2.9033109229E-004
#    -16     0       9.1378486537E-004
#    -16     1       7.1411463382E-004
#    -16     2       3.1904446315E-004
#    -16     3       8.9579551025E-004
#    -16     4       6.6719944464E-004
#    -16     5       2.7851884561E-004
#    -16     6       4.7072322918E-004
#    -16     7       6.3220041890E-004
#    -16     8       6.7241760227E-004
#    -16     9       2.4439727581E-004
#    -16    10       2.5394355422E-004
#    -16    11       1.2498944651E-004
#    -16    12       4.5157429390E-005
#    -16    13       5.5461120513E-005
#    -16    14       4.2878060710E-005
#    -16    15       2.1889339216E-005
#    -16    16       4.4034931119E-005
#    -15   -11       1.1973612766E-007
#    -15   -10       5.6165315952E-006
#    -15    -9       1.7470106161E-005
#    -15    -8       1.2200785457E-005
#    -15    -7       1.0801170205E-006
#    -15    -6       1.1308269600E-004
#    -15    -5       8.0629223099E-005
#    -15    -4       1.8885242892E-004
#    -15    -3       1.1602539332E-004
#    -15    -2       4.4006560340E-006
#    -15    -1       7.1318695635E-004
#    -15     0       3.9861201421E-004
#    -15     1       6.6299314087E-004
#    -15     2       8.7570940538E-004
#    -15     3       1.6241741382E-003
#    -15     4       9.1355239761E-004
#    -15     5       5.2737644111E-004
#    -15     6       1.5512169885E-003
#    -15     7       1.0551377835E-003
#    -15     8       4.7092563803E-004
#    -15     9       8.5959323296E-004
#    -15    10       2.1960657141E-004
#    -15    11       2.1511538596E-005
#    -15    12       2.8344864941E-004
#    -15    13       1.6480996258E-005
#    -15    14       3.3738613056E-006
#    -15    15       8.2110029275E-005
#    -15    16       2.1856713653E-005
#    -14   -12       7.0841964416E-008
#    -14   -11       2.1532388573E-006
#    -14   -10       1.0447468398E-005
#    -14    -9       2.0346390943E-005
#    -14    -8       1.2404777955E-005
#    -14    -7       1.5559103262E-005
#    -14    -6       1.4665464037E-004
#    -14    -5       2.3813275227E-004
#    -14    -4       1.2273594443E-004
#    -14    -3       2.1158572112E-004
#    -14    -2       3.1971317366E-004
#    -14    -1       6.6241520981E-004
#    -14     0       1.4468794410E-003
#    -14     1       2.7326338913E-004
#    -14     2       6.0859556022E-004
#    -14     3       2.0175523150E-003
#    -14     4       5.2862541648E-004
#    -14     5       4.8687103132E-004
#    -14     6       1.1575295961E-003
#    -14     7       4.3156847422E-004
#    -14     8       5.9752641177E-004
#    -14     9       4.1885332924E-005
#    -14    10       1.0010198014E-004
#    -14    11       1.2205153001E-004
#    -14    12       2.3566304171E-005
#    -14    13       1.0489570431E-004
#    -14    14       3.2123107247E-005
#    -14    15       2.6973079842E-005
#    -14    16       1.6949685730E-005
#    -13   -13       2.0442914996E-007
#    -13   -12       1.1930212803E-006
#    -13   -11       7.4746179152E-006
#    -13   -10       1.6195739811E-005
#    -13    -9       2.1157285710E-005
#    -13    -8       3.4136127599E-006
#    -13    -7       1.1015142043E-004
#    -13    -6       3.6453956413E-004
#    -13    -5       2.7854936150E-004
#    -13    -4       8.4211414239E-005
#    -13    -3       8.9679393985E-004
#    -13    -2       8.7781584657E-004
#    -13    -1       2.7201504583E-004
#    -13     0       1.1515916786E-003
#    -13     1       8.9833746746E-004
#    -13     2       1.0401976152E-003
#    -13     3       1.6744775991E-003
#    -13     4       1.5411661070E-003
#    -13     5       1.9623387566E-003
#    -13     6       1.5124168199E-003
#    -13     7       1.9045737508E-003
#    -13     8       1.0599020568E-003
#    -13     9       5.7845429847E-004
#    -13    10       5.5303622760E-004
#    -13    11       1.6323379249E-004
#    -13    12       4.1686506694E-004
#    -13    13       4.6921622736E-004
#    -13    14       1.2797018348E-004
#    -13    15       6.6058268388E-005
#    -12   -13       9.8392072466E-007
#    -12   -12       1.0990025094E-005
#    -12   -11       1.4618680734E-005
#    -12   -10       2.6510145223E-005
#    -12    -9       5.0345159762E-005
#    -12    -8       4.7054134996E-005
#    -12    -7       3.4048277993E-004
#    -12    -6       1.8488932920E-004
#    -12    -5       1.0708623751E-004
#    -12    -4       6.6701736524E-004
#    -12    -3       1.6234774091E-003
#    -12    -2       6.0972613086E-004
#    -12    -1       8.9703520799E-004
#    -12     0       4.1774386463E-003
#    -12     1       8.7458020538E-004
#    -12     2       1.4530769629E-003
#    -12     3       4.2891034415E-003
#    -12     4       2.4395285017E-003
#    -12     5       2.4445976668E-003
#    -12     6       3.8556206340E-003
#    -12     7       3.1239519994E-003
#    -12     8       8.8007950793E-004
#    -12     9       1.8384906997E-003
#    -12    10       2.0581488967E-004
#    -12    11       2.2568184330E-004
#    -12    12       7.8833693466E-004
#    -12    13       5.0592662974E-004
#    -12    14       5.0219580133E-005
#    -12    15       1.2638754863E-004
#    -11   -14       2.2580237331E-007
#    -11   -13       2.9068217421E-006
#    -11   -12       8.1335345361E-006
#    -11   -11       1.6463540769E-005
#    -11   -10       1.9697727918E-005
#    -11    -9       5.1577188377E-005
#    -11    -8       2.5773251928E-004
#    -11    -7       4.9521585484E-004
#    -11    -6       5.1347006502E-004
#    -11    -5       2.7872641560E-004
#    -11    -4       9.1406129011E-004
#    -11    -3       2.0194021247E-003
#    -11    -2       1.0420833312E-003
#    -11    -1       8.7389890983E-004
#    -11     0       2.7469154469E-003
#    -11     1       9.0358363509E-004
#    -11     2       5.4654468711E-004
#    -11     3       2.8236193882E-003
#    -11     4       2.9822448600E-004
#    -11     5       1.6251447309E-003
#    -11     6       2.2105511772E-003
#    -11     7       4.7132611521E-004
#    -11     8       1.4132707966E-003
#    -11     9       9.3827893312E-005
#    -11    10       2.9671321953E-004
#    -11    11       2.5301446949E-004
#    -11    12       6.0204250193E-004
#    -11    13       3.5665587472E-005
#    -11    14       1.3347703512E-005
#    -10   -14       1.1597379034E-006
#    -10   -13       5.4480002415E-006
#    -10   -12       9.0135531105E-006
#    -10   -11       1.0124399802E-005
#    -10   -10       4.2284217187E-005
#    -10    -9       2.3200541462E-004
#    -10    -8       3.9059698877E-004
#    -10    -7       2.5578302763E-004
#    -10    -6       4.7101671900E-004
#    -10    -5       5.2846868711E-004
#    -10    -4       5.2771221216E-004
#    -10    -3       1.6747384144E-003
#    -10    -2       1.4549695292E-003
#    -10    -1       9.0126749022E-004
#    -10     0       3.0186389230E-003
#    -10     1       2.9122695821E-003
#    -10     2       6.9774094398E-004
#    -10     3       5.7049853515E-004
#    -10     4       9.1173851676E-004
#    -10     5       2.5333415428E-003
#    -10     6       3.1314984504E-004
#    -10     7       7.0908730490E-004
#    -10     8       2.6238475362E-004
#    -10     9       1.6549111230E-003
#    -10    10       9.4918422217E-004
#    -10    11       1.3045319533E-004
#    -10    12       7.9658076085E-006
#    -10    13       1.7497269711E-004
#    -10    14       1.0572267300E-004
#     -9   -15       1.4565612297E-007
#     -9   -14       2.3719752738E-006
#     -9   -13       5.4498485970E-006
