 Diffraction intensities for potential:5x5MoS210001.in                         
#    -45    11       7.9393486533E-007
#    -45    12       1.5773614390E-005
#    -45    13       1.0854994484E-005
#    -45    14       1.6465937256E-005
#    -45    15       1.0524660879E-005
#    -45    16       1.4088223514E-005
#    -44     7       6.9659641560E-006
#    -44     8       6.5567333094E-006
#    -44     9       1.1876826679E-005
#    -44    10       5.4518591404E-006
#    -44    11       8.1408913180E-006
#    -44    12       2.2603644039E-005
#    -44    13       1.0514814850E-005
#    -44    14       2.0921066515E-005
#    -44    15       1.2251833555E-005
#    -44    16       2.2123639562E-005
#    -44    17       9.0377507038E-006
#    -44    18       1.5913112512E-005
#    -44    19       7.8686231779E-006
#    -44    20       6.1936312135E-006
#    -43     4       5.5245821912E-006
#    -43     5       5.8377794411E-006
#    -43     6       7.0621313306E-006
#    -43     7       1.0063497173E-005
#    -43     8       1.2354567055E-005
#    -43     9       1.2495911051E-005
#    -43    10       1.2289924560E-005
#    -43    11       1.8738322342E-005
#    -43    12       2.2281555994E-005
#    -43    13       1.4314428268E-005
#    -43    14       2.2540481459E-005
#    -43    15       1.7968959616E-005
#    -43    16       1.3821440095E-005
#    -43    17       1.7622218703E-005
#    -43    18       4.9293588134E-005
#    -43    19       1.8424324912E-005
#    -43    20       1.7709211937E-005
#    -43    21       8.3903301312E-006
#    -43    22       1.9049151843E-005
#    -42     2       6.4998677061E-006
#    -42     3       7.2769738147E-006
#    -42     4       7.3374174170E-006
#    -42     5       5.7809895108E-006
#    -42     6       1.6517428550E-006
#    -42     7       5.5355830449E-006
#    -42     8       2.3357970046E-005
#    -42     9       1.4847146523E-005
#    -42    10       1.8960121241E-005
#    -42    11       2.1305380836E-005
#    -42    12       3.2249060330E-005
#    -42    13       4.9558573655E-005
#    -42    14       2.0354131539E-005
#    -42    15       2.1676380757E-005
#    -42    16       2.4563444132E-005
#    -42    17       2.6480649699E-005
#    -42    18       2.1592936095E-005
#    -42    19       2.9882831776E-005
#    -42    20       2.2626194947E-005
#    -42    21       1.7669838639E-005
#    -42    22       1.6265763192E-005
#    -42    23       2.8871482872E-005
#    -41     0       6.4411870683E-006
#    -41     1       5.9995771271E-006
#    -41     2       5.0118554245E-006
#    -41     3       1.1757645597E-005
#    -41     4       7.4462055987E-006
#    -41     5       9.9770138920E-006
#    -41     6       1.1200727715E-005
#    -41     7       1.5368203301E-005
#    -41     8       1.3196150634E-005
#    -41     9       1.9859463660E-005
#    -41    10       2.0971267540E-005
#    -41    11       3.2197864771E-005
#    -41    12       2.3389662717E-005
#    -41    13       2.6976939899E-005
#    -41    14       2.7394038740E-005
#    -41    15       2.9873846664E-005
#    -41    16       3.7538221148E-005
#    -41    17       2.8464044947E-005
#    -41    18       4.1357306655E-005
#    -41    19       3.2221833997E-005
#    -41    20       3.2007385331E-005
#    -41    21       3.0319938210E-005
#    -41    22       2.9326430097E-005
#    -41    23       1.6197259625E-005
#    -41    24       1.5133612014E-005
#    -40    -2       6.5017742511E-006
#    -40    -1       6.0017268371E-006
#    -40     0       1.3399073980E-005
#    -40     1       1.5061802053E-005
#    -40     2       2.6273362336E-005
#    -40     3       8.7022391146E-006
#    -40     4       1.6981558766E-005
#    -40     5       1.6435242976E-005
#    -40     6       1.4824188547E-005
#    -40     7       3.7435796420E-005
#    -40     8       2.2361808238E-005
#    -40     9       1.1366612867E-005
#    -40    10       4.0051484775E-005
#    -40    11       2.6205034168E-005
#    -40    12       3.7908967162E-005
#    -40    13       3.9334492418E-005
#    -40    14       6.1925355986E-005
#    -40    15       2.4671644110E-005
#    -40    16       3.8324588969E-005
#    -40    17       4.9130908614E-005
#    -40    18       4.5015924056E-005
#    -40    19       4.5478094755E-005
#    -40    20       2.0314408221E-005
#    -40    21       4.7231273402E-005
#    -40    22       4.8521747448E-006
#    -40    23       1.2916489320E-005
#    -40    24       2.6895401847E-005
#    -40    25       5.0438323920E-006
#    -39    -4       5.5253163619E-006
#    -39    -3       7.2763939265E-006
#    -39    -2       5.0118562070E-006
#    -39    -1       1.5061138830E-005
#    -39     0       4.3947458587E-006
#    -39     1       1.2320497613E-005
#    -39     2       1.1488716759E-005
#    -39     3       8.7696487269E-006
#    -39     4       1.9307760205E-005
#    -39     5       1.2779414212E-005
#    -39     6       1.6246815386E-005
#    -39     7       2.2211696996E-005
#    -39     8       1.8218880778E-005
#    -39     9       2.7024977552E-005
#    -39    10       2.3587385168E-005
#    -39    11       3.9686535359E-005
#    -39    12       4.3836513233E-005
#    -39    13       3.3259947198E-005
#    -39    14       4.4299229490E-005
#    -39    15       4.6333053436E-005
#    -39    16       5.2640448891E-005
#    -39    17       4.3034405044E-005
#    -39    18       6.5623032580E-005
#    -39    19       4.8974356785E-005
#    -39    20       2.9593516506E-005
#    -39    21       3.1090855909E-005
#    -39    22       2.6485448145E-005
#    -39    23       4.3148196419E-005
#    -39    24       4.1679768267E-005
#    -39    25       5.4677023754E-005
#    -39    26       1.2106127331E-005
#    -38    -5       5.8393127096E-006
#    -38    -4       7.3386336179E-006
#    -38    -3       1.1760043048E-005
#    -38    -2       2.6275523758E-005
#    -38    -1       1.2320937758E-005
#    -38     0       1.0195128240E-005
#    -38     1       6.5205543832E-006
#    -38     2       1.5103837034E-005
#    -38     3       2.4350772377E-005
#    -38     4       2.0540321515E-005
#    -38     5       2.0212181002E-005
#    -38     6       1.6351586007E-005
#    -38     7       2.1832369170E-005
#    -38     8       1.6950704827E-005
#    -38     9       2.9064425549E-005
#    -38    10       3.0855179216E-005
#    -38    11       3.7944047107E-005
#    -38    12       3.8123497268E-005
#    -38    13       5.9169598995E-005
#    -38    14       4.2729791485E-005
#    -38    15       4.6554563201E-005
#    -38    16       3.6952587271E-005
#    -38    17       5.1260336631E-005
#    -38    18       9.9291921598E-005
#    -38    19       5.1269807425E-005
#    -38    20       4.4885174632E-005
#    -38    21       4.0165403860E-005
#    -38    22       4.3719547764E-005
#    -38    23       1.2112317892E-005
#    -38    24       5.3289201822E-005
#    -38    25       1.5245945233E-005
#    -38    26       1.9303544476E-005
#    -37    -7       6.9687023535E-006
#    -37    -6       7.0631904882E-006
#    -37    -5       5.7821790675E-006
#    -37    -4       7.4476047030E-006
#    -37    -3       8.7020891476E-006
#    -37    -2       1.1488449948E-005
#    -37    -1       6.5199450553E-006
#    -37     0       9.2742075095E-006
#    -37     1       1.0340019870E-005
#    -37     2       1.5363084228E-005
#    -37     3       2.0266290575E-005
#    -37     4       2.2352651092E-005
#    -37     5       2.0903673520E-005
#    -37     6       1.7378832303E-005
#    -37     7       2.3100411251E-005
#    -37     8       3.4517594751E-005
#    -37     9       2.6227904182E-005
#    -37    10       3.0747995028E-005
#    -37    11       3.3838229870E-005
#    -37    12       3.9048450481E-005
#    -37    13       4.0397344113E-005
#    -37    14       3.6037974081E-005
#    -37    15       3.9702855644E-005
#    -37    16       4.4962854494E-005
#    -37    17       4.7693261417E-005
#    -37    18       4.3534761997E-005
#    -37    19       5.0515245833E-005
#    -37    20       4.4032827023E-005
#    -37    21       3.6609725645E-005
#    -37    22       2.5604798717E-005
#    -37    23       4.5572561615E-005
#    -37    24       3.0241712292E-005
#    -37    25       1.5196066380E-005
#    -37    26       1.2012099293E-005
#    -37    27       3.0416124668E-005
#    -36    -8       6.5591214555E-006
#    -36    -7       1.0067140166E-005
#    -36    -6       1.6522500522E-006
#    -36    -5       9.9769355074E-006
#    -36    -4       1.6981829504E-005
#    -36    -3       8.7686417658E-006
#    -36    -2       1.5101730650E-005
#    -36    -1       1.0338881108E-005
#    -36     0       1.1805458435E-005
#    -36     1       1.3897460972E-005
#    -36     2       1.8139354188E-005
#    -36     3       2.6599155958E-005
#    -36     4       2.4877455087E-005
#    -36     5       2.3550426534E-005
#    -36     6       2.4176442611E-005
#    -36     7       2.3388433096E-005
#    -36     8       2.2309071889E-005
#    -36     9       2.5249047712E-005
#    -36    10       2.3126569124E-005
#    -36    11       2.7977672014E-005
#    -36    12       2.2870078261E-005
#    -36    13       3.0145336863E-005
#    -36    14       2.9754975902E-005
#    -36    15       4.0331934107E-005
#    -36    16       4.5365450418E-005
#    -36    17       4.7161018133E-005
#    -36    18       4.8943461545E-005
#    -36    19       4.7307446334E-005
#    -36    20       4.0948149955E-005
#    -36    21       4.6027824884E-005
#    -36    22       3.6895866435E-005
#    -36    23       3.4745834456E-005
#    -36    24       4.5581730305E-005
#    -36    25       1.7437428741E-005
#    -36    26       1.2136305019E-005
#    -36    27       1.9010219299E-005
#    -35    -9       1.1881705683E-005
#    -35    -8       1.2359415137E-005
#    -35    -7       5.5358511538E-006
#    -35    -6       1.1197816005E-005
#    -35    -5       1.6429559938E-005
#    -35    -4       1.9303138894E-005
#    -35    -3       2.4346623417E-005
#    -35    -2       1.5360903894E-005
#    -35    -1       1.3896173491E-005
#    -35     0       5.0411571680E-005
#    -35     1       2.4270720562E-005
#    -35     2       4.1138295747E-005
#    -35     3       2.6873282023E-005
#    -35     4       2.1956705159E-005
#    -35     5       2.7464718512E-006
#    -35     6       2.2807812393E-005
#    -35     7       2.5946593728E-005
#    -35     8       2.1751539108E-005
#    -35     9       2.0323286935E-005
#    -35    10       1.6043231278E-004
#    -35    11       1.5235545532E-005
#    -35    12       2.5636863039E-005
#    -35    13       2.1470542492E-005
#    -35    14       3.2404351274E-005
#    -35    15       1.7165188581E-004
#    -35    16       3.9099753360E-005
#    -35    17       2.3799580430E-005
#    -35    18       2.9332252347E-005
#    -35    19       4.5704416232E-005
#    -35    20       8.1504966914E-005
#    -35    21       6.6126065449E-005
#    -35    22       3.2223089105E-005
#    -35    23       5.9585923945E-005
#    -35    24       4.9282675724E-005
#    -35    25       3.6472538123E-005
#    -35    26       6.3215898035E-005
#    -35    27       6.2266177161E-005
#    -34   -11       7.9542299512E-007
#    -34   -10       5.4540049928E-006
#    -34    -9       1.2498879601E-005
#    -34    -8       2.3353357486E-005
#    -34    -7       1.5363494439E-005
#    -34    -6       1.4817369675E-005
#    -34    -5       1.2772244603E-005
#    -34    -4       2.0532582773E-005
#    -34    -3       2.0258538980E-005
#    -34    -2       1.8136699861E-005
#    -34    -1       2.4268162028E-005
#    -34     0       2.1730587529E-005
#    -34     1       2.7963490840E-005
#    -34     2       2.8425086629E-005
#    -34     3       2.7557477281E-005
#    -34     4       2.7412969456E-005
#    -34     5       1.8441101177E-005
#    -34     6       1.8758632191E-005
#    -34     7       1.6130221904E-005
#    -34     8       8.0878228223E-006
#    -34     9       1.1897612423E-005
#    -34    10       1.2311529208E-005
#    -34    11       1.5868885668E-005
#    -34    12       1.4880429399E-005
#    -34    13       2.2102535524E-005
#    -34    14       2.4151701526E-005
#    -34    15       2.2891305697E-005
#    -34    16       2.5653476745E-005
#    -34    17       3.3895711992E-005
#    -34    18       4.7763074593E-005
#    -34    19       2.3183890179E-005
#    -34    20       3.8395674839E-005
#    -34    21       2.7744516821E-005
#    -34    22       4.1360705090E-005
#    -34    23       6.0576226969E-005
#    -34    24       8.4806846866E-005
#    -34    25       1.5518561269E-005
#    -34    26       4.9451559001E-005
#    -34    27       1.4400942812E-005
#    -33   -12       1.5783400146E-005
#    -33   -11       8.1436013375E-006
#    -33   -10       1.2290972394E-005
#    -33    -9       1.4846459783E-005
#    -33    -8       1.3190036178E-005
#    -33    -7       3.7424013647E-005
#    -33    -6       1.6235721097E-005
#    -33    -5       2.0201828224E-005
#    -33    -4       2.2344985300E-005
#    -33    -3       2.6594267629E-005
#    -33    -2       4.1139236145E-005
#    -33    -1       2.7963890681E-005
#    -33     0       2.8626048097E-005
#    -33     1       2.5485337835E-005
#    -33     2       3.3662022468E-005
#    -33     3       3.3073957350E-005
#    -33     4       2.3692657277E-005
#    -33     5       1.6877073089E-005
#    -33     6       1.1935154904E-005
#    -33     7       8.5526337961E-006
#    -33     8       9.0547648847E-006
#    -33     9       8.7082907310E-006
#    -33    10       1.1344415456E-005
#    -33    11       1.0353731831E-005
#    -33    12       1.3405735471E-005
#    -33    13       2.1318603537E-005
#    -33    14       2.0905821088E-005
#    -33    15       1.8195559444E-005
#    -33    16       2.4760132713E-005
#    -33    17       3.3308994983E-005
#    -33    18       1.7612910466E-005
#    -33    19       2.0978916760E-005
#    -33    20       1.5778077295E-005
#    -33    21       2.8345798659E-005
#    -33    22       4.6935576853E-005
#    -33    23       4.3037382504E-005
#    -33    24       2.2493861616E-005
#    -33    25       6.7068552892E-005
#    -33    26       3.8698734843E-005
#    -33    27       2.3797002247E-005
#    -32   -13       1.0859698403E-005
#    -32   -12       2.2608893454E-005
#    -32   -11       1.8735342825E-005
#    -32   -10       1.8955162194E-005
#    -32    -9       1.9847349982E-005
#    -32    -8       2.2344094060E-005
#    -32    -7       2.2195365791E-005
#    -32    -6       1.6342161772E-005
#    -32    -5       2.0895456825E-005
#    -32    -4       2.4873735129E-005
#    -32    -3       2.6874409615E-005
#    -32    -2       2.8429607541E-005
#    -32    -1       2.5488385362E-005
#    -32     0       2.9919241813E-005
#    -32     1       2.9745424626E-005
#    -32     2       2.4527023467E-005
#    -32     3       2.2444761004E-005
#    -32     4       1.5355925097E-005
#    -32     5       1.1150896502E-005
#    -32     6       7.7401392772E-006
#    -32     7       7.3111660784E-006
#    -32     8       9.4846858446E-006
#    -32     9       6.4529044323E-006
#    -32    10       6.5818629581E-006
#    -32    11       7.4001956460E-006
#    -32    12       7.2021437731E-006
#    -32    13       8.6509884905E-006
#    -32    14       1.1364318108E-005
#    -32    15       1.1321071035E-005
#    -32    16       1.3083913136E-005
#    -32    17       9.2974783918E-006
#    -32    18       2.8355248677E-005
#    -32    19       9.4612979108E-006
#    -32    20       1.1395709937E-005
#    -32    21       1.5018404217E-005
#    -32    22       3.1554904342E-005
#    -32    23       5.8718559483E-005
#    -32    24       4.2824746977E-005
#    -32    25       5.0626423277E-005
#    -32    26       4.5272820631E-005
#    -32    27       4.9802571839E-005
#    -32    28       7.4039371328E-005
#    -31   -14       1.6464600122E-005
#    -31   -13       1.0518747234E-005
#    -31   -12       2.2284869762E-005
#    -31   -11       2.1296860063E-005
#    -31   -10       2.0954376247E-005
#    -31    -9       1.1350409297E-005
#    -31    -8       1.8201422513E-005
#    -31    -7       2.1818315395E-005
#    -31    -6       1.7372446435E-005
#    -31    -5       2.3549910471E-005
#    -31    -4       2.1960052879E-005
#    -31    -3       2.7566438835E-005
#    -31    -2       3.3671264785E-005
#    -31    -1       2.9750641754E-005
#    -31     0       2.8748239579E-005
#    -31     1       2.3415014212E-005
#    -31     2       2.2395022418E-005
#    -31     3       1.6537965626E-005
#    -31     4       1.2470569729E-005
#    -31     5       8.3531961845E-006
#    -31     6       8.8839146884E-006
#    -31     7       6.9610859617E-006
#    -31     8       5.7056038319E-006
#    -31     9       3.1182514388E-006
#    -31    10       3.1595308237E-006
#    -31    11       3.7807006099E-006
#    -31    12       3.3073167940E-006
#    -31    13       3.3745174550E-006
#    -31    14       1.6597615270E-006
#    -31    15       2.6272405680E-006
#    -31    16       6.7997606551E-006
#    -31    17       6.0441607955E-006
#    -31    18       3.6582808144E-006
#    -31    19       5.9732866317E-006
#    -31    20       4.9955806834E-006
#    -31    21       2.5953818046E-005
#    -31    22       4.6796933617E-005
#    -31    23       3.2914017415E-005
#    -31    24       4.7818504682E-005
#    -31    25       4.3112975739E-005
#    -31    26       2.8855013882E-005
#    -31    27       8.7886742966E-006
#    -31    28       4.1980000236E-005
#    -30   -15       1.0529173735E-005
#    -30   -14       2.0922600650E-005
#    -30   -13       1.4311258443E-005
#    -30   -12       3.2234742302E-005
#    -30   -11       3.2172983484E-005
#    -30   -10       4.0019898532E-005
#    -30    -9       2.7003423253E-005
#    -30    -8       1.6938567894E-005
#    -30    -7       2.3098908547E-005
#    -30    -6       2.4187896923E-005
#    -30    -5       2.7435524135E-006
#    -30    -4       2.7427642361E-005
#    -30    -3       3.3090592578E-005
#    -30    -2       2.4537879435E-005
#    -30    -1       2.3420227034E-005
#    -30     0       3.9857272305E-004
#    -30     1       2.0400406727E-005
#    -30     2       1.9902603600E-005
#    -30     3       1.1069534616E-005
#    -30     4       6.4897969997E-006
#    -30     5       7.9449410120E-004
#    -30     6       1.2022289173E-005
#    -30     7       1.3216814504E-005
#    -30     8       6.1106182475E-006
#    -30     9       1.5260298502E-006
#    -30    10       9.0320953878E-004
#    -30    11       5.0324620075E-006
#    -30    12       5.2295377075E-006
#    -30    13       7.6299090890E-006
#    -30    14       2.1201780326E-006
#    -30    15       6.3510106702E-004
#    -30    16       4.2927154688E-006
#    -30    17       3.8077696876E-006
#    -30    18       5.1184417989E-006
#    -30    19       1.7471442057E-007
#    -30    20       4.5319340864E-005
#    -30    21       4.9583195646E-005
#    -30    22       4.6338274411E-005
#    -30    23       1.1482884616E-004
#    -30    24       8.6087606149E-005
#    -30    25       4.3469260064E-005
#    -30    26       3.0384509233E-005
#    -30    27       3.2093070241E-005
#    -30    28       2.5671782889E-006
#    -29   -16       1.4088747792E-005
#    -29   -15       1.2253009655E-005
#    -29   -14       2.2536196713E-005
#    -29   -13       4.9548765620E-005
#    -29   -12       2.3369588340E-005
#    -29   -11       2.6181997812E-005
#    -29   -10       2.3568213858E-005
#    -29    -9       2.9054264261E-005
#    -29    -8       3.4523637756E-005
#    -29    -7       2.3399491019E-005
#    -29    -6       2.2826010537E-005
#    -29    -5       1.8458888532E-005
#    -29    -4       2.3713779100E-005
#    -29    -3       2.2460843911E-005
#    -29    -2       2.2407144783E-005
#    -29    -1       2.0403659704E-005
#    -29     0       1.6586838775E-005
