Diffraction intensities for potential:_5x5_05D10003.in                        
#    -37     1       2.2044357484E-005
#    -37     2       1.4571707024E-005
#    -37     3       4.0435370243E-004
#    -37     4       4.0479988037E-004
#    -37     5       2.7593204419E-005
#    -37     6       3.1361127349E-005
#    -37     7       2.6235374057E-005
#    -37     8       4.4519677545E-004
#    -37     9       4.5518518418E-004
#    -37    10       4.0042670208E-005
#    -37    11       1.0063582767E-004
#    -37    12       3.5299672059E-005
#    -37    13       5.6585001406E-004
#    -37    14       8.5693029189E-004
#    -37    15       9.1963483444E-006
#    -37    16       4.9886994859E-005
#    -37    17       2.1321507327E-005
#    -37    18       7.8438108096E-004
#    -37    19       5.8875701192E-004
#    -37    20       6.9361901451E-005
#    -37    21       1.0019539631E-004
#    -37    22       1.1204296058E-004
#    -37    23       4.7795988056E-004
#    -37    24       6.6573359006E-004
#    -37    25       1.5977646982E-005
#    -37    26       4.2065591977E-005
#    -37    27       5.0884989419E-006
#    -36    -8       3.8548079445E-006
#    -36    -7       6.4413427099E-005
#    -36    -6       1.6665122917E-006
#    -36    -5       8.8854587257E-006
#    -36    -4       1.4026739572E-005
#    -36    -3       1.7003157143E-005
#    -36    -2       1.0506544351E-004
#    -36    -1       1.0259240561E-005
#    -36     0       4.1293096211E-006
#    -36     1       2.2175089739E-005
#    -36     2       1.1181861158E-005
#    -36     3       2.7632131052E-004
#    -36     4       1.9941436621E-005
#    -36     5       5.6228143076E-005
#    -36     6       1.2790362029E-005
#    -36     7       7.5473287235E-006
#    -36     8       2.6058719939E-004
#    -36     9       1.3771692894E-005
#    -36    10       2.4854992423E-005
#    -36    11       1.5167098397E-005
#    -36    12       6.8209851109E-005
#    -36    13       5.7689979693E-004
#    -36    14       2.3615536063E-005
#    -36    15       9.5852258539E-005
#    -36    16       6.5385109816E-005
#    -36    17       1.3718061740E-005
#    -36    18       2.7829571772E-004
#    -36    19       5.7326038307E-005
#    -36    20       6.2813861361E-006
#    -36    21       5.0909603584E-005
#    -36    22       3.5607691768E-005
#    -36    23       4.6956380259E-004
#    -36    24       9.8970576002E-006
#    -36    25       6.0625716372E-005
#    -36    26       6.3004222308E-005
#    -36    27       1.4524430561E-005
#    -35    -9       3.4668008713E-005
#    -35    -8       5.5700966186E-005
#    -35    -7       3.7583129598E-005
#    -35    -6       3.6303571787E-005
#    -35    -5       4.5844734899E-004
#    -35    -4       4.8686959923E-005
#    -35    -3       6.2242661447E-005
#    -35    -2       8.4948217074E-005
#    -35    -1       3.2413047445E-005
#    -35     0       7.0276438588E-004
#    -35     1       4.4561106063E-005
#    -35     2       6.7606956008E-005
#    -35     3       1.0751291317E-004
#    -35     4       4.9970169720E-005
#    -35     5       5.8147380200E-004
#    -35     6       6.1527850241E-005
#    -35     7       1.2710570053E-004
#    -35     8       1.5217778708E-004
#    -35     9       7.2661585458E-005
#    -35    10       1.5791553181E-003
#    -35    11       4.6008295261E-005
#    -35    12       2.8334453197E-004
#    -35    13       1.4176391470E-004
#    -35    14       6.0308992128E-005
#    -35    15       1.5793960203E-003
#    -35    16       2.1138428458E-004
#    -35    17       4.3965196488E-005
#    -35    18       2.1405147341E-004
#    -35    19       1.0311059173E-004
#    -35    20       1.4668348991E-003
#    -35    21       5.1238625511E-005
#    -35    22       1.9077025399E-004
#    -35    23       1.5491106994E-004
#    -35    24       8.6962144808E-005
#    -35    25       1.1558323914E-003
#    -35    26       2.3412315838E-004
#    -35    27       1.0892996938E-004
#    -34   -11       2.3631105204E-006
#    -34   -10       1.5574761190E-005
#    -34    -9       1.3978532179E-005
#    -34    -8       1.2016227231E-004
#    -34    -7       1.3022767180E-005
#    -34    -6       1.4747227106E-005
#    -34    -5       3.0259614193E-005
#    -34    -4       2.5472861618E-005
#    -34    -3       2.4124756547E-004
#    -34    -2       1.1339177163E-005
#    -34    -1       9.2653854740E-006
#    -34     0       2.8381256622E-005
#    -34     1       3.2389035639E-005
#    -34     2       3.0654713295E-004
#    -34     3       2.1578910024E-005
#    -34     4       3.2725971921E-006
#    -34     5       4.7605294558E-005
