 Diffraction intensities for potential:restest_10_5010001.in                   
#    -45    11       7.5458864674E-007
#    -45    12       1.5482187028E-005
#    -45    13       1.0672152061E-005
#    -45    14       1.6562798287E-005
#    -45    15       1.0376565896E-005
#    -45    16       1.4130005475E-005
#    -44     7       6.9105522462E-006
#    -44     8       6.5012979373E-006
#    -44     9       1.1787626271E-005
#    -44    10       5.3740420655E-006
#    -44    11       8.0481236220E-006
#    -44    12       2.2543410610E-005
#    -44    13       1.0453080915E-005
#    -44    14       2.1050095607E-005
#    -44    15       1.2330326972E-005
#    -44    16       2.2288700451E-005
#    -44    17       9.1205388899E-006
#    -44    18       1.6121252379E-005
#    -44    19       7.9435705229E-006
#    -44    20       6.3275993540E-006
#    -43     4       5.4634258772E-006
#    -43     5       5.7998072683E-006
#    -43     6       6.8825770332E-006
#    -43     7       9.9425342056E-006
#    -43     8       1.2180231546E-005
#    -43     9       1.2369369604E-005
#    -43    10       1.2234332774E-005
#    -43    11       1.8812887797E-005
#    -43    12       2.2220790478E-005
#    -43    13       1.4492295551E-005
#    -43    14       2.2905795218E-005
#    -43    15       1.8253442089E-005
#    -43    16       1.4047475271E-005
#    -43    17       1.7951330526E-005
#    -43    18       4.9526024238E-005
#    -43    19       1.8575688925E-005
#    -43    20       1.7719822843E-005
#    -43    21       8.4835056721E-006
#    -43    22       1.8992966783E-005
#    -42     2       6.5409918472E-006
#    -42     3       7.2619588485E-006
#    -42     4       7.2275529007E-006
#    -42     5       5.6760604010E-006
#    -42     6       1.5988005968E-006
#    -42     7       5.4309396994E-006
#    -42     8       2.3233926539E-005
#    -42     9       1.4741500313E-005
#    -42    10       1.9002487814E-005
#    -42    11       2.1432828213E-005
#    -42    12       3.2583094931E-005
#    -42    13       4.9833920038E-005
#    -42    14       2.0731251571E-005
#    -42    15       2.1986458674E-005
#    -42    16       2.4892837905E-005
#    -42    17       2.6686525453E-005
#    -42    18       2.1749621714E-005
#    -42    19       2.9905246822E-005
#    -42    20       2.2628060198E-005
#    -42    21       1.7635902641E-005
#    -42    22       1.6294824027E-005
#    -42    23       2.8636498522E-005
#    -41     0       6.4237772116E-006
#    -41     1       6.0092299525E-006
#    -41     2       4.8913423321E-006
