 Diffraction intensities for potential:3x3ikbt_1010001.in                      
#    -27     7       1.4816400697E-007
#    -27     8       1.2876376651E-006
#    -27     9       4.0656815382E-007
#    -27    10       6.0451704779E-007
#    -26     3       2.9608333969E-007
#    -26     4       1.0254976911E-006
#    -26     5       1.4777512925E-006
#    -26     6       1.0075530445E-006
#    -26     7       4.6700722639E-007
#    -26     8       4.5826380082E-007
#    -26     9       1.4557222391E-007
#    -26    10       5.5027257267E-009
#    -26    11       8.6082800655E-007
#    -26    12       9.3989534858E-007
#    -26    13       1.4544651896E-006
#    -25     1       1.0650193417E-006
#    -25     2       1.4577886823E-006
#    -25     3       2.6834375437E-006
#    -25     4       4.7528106225E-006
#    -25     5       4.3609384473E-006
#    -25     6       4.5986762481E-006
#    -25     7       5.4470216450E-006
#    -25     8       3.4738284615E-006
#    -25     9       2.4578438930E-006
#    -25    10       1.6577039259E-006
#    -25    11       1.5018149414E-006
#    -25    12       6.0563454702E-007
#    -25    13       6.7677285910E-007
#    -25    14       2.7533126078E-006
#    -24    -1       1.0650824559E-006
#    -24     0       2.0521847412E-006
#    -24     1       1.9974231714E-006
#    -24     2       5.2402539793E-006
#    -24     3       1.4949873044E-005
#    -24     4       1.2315965846E-005
#    -24     5       1.1616270276E-005
#    -24     6       3.2353156298E-005
#    -24     7       2.1863871420E-005
#    -24     8       1.9492893207E-005
#    -24     9       1.0313893941E-005
#    -24    10       1.3443187533E-005
#    -24    11       1.4880459980E-005
#    -24    12       2.2114111557E-006
#    -24    13       3.7814994725E-006
#    -24    14       2.8647612243E-006
#    -24    15       9.5592642272E-007
#    -23    -3       2.9607068461E-007
#    -23    -2       1.4577193432E-006
#    -23    -1       1.9969109279E-006
#    -23     0       2.4269857833E-006
#    -23     1       4.0810992263E-006
#    -23     2       9.4989903258E-006
#    -23     3       1.7003277435E-005
#    -23     4       2.1749487657E-005
#    -23     5       3.2336062676E-005
#    -23     6       5.4900453322E-005
#    -23     7       7.6475272515E-005
