 Diffraction intensities for potential:_6x6_03D10016.in                        
#    -54    14       1.8645273270E-006
#    -54    15       7.8628658605E-005
#    -54    16       7.0473518493E-007
#    -54    17       2.2760150521E-006
#    -54    18       1.1150305943E-004
#    -54    19       6.1155636885E-007
#    -54    20       9.8289576501E-007
#    -53     9       2.0898979351E-005
#    -53    10       7.6651226788E-007
#    -53    11       5.8321488206E-006
#    -53    12       1.5900939804E-005
#    -53    13       3.4030906797E-006
#    -53    14       2.2104296446E-006
#    -53    15       4.5275322222E-005
#    -53    16       5.1261565665E-006
#    -53    17       5.1187456661E-006
#    -53    18       3.1406707583E-005
#    -53    19       1.4579513467E-005
#    -53    20       1.1644283191E-005
#    -53    21       5.1428689923E-005
#    -53    22       1.1499123542E-005
#    -53    23       9.6340479390E-006
#    -53    24       4.0549737303E-005
#    -52     6       4.9804845263E-006
#    -52     7       8.4348021642E-006
#    -52     8       3.3433832027E-006
#    -52     9       8.7744209902E-006
#    -52    10       3.8475347489E-006
#    -52    11       9.7110425153E-006
#    -52    12       1.8981870939E-005
#    -52    13       1.7290513570E-005
#    -52    14       2.1647164578E-005
#    -52    15       2.0225342574E-005
#    -52    16       1.3883772286E-005
#    -52    17       3.2700822193E-005
#    -52    18       2.4314398974E-005
#    -52    19       3.1824044928E-005
#    -52    20       2.5405740041E-005
#    -52    21       2.8017229889E-005
#    -52    22       4.6279298718E-005
#    -52    23       6.6474856442E-006
#    -52    24       1.6407374080E-005
#    -52    25       9.5833320499E-006
#    -52    26       2.0118567859E-005
#    -51     3       1.1563248705E-006
#    -51     4       1.4013969271E-005
#    -51     5       1.6834959603E-005
#    -51     6       2.2563787915E-006
#    -51     7       1.6245703471E-005
#    -51     8       2.3883708287E-005
#    -51     9       3.0810049188E-006
#    -51    10       2.2377982210E-005
#    -51    11       2.9372652150E-005
#    -51    12       6.7298276243E-006
#    -51    13       3.1548830453E-005
#    -51    14       3.7804201876E-005
#    -51    15       7.9978314734E-006
#    -51    16       3.1184493218E-005
#    -51    17       4.5351131432E-005
#    -51    18       1.1747819904E-005
#    -51    19       3.3063705128E-005
#    -51    20       4.6879162468E-005
#    -51    21       1.3061679387E-005
#    -51    22       5.1145463361E-005
#    -51    23       3.1940516862E-005
#    -51    24       1.5591562837E-006
