 Diffraction intensities for potential:pot10001.in                             
#    -17    -9       5.7014666544E-005
#    -17    -8       4.9913390122E-005
#    -17    -7       1.4034417798E-005
#    -17    -6       2.7900356958E-004
#    -17    -5       5.4970674199E-004
#    -17    -4       4.5912408754E-004
#    -17    -3       7.2092962122E-005
#    -17    -2       7.8702204708E-005
#    -17    -1       2.3901103833E-004
#    -17     0       5.6081562360E-004
#    -17     1       1.5647836646E-004
#    -17     2       7.4967710413E-005
#    -17     3       3.2046278104E-004
#    -17     4       5.0340758689E-004
#    -17     5       8.5582851807E-004
#    -17     6       2.0386603727E-004
#    -17     7       2.6344220583E-004
#    -17     8       9.8536208161E-004
#    -17     9       1.1243628187E-005
#    -17    10       1.9600585561E-004
#    -17    11       3.6131607006E-005
#    -17    12       9.1055651688E-005
#    -17    13       1.7767829538E-003
#    -17    14       3.6684044851E-003
#    -17    15       4.3097684027E-004
#    -17    16       6.6670178058E-004
#    -16   -10       6.3761407068E-004
#    -16    -9       1.0269247054E-003
#    -16    -8       1.3027726299E-003
#    -16    -7       6.9331301679E-004
#    -16    -6       9.2350895125E-004
#    -16    -5       4.3509924570E-004
#    -16    -4       1.4464857057E-004
#    -16    -3       2.1190634154E-005
#    -16    -2       1.8442921969E-005
#    -16    -1       1.4870066825E-004
#    -16     0       1.1146967676E-003
#    -16     1       3.3851383302E-004
#    -16     2       1.0456330334E-004
#    -16     3       4.6122519896E-006
#    -16     4       4.0597671128E-004
#    -16     5       4.2175061209E-004
#    -16     6       6.9927766562E-004
#    -16     7       2.9290259228E-003
#    -16     8       2.4917905027E-004
#    -16     9       1.1068051441E-003
#    -16    10       3.8715527667E-004
#    -16    11       7.1653067436E-005
#    -16    12       1.8702402420E-004
#    -16    13       1.5754162996E-003
#    -16    14       3.3048375966E-004
#    -16    15       6.9857552389E-004
#    -16    16       1.9827713154E-004
#    -15   -11       1.2222243474E-003
#    -15   -10       6.9191699941E-004
#    -15    -9       2.0726195429E-003
#    -15    -8       9.1809944465E-004
#    -15    -7       2.4504313165E-004
#    -15    -6       3.6289316697E-004
#    -15    -5       1.0580876209E-005
#    -15    -4       1.2057682078E-004
#    -15    -3       2.4626336880E-004
#    -15    -2       7.5202038221E-005
#    -15    -1       3.2471387464E-004
#    -15     0       3.8377015716E-003
#    -15     1       2.5798956048E-004
#    -15     2       7.3432972543E-004
#    -15     3       2.4129580491E-003
#    -15     4       6.9905628419E-005
#    -15     5       3.2783608962E-006
#    -15     6       3.7380660663E-003
#    -15     7       1.5785076818E-004
#    -15     8       7.0951337108E-004
#    -15     9       2.4062816512E-003
#    -15    10       2.7916958509E-004
#    -15    11       9.3059204841E-005
#    -15    12       1.0997965635E-003
#    -15    13       5.3884915188E-004
#    -15    14       4.0382482334E-003
#    -15    15       1.0730259562E-003
#    -15    16       8.4836990142E-004
#    -14   -12       1.3145275420E-004
#    -14   -11       1.6558354844E-004
#    -14   -10       9.2590899250E-005
#    -14    -9       3.4563939980E-004
#    -14    -8       9.1360939217E-005
#    -14    -7       2.7757492033E-004
#    -14    -6       4.2270713860E-004
#    -14    -5       1.4600134815E-004
#    -14    -4       5.1597223956E-004
#    -14    -3       3.1165074694E-004
#    -14    -2       1.0644699126E-004
#    -14    -1       2.6317493806E-004
#    -14     0       2.4404161759E-005
#    -14     1       9.1198239866E-004
#    -14     2       5.9684397384E-004
#    -14     3       7.9433003640E-004
#    -14     4       4.5862458052E-004
#    -14     5       6.7914228677E-004
#    -14     6       1.1166663397E-003
#    -14     7       2.0201051772E-003
#    -14     8       2.2335979778E-003
#    -14     9       3.3404163617E-004
#    -14    10       9.7105570673E-004
#    -14    11       1.5044069755E-003
#    -14    12       6.1015476652E-004
#    -14    13       2.2012779381E-003
#    -14    14       4.1950819092E-003
#    -14    15       3.5893284289E-004
#    -14    16       1.2202612053E-004
#    -13   -13       1.1293126564E-004
#    -13   -12       3.5470392281E-004
#    -13   -11       1.7856751443E-003
#    -13   -10       6.8853832550E-004
#    -13    -9       9.0045642737E-004
#    -13    -8       1.0806824288E-003
#    -13    -7       1.1906009651E-004
#    -13    -6       4.2538859454E-006
#    -13    -5       4.6750433917E-004
#    -13    -4       4.9942429978E-004
#    -13    -3       5.0056140269E-006
#    -13    -2       7.2864327281E-004
#    -13    -1       8.9324367081E-004
#    -13     0       6.8351913194E-003
#    -13     1       2.3217739964E-003
#    -13     2       1.0153491988E-003
#    -13     3       6.7006936346E-004
#    -13     4       1.7657659175E-004
#    -13     5       1.4722801874E-004
#    -13     6       3.9685471732E-004
#    -13     7       2.6342074671E-003
#    -13     8       9.4075783557E-005
#    -13     9       1.3309336650E-003
#    -13    10       1.1552393571E-003
#    -13    11       4.6987869080E-004
#    -13    12       1.8640936194E-004
#    -13    13       2.0988226051E-003
#    -13    14       9.5190029190E-004
#    -13    15       7.9468947271E-004
#    -12   -13       9.4202767574E-004
#    -12   -12       1.1477500284E-003
#    -12   -11       2.5674089612E-003
#    -12   -10       1.4826644349E-003
#    -12    -9       2.0754099377E-003
#    -12    -8       6.7971737289E-005
#    -12    -7       2.8142778224E-004
#    -12    -6       1.3488293323E-003
#    -12    -5       8.7047508569E-004
#    -12    -4       4.1292061439E-004
#    -12    -3       2.3777165233E-003
#    -12    -2       5.8890421583E-004
#    -12    -1       2.3461208533E-003
#    -12     0       8.1061749188E-003
#    -12     1       4.8155553424E-004
#    -12     2       1.9987157156E-004
#    -12     3       9.3502076659E-003
#    -12     4       3.7324913686E-004
#    -12     5       6.1996464087E-004
#    -12     6       5.4250953130E-003
#    -12     7       5.6665054668E-005
#    -12     8       1.3950786492E-003
#    -12     9       5.5216405811E-004
#    -12    10       1.2883420717E-003
#    -12    11       5.1087543060E-005
#    -12    12       1.5549997397E-003
#    -12    13       2.1231536467E-005
#    -12    14       4.1124778495E-005
#    -12    15       2.6285702065E-003
#    -11   -14       5.7891321117E-004
#    -11   -13       2.8360545294E-004
#    -11   -12       1.1323145751E-004
#    -11   -11       3.7889748269E-004
#    -11   -10       1.8099056532E-004
#    -11    -9       3.1680519890E-004
#    -11    -8       2.3108129426E-004
#    -11    -7       2.5648677291E-004
#    -11    -6       2.0810403648E-004
#    -11    -5       4.2190001036E-004
#    -11    -4       7.5586165753E-005
#    -11    -3       7.9665799745E-004
#    -11    -2       1.0051747681E-003
#    -11    -1       4.6879209503E-004
#    -11     0       3.2375685389E-003
#    -11     1       2.3852603257E-003
#    -11     2       1.7525759674E-003
#    -11     3       1.8274487438E-004
#    -11     4       1.8677075008E-004
#    -11     5       8.5904710568E-004
#    -11     6       7.3825337121E-004
#    -11     7       1.4465781296E-003
#    -11     8       6.1162281775E-004
#    -11     9       8.3006426134E-004
#    -11    10       9.9621710896E-005
#    -11    11       3.7475706072E-004
#    -11    12       7.1959660317E-004
#    -11    13       1.2642431903E-003
#    -11    14       2.4778091414E-003
#    -10   -14       7.7353739036E-006
#    -10   -13       5.8762279339E-004
#    -10   -12       1.8564527319E-004
#    -10   -11       1.1219932110E-003
#    -10   -10       3.6255864731E-004
#    -10    -9       3.9033090259E-004
#    -10    -8       2.8337015896E-005
#    -10    -7       2.7283758876E-004
#    -10    -6       7.0702169731E-004
#    -10    -5       4.3407832870E-006
#    -10    -4       4.6851283099E-004
#    -10    -3       6.7092697515E-004
#    -10    -2       2.0139504247E-004
#    -10    -1       2.4153893215E-003
#    -10     0       4.1363540755E-003
#    -10     1       5.6999580038E-003
#    -10     2       5.7727191661E-004
#    -10     3       3.6719815571E-003
#    -10     4       4.1956075110E-003
#    -10     5       3.1425435334E-004
#    -10     6       1.3737390477E-003
#    -10     7       7.3304456403E-005
#    -10     8       7.7450668353E-005
#    -10     9       7.6858904354E-004
#    -10    10       1.6753343384E-003
#    -10    11       8.9837857302E-004
#    -10    12       2.1817340296E-005
#    -10    13       7.7799706642E-005
#    -10    14       5.7972889676E-004
#     -9   -15       3.0561898005E-004
#     -9   -14       6.9206787883E-004
#     -9   -13       1.9705304497E-003
#     -9   -12       8.6465005562E-004
#     -9   -11       1.6965828482E-003
#     -9   -10       7.1211030706E-004
#     -9    -9       4.5129924055E-004
#     -9    -8       1.0077566347E-003
#     -9    -7       2.9506052794E-003
#     -9    -6       3.7455496760E-003
#     -9    -5       6.6583163068E-004
#     -9    -4       1.7219000641E-004
#     -9    -3       9.4053798448E-003
#     -9    -2       1.7587243827E-003
#     -9    -1       5.6890559900E-003
#     -9     0       1.0317782760E-002
#     -9     1       5.3372790799E-004
#     -9     2       1.5197775055E-003
#     -9     3       1.0640987598E-002
#     -9     4       3.5186024109E-003
#     -9     5       9.9650229326E-004
#     -9     6       6.2108266859E-003
#     -9     7       7.0335522472E-004
#     -9     8       9.0811910925E-004
#     -9     9       1.7105293475E-002
#     -9    10       3.2904261434E-005
#     -9    11       1.5949525616E-004
#     -9    12       1.0066108211E-003
#     -9    13       1.6175369659E-004
#     -8   -15       4.4719979920E-004
#     -8   -14       1.0852782565E-003
#     -8   -13       6.3410638676E-004
#     -8   -12       2.8286989041E-004
