 Diffraction intensities for potential:4x4MoS210001.in                         
#    -28    21       2.8563543417E-005
#    -28    22       5.4902187534E-005
#    -27    -9       3.7060929681E-006
#    -27    -8       2.3123685650E-005
#    -27    -7       3.1446103946E-005
#    -27    -6       3.4577787821E-005
#    -27    -5       2.4333132193E-005
#    -27    -4       3.5172830826E-005
#    -27    -3       4.4641374491E-005
#    -27    -2       5.3898062353E-005
#    -27    -1       5.7780320402E-005
#    -27     0       8.3202913242E-005
#    -27     1       7.5046193847E-005
#    -27     2       7.9890178103E-005
#    -27     3       7.0587858683E-005
#    -27     4       4.8886859066E-005
#    -27     5       2.3041479462E-005
#    -27     6       1.0392484795E-005
#    -27     7       7.7712656697E-006
#    -27     8       1.2904148523E-005
#    -27     9       1.7422286846E-005
#    -27    10       4.1224451739E-005
#    -27    11       8.3081762399E-005
#    -27    12       1.2200777003E-004
#    -27    13       8.4912271005E-005
#    -27    14       7.0912794102E-005
#    -27    15       4.3777096819E-005
#    -27    16       7.4786341474E-005
#    -27    17       1.1547019993E-004
#    -27    18       1.8928223212E-004
#    -27    19       1.3300681507E-004
#    -27    20       8.7033880573E-005
#    -27    21       4.0676411812E-005
#    -27    22       1.4204251711E-005
#    -26   -10       4.3461402815E-005
#    -26    -9       3.3705347316E-005
#    -26    -8       4.4442466113E-005
#    -26    -7       4.9766998072E-005
#    -26    -6       6.3358889381E-005
#    -26    -5       2.8061748705E-005
#    -26    -4       3.9277762579E-005
#    -26    -3       4.6222833956E-005
#    -26    -2       8.5330899797E-005
#    -26    -1       7.4996177199E-005
#    -26     0       8.2084296309E-005
#    -26     1       7.5737323084E-005
#    -26     2       7.4027168498E-005
#    -26     3       4.8044373434E-005
#    -26     4       2.5519831539E-005
#    -26     5       8.5262717382E-006
#    -26     6       2.8856499984E-006
#    -26     7       2.5492583343E-006
#    -26     8       4.0988196293E-006
#    -26     9       1.8348358783E-005
#    -26    10       4.6210430276E-005
#    -26    11       7.9790358490E-005
#    -26    12       7.9884735268E-005
#    -26    13       6.3172266719E-005
#    -26    14       3.7085620770E-005
#    -26    15       3.3780994808E-005
#    -26    16       8.9006631576E-005
#    -26    17       1.0064221960E-004
#    -26    18       1.6348018753E-004
#    -26    19       1.6860848109E-004
#    -26    20       9.2525258432E-005
#    -26    21       6.8113600903E-005
#    -26    22       1.8927476857E-005
#    -25   -11       3.8074698593E-005
#    -25   -10       3.0548392586E-005
#    -25    -9       3.8360105605E-005
#    -25    -8       5.6030168277E-005
#    -25    -7       5.6994098571E-005
#    -25    -6       3.5072349414E-005
#    -25    -5       3.6073605922E-005
#    -25    -4       5.4332114888E-005
#    -25    -3       7.1048160348E-005
#    -25    -2       7.9870244981E-005
#    -25    -1       7.5771450063E-005
#    -25     0       8.3553670153E-005
#    -25     1       6.7568508996E-005
#    -25     2       4.9576250537E-005
#    -25     3       2.7396581635E-005
#    -25     4       1.4827528383E-005
#    -25     5       6.1445247388E-006
#    -25     6       4.2175015701E-006
#    -25     7       3.9402022514E-006
#    -25     8       9.0452635231E-006
#    -25     9       7.2241919205E-006
#    -25    10       1.6699993821E-005
#    -25    11       3.5739241981E-005
#    -25    12       4.6549817714E-005
#    -25    13       1.6665885960E-005
#    -25    14       9.3007967284E-006
#    -25    15       1.3263521830E-005
#    -25    16       6.7996422978E-005
#    -25    17       7.8941011839E-005
#    -25    18       1.3524164782E-004
#    -25    19       1.2417098410E-004
#    -25    20       5.6859597379E-005
