 Diffraction intensities for potential:restest_12_5010001.in                   
#    -45    11       8.0676793195E-007
#    -45    12       1.5643818195E-005
#    -45    13       1.0829606279E-005
#    -45    14       1.6580039542E-005
#    -45    15       1.0489425176E-005
#    -45    16       1.4053440790E-005
#    -44     7       6.9044667011E-006
#    -44     8       6.5218301121E-006
#    -44     9       1.1846491083E-005
#    -44    10       5.4604481081E-006
#    -44    11       8.1759740915E-006
#    -44    12       2.2627869939E-005
#    -44    13       1.0531556568E-005
#    -44    14       2.0922078789E-005
#    -44    15       1.2266610639E-005
#    -44    16       2.2092567788E-005
#    -44    17       9.0154903567E-006
#    -44    18       1.5888945373E-005
#    -44    19       7.8425786895E-006
#    -44    20       6.2059788906E-006
#    -43     4       5.4782828144E-006
#    -43     5       5.8085036692E-006
#    -43     6       7.0695688983E-006
#    -43     7       1.0012133576E-005
#    -43     8       1.2292699902E-005
#    -43     9       1.2500953347E-005
#    -43    10       1.2322985743E-005
#    -43    11       1.8825252594E-005
#    -43    12       2.2307099366E-005
#    -43    13       1.4394928820E-005
#    -43    14       2.2591464307E-005
#    -43    15       1.7970843710E-005
#    -43    16       1.3820892654E-005
#    -43    17       1.7665948240E-005
#    -43    18       4.9158576447E-005
#    -43    19       1.8405809869E-005
#    -43    20       1.7701913731E-005
#    -43    21       8.3947501111E-006
#    -43    22       1.8968811097E-005
#    -42     2       6.4744484221E-006
#    -42     3       7.2809785202E-006
#    -42     4       7.2932563984E-006
#    -42     5       5.7529822999E-006
#    -42     6       1.6404877326E-006
#    -42     7       5.5333884981E-006
#    -42     8       2.3425494888E-005
#    -42     9       1.4889990316E-005
#    -42    10       1.9038627561E-005
#    -42    11       2.1373081848E-005
#    -42    12       3.2342795901E-005
#    -42    13       4.9575376279E-005
#    -42    14       2.0379728160E-005
#    -42    15       2.1657775527E-005
#    -42    16       2.4544925011E-005
#    -42    17       2.6446116072E-005
#    -42    18       2.1607717257E-005
#    -42    19       2.9841109642E-005
#    -42    20       2.2602422333E-005
#    -42    21       1.7634837293E-005
#    -42    22       1.6264800710E-005
#    -42    23       2.8801584687E-005
#    -41     0       6.4392098714E-006
#    -41     1       6.0029781576E-006
#    -41     2       4.9905063534E-006
#    -41     3       1.1697790958E-005
#    -41     4       7.4145989060E-006
#    -41     5       1.0002504794E-005
#    -41     6       1.1310946002E-005
#    -41     7       1.5475484372E-005
#    -41     8       1.3288739829E-005
#    -41     9       1.9977607352E-005
#    -41    10       2.1067920644E-005
#    -41    11       3.2273876109E-005
#    -41    12       2.3463711939E-005
#    -41    13       2.7007375074E-005
#    -41    14       2.7435480765E-005
#    -41    15       2.9924183198E-005
#    -41    16       3.7544191995E-005
#    -41    17       2.8500839098E-005
#    -41    18       4.1437642328E-005
#    -41    19       3.2224948287E-005
#    -41    20       3.2000405470E-005
#    -41    21       3.0296146865E-005
#    -41    22       2.9296350797E-005
#    -41    23       1.6155689676E-005
#    -41    24       1.5136680777E-005
#    -40    -2       6.4853163757E-006
#    -40    -1       6.0240435202E-006
#    -40     0       1.3375218543E-005
#    -40     1       1.5052012092E-005
#    -40     2       2.6280951845E-005
#    -40     3       8.6825735299E-006
#    -40     4       1.6951576376E-005
#    -40     5       1.6563735092E-005
#    -40     6       1.4938889545E-005
#    -40     7       3.7552954296E-005
#    -40     8       2.2513223645E-005
#    -40     9       1.1541946655E-005
#    -40    10       4.0210990189E-005
#    -40    11       2.6337364587E-005
#    -40    12       3.7987288238E-005
#    -40    13       3.9391492882E-005
#    -40    14       6.2023972869E-005
#    -40    15       2.4695057048E-005
#    -40    16       3.8378599944E-005
#    -40    17       4.9272907747E-005
#    -40    18       4.5054723072E-005
