 Diffraction intensities for potential:restest_32_1010001.in                   
#    -45    11       3.2708088716E-006
#    -45    12       1.2476862821E-005
#    -45    13       2.9493363947E-005
#    -45    14       7.2644968681E-006
#    -45    15       7.6790530146E-005
#    -45    16       2.1099580774E-005
#    -44     7       1.0364020099E-005
#    -44     8       9.7488874390E-006
#    -44     9       7.5755226001E-006
#    -44    10       8.7456262128E-006
#    -44    11       2.9948122100E-005
#    -44    12       1.5241831227E-005
#    -44    13       3.0203744246E-005
#    -44    14       1.3166625657E-005
#    -44    15       2.3676725261E-005
#    -44    16       5.3919259372E-005
#    -44    17       5.8006369568E-005
#    -44    18       4.6867467358E-005
#    -44    19       6.4296537218E-005
#    -44    20       4.2408470273E-005
#    -43     4       1.9633083501E-006
#    -43     5       2.3041834592E-006
#    -43     6       1.9745038915E-006
#    -43     7       4.8260124642E-006
#    -43     8       1.6797611627E-005
#    -43     9       1.4728653873E-005
#    -43    10       2.1854542429E-005
#    -43    11       1.5019187455E-005
#    -43    12       3.3167170530E-005
#    -43    13       3.3638675228E-005
#    -43    14       1.9333875251E-005
#    -43    15       1.8066450335E-005
#    -43    16       3.2416061285E-005
#    -43    17       3.4139237353E-005
#    -43    18       2.5253308537E-005
#    -43    19       1.5822949665E-005
#    -43    20       6.5350140635E-005
#    -43    21       5.2883922141E-005
#    -43    22       3.8212277410E-005
#    -42     2       2.6278971770E-006
#    -42     3       2.3386260421E-006
#    -42     4       3.8375439260E-006
#    -42     5       7.0109298056E-006
#    -42     6       9.9828857040E-006
#    -42     7       7.2138197230E-006
#    -42     8       9.1983080025E-006
#    -42     9       1.1190908336E-005
#    -42    10       1.0493482660E-005
#    -42    11       7.2387266122E-006
#    -42    12       5.7379785703E-006
#    -42    13       5.1939613915E-006
#    -42    14       1.8553448168E-006
#    -42    15       7.1735352145E-006
#    -42    16       1.4227578376E-005
#    -42    17       1.3829928127E-005
#    -42    18       2.3939019356E-005
#    -42    19       5.5401468157E-005
#    -42    20       3.6288194803E-005
#    -42    21       4.2915193174E-005
#    -42    22       5.5995504938E-005
#    -42    23       3.1504283123E-005
#    -41     0       2.1263634304E-005
#    -41     1       5.7362397542E-006
#    -41     2       4.5124971229E-006
#    -41     3       3.2418726319E-006
#    -41     4       1.6140344265E-005
#    -41     5       5.4157234417E-006
#    -41     6       4.6342720707E-006
#    -41     7       1.0213331760E-005
#    -41     8       2.7788732914E-006
#    -41     9       4.0520331788E-005
#    -41    10       3.8577399824E-005
#    -41    11       6.8952637543E-006
#    -41    12       7.4198775668E-006
#    -41    13       1.0874167417E-005
#    -41    14       4.1620201889E-005
#    -41    15       4.4867098600E-005
#    -41    16       5.6216031632E-006
#    -41    17       2.9725702668E-005
#    -41    18       2.1439401770E-005
#    -41    19       6.2112581856E-005
#    -41    20       4.7839462105E-005
#    -41    21       6.5653680696E-006
#    -41    22       1.7869851339E-005
#    -41    23       1.4711293486E-005
#    -41    24       1.5223882366E-005
#    -40    -2       2.6297902882E-006
#    -40    -1       5.7337076602E-006
#    -40     0       1.1251641243E-005
#    -40     1       1.4044028536E-006
#    -40     2       1.9934783217E-006
#    -40     3       5.6760773504E-007
#    -40     4       2.6718374743E-006
#    -40     5       4.3627342153E-006
#    -40     6       6.8964605389E-007
#    -40     7       9.8068834567E-006
#    -40     8       1.0756340893E-005
#    -40     9       6.0264741669E-006
#    -40    10       5.0515937239E-005
#    -40    11       1.4246464442E-005
#    -40    12       2.5366514628E-005
#    -40    13       2.1062027066E-005
#    -40    14       2.3242855696E-005
#    -40    15       4.4083416218E-005
#    -40    16       1.1512944379E-005
#    -40    17       1.4034335973E-005
#    -40    18       2.8128617553E-006
#    -40    19       2.6868041029E-005
#    -40    20       2.7627849353E-005
#    -40    21       2.5867774496E-005
#    -40    22       1.4169232590E-005
#    -40    23       9.3224485955E-005
#    -40    24       1.0638026332E-005
#    -40    25       1.8971041787E-005
#    -39    -4       1.9703020739E-006
#    -39    -3       2.3424547681E-006
#    -39    -2       4.5105801005E-006
#    -39    -1       1.3994724101E-006
#    -39     0       1.5336663792E-006
#    -39     1       1.3958184662E-006
#    -39     2       2.3667897936E-006
#    -39     3       2.5394665875E-007
#    -39     4       2.2784790058E-006
#    -39     5       3.1241833957E-006
#    -39     6       7.3855040711E-006
#    -39     7       1.3962223786E-005
#    -39     8       1.7471133496E-005
#    -39     9       1.8032156190E-005
#    -39    10       2.0335742184E-005
#    -39    11       3.9251358367E-005
#    -39    12       5.6183559308E-005
#    -39    13       4.7607524648E-005
#    -39    14       5.7748040080E-005
#    -39    15       3.2951872182E-005
#    -39    16       8.1393031929E-005
#    -39    17       1.0374230510E-005
