 Diffraction intensities for potential:ensembletest210004.in                   
#    -45    11       2.3384340382E-006
#    -45    12       2.5793687887E-005
#    -45    13       2.9190769746E-005
#    -45    14       1.7326305255E-006
#    -45    15       4.9462905375E-005
#    -45    16       2.0324259000E-005
#    -44     7       1.6847423263E-006
#    -44     8       1.6907171053E-005
#    -44     9       2.9751650519E-005
#    -44    10       1.3264803560E-006
#    -44    11       2.6959493687E-005
#    -44    12       8.2389934077E-006
#    -44    13       2.7891826323E-005
#    -44    14       5.6632199275E-005
#    -44    15       1.0031374298E-005
#    -44    16       1.0873183915E-004
#    -44    17       5.9426957634E-006
#    -44    18       3.7067658769E-005
#    -44    19       3.2231889678E-005
#    -44    20       1.0837721003E-006
#    -43     4       1.4324057003E-005
#    -43     5       1.2070551804E-005
#    -43     6       3.5424455542E-006
#    -43     7       4.7834620811E-005
#    -43     8       5.3272776291E-006
#    -43     9       3.0306798069E-005
#    -43    10       2.7849279998E-005
#    -43    11       6.9816372868E-006
#    -43    12       9.6133020608E-005
#    -43    13       5.2862443090E-006
#    -43    14       7.0231105451E-005
#    -43    15       3.6117084541E-005
#    -43    16       1.0329010073E-005
#    -43    17       7.4798147354E-005
#    -43    18       1.4908207928E-005
#    -43    19       6.2745939359E-005
#    -43    20       5.4113751114E-005
#    -43    21       4.3575844083E-006
#    -43    22       6.8685548984E-005
#    -42     2       5.6510576521E-007
#    -42     3       3.2037639874E-005
#    -42     4       2.9508677627E-006
#    -42     5       1.5299536865E-005
#    -42     6       3.0419054520E-006
#    -42     7       2.8079111829E-006
#    -42     8       4.5160996661E-005
#    -42     9       6.0126847681E-006
#    -42    10       4.8981784684E-005
#    -42    11       5.2210677805E-005
#    -42    12       1.5121875720E-005
#    -42    13       1.3717118105E-004
#    -42    14       7.5025054376E-006
#    -42    15       5.1594020717E-005
#    -42    16       6.1050427928E-005
#    -42    17       1.2632877930E-005
#    -42    18       9.1316988657E-005
#    -42    19       1.0646765028E-005
#    -42    20       7.0769234189E-005
#    -42    21       5.7502833254E-005
#    -42    22       6.0959308911E-006
#    -42    23       6.7735669672E-005
#    -41     0       3.2873997726E-006
#    -41     1       1.3321068136E-005
#    -41     2       7.4848034299E-006
#    -41     3       4.4205370424E-006
#    -41     4       2.5099560338E-005
#    -41     5       3.1331208887E-006
#    -41     6       1.5335855542E-005
#    -41     7       4.2667153267E-005
#    -41     8       7.2381261496E-006
