 Diffraction intensities for potential:_6x6_03D10010.in                        
#    -54    14       2.3380579298E-007
#    -54    15       5.0437087609E-006
#    -54    16       1.6513249250E-005
#    -54    17       4.6354194684E-007
#    -54    18       7.7139352687E-006
#    -54    19       2.4275306050E-006
#    -54    20       1.8041445242E-007
#    -53     9       2.0998867482E-007
#    -53    10       3.7422173128E-007
#    -53    11       8.6347142046E-007
#    -53    12       8.0043288283E-007
#    -53    13       6.0552585614E-007
#    -53    14       8.4529700387E-007
#    -53    15       7.6292575900E-007
#    -53    16       7.1366510111E-007
#    -53    17       9.7420314772E-007
#    -53    18       5.6276825575E-007
#    -53    19       1.1890682991E-006
#    -53    20       9.4329254105E-007
#    -53    21       1.0938121395E-006
#    -53    22       7.1044252609E-007
#    -53    23       7.6949168096E-007
#    -53    24       3.8322154349E-007
#    -52     6       8.9344343061E-008
#    -52     7       9.3249013893E-007
#    -52     8       8.5649780780E-007
#    -52     9       1.9271836116E-007
#    -52    10       2.3056740194E-006
#    -52    11       1.7421693353E-006
#    -52    12       9.3950354274E-007
#    -52    13       5.8360762827E-006
#    -52    14       2.7451994085E-006
#    -52    15       1.4214724066E-006
#    -52    16       8.6851904486E-006
#    -52    17       2.9896664615E-006
#    -52    18       1.1670400867E-006
#    -52    19       6.8097214302E-006
#    -52    20       3.4012710877E-006
#    -52    21       1.9877768277E-006
#    -52    22       6.4076303282E-006
#    -52    23       1.6811695226E-006
#    -52    24       5.9956744222E-007
#    -52    25       1.1922397222E-006
#    -52    26       1.0547753767E-006
#    -51     3       6.4341662626E-008
#    -51     4       7.7376275760E-008
#    -51     5       4.0344618015E-007
#    -51     6       1.9356682230E-007
#    -51     7       3.7511848296E-007
#    -51     8       6.4761540816E-007
#    -51     9       3.0105417012E-007
#    -51    10       5.3132107449E-007
#    -51    11       8.7053150229E-007
#    -51    12       9.7778759398E-007
#    -51    13       1.3595506223E-006
#    -51    14       2.1602591301E-006
#    -51    15       1.7483296601E-006
#    -51    16       1.8820515675E-006
#    -51    17       1.5133934122E-006
#    -51    18       1.3882512522E-006
#    -51    19       1.3426808528E-006
#    -51    20       6.9594579618E-007
#    -51    21       1.1884332002E-006
#    -51    22       1.0745984940E-006
#    -51    23       8.7171792593E-007
#    -51    24       4.8685305765E-007
#    -51    25       1.0026970189E-006
#    -51    26       5.6416985125E-008
#    -51    27       1.7292909205E-007
#    -50     1       2.6195978442E-008
#    -50     2       4.0344023226E-009
#    -50     3       9.3775471310E-008
#    -50     4       2.5699062706E-007
#    -50     5       3.3048313909E-006
#    -50     6       6.5592920907E-007
#    -50     7       8.0288695645E-007
#    -50     8       2.4207005340E-006
#    -50     9       8.4461425193E-007
#    -50    10       1.4282887949E-006
#    -50    11       6.7978849708E-006
#    -50    12       4.9374998194E-006
#    -50    13       1.5574408739E-006
#    -50    14       1.1763048653E-005
#    -50    15       5.1356416521E-006
#    -50    16       3.0369810888E-006
#    -50    17       1.2032626492E-005
#    -50    18       1.0218737667E-005
#    -50    19       2.0868050910E-006
#    -50    20       9.3090659150E-006
#    -50    21       3.7248157881E-006
#    -50    22       3.0202048863E-006
#    -50    23       3.8869135475E-006
#    -50    24       3.0472542597E-006
#    -50    25       3.6758153124E-007
#    -50    26       3.7302047899E-006
#    -50    27       1.0998336722E-006
#    -50    28       2.9597960163E-006
#    -49    -1       2.3398097032E-007
#    -49     0       7.0282242366E-008
#    -49     1       1.0808019164E-007
#    -49     2       5.8386523005E-007
#    -49     3       8.5172023881E-008
#    -49     4       5.8762269794E-007
#    -49     5       5.5815572085E-007
#    -49     6       8.3266534427E-007
#    -49     7       4.4247351296E-007
#    -49     8       1.3707608806E-006
#    -49     9       7.2075456333E-007
#    -49    10       1.5955800180E-006
#    -49    11       1.9719917786E-006
#    -49    12       2.1687769631E-006
#    -49    13       2.3254667734E-006
#    -49    14       3.3863875495E-006
#    -49    15       3.3333257233E-006
#    -49    16       2.0762089337E-006
#    -49    17       2.9382526351E-006
#    -49    18       2.4560777772E-006
#    -49    19       1.9868934785E-006
#    -49    20       7.8807132754E-007
#    -49    21       1.8002975909E-006
#    -49    22       8.5564706000E-007
#    -49    23       1.2087611075E-006
#    -49    24       1.4580852010E-006
#    -49    25       6.3779204978E-007
#    -49    26       1.3992690796E-007
#    -49    27       8.8552237760E-007
#    -49    28       4.6754335964E-007
#    -49    29       1.1973937262E-007
#    -48    -3       1.7038243516E-007
#    -48    -2       2.3711819086E-007
#    -48    -1       1.8070671809E-007
#    -48     0       4.7372295772E-006
#    -48     1       1.0827740534E-007
#    -48     2       1.1854473049E-007
#    -48     3       3.5004222734E-007
#    -48     4       2.6553573331E-006
#    -48     5       6.7900738236E-007
#    -48     6       1.8362377458E-005
#    -48     7       3.5449823814E-006
#    -48     8       8.9986200761E-007
#    -48     9       2.0854765687E-006
#    -48    10       4.7381884114E-006
#    -48    11       2.1545314838E-006
#    -48    12       4.4651560273E-005
#    -48    13       8.9986847837E-006
#    -48    14       4.8577592897E-006
#    -48    15       2.2727201363E-005
#    -48    16       1.2394752932E-005
#    -48    17       5.6975726619E-006
#    -48    18       3.3602381431E-005
#    -48    19       7.5400484069E-006
#    -48    20       5.9176279390E-006
#    -48    21       2.1324712641E-005
#    -48    22       1.3354243922E-005
#    -48    23       2.2172564135E-006
