 Diffraction intensities for potential:restest_64_5010001.in                   
#    -45    11       7.9389378367E-007
#    -45    12       1.5773302158E-005
#    -45    13       1.0854750463E-005
#    -45    14       1.6465281666E-005
#    -45    15       1.0524377059E-005
#    -45    16       1.4087901568E-005
#    -44     7       6.9657609353E-006
#    -44     8       6.5564465310E-006
#    -44     9       1.1876347251E-005
#    -44    10       5.4517617679E-006
#    -44    11       8.1406465659E-006
#    -44    12       2.2603206640E-005
#    -44    13       1.0514577039E-005
#    -44    14       2.0920596967E-005
#    -44    15       1.2251545244E-005
#    -44    16       2.2123070283E-005
#    -44    17       9.0375530717E-006
#    -44    18       1.5912796175E-005
#    -44    19       7.8685541294E-006
#    -44    20       6.1935033900E-006
#    -43     4       5.5242406520E-006
#    -43     5       5.8374989150E-006
#    -43     6       7.0620463409E-006
#    -43     7       1.0063058722E-005
#    -43     8       1.2354113649E-005
#    -43     9       1.2495586105E-005
#    -43    10       1.2289686624E-005
#    -43    11       1.8738022082E-005
#    -43    12       2.2280949103E-005
#    -43    13       1.4313927430E-005
#    -43    14       2.2539948702E-005
#    -43    15       1.7968752534E-005
#    -43    16       1.3821317032E-005
#    -43    17       1.7622123522E-005
#    -43    18       4.9293549383E-005
#    -43    19       1.8424213866E-005
#    -43    20       1.7709196116E-005
#    -43    21       8.3903481242E-006
#    -43    22       1.9048959455E-005
#    -42     2       6.4996179093E-006
#    -42     3       7.2766412167E-006
#    -42     4       7.3370376382E-006
#    -42     5       5.7806850542E-006
#    -42     6       1.6516882579E-006
#    -42     7       5.5354583676E-006
#    -42     8       2.3357812131E-005
#    -42     9       1.4846829064E-005
#    -42    10       1.8959751270E-005
#    -42    11       2.1304994641E-005
#    -42    12       3.2248719846E-005
#    -42    13       4.9557994270E-005
#    -42    14       2.0354037105E-005
#    -42    15       2.1676363222E-005
#    -42    16       2.4563518087E-005
#    -42    17       2.6480782001E-005
#    -42    18       2.1593152342E-005
#    -42    19       2.9883079244E-005
#    -42    20       2.2626380964E-005
#    -42    21       1.7670014836E-005
#    -42    22       1.6265877756E-005
#    -42    23       2.8871836958E-005
#    -41     0       6.4408477852E-006
#    -41     1       5.9991231670E-006
