 Diffraction intensities for potential:ga5x5_07D10004.in                       
#    -28    13       4.8625607186E-006
#    -28    14       6.1083030954E-005
#    -28    15       1.2320027766E-005
#    -27     7       1.9230406096E-005
#    -27     8       1.4395220506E-005
#    -27     9       2.9263650299E-005
#    -27    10       9.8966411559E-006
#    -27    11       1.6317953620E-005
#    -27    12       1.3734147377E-005
#    -27    13       3.4371463539E-005
#    -27    14       1.1195123874E-005
#    -27    15       2.0693623735E-005
#    -27    16       1.1488293813E-005
#    -27    17       2.6220422778E-005
#    -27    18       8.1645780630E-005
#    -27    19       4.3279089917E-006
#    -27    20       3.9468210762E-005
#    -26     4       1.3950247551E-005
#    -26     5       5.9735458625E-006
#    -26     6       1.6881928536E-005
#    -26     7       5.6264303739E-006
#    -26     8       6.0557726373E-006
#    -26     9       5.4574797016E-005
#    -26    10       7.3186197002E-006
#    -26    11       5.3521769566E-006
#    -26    12       3.1761137036E-005
#    -26    13       8.5741219837E-005
#    -26    14       2.7971730244E-005
#    -26    15       2.9645608665E-005
#    -26    16       6.9751872986E-005
#    -26    17       4.2910719086E-005
#    -26    18       4.8398810780E-005
#    -26    19       3.9532182385E-005
#    -26    20       3.8851051829E-005
#    -26    21       4.2956932109E-005
#    -26    22       1.5347723001E-005
#    -25     2       1.5750751781E-007
#    -25     3       4.4333332004E-005
#    -25     4       1.0112627972E-005
#    -25     5       6.8546525238E-004
#    -25     6       1.1757048542E-005
#    -25     7       3.9313196561E-005
#    -25     8       5.1063552296E-005
#    -25     9       7.2752789607E-005
#    -25    10       7.0302694564E-004
#    -25    11       8.0152606890E-005
#    -25    12       1.1792987950E-005
#    -25    13       2.3098620028E-005
#    -25    14       8.2790157655E-006
#    -25    15       8.4369181576E-004
#    -25    16       1.5115996165E-004
#    -25    17       6.5822006392E-005
#    -25    18       3.3709504038E-005
#    -25    19       2.5551638658E-005
#    -25    20       2.8871148441E-004
#    -25    21       6.6771653924E-005
#    -25    22       2.2493991028E-005
#    -25    23       1.7575124380E-006
#    -24     0       1.5791674947E-006
#    -24     1       3.9340712863E-006
#    -24     2       4.4371809242E-006
#    -24     3       1.6001965993E-005
#    -24     4       2.1796693116E-006
#    -24     5       5.0527504013E-006
#    -24     6       5.8997914721E-005
#    -24     7       3.9113261143E-005
#    -24     8       1.1940059102E-004
#    -24     9       1.4069718417E-004
#    -24    10       1.6094310692E-005
#    -24    11       2.1051715870E-005
#    -24    12       9.9910156736E-005
#    -24    13       9.5987821949E-005
