 Diffraction intensities for potential:ga5x5_05D10003.in                       
#    -28    13       2.7962447946E-007
#    -28    14       4.6693844310E-005
#    -28    15       2.0129129547E-005
#    -27     7       2.1527577473E-006
#    -27     8       9.8587646612E-006
#    -27     9       1.8585325221E-006
#    -27    10       1.6555344324E-005
#    -27    11       9.0514575966E-006
#    -27    12       3.5371167732E-005
#    -27    13       1.5158620970E-005
#    -27    14       1.4111171652E-005
#    -27    15       2.5851246808E-005
#    -27    16       3.5623219103E-005
#    -27    17       2.4663364099E-005
#    -27    18       6.1584534160E-005
#    -27    19       4.0902592833E-005
#    -27    20       7.9414144911E-006
#    -26     4       6.5045628940E-008
#    -26     5       2.4464912811E-006
#    -26     6       2.0754805473E-005
#    -26     7       1.4822008977E-005
#    -26     8       6.2408967011E-007
#    -26     9       4.9568196923E-005
#    -26    10       1.7419429454E-005
#    -26    11       1.1257404928E-005
#    -26    12       4.9514810506E-005
#    -26    13       7.3891271254E-005
#    -26    14       3.3257773796E-005
#    -26    15       2.0206773644E-005
#    -26    16       8.1377898893E-005
#    -26    17       2.7036789429E-005
#    -26    18       4.3562485557E-006
#    -26    19       4.1924067483E-005
#    -26    20       6.7965491890E-005
#    -26    21       6.9461908591E-006
#    -26    22       2.8944517015E-006
#    -25     2       1.4156339495E-005
#    -25     3       9.2301801480E-006
#    -25     4       9.7401863643E-006
#    -25     5       8.1344161100E-004
#    -25     6       1.1755373475E-005
#    -25     7       6.4785105264E-006
#    -25     8       1.1219285587E-005
#    -25     9       4.9431475626E-007
#    -25    10       8.1345249816E-004
#    -25    11       1.7452783180E-005
#    -25    12       3.2155009679E-005
#    -25    13       3.9579148698E-005
#    -25    14       3.2757065017E-005
#    -25    15       1.8746585747E-004
#    -25    16       5.9269273723E-006
#    -25    17       5.6426453485E-005
#    -25    18       1.4781167022E-005
#    -25    19       5.6005178397E-005
#    -25    20       1.4295151562E-004
#    -25    21       4.3164483390E-005
#    -25    22       4.1458326496E-006
#    -25    23       1.1199375676E-005
#    -24     0       5.4144733303E-006
#    -24     1       2.2453015783E-005
#    -24     2       1.0838281079E-005
#    -24     3       1.5564987540E-005
#    -24     4       1.9581626063E-006
#    -24     5       3.8062608539E-005
#    -24     6       6.0169748724E-007
#    -24     7       1.2294198835E-005
#    -24     8       4.1288438331E-005
#    -24     9       4.2651535927E-005
#    -24    10       2.0713865904E-005
#    -24    11       8.0674050678E-005
#    -24    12       7.7682463575E-005
#    -24    13       1.7147619438E-006
#    -24    14       1.3418522105E-004
#    -24    15       4.7171759429E-005
#    -24    16       3.9402722859E-005
#    -24    17       3.3117051224E-005
#    -24    18       1.1508157767E-004
#    -24    19       3.7172799349E-005
#    -24    20       2.7470833737E-005
#    -24    21       2.5838105057E-005
#    -24    22       1.7435691509E-005
#    -24    23       4.8582818610E-005
#    -24    24       6.2523210257E-007
#    -23    -2       1.1481942694E-005
#    -23    -1       3.4626221187E-006
#    -23     0       3.1705628876E-005
#    -23     1       1.8118930171E-005
#    -23     2       6.9084708431E-005
#    -23     3       1.1476167596E-005
#    -23     4       1.4002497977E-005
#    -23     5       2.3937367249E-005
#    -23     6       1.4957375116E-004
#    -23     7       1.7118013517E-005
#    -23     8       7.9661921102E-005
#    -23     9       5.1166962532E-005
#    -23    10       1.4244852774E-005
#    -23    11       2.1430195959E-004
#    -23    12       7.1148494671E-005
#    -23    13       4.4149225211E-005
#    -23    14       2.9258700724E-005
#    -23    15       1.9814749393E-004
#    -23    16       7.7932743982E-005
#    -23    17       3.6402215128E-005
#    -23    18       2.9717609356E-005
#    -23    19       7.2364735809E-005
#    -23    20       6.1351291420E-005
#    -23    21       9.6614099036E-006
#    -23    22       4.5720683994E-005
#    -23    23       2.5033386331E-005
#    -23    24       6.1803415554E-005
#    -23    25       9.1298559862E-006
#    -22    -4       2.4619654039E-006
#    -22    -3       8.7192162509E-006
#    -22    -2       1.1268673595E-005
#    -22    -1       6.7761348374E-005
#    -22     0       5.5824221850E-006
#    -22     1       1.4047941224E-006
#    -22     2       1.6766742455E-005
#    -22     3       1.0104925230E-004
#    -22     4       1.7894693676E-006
#    -22     5       2.3633114921E-005
#    -22     6       3.5245348318E-005
#    -22     7       6.6893572021E-005
#    -22     8       4.2238457167E-005
#    -22     9       1.1754676811E-005
#    -22    10       3.7290615544E-005
#    -22    11       2.0864088234E-005
#    -22    12       1.7504748230E-004
#    -22    13       5.8199597536E-005
#    -22    14       6.7267111197E-005
#    -22    15       2.8229242707E-005
#    -22    16       1.3614196272E-004
#    -22    17       2.1175212767E-004
#    -22    18       3.4023848143E-005
#    -22    19       4.0436477945E-005
#    -22    20       7.3150207258E-005
#    -22    21       8.6473704556E-005
#    -22    22       1.6075484851E-005
#    -22    23       3.8646848190E-005
#    -22    24       1.8199434794E-005
#    -22    25       2.5211541954E-005
#    -22    26       5.2692387452E-007
#    -21    -5       3.4073394130E-006
#    -21    -4       4.7648451187E-005
#    -21    -3       4.2374402578E-006
#    -21    -2       4.7819763496E-005
#    -21    -1       6.2675900172E-005
#    -21     0       3.7841857009E-005
#    -21     1       5.3451368111E-005
#    -21     2       3.3626171113E-005
#    -21     3       8.8924076039E-006
#    -21     4       1.3392680601E-004
#    -21     5       5.4976459055E-005
#    -21     6       7.6401017948E-006
#    -21     7       2.5095789705E-005
#    -21     8       1.3963653301E-004
#    -21     9       6.9258379925E-005
#    -21    10       1.0177448773E-004
#    -21    11       1.2542880931E-004
#    -21    12       4.5850177632E-005
#    -21    13       2.7702983287E-004
#    -21    14       4.5532581130E-004
#    -21    15       6.6707498557E-005
#    -21    16       5.4337598232E-006
#    -21    17       9.8724527218E-005
#    -21    18       2.2802200184E-004
#    -21    19       1.9993927768E-005
#    -21    20       2.1941671191E-005
#    -21    21       1.5718384963E-006
#    -21    22       3.7016067204E-005
#    -21    23       1.3786299387E-005
#    -21    24       2.0150439570E-005
#    -21    25       8.2107353795E-006
#    -21    26       6.4739769554E-006
#    -20    -7       2.1783893341E-005
#    -20    -6       2.6020518520E-005
#    -20    -5       3.7701685736E-004
#    -20    -4       5.7570448728E-005
#    -20    -3       6.8774447435E-006
#    -20    -2       8.8624679218E-006
#    -20    -1       7.9329261138E-005
#    -20     0       6.4003981321E-003
#    -20     1       5.9573387813E-005
#    -20     2       1.1734335726E-004
#    -20     3       3.4920316959E-006
#    -20     4       4.8841363395E-005
#    -20     5       1.0280034971E-002
#    -20     6       3.8122564369E-006
#    -20     7       4.7488419947E-005
#    -20     8       1.0043732214E-005
#    -20     9       2.0268130562E-005
#    -20    10       5.2406494292E-003
#    -20    11       8.6380966864E-005
#    -20    12       1.3413138595E-006
#    -20    13       1.1188443881E-004
#    -20    14       1.4429487187E-004
#    -20    15       5.1742508824E-003
#    -20    16       3.4620304654E-006
#    -20    17       2.4502194379E-005
#    -20    18       1.2034857860E-004
#    -20    19       2.5136617578E-004
#    -20    20       2.7472396940E-003
#    -20    21       5.0818972081E-006
#    -20    22       7.4458636063E-005
#    -20    23       1.0789980649E-004
#    -20    24       2.4373564020E-005
#    -20    25       4.1210609079E-004
#    -20    26       3.2316292318E-005
#    -20    27       3.0095908681E-006
#    -19    -8       4.0257668200E-005
#    -19    -7       6.4746531069E-006
#    -19    -6       5.3315771155E-005
#    -19    -5       5.0226160037E-005
#    -19    -4       7.4619006708E-005
#    -19    -3       6.2881184994E-005
#    -19    -2       3.9240167656E-005
#    -19    -1       3.9402882141E-006
#    -19     0       8.3439782843E-005
#    -19     1       7.0887412443E-006
#    -19     2       8.1335367709E-005
#    -19     3       7.9827221011E-005
#    -19     4       3.8470910496E-005
#    -19     5       1.8815559990E-005
#    -19     6       2.2622615988E-005
#    -19     7       2.0422996503E-005
#    -19     8       2.5884841427E-005
#    -19     9       1.8711126097E-004
#    -19    10       5.8169099592E-006
#    -19    11       1.2056185229E-006
#    -19    12       3.9613020116E-004
#    -19    13       7.8898072284E-005
#    -19    14       3.7322437575E-005
#    -19    15       6.6858973963E-005
#    -19    16       3.2929733435E-004
#    -19    17       2.6663361811E-005
#    -19    18       4.3448942903E-005
#    -19    19       3.3135810836E-005
#    -19    20       4.7701933058E-005
#    -19    21       7.0952267126E-006
#    -19    22       3.0631232635E-005
#    -19    23       6.4726796417E-005
#    -19    24       6.1325784164E-005
#    -19    25       1.9654616170E-005
#    -19    26       1.5757836506E-005
#    -19    27       3.6398800339E-006
#    -18    -9       4.0846677093E-005
#    -18    -8       4.8508356301E-005
#    -18    -7       8.7849663065E-006
#    -18    -6       1.0546779386E-005
#    -18    -5       1.5263928179E-005
#    -18    -4       1.5842853108E-004
#    -18    -3       3.1523476191E-004
#    -18    -2       3.1204434478E-006
#    -18    -1       2.3176290241E-005
#    -18     0       1.1241128326E-004
#    -18     1       4.1883408512E-004
#    -18     2       1.1884277321E-004
#    -18     3       1.9979701166E-005
#    -18     4       3.6506304587E-004
#    -18     5       7.6533328118E-005
#    -18     6       2.3253310854E-004
#    -18     7       1.0118828229E-004
#    -18     8       1.5933738897E-005
#    -18     9       2.2347899831E-004
#    -18    10       1.4145829084E-004
#    -18    11       1.9675225572E-004
#    -18    12       7.4628180895E-005
#    -18    13       5.1005921566E-004
#    -18    14       1.3074416381E-005
#    -18    15       8.6009499798E-005
#    -18    16       2.4433745552E-004
#    -18    17       9.8241522338E-005
#    -18    18       1.6694663090E-004
#    -18    19       1.0753991305E-005
#    -18    20       1.0539764812E-004
#    -18    21       3.3363752721E-005
#    -18    22       5.6834228798E-005
#    -18    23       5.2799418404E-005
#    -18    24       4.3726181512E-006
#    -18    25       1.6162522342E-005
#    -18    26       2.5973456299E-005
#    -18    27       6.3503114763E-006
#    -17   -10       2.0610175630E-005
#    -17    -9       2.8936157542E-005
#    -17    -8       4.2070531218E-006
#    -17    -7       8.7054315993E-005
#    -17    -6       1.5978113456E-004
#    -17    -5       2.5133842803E-005
#    -17    -4       1.9558668569E-005
#    -17    -3       1.5591716290E-005
#    -17    -2       3.3381518004E-004
#    -17    -1       1.1520634863E-004
#    -17     0       4.1341917178E-005
#    -17     1       1.7032948889E-004
#    -17     2       7.3192390970E-005
#    -17     3       1.6583222579E-004
#    -17     4       6.3256738875E-005
#    -17     5       5.3361316787E-005
#    -17     6       9.9610992333E-006
#    -17     7       8.2688058213E-005
#    -17     8       8.0310330773E-005
#    -17     9       2.5957369923E-005
#    -17    10       4.7709478692E-005
#    -17    11       3.1698851811E-005
#    -17    12       2.6629440543E-004
#    -17    13       1.8679075396E-004
#    -17    14       1.4836045407E-004
#    -17    15       9.7216288363E-005
#    -17    16       3.9158293451E-005
#    -17    17       4.3088733427E-004
#    -17    18       1.4738617802E-004
#    -17    19       2.3310097797E-004
#    -17    20       7.8518421407E-005
#    -17    21       2.7500438401E-004
#    -17    22       1.4049885920E-004
#    -17    23       8.7686475921E-005
#    -17    24       1.0574491611E-004
#    -17    25       4.7054498447E-005
#    -17    26       1.8185984050E-005
#    -17    27       4.7549116451E-005
#    -16   -11       6.2728771144E-005
#    -16   -10       2.6082323772E-005
#    -16    -9       1.5908668292E-005
#    -16    -8       8.3452757225E-005
#    -16    -7       1.6800172819E-004
#    -16    -6       2.0108294428E-004
#    -16    -5       7.1708782746E-005
#    -16    -4       4.4345884913E-005
#    -16    -3       5.2006298347E-005
#    -16    -2       6.9507816167E-005
#    -16    -1       4.7918156668E-004
#    -16     0       9.1733024534E-005
#    -16     1       5.4431501293E-005
#    -16     2       2.7744370302E-005
#    -16     3       2.3974905824E-004
#    -16     4       2.3099221236E-005
#    -16     5       6.0732401266E-005
#    -16     6       9.0053647130E-005
#    -16     7       1.0662064828E-004
#    -16     8       2.6518153891E-004
#    -16     9       8.4242475657E-005
#    -16    10       1.0392342486E-004
#    -16    11       1.2484811650E-004
#    -16    12       2.1644082002E-005
#    -16    13       5.9436219152E-005
#    -16    14       5.6565109841E-004
#    -16    15       1.2652911811E-005
#    -16    16       3.2758242767E-005
#    -16    17       5.2752070216E-005
#    -16    18       1.7453781323E-004
#    -16    19       3.2478118230E-005
#    -16    20       4.8785406418E-005
#    -16    21       9.1128672740E-006
#    -16    22       4.0038914179E-005
#    -16    23       1.3916666798E-005
#    -16    24       7.5251666227E-006
#    -16    25       1.9319413989E-005
#    -16    26       5.8707890469E-006
#    -16    27       2.1739014707E-006
#    -15   -13       7.5335833619E-006
#    -15   -12       1.2780178652E-005
#    -15   -11       4.4289215881E-005
#    -15   -10       5.7793620981E-004
#    -15    -9       1.3157077707E-004
#    -15    -8       2.4096998431E-005
#    -15    -7       3.4456335614E-005
#    -15    -6       8.0351315263E-005
#    -15    -5       9.3808298744E-003
#    -15    -4       3.9671867146E-004
#    -15    -3       4.3036895050E-005
#    -15    -2       2.4408386260E-005
#    -15    -1       1.2228276093E-004
#    -15     0       3.5384212381E-002
#    -15     1       2.9379782123E-005
#    -15     2       1.3438968616E-004
#    -15     3       2.6376504350E-004
#    -15     4       1.7709568394E-004
#    -15     5       1.2985216694E-002
#    -15     6       2.7531571833E-005
#    -15     7       5.8527855111E-005
#    -15     8       8.0518355921E-005
#    -15     9       1.2294232164E-004
#    -15    10       1.4257342803E-002
#    -15    11       2.9479130312E-004
#    -15    12       1.7285420470E-005
#    -15    13       7.5205883502E-006
#    -15    14       6.9023788595E-005
#    -15    15       2.3216957521E-002
#    -15    16       3.3256010650E-004
#    -15    17       6.4215983394E-005
#    -15    18       5.3762846259E-005
#    -15    19       6.9933768540E-005
#    -15    20       5.7886344730E-003
#    -15    21       1.2766367979E-004
#    -15    22       2.0975441079E-004
#    -15    23       3.0388660831E-005
#    -15    24       6.3759204444E-005
#    -15    25       4.3690976091E-004
