 Diffraction intensities for potential:gv5x5_03D10001.in                       
#    -28    13       7.6695474457E-007
#    -28    14       2.0043338124E-008
#    -28    15       4.0325005280E-006
#    -27     7       3.4443562195E-007
#    -27     8       4.0383984468E-007
#    -27     9       1.2386851063E-006
#    -27    10       1.7971607221E-006
#    -27    11       2.3792498727E-007
#    -27    12       1.3114270255E-006
#    -27    13       3.4290873315E-006
#    -27    14       6.6302525145E-007
#    -27    15       1.7888222401E-006
#    -27    16       8.4552465660E-007
#    -27    17       3.6279152078E-006
#    -27    18       7.2626655029E-007
#    -27    19       5.9687816595E-007
#    -27    20       5.0063989084E-007
#    -26     4       8.9405039347E-007
#    -26     5       9.1739205374E-007
#    -26     6       9.7585823574E-007
#    -26     7       1.5078527549E-006
#    -26     8       3.5524973483E-006
#    -26     9       2.4074328895E-008
#    -26    10       1.3391559615E-006
#    -26    11       3.4407618865E-006
#    -26    12       2.3549239999E-006
#    -26    13       1.5322456394E-005
#    -26    14       1.1163531346E-006
#    -26    15       7.5255077301E-007
#    -26    16       5.2457237096E-007
#    -26    17       1.0486719155E-006
#    -26    18       2.5805193780E-006
#    -26    19       1.9371506803E-006
#    -26    20       4.2462116074E-006
#    -26    21       1.0439560584E-006
#    -26    22       4.3510113867E-007
#    -25     2       5.9500493279E-007
#    -25     3       1.1626237932E-006
#    -25     4       5.7592281230E-007
#    -25     5       8.6171494491E-004
#    -25     6       2.0217281372E-006
#    -25     7       3.4741531647E-006
#    -25     8       7.9843053553E-006
#    -25     9       4.2635760854E-007
#    -25    10       8.7891118993E-004
#    -25    11       2.7781731606E-006
#    -25    12       6.1996572257E-007
#    -25    13       1.3019949390E-006
#    -25    14       1.1062895690E-006
#    -25    15       3.7404876242E-004
#    -25    16       1.4895012059E-006
#    -25    17       8.2479805305E-006
#    -25    18       5.5811204154E-006
#    -25    19       9.5976374192E-009
#    -25    20       2.7063404231E-004
#    -25    21       2.3689455328E-007
#    -25    22       1.3730617964E-006
#    -25    23       2.8935630623E-006
#    -24     0       2.9376797160E-006
#    -24     1       2.9533169941E-006
#    -24     2       1.1662209473E-008
#    -24     3       1.0794107042E-006
#    -24     4       1.0276264921E-005
#    -24     5       9.1809048172E-006
#    -24     6       1.9448881057E-006
#    -24     7       4.0925828220E-006
#    -24     8       5.0226611253E-006
#    -24     9       2.8637181016E-006
#    -24    10       3.8916922440E-007
#    -24    11       3.5600660690E-006
#    -24    12       8.3592117695E-006
#    -24    13       8.9022131886E-006
#    -24    14       2.5843554753E-006
#    -24    15       2.9937198674E-006
#    -24    16       2.0259378973E-006
#    -24    17       3.6374823803E-006
#    -24    18       5.8016339533E-006
#    -24    19       1.8251011051E-006
#    -24    20       5.0493863288E-006
#    -24    21       1.0370167856E-006
