 Diffraction intensities for potential:-1x1interp10001.in                      
#     -1    -2       3.2205944088E-002
#     -1    -1       4.9352091849E-002
#     -1     0       1.3064801498E-002
#     -1     1       2.3489542177E-003
#     -1     2       7.8959816726E-002
#     -1     3       3.4435449807E-002
#      0    -4       1.2323125779E-006
#      0    -3       1.6219392813E-003
#      0    -2       2.2652439266E-002
#      0    -1       1.4328669392E-002
#      0     0       7.5956773881E-002
#      0     1       4.5635218451E-002
#      0     2       3.0314327313E-002
#      1    -3       1.5529358904E-002
#      1    -2       1.0026208743E-001
#      1    -1       2.8490215816E-002
#      1     0       5.0976123103E-002
#      1     1       5.0973047685E-002
#     -9     2       1.8397843067E-006
#     -9     3       1.6603017152E-005
#     -9     4       2.8193358312E-005
#     -9     5       7.2821885016E-006
#     -8     0       3.5865462399E-007
#     -8     1       7.7472519085E-006
#     -8     2       2.4475050697E-005
#     -8     3       2.5262169490E-005
#     -8     4       1.7850152039E-004
#     -8     5       3.9904500333E-005
#     -8     6       4.5641620354E-006
#     -7    -1       5.9296491865E-007
#     -7     0       1.0819801089E-005
#     -7     1       2.9430955469E-005
#     -7     2       1.6044202490E-004
#     -7     3       2.9381351412E-004
#     -7     4       8.3389046050E-005
#     -7     5       6.0202056323E-005
#     -7     6       2.0741945633E-006
#     -6    -2       1.5051650510E-006
#     -6    -1       2.2924202646E-005
#     -6     0       2.5116320177E-004
#     -6     1       5.2365629944E-004
#     -6     2       7.9991511068E-004
#     -6     3       5.3934928801E-004
#     -6     4       2.4105759483E-004
#     -6     5       6.3103016422E-005
#     -6     6       1.1238423659E-005
#     -5    -3       4.8303639654E-006
#     -5    -2       5.1731105143E-005
#     -5    -1       5.5239693679E-004
#     -5     0       1.0416991349E-003
#     -5     1       2.9673456915E-003
#     -5     2       3.0857377992E-003
#     -5     3       1.5644038745E-003
#     -5     4       5.0457354889E-004
#     -5     5       9.1914413077E-005
#     -5     6       3.7816943402E-006
#     -4    -3       1.1249397335E-004
#     -4    -2       7.8925186471E-004
#     -4    -1       2.4195810607E-003
#     -4     0       1.0560028684E-002
#     -4     1       1.3002021643E-002
#     -4     2       9.9333649198E-003
#     -4     3       4.8668925586E-003
#     -4     4       2.5966925025E-003
#     -4     5       2.4484543659E-004
#     -3    -4       3.7322260949E-005
#     -3    -3       4.6796521431E-004
#     -3    -2       2.9589431153E-003
#     -3    -1       1.3328162383E-002
#     -3     0       3.1842172669E-002
#     -3     1       2.3491882832E-002
#     -3     2       1.2228145029E-002
#     -3     3       1.7463943139E-002
#     -3     4       2.2085201196E-003
#     -3     5       1.6460902578E-003
#     -2    -4       1.1990939430E-004
#     -2    -3       8.1627316153E-004
#     -2    -2       1.5956821889E-002
#     -2    -1       3.5766918592E-002
#     -2     0       4.5352008550E-002
#     -2     1       1.9366856600E-002
#     -2     2       3.2341879481E-002
#     -2     3       2.3428141521E-002
#     -2     4       1.1112161454E-002
#     -1    -4       4.8424763226E-004
#     -1    -3       2.3734128317E-003
#     -1    -2       2.7163579597E-002
#     -1    -1       4.8382847543E-002
#     -1     0       9.9671623066E-003
#     -1     1       2.6400815599E-003
#     -1     2       8.0041430151E-002
#     -1     3       2.6603432035E-002
#      0    -4       3.2519674071E-003
#      0    -3       4.9843056221E-003
#      0    -2       2.1858916945E-002
#      0    -1       1.3404998491E-002
#      0     0       7.0006254324E-002
#      0     1       5.0889750107E-002
#      0     2       2.7631154315E-002
#      1    -3       1.7068721440E-002
#      1    -2       9.0463241235E-002
#      1    -1       4.4372399780E-002
#      1     0       5.2317254748E-002
#      1     1       5.8337489666E-002
#     -9     2       1.3996756309E-006
#     -9     3       1.9407616180E-005
#     -9     4       2.0503348341E-005
#     -9     5       7.0694487542E-006
#     -8     0       9.3839261415E-008
#     -8     1       6.6644993870E-006
#     -8     2       2.4958182055E-005
#     -8     3       2.0723111865E-005
#     -8     4       1.7265629349E-004
#     -8     5       3.0472822299E-005
#     -8     6       6.3329599882E-007
#     -7    -1       5.0818404843E-007
#     -7     0       1.2013722212E-005
#     -7     1       3.2165901484E-005
#     -7     2       1.4619276281E-004
#     -7     3       2.8019146195E-004
#     -7     4       8.2771768319E-005
#     -7     5       6.2606871915E-005
#     -7     6       1.8742168615E-006
#     -6    -2       2.0637652305E-006
#     -6    -1       1.9905637920E-005
#     -6     0       2.6650510354E-004
#     -6     1       5.3737145902E-004
#     -6     2       7.9837613385E-004
#     -6     3       5.1459009876E-004
#     -6     4       2.5474185060E-004
#     -6     5       7.4007331544E-005
#     -6     6       7.6719905337E-006
#     -5    -3       3.4519198726E-006
#     -5    -2       6.4801681014E-005
#     -5    -1       5.6588355153E-004
#     -5     0       1.0816681578E-003
#     -5     1       3.0837365924E-003
#     -5     2       3.0955617994E-003
#     -5     3       1.4912900822E-003
#     -5     4       5.6538103578E-004
#     -5     5       1.0412402431E-004
#     -5     6       2.8480578054E-006
#     -4    -3       1.4967303853E-004
#     -4    -2       7.7594387068E-004
#     -4    -1       2.5204157713E-003
#     -4     0       1.1094647792E-002
#     -4     1       1.3329902955E-002
#     -4     2       9.9628227345E-003
#     -4     3       4.4662259135E-003
#     -4     4       3.1740965359E-003
#     -4     5       1.3348494092E-004
#     -3    -4       3.7676612721E-005
#     -3    -3       6.0263804403E-004
#     -3    -2       2.9542993813E-003
#     -3    -1       1.4392139855E-002
#     -3     0       3.3715469743E-002
#     -3     1       2.3221301476E-002
#     -3     2       1.2068375173E-002
#     -3     3       1.6562774496E-002
#     -3     4       3.8484077709E-003
#     -3     5       2.8606195294E-004
#     -2    -4       1.5833800342E-004
#     -2    -3       1.4118889062E-003
#     -2    -2       1.6371575120E-002
#     -2    -1       4.1440932483E-002
#     -2     0       4.7651862746E-002
#     -2     1       1.7346398363E-002
#     -2     2       3.0303863391E-002
#     -2     3       2.5185458826E-002
#     -2     4       8.0967130787E-003
#     -1    -4       6.5694856063E-005
#     -1    -3       3.9786357912E-003
#     -1    -2       3.0747334306E-002
#     -1    -1       6.1165111732E-002
#     -1     0       6.8305884516E-003
#     -1     1       1.1039734667E-003
#     -1     2       8.2630580613E-002
#     -1     3       2.9898560970E-002
#      0    -4       1.3395148473E-004
#      0    -3       5.2157898752E-003
#      0    -2       2.3640624228E-002
#      0    -1       2.4408334793E-002
#      0     0       7.0316703983E-002
#      0     1       3.5699486821E-002
#      0     2       2.4689762001E-002
#      1    -3       8.6604532202E-003
#      1    -2       3.8476324677E-002
#      1    -1       8.4877982753E-002
#      1     0       6.4717272788E-002
#      1     1       4.8022338822E-002
#     -9     2       9.3783935361E-007
#     -9     3       1.1615411095E-005
#     -9     4       2.0224174001E-005
#     -9     5       7.1642162524E-006
#     -8     0       5.1293913666E-007
#     -8     1       5.4910286681E-006
#     -8     2       2.7940078600E-005
#     -8     3       2.9584757218E-005
#     -8     4       1.7215939231E-004
#     -8     5       3.8502067047E-005
#     -8     6       1.7443227304E-007
#     -7    -1       6.9948853872E-007
#     -7     0       1.4810132246E-005
#     -7     1       3.2043643400E-005
#     -7     2       1.5893996599E-004
#     -7     3       2.9050752604E-004
#     -7     4       8.0538911943E-005
#     -7     5       6.1061199029E-005
#     -7     6       2.1339298781E-006
#     -6    -2       2.1533513966E-006
#     -6    -1       2.0460707799E-005
#     -6     0       2.6472688602E-004
#     -6     1       5.1864461384E-004
#     -6     2       8.0697875769E-004
#     -6     3       5.1256160636E-004
#     -6     4       2.6934091240E-004
#     -6     5       6.8100069851E-005
#     -6     6       9.1526488307E-006
#     -5    -3       6.3256426309E-006
#     -5    -2       5.9960625929E-005
#     -5    -1       5.4963833733E-004
#     -5     0       1.0034488591E-003
#     -5     1       2.9392500036E-003
#     -5     2       3.0651860170E-003
#     -5     3       1.5830221726E-003
#     -5     4       5.7837447953E-004
#     -5     5       7.5449287831E-005
#     -5     6       4.2715837602E-006
#     -4    -3       1.3783410641E-004
#     -4    -2       7.8235887827E-004
#     -4    -1       2.3515022943E-003
#     -4     0       1.0474406298E-002
#     -4     1       1.3308808023E-002
#     -4     2       1.0171367668E-002
#     -4     3       4.7910271712E-003
#     -4     4       2.9855157268E-003
#     -4     5       1.6151434652E-004
#     -3    -4       3.3662134213E-005
#     -3    -3       5.3640095938E-004
#     -3    -2       2.6724789707E-003
#     -3    -1       1.3041116916E-002
#     -3     0       3.1432405940E-002
#     -3     1       2.3981325185E-002
#     -3     2       1.2290208475E-002
#     -3     3       1.7770074939E-002
#     -3     4       3.4468370265E-003
#     -3     5       7.0717661410E-004
#     -2    -4       1.5040371100E-004
#     -2    -3       1.1203013600E-003
#     -2    -2       1.4689898022E-002
#     -2    -1       3.3869326799E-002
#     -2     0       4.5415820872E-002
#     -2     1       1.8289612687E-002
#     -2     2       3.2682042116E-002
#     -2     3       2.8004577156E-002
#     -2     4       9.4951897227E-003
#     -1    -4       1.8354414592E-004
#     -1    -3       3.1534154887E-003
#     -1    -2       2.2195560741E-002
#     -1    -1       4.4397216811E-002
#     -1     0       1.0671351934E-002
#     -1     1       8.6738857883E-004
#     -1     2       9.7561754095E-002
#     -1     3       3.2685919113E-002
#      0    -4       8.7222956535E-004
#      0    -3       7.6463696192E-003
#      0    -2       1.6739942043E-002
#      0    -1       1.3314036981E-002
#      0     0       7.7941262335E-002
#      0     1       5.9846515619E-002
#      0     2       1.8774304946E-002
#      1    -4       1.7152121653E-003
#      1    -3       2.8481514393E-002
#      1    -2       1.1626251587E-001
#      1    -1       3.5844996001E-002
#      1     0       5.8659624481E-002
#      1     1       4.0999757687E-003
#     -9     2       5.8675372505E-007
#     -9     3       9.8968074677E-006
#     -9     4       2.0756755805E-005
#     -9     5       1.1527488318E-006
#     -8     0       1.2595874322E-008
#     -8     1       5.6750223188E-006
#     -8     2       2.5171900860E-005
#     -8     3       2.1138447085E-005
#     -8     4       1.2662803705E-004
#     -8     5       6.6657199871E-005
#     -8     6       8.5043113553E-006
#     -7    -1       2.7479296555E-007
#     -7     0       1.5351407163E-005
#     -7     1       3.0413087158E-005
#     -7     2       1.5270591559E-004
#     -7     3       2.7234786666E-004
#     -7     4       8.2830018331E-005
#     -7     5       8.8584052005E-005
#     -7     6       9.3460943852E-007
#     -6    -2       1.7799479901E-006
#     -6    -1       2.1795507247E-005
#     -6     0       2.6041934782E-004
#     -6     1       5.1243377775E-004
#     -6     2       7.7683728359E-004
#     -6     3       4.7178378938E-004
#     -6     4       2.9012221189E-004
#     -6     5       1.0594195377E-004
#     -6     6       4.0003042852E-006
#     -5    -3       3.1507023427E-006
#     -5    -2       7.4771873278E-005
#     -5    -1       5.1750278386E-004
#     -5     0       9.9165511733E-004
#     -5     1       2.8072865148E-003
#     -5     2       2.8952435210E-003
#     -5     3       1.6112506675E-003
#     -5     4       6.8129525315E-004
#     -5     5       9.7314420581E-005
#     -5     6       6.2656978770E-007
#     -4    -3       1.6691268696E-004
#     -4    -2       7.6305713921E-004
#     -4    -1       2.3338783421E-003
#     -4     0       1.0171983365E-002
#     -4     1       1.2570408399E-002
#     -4     2       9.6767701395E-003
#     -4     3       5.5020683635E-003
#     -4     4       3.4178788806E-003
#     -4     5       1.3115338611E-004
#     -3    -4       2.2513145875E-005
#     -3    -3       5.7419387808E-004
#     -3    -2       2.5961067699E-003
#     -3    -1       1.2869422160E-002
#     -3     0       2.9352157098E-002
#     -3     1       2.1613420454E-002
#     -3     2       1.2423850209E-002
#     -3     3       2.1543377813E-002
#     -3     4       3.2324952019E-003
#     -3     5       4.9551945187E-004
#     -2    -4       1.6044794096E-004
#     -2    -3       1.2740025008E-003
#     -2    -2       1.4251343558E-002
#     -2    -1       3.1567477869E-002
#     -2     0       4.0015035967E-002
#     -2     1       1.4300249259E-002
#     -2     2       4.0410405704E-002
#     -2     3       3.3429168938E-002
#     -2     4       6.7365118226E-003
#     -1    -4       1.1664004791E-004
#     -1    -3       3.4006908664E-003
#     -1    -2       2.0829866108E-002
#     -1    -1       3.6767610323E-002
#     -1     0       6.7728030193E-003
#     -1     1       1.2257561836E-003
#     -1     2       1.2700154120E-001
#     -1     3       1.6552201992E-002
#      0    -4       5.7440309812E-004
#      0    -3       8.7145733429E-003
#      0    -2       1.8432550749E-002
#      0    -1       7.1829225944E-003
#      0     0       8.7588192518E-002
#      0     1       7.7515698598E-002
#      0     2       2.6157891876E-003
#      1    -4       1.4777106861E-003
#      1    -3       3.0134098567E-002
#      1    -2       1.2160983735E-001
#      1    -1       3.9526984523E-002
#      1     0       4.7303817132E-002
#     -9     2       1.1000130156E-007
#     -9     3       7.4676527321E-006
#     -9     4       1.2593981699E-005
#     -9     5       4.3528374331E-006
#     -8     0       1.4184270415E-008
#     -8     1       5.3386738657E-006
#     -8     2       2.4891186619E-005
#     -8     3       2.6586880009E-005
#     -8     4       1.5482431381E-004
#     -8     5       4.4642042479E-005
#     -8     6       8.1999883170E-007
#     -7    -1       9.4324208337E-007
#     -7     0       1.7683393602E-005
#     -7     1       3.0955638097E-005
#     -7     2       1.4945497664E-004
#     -7     3       2.6957057909E-004
#     -7     4       7.8587133499E-005
#     -7     5       7.0129994530E-005
#     -7     6       5.5853009531E-006
#     -6    -2       5.1682895353E-006
#     -6    -1       2.0974806743E-005
#     -6     0       2.7265599410E-004
#     -6     1       5.2433082092E-004
#     -6     2       7.7820001321E-004
#     -6     3       4.7237232514E-004
#     -6     4       2.7976068916E-004
#     -6     5       6.8699944798E-005
#     -6     6       8.1726164648E-006
#     -5    -3       7.7678928601E-006
#     -5    -2       7.3208978686E-005
#     -5    -1       5.4144309738E-004
#     -5     0       1.0155481766E-003
#     -5     1       2.8258226967E-003
#     -5     2       2.7862343910E-003
#     -5     3       1.4880338463E-003
#     -5     4       7.0805987533E-004
#     -5     5       5.9549838414E-005
#     -5     6       1.9814062687E-006
#     -4    -3       1.6665537546E-004
#     -4    -2       8.1884701184E-004
#     -4    -1       2.4359586444E-003
#     -4     0       1.0471455407E-002
#     -4     1       1.2875820552E-002
#     -4     2       9.4887155861E-003
#     -4     3       5.2790427807E-003
#     -4     4       3.2696739848E-003
#     -4     5       1.1716283332E-006
#     -3    -4       4.0003686211E-005
#     -3    -3       6.6079152745E-004
#     -3    -2       2.7817714756E-003
#     -3    -1       1.3542713482E-002
#     -3     0       3.0816802778E-002
#     -3     1       2.3266118928E-002
#     -3     2       1.0629788678E-002
#     -3     3       2.1741457128E-002
#     -3     4       2.4130306165E-003
#     -3     5       1.0444532500E-003
#     -2    -4       1.2826287774E-004
#     -2    -3       1.3784139400E-003
#     -2    -2       1.4963004214E-002
#     -2    -1       3.3628509198E-002
#     -2     0       4.4244806863E-002
#     -2     1       1.8687741648E-002
#     -2     2       2.8678305397E-002
#     -2     3       3.8777352170E-002
#     -2     4       3.2266329024E-003
#     -1    -4       6.5740098069E-005
#     -1    -3       3.5768275359E-003
#     -1    -2       2.2741270241E-002
#     -1    -1       4.0673699783E-002
#     -1     0       1.0583757838E-002
#     -1     1       3.9752362426E-004
#     -1     2       9.5192362483E-002
#     -1     3       2.5085595432E-002
#      0    -4       5.3162089604E-004
#      0    -3       8.2312658540E-003
#      0    -2       1.9409832033E-002
#      0    -1       9.5365567674E-003
#      0     0       9.4664721221E-002
#      0     1       4.4515967372E-002
#      0     2       1.6974395119E-002
#      1    -4       1.1614628763E-003
#      1    -3       2.5192293690E-002
#      1    -2       1.1182989569E-001
#      1    -1       3.5470105873E-002
#      1     0       8.5865071397E-002
#     -9     2       7.6687216840E-007
#     -9     3       8.0287781281E-006
#     -9     4       1.6024927939E-005
#     -8     0       1.4294308128E-007
#     -8     1       5.6965934032E-006
#     -8     2       2.1240260146E-005
#     -8     3       1.8596255314E-005
#     -8     4       1.5355557356E-004
#     -8     5       3.3986329019E-005
#     -7    -1       9.4096452395E-007
#     -7     0       1.6695449082E-005
#     -7     1       3.3223613175E-005
#     -7     2       1.5930607514E-004
#     -7     3       2.8499137111E-004
#     -7     4       7.6716530766E-005
#     -7     5       5.4178660038E-005
#     -7     6       1.2216413117E-006
#     -6    -2       3.3484113698E-006
#     -6    -1       2.1301121484E-005
#     -6     0       2.6082104012E-004
#     -6     1       5.4884245068E-004
#     -6     2       8.0102554187E-004
#     -6     3       4.7189836348E-004
#     -6     4       2.3040841974E-004
#     -6     5       6.9956904347E-005
#     -6     6       1.0651191065E-005
#     -5    -3       4.1616332473E-006
#     -5    -2       9.2144376998E-005
#     -5    -1       5.1587320027E-004
#     -5     0       1.0538062770E-003
#     -5     1       2.9077511335E-003
#     -5     2       2.8817436417E-003
#     -5     3       1.3819912157E-003
#     -5     4       6.1462012753E-004
#     -5     5       7.1450511988E-005
#     -5     6       1.7681089389E-005
#     -4    -4       8.8850677127E-006
#     -4    -3       2.0458779281E-004
#     -4    -2       7.8640502364E-004
#     -4    -1       2.5418672279E-003
#     -4     0       1.0771095548E-002
#     -4     1       1.3188482379E-002
#     -4     2       1.0087212079E-002
#     -4     3       4.3568810017E-003
#     -4     4       3.2248478115E-003
#     -4     5       9.9558989610E-005
#     -3    -4       5.1175964452E-006
#     -3    -3       6.3505132245E-004
#     -3    -2       2.8791340995E-003
#     -3    -1       1.4067780677E-002
#     -3     0       3.1792913671E-002
#     -3     1       2.4093692034E-002
#     -3     2       1.1539737297E-002
#     -3     3       1.6900758099E-002
#     -3     4       3.8101417782E-003
#     -3     5       3.1709452583E-004
#     -2    -4       8.4821484820E-005
#     -2    -3       1.4879874042E-003
#     -2    -2       1.4301250731E-002
#     -2    -1       3.5736589874E-002
#     -2     0       4.5778083452E-002
#     -2     1       2.0271725621E-002
#     -2     2       2.6358169637E-002
#     -2     3       2.8260241273E-002
#     -2     4       7.3635882301E-003
#     -1    -4       6.5027763128E-006
#     -1    -3       2.9059014906E-003
#     -1    -2       2.2094209982E-002
#     -1    -1       4.3026341865E-002
#     -1     0       1.1001953682E-002
#     -1     1       1.0503691976E-003
#     -1     2       9.0044003707E-002
#     -1     3       3.0100890460E-002
#      0    -4       1.2207459228E-003
#      0    -3       8.2684486774E-003
#      0    -2       1.5418853127E-002
#      0    -1       8.9073735343E-003
#      0     0       9.6301989522E-002
#      0     1       3.1665784107E-002
#      0     2       2.6501213515E-002
#      1    -4       2.6765262157E-003
#      1    -3       3.3590618200E-002
#      1    -2       9.3666266108E-002
#      1    -1       4.1539641875E-002
#      1     0       9.6213586456E-002
#     -9     2       6.1869885071E-007
#     -9     3       9.6857330771E-006
#     -9     4       2.1213001372E-005
#     -8     0       6.5838840684E-008
#     -8     1       5.4048564485E-006
#     -8     2       2.0391855849E-005
#     -8     3       1.4600309720E-005
#     -8     4       1.4248932559E-004
#     -8     5       2.7515801371E-005
#     -7    -1       2.9408937736E-007
#     -7     0       1.6530674475E-005
#     -7     1       3.0555429137E-005
#     -7     2       1.5326862335E-004
#     -7     3       2.8031430409E-004
#     -7     4       7.4010756386E-005
#     -7     5       4.8008103642E-005
#     -7     6       3.0134407555E-006
#     -6    -2       1.7476845769E-006
#     -6    -1       1.9285263426E-005
#     -6     0       2.6391613242E-004
#     -6     1       5.6387328759E-004
#     -6     2       8.2679395369E-004
#     -6     3       4.8311619236E-004
#     -6     4       2.0577413907E-004
#     -6     5       8.1057558289E-005
#     -6     6       2.6741609137E-006
#     -5    -3       4.3797256419E-006
#     -5    -2       8.7035978746E-005
#     -5    -1       5.3489231225E-004
#     -5     0       1.0401987101E-003
#     -5     1       2.9463639823E-003
#     -5     2       2.9110800216E-003
#     -5     3       1.3626361620E-003
#     -5     4       5.2130324686E-004
#     -5     5       8.8248803738E-005
#     -4    -4       1.0522392883E-005
#     -4    -3       1.6988105714E-004
#     -4    -2       8.1262661960E-004
#     -4    -1       2.5371433415E-003
#     -4     0       1.0914902107E-002
#     -4     1       1.3354230000E-002
#     -4     2       1.0311209784E-002
#     -4     3       4.1961814029E-003
#     -4     4       2.9538909922E-003
#     -4     5       1.5049145634E-004
#     -3    -4       6.5937946625E-005
#     -3    -3       6.1598770361E-004
#     -3    -2       2.7854282309E-003
#     -3    -1       1.4331502962E-002
#     -3     0       3.2250593912E-002
#     -3     1       2.4980582132E-002
#     -3     2       1.1785314835E-002
#     -3     3       1.6091043576E-002
#     -3     4       3.3477678807E-003
#     -3     5       4.9132317308E-004
#     -2    -4       2.4623685056E-004
#     -2    -3       1.1958469140E-003
#     -2    -2       1.4681475648E-002
#     -2    -1       3.5700180487E-002
#     -2     0       4.7211642138E-002
#     -2     1       2.2057828272E-002
#     -2     2       2.4134857835E-002
#     -2     3       2.7250044495E-002
#     -2     4       7.7072618845E-003
#     -1    -4       1.9759292046E-004
#     -1    -3       3.4087468506E-003
#     -1    -2       2.2542078629E-002
#     -1    -1       4.3085795309E-002
#     -1     0       1.1221641525E-002
#     -1     1       1.8964102759E-003
#     -1     2       8.2400567477E-002
#     -1     3       2.9894901689E-002
#      0    -4       1.1706650153E-003
#      0    -3       8.9263170495E-003
#      0    -2       1.8854590260E-002
#      0    -1       9.3918323860E-003
#      0     0       9.3188530452E-002
#      0     1       2.4757785843E-002
#      0     2       3.2492621349E-002
#      1    -4       1.9117106931E-003
#      1    -3       2.6427957138E-002
#      1    -2       9.1414396993E-002
#      1    -1       3.8892610976E-002
#      1     0       1.1278844782E-001
#     -9     2       5.4274441959E-007
#     -9     3       8.1930720767E-006
#     -9     4       2.0266465319E-005
#     -8     0       5.1663577220E-008
#     -8     1       5.1060683544E-006
#     -8     2       2.2647155847E-005
#     -8     3       2.1661322633E-005
#     -8     4       1.5704336468E-004
#     -8     5       1.8965101494E-005
#     -7    -1       1.1359949941E-006
#     -7     0       1.6503879074E-005
#     -7     1       3.1302708051E-005
#     -7     2       1.7307943800E-004
#     -7     3       3.0001303299E-004
#     -7     4       7.1742255132E-005
#     -7     5       4.2945659571E-005
#     -7     6       1.1224846670E-006
#     -6    -2       5.9383870740E-006
#     -6    -1       1.9275432008E-005
#     -6     0       2.6255800993E-004
#     -6     1       5.6836787311E-004
#     -6     2       8.7246768264E-004
#     -6     3       5.1466202974E-004
#     -6     4       1.8755841398E-004
#     -6     5       5.3617384826E-005
#     -6     6       7.1480627613E-006
#     -5    -3       1.3902968246E-005
#     -5    -2       9.2462434925E-005
#     -5    -1       5.2601181028E-004
#     -5     0       1.0240279834E-003
#     -5     1       3.0105080748E-003
#     -5     2       3.0113411936E-003
#     -5     3       1.3929690313E-003
#     -5     4       4.1960560272E-004
#     -5     5       8.9812784514E-005
#     -4    -4       4.5113395141E-005
#     -4    -3       2.1970187126E-004
#     -4    -2       7.7707171563E-004
#     -4    -1       2.5227347574E-003
#     -4     0       1.1087019244E-002
#     -4     1       1.4051993229E-002
#     -4     2       1.0928241454E-002
#     -4     3       4.0386555269E-003
#     -4     4       2.5266624861E-003
#     -4     5       1.7204580460E-004
#     -3    -4       7.5381384951E-005
#     -3    -3       4.8519750289E-004
#     -3    -2       2.8099206672E-003
#     -3    -1       1.4107090827E-002
#     -3     0       3.3411011754E-002
#     -3     1       2.7798621607E-002
#     -3     2       1.2644812022E-002
#     -3     3       1.4984453403E-002
#     -3     4       2.7256519228E-003
#     -3     5       6.9854547156E-004
#     -2    -4       1.8900049287E-004
#     -2    -3       1.4984979351E-003
#     -2    -2       1.3414253497E-002
#     -2    -1       3.5061942595E-002
#     -2     0       5.1612434866E-002
#     -2     1       2.6962394689E-002
#     -2     2       2.1747590244E-002
#     -2     3       2.5287038364E-002
#     -2     4       7.9652244617E-003
#     -1    -5       1.5608301392E-004
#     -1    -4       1.4782736963E-004
#     -1    -3       3.3369970193E-003
#     -1    -2       1.8887678909E-002
#     -1    -1       4.3746680736E-002
#     -1     0       1.8027859258E-002
#     -1     1       3.4629216379E-003
#     -1     2       7.1071092789E-002
#     -1     3       3.6181343412E-002
#      0    -4       8.9705606883E-004
#      0    -3       1.0661847487E-002
#      0    -2       1.3986350823E-002
#      0    -1       1.6845146354E-002
#      0     0       8.0455071415E-002
#      0     1       2.2366644248E-002
#      0     2       5.0239601915E-002
#      1    -4       1.1004592511E-003
#      1    -3       3.7921639492E-002
#      1    -2       1.2045169204E-001
#      1    -1       1.6173576314E-002
#      1     0       8.1069385723E-002
#     -9     2       3.1794693365E-007
#     -9     3       7.2417668046E-006
#     -9     4       1.7428244896E-005
#     -8     0       1.9488303366E-007
#     -8     1       4.3477230086E-006
#     -8     2       2.0067266160E-005
#     -8     3       1.4875061705E-005
#     -8     4       1.2995586444E-004
#     -8     5       2.6671388594E-005
#     -7    -1       1.9071652279E-006
#     -7     0       1.2555592109E-005
#     -7     1       2.7016508359E-005
#     -7     2       1.5431345475E-004
#     -7     3       2.9369033430E-004
#     -7     4       1.0021090750E-004
#     -7     5       2.0196867912E-005
#     -7     6       1.8944746870E-005
#     -6    -2       7.9953115032E-006
#     -6    -1       1.5080768779E-005
#     -6     0       2.6695550902E-004
#     -6     1       5.8930304508E-004
#     -6     2       9.1504163971E-004
#     -6     3       5.2141183207E-004
#     -6     4       1.9968908110E-004
#     -6     5       9.7949328719E-005
#     -6     6       6.4188220412E-006
#     -5    -3       1.6954274455E-005
#     -5    -2       6.6774234147E-005
#     -5    -1       5.4191614897E-004
#     -5     0       1.0153790830E-003
#     -5     1       3.0787486287E-003
#     -5     2       3.2486442573E-003
#     -5     3       1.5808374233E-003
#     -5     4       3.9739183031E-004
#     -5     5       3.8300569688E-005
#     -4    -4       1.3404420488E-005
#     -4    -3       1.4815813741E-004
#     -4    -2       8.5504971482E-004
#     -4    -1       2.5687548688E-003
#     -4     0       1.1154586006E-002
#     -4     1       1.4493303254E-002
#     -4     2       1.2351478801E-002
#     -4     3       4.4388741177E-003
#     -4     4       2.4140444711E-003
#     -4     5       1.6782050671E-005
#     -3    -4       8.8877110517E-005
#     -3    -3       6.1245669605E-004
#     -3    -2       2.9913349335E-003
#     -3    -1       1.4443580193E-002
#     -3     0       3.3570011921E-002
#     -3     1       2.9861417284E-002
#     -3     2       1.7445846033E-002
#     -3     3       1.3147990256E-002
#     -3     4       1.6365056956E-003
#     -2    -4       1.8399473039E-004
#     -2    -3       1.4995110332E-003
#     -2    -2       1.4740591662E-002
#     -2    -1       3.4552141806E-002
#     -2     0       5.3498142021E-002
#     -2     1       3.1128578617E-002
#     -2     2       2.8605742405E-002
#     -2     3       1.5356810625E-002
#     -2     4       1.0294162466E-002
#     -1    -5       3.0968716188E-005
#     -1    -4       1.7919130888E-004
#     -1    -3       3.6861530563E-003
#     -1    -2       2.2062810868E-002
#     -1    -1       4.1169269709E-002
#     -1     0       1.6977387129E-002
#     -1     1       9.7994920901E-003
#     -1     2       6.1126643532E-002
#     -1     3       3.7785242698E-002
#      0    -5       3.3700227361E-006
#      0    -4       1.1621775084E-003
#      0    -3       9.5939864850E-003
#      0    -2       2.5086712379E-002
#      0    -1       1.0300167288E-002
#      0     0       4.0835806591E-002
#      0     1       3.9748878395E-002
#      0     2       8.5688371950E-002
#      1    -4       2.2747862631E-003
#      1    -3       2.5394615614E-002
#      1    -2       1.2201646509E-001
#      1    -1       2.9159800221E-002
#      1     0       5.0350502811E-002
#     -9     2       7.7209677627E-008
#     -9     3       3.8182519471E-006
#     -9     4       1.2030248308E-005
#     -8     0       1.0929981677E-007
#     -8     1       5.5361654364E-006
#     -8     2       2.3834592477E-005
#     -8     3       1.6690280468E-005
#     -8     4       1.1284344490E-004
#     -8     5       2.0338577329E-005
#     -7    -1       2.0312930867E-006
#     -7     0       1.5479055413E-005
#     -7     1       2.8721576529E-005
#     -7     2       1.4309844916E-004
#     -7     3       2.5333829320E-004
#     -7     4       6.8945458217E-005
#     -7     5       3.4036915161E-005
#     -6    -2       6.7926062618E-006
#     -6    -1       2.3016214420E-005
#     -6     0       2.6022040734E-004
#     -6     1       5.6657334010E-004
#     -6     2       9.0080772165E-004
#     -6     3       5.1255828182E-004
#     -6     4       2.1334539907E-004
#     -6     5       4.8488330259E-005
