 Diffraction intensities for potential:-1x1interp10001.in                      
#     -7     4       6.4593837025E-005
#     -7     5       6.4467493478E-005
#     -7     6       5.9580441194E-006
#     -7     7       1.0566983956E-006
#     -6    -1       1.0680209116E-005
#     -6     0       1.1417912309E-004
#     -6     1       4.0976727044E-004
#     -6     2       6.4519129260E-004
#     -6     3       3.9842229358E-004
#     -6     4       2.5793950235E-004
#     -6     5       1.0551492115E-004
#     -6     6       3.3774081764E-005
#     -6     7       4.4569086592E-007
#     -5    -2       8.6453503939E-006
#     -5    -1       2.0307375885E-004
#     -5     0       7.6878732906E-004
#     -5     1       2.5728243294E-003
#     -5     2       2.7496928824E-003
#     -5     3       1.3572392820E-003
#     -5     4       9.8875721710E-004
#     -5     5       1.6504957637E-004
#     -5     6       2.9022250873E-005
#     -5     7       1.2912238472E-007
#     -4    -2       2.9734041126E-004
#     -4    -1       1.3971302671E-003
#     -4     0       9.1385632988E-003
#     -4     1       1.1611159613E-002
#     -4     2       7.7216346263E-003
#     -4     3       6.2759261948E-003
#     -4     4       3.9638589452E-003
#     -4     5       3.7367285673E-004
#     -4     6       5.7269380357E-005
#     -3    -3       3.5142497637E-004
#     -3    -2       1.8014391733E-003
#     -3    -1       1.1294725733E-002
#     -3     0       3.0006907027E-002
#     -3     1       1.9265654852E-002
#     -3     2       1.1454598805E-002
#     -3     3       2.1979266125E-002
#     -3     4       4.6470054916E-003
#     -3     5       6.6318443528E-004
#     -3     6       1.9872874389E-004
#     -2    -3       8.3944227735E-004
#     -2    -2       1.2692578820E-002
#     -2    -1       4.2198610041E-002
#     -2     0       4.0047360855E-002
#     -2     1       1.1930662096E-002
#     -2     2       4.4614132863E-002
#     -2     3       2.6540993090E-002
#     -2     4       9.1194695553E-003
#     -2     5       9.1040649398E-004
#     -1    -3       3.9370984276E-003
#     -1    -2       2.1567741195E-002
#     -1    -1       7.4769089950E-002
#     -1     0       8.3858278560E-003
#     -1     1       3.9897609445E-003
#     -1     2       7.3419275678E-002
#     -1     3       3.5641471833E-002
#     -1     4       6.5434214258E-003
#      0    -3       5.2310407272E-003
#      0    -2       9.5823261234E-003
#      0    -1       3.0017261001E-002
#      0     0       9.2963962572E-002
#      0     1       4.1513610723E-002
#      0     2       3.0054448185E-002
#      0     3       1.6216144387E-002
#      1    -2       7.2978394223E-002
#      1    -1       4.4297032577E-002
#      1     0       6.8751115382E-002
#      1     1       1.6998094116E-002
#     -9     3       1.9578381835E-005
#     -9     4       3.4672462943E-005
#     -9     5       9.0444661515E-006
#     -9     6       1.4880656803E-005
#     -8     1       3.3877211500E-006
#     -8     2       1.7123644144E-005
#     -8     3       3.1375496799E-005
#     -8     4       1.8190719686E-004
#     -8     5       5.4000197957E-005
#     -8     6       1.0379495041E-006
#     -8     7       1.8905792298E-006
#     -7     0       3.6428667110E-006
#     -7     1       1.9138731297E-005
#     -7     2       1.4567583364E-004
#     -7     3       2.4765655477E-004
#     -7     4       7.2820690916E-005
#     -7     5       5.7592588716E-005
#     -7     6       5.8967897529E-006
#     -7     7       2.2761162485E-007
#     -6    -1       7.0622616351E-006
#     -6     0       1.2370033026E-004
#     -6     1       4.0078063642E-004
#     -6     2       6.6047471757E-004
#     -6     3       4.1026721519E-004
#     -6     4       2.5637569132E-004
#     -6     5       8.9327386709E-005
#     -6     6       2.9592835197E-005
#     -6     7       3.8593137388E-007
#     -5    -2       1.2621525985E-005
#     -5    -1       2.2249490063E-004
#     -5     0       7.8298061137E-004
#     -5     1       2.5603046002E-003
#     -5     2       2.7846466284E-003
#     -5     3       1.4014852977E-003
#     -5     4       9.1245168186E-004
#     -5     5       1.3644715767E-004
#     -5     6       2.2767848172E-005
#     -5     7       1.4935980088E-006
#     -4    -3       1.6132783636E-005
#     -4    -2       3.6192511587E-004
#     -4    -1       1.6337979231E-003
#     -4     0       9.0091244262E-003
#     -4     1       1.1617227116E-002
#     -4     2       7.9511540251E-003
#     -4     3       6.1696865753E-003
#     -4     4       3.5617824676E-003
#     -4     5       3.9662503763E-004
#     -4     6       4.8398389080E-005
#     -3    -3       2.5944024290E-004
#     -3    -2       2.3910560018E-003
#     -3    -1       1.1928114777E-002
#     -3     0       2.9182452875E-002
#     -3     1       1.9651284332E-002
#     -3     2       1.2017565535E-002
#     -3     3       2.0248331828E-002
#     -3     4       4.4358118314E-003
#     -3     5       1.0796673930E-003
#     -3     6       4.0523040879E-005
#     -2    -3       7.4403865922E-004
#     -2    -2       1.4805734736E-002
#     -2    -1       4.0574781660E-002
#     -2     0       3.8702828329E-002
#     -2     1       1.4231295164E-002
#     -2     2       4.2353294351E-002
#     -2     3       2.1831043101E-002
#     -2     4       1.3562108442E-002
#     -2     5       5.5677675570E-004
#     -1    -3       1.5180224148E-003
#     -1    -2       2.9630701035E-002
#     -1    -1       6.3537731829E-002
#     -1     0       9.8572537998E-003
#     -1     1       5.1415036725E-003
#     -1     2       6.1576626373E-002
#     -1     3       4.8581794848E-002
#     -1     4       2.3952734466E-003
#      0    -3       8.8338786156E-004
#      0    -2       1.8354375973E-002
#      0    -1       2.2633400798E-002
#      0     0       7.7694047849E-002
#      0     1       4.3195977419E-002
#      0     2       4.1568065863E-002
#      0     3       1.4815643257E-003
#      1    -2       8.6689891226E-002
#      1    -1       3.9447850835E-002
#      1     0       5.4279686254E-002
#      1     1       5.0433729995E-002
#     -9     3       2.2404374542E-005
#     -9     4       3.3114504039E-005
#     -9     5       1.0164376468E-005
#     -9     6       1.2240584938E-005
#     -8     1       2.2539296585E-006
#     -8     2       2.0936626949E-005
#     -8     3       2.8043739080E-005
#     -8     4       1.7474343885E-004
#     -8     5       5.6384497331E-005
#     -8     6       1.7601579215E-006
#     -8     7       5.4312194209E-007
#     -7     0       5.3642326759E-006
#     -7     1       1.9322624687E-005
#     -7     2       1.3298702886E-004
#     -7     3       2.5570148646E-004
#     -7     4       7.6288250441E-005
#     -7     5       5.7679031304E-005
#     -7     6       5.5279796174E-006
#     -7     7       2.4498762467E-007
#     -6    -1       4.5632395648E-006
#     -6     0       1.3437743273E-004
#     -6     1       4.1371631778E-004
#     -6     2       6.6811922652E-004
#     -6     3       4.0022221989E-004
#     -6     4       2.5857077518E-004
#     -6     5       8.3236591654E-005
#     -6     6       2.8783326903E-005
#     -6     7       3.1161205923E-007
#     -5    -2       7.7510514084E-006
#     -5    -1       2.4276571652E-004
#     -5     0       8.0273852656E-004
#     -5     1       2.6218832051E-003
#     -5     2       2.7501585376E-003
#     -5     3       1.3642232739E-003
#     -5     4       9.1591505639E-004
#     -5     5       1.1947444074E-004
#     -5     6       2.8472950034E-005
#     -5     7       8.8582732121E-007
#     -4    -3       1.8497130305E-005
#     -4    -2       3.4476666365E-004
#     -4    -1       1.6943451358E-003
#     -4     0       9.4049398127E-003
#     -4     1       1.1608270271E-002
#     -4     2       7.7095094568E-003
#     -4     3       6.0267825014E-003
#     -4     4       3.5847261515E-003
#     -4     5       3.3981889037E-004
#     -4     6       6.3787216844E-005
#     -3    -3       2.2073820553E-004
#     -3    -2       1.9334250974E-003
#     -3    -1       1.2610701836E-002
#     -3     0       3.0352667982E-002
#     -3     1       1.8874285872E-002
#     -3     2       1.1363477668E-002
#     -3     3       2.0217735025E-002
#     -3     4       4.2377497945E-003
#     -3     5       9.6403221374E-004
#     -3     6       3.9982960380E-005
#     -2    -3       5.3988519990E-004
#     -2    -2       1.2509997175E-002
#     -2    -1       4.4690054147E-002
#     -2     0       3.8277919015E-002
#     -2     1       1.3221646880E-002
#     -2     2       4.0878686585E-002
#     -2     3       2.1896593039E-002
#     -2     4       1.3133564166E-002
#     -2     5       4.4142102623E-004
#     -1    -3       2.2505579963E-003
#     -1    -2       2.5340015936E-002
#     -1    -1       7.0096115450E-002
#     -1     0       7.1397371022E-003
#     -1     1       4.2591629039E-003
#     -1     2       6.3455649286E-002
#     -1     3       4.7007955005E-002
#     -1     4       2.6199220294E-003
#      0    -3       6.8231464105E-003
#      0    -2       1.4580207705E-002
#      0    -1       1.8431202441E-002
#      0     0       8.4876560365E-002
#      0     1       4.6912259948E-002
#      0     2       3.8293383107E-002
#      0     3       2.3048327177E-003
#      1    -3       1.2989728089E-002
#      1    -2       5.2555087249E-002
#      1    -1       5.4155332620E-002
#      1     0       5.3974645156E-002
#      1     1       5.2972577603E-002
#     -9     3       2.3260324816E-005
#     -9     4       3.1099863778E-005
#     -9     5       1.2514854785E-005
#     -9     6       7.1047121293E-006
#     -8     1       1.1940681595E-006
#     -8     2       1.8235240956E-005
#     -8     3       2.9784221286E-005
#     -8     4       1.6862290398E-004
#     -8     5       5.1400454832E-005
#     -8     6       5.1908207766E-007
#     -8     7       2.4048575187E-006
#     -7     0       2.7805054630E-006
#     -7     1       1.8582259916E-005
#     -7     2       1.3233467101E-004
#     -7     3       2.5100733913E-004
#     -7     4       7.3079715126E-005
#     -7     5       6.4945583157E-005
#     -7     6       2.3807900539E-006
#     -7     7       5.1315633467E-007
#     -6    -1       5.7265135764E-006
