 Diffraction intensities for potential:_5x5_02D10006.in                        
#    -45    11       2.2072834894E-006
#    -45    12       5.9508030036E-005
#    -45    13       3.2693959637E-005
#    -45    14       6.7428286376E-005
#    -45    15       3.8493267471E-005
#    -45    16       4.6360648226E-005
#    -44     7       4.2970813518E-006
#    -44     8       1.4837679354E-006
#    -44     9       5.3333813414E-006
#    -44    10       2.0305880781E-006
#    -44    11       2.3427164035E-006
#    -44    12       3.6175636184E-006
#    -44    13       1.1250435685E-006
#    -44    14       3.3553241736E-006
#    -44    15       2.2830491426E-007
#    -44    16       6.1935283661E-006
#    -44    17       2.7893264715E-006
#    -44    18       7.7873820346E-006
#    -44    19       3.9517544775E-006
#    -44    20       1.0456848514E-005
#    -43     4       1.2016113594E-005
#    -43     5       1.2415363197E-005
#    -43     6       1.1291094293E-005
#    -43     7       2.8882507563E-005
#    -43     8       3.9979940120E-005
#    -43     9       4.5941352237E-005
#    -43    10       4.6408370776E-005
#    -43    11       4.9633093156E-005
#    -43    12       6.1167236253E-005
#    -43    13       4.1879886603E-005
#    -43    14       6.7374624235E-005
#    -43    15       4.0122150027E-005
#    -43    16       3.2980990342E-005
#    -43    17       3.0312279101E-005
#    -43    18       9.0341369873E-005
#    -43    19       4.4544202514E-005
#    -43    20       3.6515880557E-005
#    -43    21       2.5381394593E-005
#    -43    22       7.6684181446E-005
#    -42     2       2.2688273252E-005
#    -42     3       1.0140366888E-005
#    -42     4       1.2412825806E-005
#    -42     5       1.1782006962E-005
#    -42     6       9.1717876312E-006
#    -42     7       2.8523965102E-005
#    -42     8       6.1475418433E-005
#    -42     9       5.7675208430E-005
#    -42    10       5.7877111174E-005
#    -42    11       4.5840661815E-005
#    -42    12       6.8004763490E-005
#    -42    13       8.9955095247E-005
#    -42    14       5.3842476130E-005
#    -42    15       5.1341304785E-005
#    -42    16       5.2592222770E-005
#    -42    17       3.5328698043E-005
#    -42    18       5.6874587637E-005
#    -42    19       8.1366861491E-005
#    -42    20       7.2976583742E-005
#    -42    21       6.6347559803E-005
#    -42    22       8.2928789197E-005
#    -42    23       5.2448774063E-005
#    -41     0       2.5299245092E-006
#    -41     1       2.3629229618E-006
#    -41     2       1.7656245879E-006
#    -41     3       5.1750122484E-006
#    -41     4       4.1092909629E-006
#    -41     5       4.0999863812E-006
#    -41     6       1.9953020249E-006
#    -41     7       5.6662342410E-006
#    -41     8       4.1568124919E-006
#    -41     9       8.9718396175E-006
#    -41    10       1.1345142871E-005
#    -41    11       1.4917966961E-005
#    -41    12       2.0112761418E-005
#    -41    13       1.1677374948E-005
#    -41    14       1.3724691405E-005
#    -41    15       1.3583380620E-005
#    -41    16       1.1870149732E-005
#    -41    17       8.7243679258E-006
#    -41    18       8.8826552897E-006
#    -41    19       5.8451068789E-006
#    -41    20       6.9820763921E-006
#    -41    21       6.6300209125E-006
#    -41    22       1.0276696268E-005
#    -41    23       1.3905735825E-005
#    -41    24       1.2534825592E-005
#    -40    -2       1.7007755807E-005
#    -40    -1       1.5919748623E-005
#    -40     0       4.9230179434E-005
#    -40     1       4.0188621826E-005
#    -40     2       8.1822150736E-005
#    -40     3       1.9099371971E-005
#    -40     4       6.2625621388E-005
#    -40     5       6.5899609175E-005
#    -40     6       5.8666308321E-005
#    -40     7       1.6723698232E-004
#    -40     8       9.6629329384E-005
#    -40     9       6.1117023274E-005
#    -40    10       1.6202443088E-004
#    -40    11       1.1667898215E-004
#    -40    12       1.7371907778E-004
#    -40    13       1.6921684811E-004
#    -40    14       2.2695924986E-004
#    -40    15       1.1116868614E-004
#    -40    16       1.3188278363E-004
#    -40    17       1.5757320253E-004
#    -40    18       1.7716700110E-004
#    -40    19       1.7789460881E-004
#    -40    20       9.0383160470E-005
#    -40    21       1.9393046843E-004
#    -40    22       3.3147456961E-005
#    -40    23       6.8678942930E-005
#    -40    24       1.0294344440E-004
#    -40    25       8.4183547165E-005
#    -39    -4       1.6900226511E-006
#    -39    -3       5.2455548046E-006
#    -39    -2       1.3886390320E-006
#    -39    -1       7.8763020785E-006
#    -39     0       7.7851666603E-007
#    -39     1       2.2442952438E-006
#    -39     2       2.8669950835E-006
#    -39     3       2.8510155034E-006
#    -39     4       1.0739263646E-005
#    -39     5       8.7228793194E-006
#    -39     6       8.7046697271E-006
#    -39     7       8.3515572234E-006
#    -39     8       6.6160857814E-006
#    -39     9       1.2802232066E-005
#    -39    10       1.0173033642E-005
#    -39    11       2.0622712059E-005
#    -39    12       1.6331575856E-005
#    -39    13       1.1824479423E-005
#    -39    14       9.6643468307E-006
#    -39    15       8.1843996693E-006
#    -39    16       1.3404410362E-005
#    -39    17       1.8310974482E-005
#    -39    18       2.9407091275E-005
#    -39    19       1.9310117725E-005
#    -39    20       2.2701263102E-005
#    -39    21       9.7809762946E-006
#    -39    22       5.5279877354E-006
#    -39    23       9.0454710930E-006
#    -39    24       2.0008254299E-005
#    -39    25       1.3119792434E-005
#    -39    26       8.8218775584E-006
#    -38    -5       1.1111863263E-005
#    -38    -4       1.7968201709E-005
#    -38    -3       2.6917464027E-005
#    -38    -2       5.4498310397E-005
#    -38    -1       2.7089545191E-005
#    -38     0       2.0885133549E-005
#    -38     1       1.6422758194E-005
#    -38     2       3.4776209630E-005
#    -38     3       5.8655332848E-005
#    -38     4       5.6966049653E-005
#    -38     5       6.0107825893E-005
#    -38     6       4.9418082086E-005
#    -38     7       6.8434056636E-005
#    -38     8       5.6828571474E-005
#    -38     9       8.8712493723E-005
#    -38    10       8.7513649058E-005
#    -38    11       1.0230869918E-004
#    -38    12       1.0162599889E-004
#    -38    13       1.5462257400E-004
#    -38    14       1.2570773966E-004
#    -38    15       1.1418950959E-004
#    -38    16       8.8023236529E-005
#    -38    17       1.1211093961E-004
#    -38    18       2.0181350089E-004
#    -38    19       1.0850652496E-004
#    -38    20       1.2283659306E-004
#    -38    21       1.3205707011E-004
#    -38    22       1.6100637032E-004
#    -38    23       7.7128332251E-005
#    -38    24       1.3492174051E-004
#    -38    25       3.8584818601E-005
#    -38    26       2.4649834649E-005
#    -37    -7       6.6942456235E-006
#    -37    -6       1.8294970022E-005
#    -37    -5       1.4299346570E-005
#    -37    -4       1.9874774299E-005
#    -37    -3       2.3454896696E-005
#    -37    -2       2.3703808259E-005
#    -37    -1       1.9457816243E-005
#    -37     0       2.3157584896E-005
#    -37     1       2.8586412629E-005
#    -37     2       4.7054518234E-005
#    -37     3       5.9309431755E-005
#    -37     4       7.0906462220E-005
#    -37     5       6.7268723055E-005
#    -37     6       5.9272127071E-005
#    -37     7       8.0037726412E-005
#    -37     8       9.5362330278E-005
#    -37     9       8.6724763093E-005
#    -37    10       8.9435534059E-005
#    -37    11       8.5805198235E-005
#    -37    12       8.4512152530E-005
#    -37    13       1.0020852950E-004
#    -37    14       9.0057688629E-005
#    -37    15       9.9200599650E-005
#    -37    16       1.0329896906E-004
#    -37    17       1.0763413932E-004
#    -37    18       1.2128546502E-004
#    -37    19       1.3069161766E-004
#    -37    20       1.0540232609E-004
#    -37    21       1.0310744596E-004
#    -37    22       9.7486478965E-005
#    -37    23       6.1879144291E-005
#    -37    24       8.7981680094E-005
#    -37    25       3.8638014952E-005
#    -37    26       2.9090279170E-005
#    -37    27       3.0883998791E-005
#    -36    -8       1.7581650176E-006
#    -36    -7       5.3943157047E-006
#    -36    -6       2.2450888853E-008
#    -36    -5       1.0605000272E-006
#    -36    -4       2.3428348695E-006
#    -36    -3       1.3232178498E-006
#    -36    -2       4.1700750986E-006
#    -36    -1       2.2223446355E-006
#    -36     0       2.9841765647E-006
#    -36     1       2.1722703925E-006
#    -36     2       4.5191944906E-006
#    -36     3       1.0201500791E-005
#    -36     4       1.2573412970E-005
#    -36     5       1.3690490251E-005
#    -36     6       1.0487625362E-005
#    -36     7       1.1909277835E-005
#    -36     8       7.5902100570E-006
#    -36     9       1.0902843290E-005
#    -36    10       1.2548889929E-005
#    -36    11       1.6148002001E-005
#    -36    12       1.7028398878E-005
#    -36    13       1.7397185758E-005
#    -36    14       1.4230311586E-005
#    -36    15       1.3592298712E-005
#    -36    16       1.1447776641E-005
#    -36    17       8.7843772845E-006
#    -36    18       8.4069231138E-006
#    -36    19       2.0725941143E-005
#    -36    20       2.5367211641E-005
#    -36    21       3.6986363803E-005
#    -36    22       3.5279979842E-005
#    -36    23       3.1141518859E-005
#    -36    24       1.1687004532E-005
#    -36    25       8.1278448737E-006
#    -36    26       2.7379020395E-006
#    -36    27       1.1801180988E-006
#    -35    -9       3.7720641031E-005
#    -35    -8       4.7722000046E-005
#    -35    -7       2.1160205950E-005
#    -35    -6       3.5778256683E-005
#    -35    -5       5.0977861676E-005
#    -35    -4       6.5188359959E-005
#    -35    -3       8.2568602173E-005
#    -35    -2       4.6979743484E-005
#    -35    -1       4.2889443866E-005
#    -35     0       1.0601690484E-004
#    -35     1       7.2270663285E-005
#    -35     2       1.4434474109E-004
#    -35     3       1.1123392836E-004
#    -35     4       1.2530771285E-004
#    -35     5       3.1834530531E-005
#    -35     6       1.1825139573E-004
#    -35     7       1.3243811340E-004
#    -35     8       1.0738411160E-004
#    -35     9       1.1518880744E-004
#    -35    10       3.6821286187E-004
#    -35    11       1.1020473246E-004
#    -35    12       1.4480051561E-004
#    -35    13       9.2464537203E-005
#    -35    14       1.0119955536E-004
#    -35    15       2.3339156398E-004
#    -35    16       1.1310197562E-004
#    -35    17       1.0856004617E-004
#    -35    18       1.3102553847E-004
#    -35    19       2.0926778361E-004
#    -35    20       2.5425890347E-004
#    -35    21       2.7560661971E-004
#    -35    22       8.9060196196E-005
#    -35    23       1.7599144310E-004
#    -35    24       1.8766015307E-004
#    -35    25       9.0274429634E-005
#    -35    26       2.1116648456E-004
#    -35    27       1.5730212767E-004
#    -34   -11       4.1256483242E-007
#    -34   -10       7.3183174030E-007
#    -34    -9       2.6678354992E-006
#    -34    -8       2.1882747760E-006
#    -34    -7       6.1700180677E-006
#    -34    -6       3.7180881651E-006
#    -34    -5       2.6722683603E-006
#    -34    -4       4.7061729793E-006
#    -34    -3       5.0301536082E-006
#    -34    -2       5.4840989008E-006
#    -34    -1       1.0446689449E-005
