 Diffraction intensities for potential:x6x6_03D10005.in                        
#    -54    14       1.1910437899E-006
#    -54    15       8.8721685963E-005
#    -54    16       3.2424401658E-007
#    -54    17       1.1739103270E-006
#    -54    18       9.4681140648E-005
#    -54    19       2.3672852320E-006
#    -54    20       4.9972897070E-007
#    -53     9       1.6949704023E-005
#    -53    10       2.0735064505E-006
#    -53    11       2.2305079120E-005
#    -53    12       1.5383952565E-005
#    -53    13       9.2149409937E-006
#    -53    14       1.2150600999E-005
#    -53    15       3.0756482230E-005
#    -53    16       6.4626035837E-006
#    -53    17       2.2914677661E-005
#    -53    18       1.2024698043E-005
#    -53    19       1.6243297173E-005
#    -53    20       4.0019461467E-005
#    -53    21       3.4334075936E-005
#    -53    22       7.4182998438E-006
#    -53    23       3.1642788597E-005
#    -53    24       2.1264635820E-005
#    -52     6       5.8569078114E-007
#    -52     7       4.2656167488E-009
#    -52     8       1.3538762571E-005
#    -52     9       6.2445370641E-007
#    -52    10       8.3789580975E-008
#    -52    11       3.3009500422E-005
#    -52    12       2.9088550056E-007
#    -52    13       2.6729716378E-008
#    -52    14       5.7874618948E-005
#    -52    15       3.2672112880E-007
#    -52    16       1.6740243557E-009
#    -52    17       8.6379595711E-005
#    -52    18       6.3383016495E-008
#    -52    19       4.6805084868E-007
#    -52    20       6.4168507400E-005
#    -52    21       1.5696556494E-007
#    -52    22       2.4082376332E-007
#    -52    23       3.6828871521E-005
#    -52    24       1.9014957405E-007
#    -52    25       1.7368224681E-006
#    -52    26       5.3966422991E-005
#    -51     3       3.4888913770E-006
#    -51     4       7.1967239378E-006
#    -51     5       1.5541291136E-005
#    -51     6       2.8860848379E-006
#    -51     7       1.9122634709E-005
#    -51     8       1.7934304066E-005
#    -51     9       8.0580012616E-006
#    -51    10       2.4322753343E-005
#    -51    11       2.7545824410E-005
#    -51    12       6.5871199187E-006
#    -51    13       2.8610291325E-005
#    -51    14       3.5435916401E-005
#    -51    15       6.9482137733E-006
#    -51    16       3.7850196604E-005
#    -51    17       4.2443871437E-005
#    -51    18       9.9309992587E-006
#    -51    19       3.0638461782E-005
#    -51    20       4.8071926783E-005
#    -51    21       9.6330633028E-006
#    -51    22       5.3605860835E-005
#    -51    23       3.7335946036E-005
#    -51    24       1.2787395226E-005
#    -51    25       5.8948770678E-005
#    -51    26       1.8097170758E-005
#    -51    27       6.1823806430E-006
#    -50     1       1.3744359009E-005
#    -50     2       1.9118596408E-008
#    -50     3       1.7144443897E-008
#    -50     4       1.7689008404E-005
#    -50     5       2.7460731910E-007
#    -50     6       1.5348944427E-006
#    -50     7       4.7476100511E-005
#    -50     8       4.6715489610E-007
#    -50     9       1.2358933109E-007
#    -50    10       4.9751478579E-005
#    -50    11       1.7853941199E-008
#    -50    12       2.8250218481E-007
#    -50    13       8.3833787469E-005
#    -50    14       2.0939693295E-007
#    -50    15       9.6222824288E-008
#    -50    16       9.9877573725E-005
#    -50    17       7.0953247393E-008
#    -50    18       4.6638511453E-008
#    -50    19       1.1512292430E-004
#    -50    20       6.8918689821E-007
#    -50    21       3.5273542592E-008
#    -50    22       1.8912987626E-004
#    -50    23       3.5895677713E-007
#    -50    24       3.4719496012E-007
#    -50    25       4.1807064591E-005
#    -50    26       5.0543263746E-007
#    -50    27       3.9780118139E-007
#    -50    28       9.2192840551E-005
#    -49    -1       2.8881017268E-006
#    -49     0       5.6843330008E-006
#    -49     1       4.0592553025E-006
#    -49     2       6.9503708389E-006
#    -49     3       2.0481127816E-005
#    -49     4       2.1693981110E-005
#    -49     5       5.8210892362E-006
#    -49     6       3.1932235176E-005
#    -49     7       1.9451985936E-005
#    -49     8       1.0726328867E-005
#    -49     9       3.1391387189E-005
#    -49    10       2.0472708997E-005
#    -49    11       9.1193769988E-006
#    -49    12       5.4483396187E-005
#    -49    13       4.2458229126E-005
#    -49    14       1.5959363440E-005
#    -49    15       6.8047882732E-005
#    -49    16       9.0111309705E-005
#    -49    17       9.1454081031E-006
#    -49    18       4.6824003919E-005
#    -49    19       7.1518821758E-005
#    -49    20       2.3106032494E-005
#    -49    21       5.4237892795E-005
#    -49    22       1.0064576441E-004
#    -49    23       1.5920055396E-005
#    -49    24       6.7349087309E-005
#    -49    25       6.1615689736E-005
#    -49    26       1.7356732944E-005
#    -49    27       9.3498218614E-005
#    -49    28       4.8151175602E-005
#    -49    29       4.2425771632E-006
