 Diffraction intensities for potential:3x3ikbt_0410001.in                      
#    -17    -9       2.2543672355E-007
#    -17    -8       3.3581986994E-006
#    -17    -7       1.1778080082E-005
#    -17    -6       1.2277198093E-005
#    -17    -5       3.1728223977E-006
#    -17    -4       6.9377760151E-005
#    -17    -3       2.0232281100E-004
#    -17    -2       1.3445163171E-004
#    -17    -1       2.1640278793E-005
#    -17     0       2.5854046460E-004
#    -17     1       2.7229617536E-004
#    -17     2       7.9973680139E-006
#    -17     3       1.8731314555E-004
#    -17     4       7.1367536990E-005
#    -17     5       1.1268026242E-004
#    -17     6       5.0855728668E-004
#    -17     7       2.6311793905E-004
#    -17     8       3.6988547986E-004
#    -17     9       2.7814679104E-004
#    -17    10       1.2264117173E-004
#    -17    11       1.5757117232E-004
#    -17    12       3.2770012206E-005
#    -17    13       1.2216636391E-005
#    -17    14       3.6354039940E-005
#    -17    15       2.2051662905E-005
#    -17    16       8.0394589950E-006
#    -16   -10       5.6360367000E-007
#    -16    -9       4.6224537262E-006
#    -16    -8       9.7388377535E-006
#    -16    -7       7.4080443824E-006
#    -16    -6       2.8796660004E-007
#    -16    -5       1.4440823602E-005
#    -16    -4       1.4858927365E-004
#    -16    -3       2.4626805914E-004
#    -16    -2       1.1221397885E-004
#    -16    -1       2.7178914526E-004
#    -16     0       9.0517405132E-004
#    -16     1       7.0778763283E-004
#    -16     2       2.6530734339E-004
#    -16     3       8.3303910009E-004
#    -16     4       6.1517296345E-004
#    -16     5       2.6010901562E-004
#    -16     6       4.8117080316E-004
#    -16     7       6.4557040518E-004
#    -16     8       6.4765697773E-004
#    -16     9       2.5335222267E-004
#    -16    10       2.6713746815E-004
#    -16    11       1.2921941510E-004
#    -16    12       4.7644179338E-005
#    -16    13       5.7036294507E-005
#    -16    14       4.3810173297E-005
#    -16    15       2.3174223513E-005
#    -16    16       4.3426849298E-005
#    -15   -11       1.2249936683E-007
#    -15   -10       5.0620718660E-006
#    -15    -9       1.8281960786E-005
#    -15    -8       1.2465542724E-005
#    -15    -7       1.0162806573E-006
#    -15    -6       1.0882817680E-004
#    -15    -5       7.0479713011E-005
#    -15    -4       2.0676545524E-004
#    -15    -3       1.1413515928E-004
#    -15    -2       8.0231868790E-006
#    -15    -1       7.0688642151E-004
#    -15     0       5.3012464078E-004
#    -15     1       6.5728491299E-004
#    -15     2       7.8500359159E-004
#    -15     3       1.8613231123E-003
#    -15     4       8.2359149981E-004
#    -15     5       4.6445562289E-004
#    -15     6       1.6516457906E-003
#    -15     7       9.9830001942E-004
#    -15     8       4.3861238736E-004
#    -15     9       8.8039517567E-004
#    -15    10       2.3034893971E-004
#    -15    11       2.3336623496E-005
#    -15    12       2.8072379297E-004
#    -15    13       1.7108181904E-005
#    -15    14       3.7272360328E-006
#    -15    15       7.9137292307E-005
#    -15    16       2.1487884413E-005
#    -14   -12       9.4712931022E-008
#    -14   -11       1.8312155956E-006
#    -14   -10       9.6991103031E-006
#    -14    -9       1.9835388407E-005
#    -14    -8       1.3968826078E-005
#    -14    -7       1.0166274346E-005
#    -14    -6       1.2444431966E-004
#    -14    -5       2.2837012738E-004
#    -14    -4       1.3530757956E-004
#    -14    -3       1.8748816107E-004
#    -14    -2       2.6587308117E-004
#    -14    -1       6.5679221917E-004
#    -14     0       1.4452653001E-003
#    -14     1       3.1283149320E-004
#    -14     2       5.5058240412E-004
#    -14     3       1.8846200581E-003
#    -14     4       5.4629715715E-004
#    -14     5       4.0692681373E-004
#    -14     6       1.0336418503E-003
#    -14     7       4.0580066227E-004
#    -14     8       5.2405229077E-004
#    -14     9       3.1586564703E-005
#    -14    10       9.2910848250E-005
#    -14    11       9.9766408914E-005
#    -14    12       1.7917834221E-005
#    -14    13       9.9916871596E-005
#    -14    14       2.6111137610E-005
#    -14    15       2.5217786907E-005
#    -14    16       1.5230077379E-005
#    -13   -13       1.9011860786E-007
#    -13   -12       9.2649974502E-007
#    -13   -11       6.6314401625E-006
#    -13   -10       1.6036243404E-005
#    -13    -9       2.2649808981E-005
#    -13    -8       3.0605952483E-006
#    -13    -7       1.0055808759E-004
#    -13    -6       3.6052675005E-004
#    -13    -5       2.7901718294E-004
#    -13    -4       7.1167606796E-005
#    -13    -3       8.3394619337E-004
#    -13    -2       7.8696664031E-004
#    -13    -1       3.1156378034E-004
#    -13     0       1.2165627954E-003
#    -13     1       9.1916573688E-004
#    -13     2       1.0622424126E-003
#    -13     3       1.7987878503E-003
#    -13     4       1.6314971682E-003
#    -13     5       1.8350964784E-003
#    -13     6       1.5103723697E-003
#    -13     7       1.8599995207E-003
#    -13     8       9.5211504454E-004
#    -13     9       5.7528476087E-004
#    -13    10       5.3069740596E-004
