 Diffraction intensities for potential:ensembletest10002.in                    
#    -37     1       6.9702991495E-005
#    -37     2       8.8450247096E-006
#    -37     3       1.1860096390E-004
#    -37     4       6.6632499955E-005
#    -37     5       6.2294741796E-005
#    -37     6       1.0803134412E-004
#    -37     7       2.5572131105E-005
#    -37     8       1.6730849162E-004
#    -37     9       8.4006008193E-005
#    -37    10       9.5062401216E-005
#    -37    11       2.0016909213E-004
#    -37    12       1.3991230395E-005
#    -37    13       2.5451608202E-004
#    -37    14       7.5829526757E-005
#    -37    15       9.0809425336E-005
#    -37    16       3.0687582243E-004
#    -37    17       2.2110905288E-005
#    -37    18       2.6782819345E-004
#    -37    19       1.2824500901E-004
#    -37    20       9.1992210949E-005
#    -37    21       1.9809787017E-004
#    -37    22       1.2476559425E-005
#    -37    23       1.6280495582E-004
#    -37    24       1.4261048771E-004
#    -37    25       5.0737800346E-005
#    -37    26       1.1612416106E-004
#    -37    27       4.4992311875E-006
#    -36    -8       3.1865500161E-006
#    -36    -7       2.6393353983E-005
#    -36    -6       3.7027466045E-006
#    -36    -5       2.0556700511E-006
#    -36    -4       4.2054476879E-005
#    -36    -3       1.0054232666E-005
#    -36    -2       3.2803416040E-005
#    -36    -1       2.2262555947E-005
#    -36     0       5.6422018968E-006
#    -36     1       2.9248928301E-005
#    -36     2       6.1247423077E-006
#    -36     3       5.9495567472E-005
#    -36     4       2.9270920326E-005
#    -36     5       1.5375540859E-005
#    -36     6       3.3828715281E-005
#    -36     7       1.1021833421E-006
#    -36     8       3.0524289832E-005
#    -36     9       4.4532559136E-005
#    -36    10       5.9840678214E-006
#    -36    11       9.4816633867E-005
#    -36    12       8.4770918755E-006
#    -36    13       7.3813739917E-005
#    -36    14       6.1052986160E-005
#    -36    15       3.0624719087E-005
#    -36    16       1.3069706494E-004
#    -36    17       4.5585713905E-005
#    -36    18       4.8098982653E-005
#    -36    19       1.3465559135E-004
#    -36    20       1.8522971803E-006
#    -36    21       1.7502459927E-004
#    -36    22       8.0089455200E-006
#    -36    23       1.0359310342E-004
#    -36    24       3.3518637608E-005
