 Diffraction intensities for potential:_6x6_02D10002.in                        
#    -54    14       1.0520358039E-005
#    -54    15       4.8614110451E-007
#    -54    16       2.4661955155E-005
#    -54    17       4.2592699493E-006
#    -54    18       2.7097731874E-005
#    -54    19       6.2011798688E-007
#    -54    20       2.7921870345E-005
#    -53     9       3.2726929437E-006
#    -53    10       7.2283269624E-006
#    -53    11       6.4236537252E-006
#    -53    12       1.0956901553E-005
#    -53    13       7.4619334424E-006
#    -53    14       1.5413866580E-005
#    -53    15       5.0025579793E-006
#    -53    16       2.0681887857E-005
#    -53    17       2.0451049050E-006
#    -53    18       1.5914061141E-005
#    -53    19       6.9913257092E-006
#    -53    20       1.4140452170E-005
#    -53    21       4.9794267694E-006
#    -53    22       1.8203177873E-005
#    -53    23       6.9078729395E-006
#    -53    24       6.5845564304E-006
#    -52     6       1.4358527794E-006
#    -52     7       6.7209705687E-006
#    -52     8       2.0971395162E-006
#    -52     9       1.3638645540E-005
#    -52    10       3.0142857032E-006
#    -52    11       1.5155461019E-005
#    -52    12       8.5768444602E-006
#    -52    13       2.3875696745E-005
#    -52    14       6.9630640771E-006
#    -52    15       1.7733717044E-005
#    -52    16       4.1255365372E-006
#    -52    17       2.6452691714E-005
#    -52    18       7.3735365610E-006
#    -52    19       2.7477453920E-005
#    -52    20       9.0136491227E-006
#    -52    21       3.4066527504E-005
#    -52    22       1.2893852888E-005
#    -52    23       1.3317500186E-005
#    -52    24       8.1257121846E-006
#    -52    25       1.8724858194E-006
#    -52    26       5.5418658366E-006
#    -51     3       1.2333446019E-005
#    -51     4       8.3526154927E-008
#    -51     5       1.7311150380E-005
#    -51     6       9.5562374673E-008
#    -51     7       1.6902543047E-005
#    -51     8       4.3817651866E-008
#    -51     9       3.1840307693E-005
#    -51    10       2.9798953044E-008
#    -51    11       3.4273239160E-005
#    -51    12       9.8914636433E-009
#    -51    13       3.4001625956E-005
#    -51    14       5.6103403934E-007
#    -51    15       2.6565016024E-005
#    -51    16       4.1571933089E-008
#    -51    17       3.7867404486E-005
#    -51    18       1.6774981156E-008
#    -51    19       3.3360353448E-005
#    -51    20       9.4978935448E-007
#    -51    21       3.9176779759E-005
#    -51    22       2.4857182284E-007
#    -51    23       3.3742074198E-005
#    -51    24       4.1714085314E-007
#    -51    25       4.3746766136E-005
#    -51    26       1.3785916369E-006
#    -51    27       2.6673421915E-005
#    -50     1       3.8361875711E-006
#    -50     2       2.3462406778E-006
#    -50     3       1.1981909756E-005
#    -50     4       1.8444618733E-006
#    -50     5       8.1886803594E-006
#    -50     6       5.7531471062E-006
#    -50     7       1.7049029806E-005
#    -50     8       6.1137584303E-006
#    -50     9       2.4909874773E-005
#    -50    10       7.4919510555E-006
#    -50    11       2.4070386388E-005
#    -50    12       1.5144369327E-005
#    -50    13       2.9192860635E-005
#    -50    14       1.1756993250E-005
#    -50    15       2.9462024085E-005
#    -50    16       1.0573588940E-005
#    -50    17       3.5701070389E-005
#    -50    18       6.8224425719E-006
#    -50    19       3.7234703450E-005
#    -50    20       8.2222127284E-006
#    -50    21       4.1667090920E-005
#    -50    22       1.1970564752E-005
#    -50    23       3.7219548586E-005
#    -50    24       5.0110646064E-006
#    -50    25       1.3662615154E-005
#    -50    26       9.4453794026E-006
#    -50    27       2.3621397073E-005
#    -50    28       7.9532063481E-006
#    -49    -1       2.4842100317E-006
#    -49     0       5.0073354959E-006
#    -49     1       8.5355322309E-007
#    -49     2       1.5964125434E-005
#    -49     3       6.6152208734E-006
#    -49     4       1.8894118973E-005
#    -49     5       4.0961030829E-006
#    -49     6       3.0378283594E-005
#    -49     7       7.8668909902E-006
#    -49     8       2.9966432881E-005
#    -49     9       1.1761793347E-005
#    -49    10       2.4071383561E-005
#    -49    11       6.4332678716E-006
#    -49    12       5.2194120651E-005
#    -49    13       8.3148205081E-006
#    -49    14       4.9571972480E-005
#    -49    15       1.1530157149E-005
#    -49    16       6.0890301149E-005
#    -49    17       9.6678134846E-006
#    -49    18       3.1767985841E-005
#    -49    19       1.6573628314E-005
#    -49    20       5.3878967495E-005
#    -49    21       1.3328279829E-005
#    -49    22       5.9084158554E-005
#    -49    23       2.2521127277E-005
#    -49    24       4.5994269537E-005
#    -49    25       1.5642311769E-005
#    -49    26       4.3757228068E-005
#    -49    27       1.6093164379E-005
#    -49    28       3.4079662070E-005
#    -49    29       6.5502828050E-006
#    -48    -3       3.4254493340E-007
#    -48    -2       1.2841257613E-005
#    -48    -1       4.9473541142E-007
#    -48     0       1.8132499170E-005
#    -48     1       5.2671618642E-007
#    -48     2       9.0245761341E-006
#    -48     3       6.2605194163E-008
#    -48     4       1.3652895218E-005
#    -48     5       1.0881380451E-006
#    -48     6       2.5099732380E-005
#    -48     7       6.0003765830E-008
#    -48     8       2.0449781375E-005
#    -48     9       3.2568313443E-008
#    -48    10       3.3948765888E-005
#    -48    11       1.1968462319E-006
#    -48    12       9.2966030165E-005
#    -48    13       7.9774276913E-007
#    -48    14       7.5966759689E-005
#    -48    15       5.8772690297E-010
#    -48    16       9.5101984623E-005
#    -48    17       3.8278389560E-007
#    -48    18       3.5558946779E-005
#    -48    19       9.6600532929E-007
#    -48    20       6.5222563585E-005
#    -48    21       1.5779475927E-007
#    -48    22       1.7202761500E-004
#    -48    23       1.6728165338E-007
#    -48    24       5.9413504690E-005
#    -48    25       1.2260564049E-007
#    -48    26       6.1041417284E-005
#    -48    27       3.8645117771E-008
#    -48    28       1.1541761055E-005
#    -48    29       4.4292219945E-007
#    -48    30       8.6342049836E-006
#    -47    -4       8.5664843490E-006
#    -47    -3       3.6503961515E-006
#    -47    -2       1.4049601398E-005
#    -47    -1       4.5064700806E-006
#    -47     0       1.7208823348E-005
#    -47     1       5.3189128167E-006
#    -47     2       9.2277462751E-006
#    -47     3       6.7716346612E-006
#    -47     4       8.0849821264E-006
#    -47     5       5.4024430919E-006
#    -47     6       2.6687563696E-005
#    -47     7       6.4098351197E-006
#    -47     8       2.4071986014E-005
#    -47     9       1.3014699061E-005
#    -47    10       3.2708960631E-005
#    -47    11       1.5790250641E-005
#    -47    12       4.6526178318E-005
#    -47    13       2.1877754579E-005
#    -47    14       5.5164074792E-005
#    -47    15       1.7015568542E-005
#    -47    16       4.9850762912E-005
#    -47    17       1.4720416352E-005
#    -47    18       4.5004840658E-005
#    -47    19       1.6117870131E-005
#    -47    20       4.8133849554E-005
#    -47    21       1.7936571819E-005
#    -47    22       8.2450655027E-005
#    -47    23       2.3258367101E-005
#    -47    24       7.0559052327E-005
#    -47    25       2.0010045675E-005
#    -47    26       4.7849715483E-005
#    -47    27       1.0234045853E-005
#    -47    28       2.0607379558E-005
#    -47    29       1.0497825960E-005
#    -47    30       1.8512267581E-005
#    -47    31       4.6381692991E-006
#    -46    -6       6.7445918535E-007
#    -46    -5       1.3917628084E-005
#    -46    -4       3.7327494732E-006
#    -46    -3       1.4522928609E-005
#    -46    -2       4.6392221774E-006
#    -46    -1       2.1249384410E-005
#    -46     0       7.1674894668E-006
#    -46     1       1.8746235757E-005
#    -46     2       4.9720140922E-006
#    -46     3       2.3676479773E-005
#    -46     4       7.7291113851E-006
#    -46     5       1.8184691406E-005
#    -46     6       1.0691548943E-005
#    -46     7       2.2947421588E-005
#    -46     8       8.6574532597E-006
#    -46     9       3.2747874484E-005
#    -46    10       9.6537166424E-006
#    -46    11       4.4613170363E-005
#    -46    12       1.6087040112E-005
#    -46    13       5.6811848450E-005
#    -46    14       1.4777236455E-005
#    -46    15       5.0247803464E-005
#    -46    16       1.4317497256E-005
#    -46    17       4.6725013628E-005
#    -46    18       1.8079151036E-005
#    -46    19       3.6828796505E-005
#    -46    20       2.1419876753E-005
#    -46    21       7.9854537067E-005
#    -46    22       2.4396104653E-005
#    -46    23       5.4752688481E-005
#    -46    24       2.7210546086E-005
#    -46    25       5.7097477763E-005
#    -46    26       3.2121644201E-005
#    -46    27       8.6762873602E-005
#    -46    28       2.9936925667E-005
#    -46    29       2.8116140319E-005
#    -46    30       8.6156865164E-006
#    -46    31       3.7087197125E-005
#    -45    -7       9.7535449730E-006
#    -45    -6       9.5886309311E-009
#    -45    -5       1.3948726314E-005
#    -45    -4       2.2263119062E-007
#    -45    -3       1.4688523653E-005
#    -45    -2       4.3336996279E-007
#    -45    -1       2.5202902306E-005
#    -45     0       3.9851632223E-008
#    -45     1       2.7952428034E-005
#    -45     2       9.2980917991E-009
#    -45     3       3.2917517107E-005
#    -45     4       1.9907678604E-007
#    -45     5       3.7284614063E-005
#    -45     6       3.3701997692E-007
#    -45     7       3.8402180028E-005
#    -45     8       1.8648890729E-007
