 Diffraction intensities for potential:_6x6_03D10008.in                        
#    -54    14       1.4993628127E-005
#    -54    15       7.3541869138E-006
#    -54    16       1.2847645759E-005
#    -54    17       1.8136593152E-006
#    -54    18       7.5763084792E-005
#    -54    19       3.0333894403E-006
#    -54    20       2.1355985850E-005
#    -53     9       3.5813371080E-005
#    -53    10       2.5602836311E-006
#    -53    11       3.5235015735E-006
#    -53    12       2.9893180277E-006
#    -53    13       5.0477060928E-005
#    -53    14       3.7974847769E-006
#    -53    15       4.3161008260E-005
#    -53    16       7.4224418913E-006
#    -53    17       4.4489911542E-006
#    -53    18       6.5887983987E-006
#    -53    19       7.0855965670E-005
#    -53    20       7.2201440898E-006
#    -53    21       5.3863883772E-005
#    -53    22       5.7178021621E-006
#    -53    23       6.6779521960E-006
#    -53    24       9.8140558059E-007
#    -52     6       1.7957663542E-006
#    -52     7       3.0019135210E-006
#    -52     8       3.3060459920E-006
#    -52     9       4.8796943285E-006
#    -52    10       1.6179814568E-005
#    -52    11       4.6941505998E-006
#    -52    12       2.0738871876E-005
#    -52    13       4.6203507581E-006
#    -52    14       2.0793316650E-005
#    -52    15       3.3473842457E-006
#    -52    16       5.3957368797E-005
#    -52    17       6.6948594647E-006
#    -52    18       2.4515991889E-005
#    -52    19       1.0478148845E-005
#    -52    20       2.4125970161E-005
#    -52    21       9.4298391612E-006
#    -52    22       1.0122818227E-004
#    -52    23       8.2618558727E-006
#    -52    24       2.3038750602E-005
#    -52    25       4.5823875648E-006
#    -52    26       1.0467267856E-005
#    -51     3       4.3020802974E-006
#    -51     4       2.1194810162E-006
#    -51     5       3.1169729879E-005
#    -51     6       3.2819101468E-006
#    -51     7       2.9830927443E-005
#    -51     8       6.5182226591E-006
#    -51     9       4.8537238341E-006
#    -51    10       4.5580923348E-006
#    -51    11       4.6516583927E-005
#    -51    12       6.7895149480E-006
#    -51    13       6.4222694478E-005
#    -51    14       9.8021226887E-006
#    -51    15       9.9808291144E-006
#    -51    16       1.0214707678E-005
#    -51    17       7.6818325097E-005
#    -51    18       1.0908901755E-005
#    -51    19       6.7143343588E-005
#    -51    20       1.0913662441E-005
#    -51    21       1.0038244453E-005
#    -51    22       7.3449371042E-006
#    -51    23       5.4330495954E-005
#    -51    24       1.2460682613E-006
#    -51    25       7.4395366107E-005
#    -51    26       4.6861164431E-006
#    -51    27       6.2446817009E-006
#    -50     1       1.9325784835E-007
#    -50     2       2.7426446894E-005
#    -50     3       6.6253248462E-006
#    -50     4       1.0079998886E-005
#    -50     5       2.0307256123E-006
#    -50     6       2.2988194938E-005
#    -50     7       5.3715758556E-006
#    -50     8       5.0421109862E-005
#    -50     9       8.3664699790E-006
#    -50    10       1.5991825779E-005
#    -50    11       5.3509962145E-006
#    -50    12       4.0365870427E-005
#    -50    13       1.2739712161E-005
#    -50    14       1.1582579557E-004
#    -50    15       1.2506904771E-005
#    -50    16       5.9523812148E-005
#    -50    17       1.5328865296E-005
#    -50    18       4.5727846283E-005
#    -50    19       1.2155410347E-005
#    -50    20       1.1011571190E-004
#    -50    21       1.2533602885E-005
#    -50    22       6.7866719958E-005
#    -50    23       1.5561223770E-005
#    -50    24       2.8013576053E-005
#    -50    25       2.0539596773E-006
#    -50    26       1.1007469943E-004
#    -50    27       1.2736649101E-005
#    -50    28       3.0368732733E-005
#    -49    -1       8.5602448159E-006
#    -49     0       2.6456114645E-006
#    -49     1       3.1050155183E-006
#    -49     2       1.9821966262E-006
#    -49     3       3.8561042931E-005
#    -49     4       5.9437873945E-006
#    -49     5       2.1729991048E-005
#    -49     6       4.6821260730E-006
#    -49     7       7.4305121958E-006
#    -49     8       3.4514228939E-006
#    -49     9       6.1984065859E-005
#    -49    10       3.9301783926E-006
#    -49    11       6.2269791636E-005
#    -49    12       1.1063744715E-005
#    -49    13       1.0564712528E-005
#    -49    14       1.4129236757E-005
#    -49    15       1.2050300552E-004
#    -49    16       2.7906510267E-005
#    -49    17       9.3670043974E-005
#    -49    18       1.3494353857E-005
#    -49    19       2.1236768335E-005
#    -49    20       1.3827577296E-005
#    -49    21       7.0718456860E-005
#    -49    22       2.2099847446E-005
#    -49    23       9.3450057828E-005
#    -49    24       1.5122586353E-005
#    -49    25       1.0222786075E-005
#    -49    26       2.2327843974E-005
#    -49    27       1.3232584542E-004
#    -49    28       1.8786703681E-005
#    -49    29       4.1524546401E-005
#    -48    -3       3.2699699620E-006
#    -48    -2       7.1048996737E-006
#    -48    -1       1.4370158699E-006
#    -48     0       5.1245628376E-005
#    -48     1       5.3354805015E-006
#    -48     2       1.2420034571E-005
#    -48     3       3.2981767264E-006
#    -48     4       9.4557964069E-006
#    -48     5       5.8700679422E-006
#    -48     6       4.5194668735E-005
#    -48     7       3.0514113010E-006
#    -48     8       1.7686100188E-005
#    -48     9       1.2671665477E-005
#    -48    10       2.1271467537E-005
#    -48    11       1.0606511821E-005
#    -48    12       1.8435509381E-004
#    -48    13       9.0717768380E-006
#    -48    14       6.0436088656E-005
#    -48    15       2.0061769995E-005
#    -48    16       5.9329877278E-005
#    -48    17       2.0063005709E-005
#    -48    18       1.3906080381E-004
#    -48    19       2.1751364711E-005
#    -48    20       6.4594321319E-005
#    -48    21       1.0829101869E-005
#    -48    22       1.4175262979E-004
#    -48    23       1.8884164657E-005
#    -48    24       1.0927092933E-004
#    -48    25       4.1548510439E-005
#    -48    26       2.6013407731E-005
#    -48    27       2.1159874940E-005
#    -48    28       2.3836401473E-005
#    -48    29       5.5899880980E-006
#    -48    30       5.2307401762E-005
#    -47    -4       4.6408289560E-006
#    -47    -3       3.1795576830E-005
#    -47    -2       9.6546688507E-006
#    -47    -1       4.5170988349E-006
#    -47     0       7.3004646731E-006
#    -47     1       4.1667306678E-005
#    -47     2       3.8645467908E-006
#    -47     3       5.0977514056E-005
#    -47     4       1.6988813288E-006
#    -47     5       7.8523016421E-006
#    -47     6       4.7374012756E-006
#    -47     7       5.1701808347E-005
#    -47     8       4.4354891511E-006
#    -47     9       8.1611261796E-005
#    -47    10       7.7517976900E-006
#    -47    11       1.1677988269E-005
#    -47    12       1.5337556449E-005
#    -47    13       1.4840342553E-004
#    -47    14       2.0332755931E-005
#    -47    15       1.4168062900E-004
#    -47    16       2.3684831407E-005
#    -47    17       2.0751332710E-005
#    -47    18       1.7846585010E-005
#    -47    19       1.5438795307E-004
#    -47    20       1.7173090227E-005
#    -47    21       1.9449869683E-004
#    -47    22       1.3262382503E-005
#    -47    23       3.6344525964E-005
#    -47    24       1.3869792226E-005
#    -47    25       1.0881091109E-004
#    -47    26       1.2683556341E-005
#    -47    27       5.5890823701E-005
#    -47    28       2.2309384297E-005
#    -47    29       1.5519320668E-005
#    -47    30       5.6954486822E-006
#    -47    31       5.2306601409E-005
#    -46    -6       2.5424370616E-006
#    -46    -5       4.5090373839E-006
#    -46    -4       5.8098972526E-006
#    -46    -3       8.3454813275E-006
#    -46    -2       2.5608059734E-005
#    -46    -1       4.3049300962E-006
