 Diffraction intensities for potential:ensembletest10001.in                    
#    -45    11       8.0856101080E-006
#    -45    12       7.6137044387E-006
#    -45    13       3.7330788478E-005
#    -45    14       7.0540168885E-006
#    -45    15       1.1439521928E-004
#    -45    16       3.3568702495E-006
#    -44     7       2.3943047390E-005
#    -44     8       4.1587534860E-005
#    -44     9       6.2224175956E-006
#    -44    10       3.0138392637E-006
#    -44    11       5.9464171379E-005
#    -44    12       4.1692315146E-005
#    -44    13       8.9267820753E-005
#    -44    14       4.6077912203E-006
#    -44    15       1.6944942669E-005
#    -44    16       1.4334967583E-004
#    -44    17       2.3113817923E-005
#    -44    18       6.1397277097E-005
#    -44    19       6.3436009789E-006
#    -44    20       1.3764742987E-006
#    -43     4       3.3345095525E-005
#    -43     5       1.1802103934E-005
#    -43     6       7.9126313718E-006
#    -43     7       1.7597070840E-005
#    -43     8       3.4335082193E-005
#    -43     9       7.6204988587E-005
#    -43    10       2.7987240435E-005
#    -43    11       3.5936366134E-005
#    -43    12       6.0924377511E-005
#    -43    13       3.9246377878E-005
#    -43    14       1.6703678147E-004
#    -43    15       4.5324972922E-005
#    -43    16       4.2798635903E-005
#    -43    17       2.9059592781E-005
#    -43    18       7.6092846213E-005
#    -43    19       1.6710691934E-004
#    -43    20       5.4911754127E-005
#    -43    21       2.4933514855E-005
#    -43    22       2.2942150590E-005
#    -42     2       2.8011480290E-005
#    -42     3       1.1500178088E-005
#    -42     4       1.3523276300E-005
#    -42     5       1.1220385051E-005
#    -42     6       1.6041830345E-005
#    -42     7       1.4200855748E-005
#    -42     8       1.9808273450E-005
#    -42     9       3.1486843821E-005
#    -42    10       5.3677840083E-005
#    -42    11       1.0874652568E-004
#    -42    12       7.8398116691E-005
#    -42    13       6.0974819211E-005
#    -42    14       3.4580116260E-005
#    -42    15       6.8586733842E-005
#    -42    16       1.5415995604E-004
#    -42    17       8.5746608422E-005
#    -42    18       4.0427644249E-005
#    -42    19       4.5602647647E-005
#    -42    20       5.5000137993E-005
#    -42    21       1.1019525672E-004
#    -42    22       4.1580761062E-005
#    -42    23       2.8849339088E-005
#    -41     0       3.0869204780E-006
#    -41     1       1.2465622366E-007
#    -41     2       1.8457530643E-005
#    -41     3       2.3826867230E-005
#    -41     4       4.2915773421E-005
#    -41     5       3.1404503956E-006
#    -41     6       2.6891225243E-006
#    -41     7       1.0327827648E-004
#    -41     8       2.4167012699E-005
#    -41     9       1.3082319071E-004
#    -41    10       9.9467972761E-006
#    -41    11       2.1617200365E-005
#    -41    12       2.0468107564E-004
#    -41    13       5.9105709341E-005
#    -41    14       1.6513387863E-004
#    -41    15       1.2912360973E-005
#    -41    16       1.5222101827E-005
#    -41    17       2.0357215723E-004
#    -41    18       8.5016267727E-005
#    -41    19       2.0910291454E-004
#    -41    20       2.2592676797E-005
#    -41    21       6.1783409429E-006
#    -41    22       2.0689656143E-004
#    -41    23       1.3943646056E-005
#    -41    24       9.1258273914E-005
#    -40    -2       5.6298860152E-006
#    -40    -1       2.7060965422E-006
#    -40     0       1.6479320322E-004
#    -40     1       1.1985810087E-005
#    -40     2       4.8580516445E-005
#    -40     3       1.6082135896E-005
#    -40     4       1.2685851276E-005
#    -40     5       1.5103322379E-004
#    -40     6       1.7960858067E-005
#    -40     7       6.8295597570E-005
#    -40     8       5.2179357970E-005
#    -40     9       2.8332901739E-007
#    -40    10       2.6559356250E-004
#    -40    11       5.4771212821E-006
#    -40    12       8.9379795461E-005
#    -40    13       1.2083754860E-004
#    -40    14       2.1191837080E-005
#    -40    15       3.3871199219E-004
#    -40    16       1.9385643328E-005
#    -40    17       1.1152185158E-004
#    -40    18       1.3365497280E-004
#    -40    19       3.2905310723E-005
#    -40    20       2.9767705621E-004
#    -40    21       1.1495124722E-005
#    -40    22       1.6969254644E-005
#    -40    23       4.6303156520E-005
#    -40    24       1.2937597137E-005
#    -40    25       6.5962103825E-005
#    -39    -4       2.3821356332E-005
#    -39    -3       2.0235790341E-005
#    -39    -2       1.6991894285E-005
#    -39    -1       2.5806546602E-006
#    -39     0       2.2359549417E-006
#    -39     1       8.1411755203E-005
#    -39     2       3.5205043918E-005
#    -39     3       5.8463707822E-005
#    -39     4       1.2872816233E-005
#    -39     5       4.1227492186E-006
#    -39     6       1.0895634010E-004
#    -39     7       4.5122679315E-005
#    -39     8       1.3040779791E-004
#    -39     9       1.2691629738E-005
#    -39    10       1.6766646037E-005
#    -39    11       2.7463422974E-004
#    -39    12       7.7380119965E-005
#    -39    13       2.4402910968E-004
#    -39    14       2.0559566298E-005
#    -39    15       1.5992260470E-005
#    -39    16       3.5248722068E-004
#    -39    17       9.6636234198E-005
#    -39    18       3.2564638700E-004
#    -39    19       1.9806331604E-005
#    -39    20       1.8099081470E-005
#    -39    21       1.9054490070E-004
#    -39    22       5.6034341373E-005
#    -39    23       2.4338026421E-004
#    -39    24       1.2231746211E-005
#    -39    25       1.9238396758E-005
#    -39    26       6.8074301589E-005
#    -38    -5       1.0728552722E-005
#    -38    -4       1.8871942613E-005
#    -38    -3       2.3807713211E-005
#    -38    -2       6.5993981569E-005
#    -38    -1       9.1009317780E-005
#    -38     0       2.3821760905E-005
#    -38     1       1.6537007417E-005
#    -38     2       2.8700061190E-005
#    -38     3       6.1527836699E-005
#    -38     4       1.4601224793E-004
#    -38     5       6.0482054749E-005
#    -38     6       3.6896463171E-005
#    -38     7       4.0130822514E-005
#    -38     8       5.2674424710E-005
#    -38     9       1.7002580824E-004
#    -38    10       8.5500237758E-005
#    -38    11       7.4886252826E-005
#    -38    12       1.0058711120E-004
#    -38    13       1.1110237868E-004
#    -38    14       3.6103983760E-004
#    -38    15       1.2324470266E-004
#    -38    16       7.8874256154E-005
#    -38    17       9.7264923075E-005
#    -38    18       2.2488395197E-004
#    -38    19       3.2429776181E-004
#    -38    20       1.3368083369E-004
#    -38    21       6.2367999501E-005
#    -38    22       5.8925095062E-005
#    -38    23       6.7163494975E-005
#    -38    24       2.7425327808E-004
#    -38    25       3.6441978890E-005
#    -38    26       4.1643895878E-005
#    -37    -7       5.4883119351E-006
#    -37    -6       1.3545308721E-005
#    -37    -5       2.0363930463E-005
#    -37    -4       4.0487966399E-005
#    -37    -3       3.3070972319E-005
#    -37    -2       1.6492703835E-005
#    -37    -1       1.2602669926E-005
#    -37     0       2.6774702835E-005
#    -37     1       5.9742884920E-005
#    -37     2       4.1755090526E-005
#    -37     3       3.9220389696E-005
#    -37     4       2.3603260189E-005
#    -37     5       6.3112710167E-005
#    -37     6       9.3871800068E-005
#    -37     7       5.2230996391E-005
#    -37     8       4.8768855742E-005
#    -37     9       5.0186431428E-005
#    -37    10       9.1533003163E-005
#    -37    11       2.1461404437E-004
#    -37    12       1.2331119773E-004
#    -37    13       7.9577196652E-005
#    -37    14       6.7425115140E-005
#    -37    15       1.4381928346E-004
#    -37    16       2.8059811871E-004
#    -37    17       1.4284176085E-004
#    -37    18       8.1658719324E-005
#    -37    19       9.5217335242E-005
#    -37    20       8.7327839043E-005
#    -37    21       2.6371091468E-004
#    -37    22       5.3843030239E-005
#    -37    23       4.5637464321E-005
#    -37    24       6.5816887834E-005
#    -37    25       8.0361401926E-005
#    -37    26       5.4273030716E-005
#    -37    27       1.0180992609E-004
#    -36    -8       5.1660719878E-005
#    -36    -7       3.7246065275E-005
#    -36    -6       1.4707274218E-005
#    -36    -5       4.5011777704E-006
#    -36    -4       7.0398321100E-006
#    -36    -3       6.0968164012E-005
#    -36    -2       3.2910518210E-005
#    -36    -1       6.6731527288E-005
#    -36     0       5.7459260349E-006
#    -36     1       3.2146194722E-006
#    -36     2       7.7488686516E-005
#    -36     3       6.3537684320E-005
#    -36     4       1.5635962159E-004
#    -36     5       1.1848385121E-005
#    -36     6       1.2684848993E-005
#    -36     7       1.6228623803E-004
#    -36     8       3.6406178309E-005
#    -36     9       1.5272783790E-004
#    -36    10       6.9155019481E-006
#    -36    11       1.9067926282E-005
#    -36    12       1.7250416802E-004
#    -36    13       6.4727857256E-005
#    -36    14       1.9112883910E-004
#    -36    15       3.8801121006E-005
#    -36    16       1.8984844892E-005
#    -36    17       2.9971375017E-004
#    -36    18       7.7933484610E-005
#    -36    19       3.1088096295E-004
#    -36    20       1.6197532748E-005
#    -36    21       1.2870830215E-005
#    -36    22       2.5650677379E-004
#    -36    23       3.7199744096E-005
#    -36    24       1.9646976077E-004
#    -36    25       2.3701602356E-005
#    -36    26       6.7271312379E-006
#    -36    27       8.8954496641E-005
#    -35    -9       4.2357225723E-006
#    -35    -8       2.9798788042E-005
#    -35    -7       2.6630564898E-005
#    -35    -6       5.2445214769E-008
#    -35    -5       1.5681133124E-004
#    -35    -4       1.1317246138E-005
#    -35    -3       7.0586848048E-005
#    -35    -2       2.7185346230E-005
#    -35    -1       5.0579315851E-006
#    -35     0       1.9501995439E-004
#    -35     1       1.9924339917E-005
#    -35     2       9.6938913863E-005
#    -35     3       3.4947947403E-005
#    -35     4       6.0344288643E-006
#    -35     5       6.6499427973E-005
#    -35     6       1.1154744427E-005
#    -35     7       5.4987209566E-005
#    -35     8       5.5179825580E-005
#    -35     9       1.9085196770E-006
#    -35    10       4.1801500213E-004
#    -35    11       1.8861362154E-006
#    -35    12       6.7841787862E-005
#    -35    13       1.0736189080E-004
#    -35    14       1.6629669223E-005
#    -35    15       5.8026829684E-004
#    -35    16       2.2874361603E-005
#    -35    17       8.7007924677E-005
#    -35    18       7.5301667141E-005
#    -35    19       4.0168372316E-005
#    -35    20       4.0239427460E-004
#    -35    21       6.2755151304E-006
#    -35    22       6.3474895626E-005
#    -35    23       1.3887396899E-004
#    -35    24       1.3398027460E-005
#    -35    25       3.1121110140E-004
#    -35    26       1.5324069119E-005
#    -35    27       9.5910557707E-005
#    -34   -11       8.8072185845E-006
#    -34   -10       5.5342750090E-007
#    -34    -9       8.0180633497E-005
#    -34    -8       1.2190079656E-005
#    -34    -7       1.0430926618E-004
#    -34    -6       1.2739915673E-005
#    -34    -5       4.3227265449E-006
#    -34    -4       1.3357959784E-004
#    -34    -3       3.9416186010E-005
#    -34    -2       8.7862401694E-005
#    -34    -1       3.1728209321E-006
#    -34     0       1.0536025179E-005
#    -34     1       1.4314521829E-004
#    -34     2       7.3435947187E-005
#    -34     3       1.6691198015E-004
#    -34     4       3.8079828476E-006
#    -34     5       7.2991677480E-006
#    -34     6       1.0336201283E-004
#    -34     7       3.0931480213E-005
#    -34     8       6.4382895778E-005
#    -34     9       1.5124646427E-005
#    -34    10       7.0129426097E-006
#    -34    11       1.3271473536E-004
#    -34    12       1.3895493981E-005
#    -34    13       1.5582162568E-004
#    -34    14       1.8390068257E-005
#    -34    15       9.5447848104E-006
#    -34    16       2.0107512881E-004
#    -34    17       1.1418781069E-004
#    -34    18       2.7209767524E-004
#    -34    19       1.9461944522E-005
#    -34    20       3.5079914858E-005
#    -34    21       1.3018795448E-004
#    -34    22       2.8945439234E-005
#    -34    23       3.7651595879E-004
#    -34    24       1.4698430779E-005
#    -34    25       6.7002691839E-006
#    -34    26       2.9062131152E-004
#    -34    27       4.2695570930E-005
#    -33   -12       1.8496792385E-005
#    -33   -11       5.4033561886E-005
#    -33   -10       3.5549409856E-005
#    -33    -9       2.6650076748E-005
#    -33    -8       3.5669500868E-005
#    -33    -7       1.0508849065E-004
#    -33    -6       1.1093336991E-004
#    -33    -5       6.1398002828E-005
#    -33    -4       4.7814461709E-005
#    -33    -3       4.9474931227E-005
#    -33    -2       1.2110989456E-004
#    -33    -1       1.6804117631E-004
#    -33     0       7.6200776619E-005
#    -33     1       4.7636822562E-005
#    -33     2       2.4353535572E-005
#    -33     3       7.0561227958E-005
#    -33     4       1.1180512048E-004
#    -33     5       4.3671575169E-005
#    -33     6       2.1864233882E-005
#    -33     7       2.1202412274E-005
#    -33     8       1.8010621744E-005
#    -33     9       5.6671156666E-005
#    -33    10       4.5558525651E-005
#    -33    11       2.5550164958E-005
#    -33    12       6.7618602950E-005
#    -33    13       3.7636888316E-005
#    -33    14       1.9982118905E-004
#    -33    15       5.5695696310E-005
#    -33    16       4.0918243665E-005
#    -33    17       4.5851719540E-005
#    -33    18       1.2797647455E-004
#    -33    19       8.9480420316E-005
#    -33    20       3.2349661305E-005
#    -33    21       8.4484215177E-005
#    -33    22       7.0793627561E-005
#    -33    23       8.6793231168E-005
#    -33    24       2.0697030315E-004
#    -33    25       8.0879350412E-005
#    -33    26       5.1605386755E-005
#    -33    27       2.7296031069E-005
#    -32   -13       3.5613026110E-005
#    -32   -12       5.3226255822E-005
#    -32   -11       3.7051488783E-005
#    -32   -10       3.0597767890E-005
#    -32    -9       1.3857174348E-004
#    -32    -8       4.3766046133E-005
#    -32    -7       3.5731054227E-005
#    -32    -6       2.6604841706E-005
#    -32    -5       6.8108035818E-005
#    -32    -4       1.5258372368E-004
#    -32    -3       6.7482105173E-005
#    -32    -2       3.8444466475E-005
#    -32    -1       3.6864840383E-005
#    -32     0       7.4313689324E-005
#    -32     1       1.3397402700E-004
#    -32     2       6.8060357758E-005
#    -32     3       1.6099862237E-005
#    -32     4       9.9608925217E-006
#    -32     5       2.0041058578E-005
#    -32     6       3.9600361940E-005
#    -32     7       1.2208218871E-005
#    -32     8       3.0756462307E-005
#    -32     9       5.3638514655E-006
#    -32    10       2.5927556187E-005
#    -32    11       6.1254192343E-005
#    -32    12       2.9461943680E-005
#    -32    13       2.3078145597E-005
#    -32    14       3.2451678747E-005
#    -32    15       6.3141507320E-005
#    -32    16       1.0674512619E-004
#    -32    17       3.8380852310E-005
#    -32    18       5.6788390565E-005
#    -32    19       3.9790713803E-005
#    -32    20       2.3545705854E-005
#    -32    21       4.5505307362E-005
#    -32    22       1.4372114103E-004
#    -32    23       1.6727856220E-004
#    -32    24       7.2054612454E-005
#    -32    25       1.4559414474E-004
#    -32    26       2.8326550141E-004
#    -32    27       1.9528577618E-004
#    -32    28       6.4780101077E-005
#    -31   -14       9.6490762671E-006
#    -31   -13       7.7187488400E-005
#    -31   -12       3.6998950013E-005
#    -31   -11       1.1767995362E-004
#    -31   -10       6.7948509383E-006
#    -31    -9       1.7620615212E-006
#    -31    -8       1.3404549844E-004
#    -31    -7       5.4076577590E-005
#    -31    -6       1.1673483278E-004
#    -31    -5       8.1710321153E-006
#    -31    -4       7.7730056864E-006
#    -31    -3       1.6351301992E-004
#    -31    -2       6.1647165963E-005
#    -31    -1       1.4311951823E-004
#    -31     0       9.9574588123E-006
#    -31     1       6.2887606901E-007
#    -31     2       7.2504175344E-005
#    -31     3       3.9479896156E-005
#    -31     4       4.3101335309E-005
#    -31     5       1.1156602982E-006
#    -31     6       3.3349740229E-006
#    -31     7       3.0604357681E-005
#    -31     8       9.0335086708E-006
#    -31     9       3.3334842409E-005
#    -31    10       4.7937346724E-006
#    -31    11       1.4510808700E-005
#    -31    12       4.1301915601E-005
#    -31    13       1.0129116333E-005
#    -31    14       6.4402715289E-006
#    -31    15       1.0637288961E-005
#    -31    16       2.6276908053E-006
#    -31    17       4.1716387799E-005
#    -31    18       6.7144162762E-006
#    -31    19       3.6361080847E-005
#    -31    20       4.6396887859E-005
#    -31    21       9.1823882982E-006
#    -31    22       2.0092254099E-004
#    -31    23       8.2625096269E-005
#    -31    24       5.0616815947E-004
#    -31    25       1.4858477581E-006
#    -31    26       6.0601595604E-005
#    -31    27       1.3233746181E-004
#    -31    28       7.4500368340E-005
#    -30   -15       1.1561316560E-004
#    -30   -14       8.0813640311E-006
#    -30   -13       4.4426062988E-005
#    -30   -12       6.8518994488E-005
#    -30   -11       1.1778875204E-005
#    -30   -10       2.6114750247E-004
#    -30    -9       1.2761174733E-005
#    -30    -8       5.4043392109E-005
#    -30    -7       5.3376089733E-005
#    -30    -6       1.0989921382E-006
#    -30    -5       7.4185223295E-005
#    -30    -4       8.9412563244E-006
#    -30    -3       7.3019308948E-005
#    -30    -2       3.6741499866E-005
#    -30    -1       1.2038259444E-005
#    -30     0       7.7662346654E-004
#    -30     1       2.3376942710E-005
#    -30     2       2.3641511789E-005
#    -30     3       1.4531001844E-005
#    -30     4       2.4724890482E-006
#    -30     5       8.3973361146E-004
#    -30     6       1.7442499564E-005
#    -30     7       1.9820499915E-005
#    -30     8       1.3678875697E-005
#    -30     9       3.6698849632E-006
#    -30    10       8.7526825887E-004
#    -30    11       1.9979837641E-005
#    -30    12       6.7017338018E-006
#    -30    13       2.7080065824E-005
#    -30    14       2.7542687178E-006
#    -30    15       7.6861514488E-004
#    -30    16       1.7853437834E-005
#    -30    17       3.5130637367E-006
#    -30    18       1.4284446272E-005
#    -30    19       1.4919834914E-005
#    -30    20       4.9653606455E-006
#    -30    21       4.4009888588E-005
#    -30    22       1.5040517126E-004
