 Diffraction intensities for potential:_6x6_04D10009.in                        
#    -54    14       3.1401545932E-006
#    -54    15       1.0145258799E-005
#    -54    16       4.4025521078E-006
#    -54    17       8.2116626622E-007
#    -54    18       4.8639793788E-005
#    -54    19       5.2443487349E-006
#    -54    20       3.7070972968E-007
#    -53     9       1.8261968049E-006
#    -53    10       1.4541332572E-006
#    -53    11       4.1545830292E-007
#    -53    12       1.9806785808E-006
#    -53    13       8.3698732990E-006
#    -53    14       3.6425842296E-006
#    -53    15       1.2811023678E-005
#    -53    16       5.1210256001E-006
#    -53    17       3.8595392461E-006
#    -53    18       7.8436257180E-006
#    -53    19       1.4587951067E-005
#    -53    20       5.5939893387E-006
#    -53    21       1.7135060163E-005
#    -53    22       3.2527556846E-006
#    -53    23       1.4656088193E-006
#    -53    24       1.1097845211E-006
#    -52     6       7.1917328571E-007
#    -52     7       2.8373687324E-006
#    -52     8       3.7911016404E-007
#    -52     9       4.6165812172E-008
#    -52    10       3.3161234524E-006
#    -52    11       5.7411933907E-007
#    -52    12       5.8229131805E-007
#    -52    13       1.4044209513E-005
#    -52    14       1.5423403358E-006
#    -52    15       2.6491230350E-006
#    -52    16       1.7100697316E-005
#    -52    17       1.7298725256E-006
#    -52    18       2.7574770018E-006
#    -52    19       2.5513903250E-005
#    -52    20       2.7006946821E-006
#    -52    21       3.7991437118E-006
#    -52    22       8.9123094922E-006
#    -52    23       2.8725897544E-006
#    -52    24       1.9675587048E-006
#    -52    25       7.8134178490E-006
#    -52    26       4.5495522736E-007
#    -51     3       9.6840822691E-008
#    -51     4       8.5969235638E-007
#    -51     5       2.4192515223E-007
#    -51     6       9.5733150447E-010
#    -51     7       1.6688143499E-007
#    -51     8       2.6290826721E-006
#    -51     9       2.0963085556E-006
#    -51    10       7.3492537155E-006
#    -51    11       9.5162008155E-007
#    -51    12       2.1054321775E-008
#    -51    13       3.2643473909E-006
#    -51    14       1.9339855182E-005
#    -51    15       9.1740572573E-006
#    -51    16       2.8033266403E-005
#    -51    17       1.4674527459E-006
#    -51    18       1.2235347067E-007
#    -51    19       1.7355720925E-006
#    -51    20       1.4059015751E-005
#    -51    21       9.0951924907E-006
#    -51    22       1.7221842449E-005
#    -51    23       7.9061821269E-007
#    -51    24       5.0073221491E-008
#    -51    25       2.1099733209E-006
#    -51    26       2.0868399704E-006
#    -51    27       1.4821601817E-006
#    -50     1       2.3469300706E-007
#    -50     2       5.9700495672E-007
#    -50     3       3.2329637302E-008
#    -50     4       1.2197465211E-007
#    -50     5       1.2706218512E-006
#    -50     6       1.9334474374E-006
#    -50     7       3.1972504045E-007
#    -50     8       1.2506111942E-007
#    -50     9       5.2256993308E-007
#    -50    10       1.9278205727E-006
#    -50    11       1.9981669264E-005
#    -50    12       4.1923254660E-006
#    -50    13       2.1045688901E-006
#    -50    14       1.1662185170E-005
#    -50    15       1.4932609500E-006
#    -50    16       5.1501896605E-006
#    -50    17       3.6754958629E-005
#    -50    18       6.0206479755E-006
#    -50    19       6.1710866954E-006
#    -50    20       1.3138677618E-005
#    -50    21       1.3034589165E-006
#    -50    22       4.6378796005E-006
#    -50    23       8.9548014138E-006
#    -50    24       2.0463228357E-006
#    -50    25       1.4749438871E-006
#    -50    26       5.7480812424E-006
#    -50    27       4.8947223986E-007
#    -50    28       3.9179364320E-006
#    -49    -1       6.4877007188E-007
#    -49     0       3.1829879489E-007
#    -49     1       2.2120330799E-007
#    -49     2       2.5251717581E-006
#    -49     3       6.1255673572E-007
#    -49     4       3.5655383133E-008
#    -49     5       3.2693404467E-007
#    -49     6       2.6723954987E-006
#    -49     7       4.0791839244E-008
#    -49     8       2.2826818025E-006
#    -49     9       2.5917702921E-006
#    -49    10       5.7714868899E-006
#    -49    11       1.1700003144E-005
#    -49    12       7.9100588599E-006
#    -49    13       1.2415848896E-006
#    -49    14       1.0079042331E-005
#    -49    15       2.0439510062E-005
#    -49    16       8.1959279287E-006
#    -49    17       4.1136734998E-005
#    -49    18       1.3531172113E-005
#    -49    19       2.6979172090E-006
#    -49    20       4.3615817086E-006
#    -49    21       1.7871636982E-005
#    -49    22       4.2897132128E-006
#    -49    23       2.3087493986E-005
#    -49    24       2.5790929676E-006
#    -49    25       5.3842535080E-007
#    -49    26       2.8027504881E-006
#    -49    27       6.7401548260E-006
#    -49    28       4.2073199919E-006
#    -49    29       2.0110871763E-006
#    -48    -3       2.2950673287E-007
#    -48    -2       1.2874826279E-007
#    -48    -1       1.1538033497E-007
#    -48     0       2.5315526636E-006
#    -48     1       1.1696947394E-007
#    -48     2       2.7358202138E-009
#    -48     3       4.6798141052E-007
#    -48     4       6.0759895363E-007
#    -48     5       1.1219878803E-007
#    -48     6       9.5609589377E-006
#    -48     7       1.8387594842E-006
#    -48     8       1.4328902679E-006
#    -48     9       7.1205208519E-007
#    -48    10       1.1688099658E-006
#    -48    11       3.0440890369E-006
#    -48    12       4.8615901887E-005
#    -48    13       7.1537693383E-006
#    -48    14       3.8335807292E-006
#    -48    15       1.9832331870E-005
#    -48    16       3.0333928491E-006
#    -48    17       6.9748151865E-006
#    -48    18       5.3007265553E-005
#    -48    19       1.0362710267E-005
#    -48    20       8.2118335343E-006
#    -48    21       1.1554454589E-005
#    -48    22       4.6152519060E-006
#    -48    23       2.6877114497E-006
#    -48    24       3.0940189292E-005
#    -48    25       3.1558948133E-006
#    -48    26       4.1745145240E-006
#    -48    27       3.6791550840E-006
#    -48    28       2.0194197906E-006
#    -48    29       6.2518509496E-009
#    -48    30       2.3335906315E-006
#    -47    -4       3.0243361932E-007
#    -47    -3       9.2860068711E-007
#    -47    -2       7.8390951066E-007
#    -47    -1       1.2187819477E-007
#    -47     0       2.7605970742E-007
#    -47     1       6.1558802448E-008
#    -47     2       1.8872984566E-007
#    -47     3       9.6002411331E-008
#    -47     4       6.0302597606E-007
#    -47     5       6.6862716475E-007
#    -47     6       8.7551806404E-007
#    -47     7       5.7164146986E-006
#    -47     8       2.0128333653E-006
#    -47     9       1.0072642869E-005
#    -47    10       3.2990366533E-006
#    -47    11       2.7925852313E-006
#    -47    12       1.2692712947E-005
#    -47    13       2.7119693922E-005
#    -47    14       1.2060697818E-005
#    -47    15       4.9228051941E-005
#    -47    16       1.9015422466E-005
#    -47    17       5.3182907415E-006
#    -47    18       2.0491015823E-005
#    -47    19       2.8090271071E-005
#    -47    20       1.8306076642E-005
#    -47    21       3.2406620668E-005
#    -47    22       1.2666456292E-005
#    -47    23       2.1076853765E-006
#    -47    24       1.2511017522E-005
#    -47    25       7.8453778822E-006
#    -47    26       1.9904253874E-006
#    -47    27       3.3914757513E-006
#    -47    28       2.3546599330E-006
#    -47    29       2.2636284690E-007
#    -47    30       1.7086231217E-006
#    -47    31       4.5004127681E-007
#    -46    -6       3.0605688028E-008
#    -46    -5       7.2556124581E-007
#    -46    -4       5.2985614352E-008
#    -46    -3       4.7389142985E-008
#    -46    -2       2.0359055871E-007
#    -46    -1       1.8264060472E-008
#    -46     0       5.9091226817E-008
#    -46     1       1.4776450380E-006
#    -46     2       2.7369796560E-008
#    -46     3       9.5591894831E-008
#    -46     4       5.6509697432E-009
#    -46     5       5.3521927291E-008
#    -46     6       2.4085079103E-007
#    -46     7       5.7495866756E-006
#    -46     8       1.3391841816E-006
#    -46     9       2.7680333063E-006
#    -46    10       1.2509677172E-005
#    -46    11       3.7697587297E-006
#    -46    12       4.4541216690E-006
#    -46    13       7.0727436483E-005
#    -46    14       6.1386064411E-006
#    -46    15       9.7974570872E-006
#    -46    16       5.1731389947E-005
#    -46    17       6.1301857408E-006
#    -46    18       7.5201430371E-006
#    -46    19       7.1247775450E-005
#    -46    20       8.4804810213E-006
#    -46    21       7.3150867592E-006
#    -46    22       2.1088230827E-005
#    -46    23       4.0946867246E-006
#    -46    24       6.5475969150E-007
#    -46    25       2.7648332996E-005
#    -46    26       1.8428273153E-006
#    -46    27       1.8581731713E-006
#    -46    28       9.4854194408E-006
#    -46    29       7.3018435106E-007
#    -46    30       3.8069973506E-007
#    -46    31       3.1534032643E-006
#    -45    -7       1.0478828839E-007
#    -45    -6       3.4784833208E-008
#    -45    -5       1.6300163078E-007
#    -45    -4       5.0873655898E-007
#    -45    -3       2.4627853902E-007
