Diffraction intensities for potential:pot10001.in                             
#    -47    41       4.0015270697E-006
#    -47    42       3.3095762453E-006
#    -47    43       1.8589216614E-006
#    -47    44       2.2487552617E-006
#    -47    45       1.2892186128E-006
#    -47    46       1.5717336231E-006
#    -47    47       1.4436222830E-006
#    -47    48       1.7307635436E-006
#    -47    49       1.1832255584E-006
#    -47    50       7.8574874086E-007
#    -47    51       4.6627815846E-007
#    -46    15       6.2601000887E-007
#    -46    16       3.3502422911E-006
#    -46    17       2.7062553844E-006
#    -46    18       5.8363254534E-006
#    -46    19       8.4848677527E-006
#    -46    20       6.1141566065E-006
#    -46    21       6.4446577073E-006
#    -46    22       7.1272989712E-006
#    -46    23       6.9271548284E-006
#    -46    24       8.8926898449E-006
#    -46    25       7.5592462309E-006
#    -46    26       6.3318843899E-006
#    -46    27       7.5555555559E-006
#    -46    28       6.8611509489E-006
#    -46    29       7.4346060777E-006
#    -46    30       6.4590942743E-006
#    -46    31       6.0372076132E-006
#    -46    32       7.4011672646E-006
#    -46    33       9.2799872340E-006
#    -46    34       9.4567184350E-006
#    -46    35       1.0404605375E-005
#    -46    36       6.4433939169E-006
#    -46    37       5.2193883770E-006
#    -46    38       4.8312689886E-006
#    -46    39       3.5948232003E-006
#    -46    40       3.4289364015E-006
#    -46    41       2.7369361751E-006
#    -46    42       2.7316507850E-006
#    -46    43       2.7774220483E-006
#    -46    44       1.8208914564E-006
#    -46    45       1.4812250351E-006
#    -46    46       1.3920352037E-006
#    -46    47       1.5718572421E-006
#    -46    48       8.2790971613E-007
#    -46    49       1.2428180890E-006
#    -46    50       6.1620306322E-007
#    -46    51       4.6430609889E-007
#    -46    52       1.4684319416E-007
#    -45    13       8.5643562163E-007
#    -45    14       1.1964180339E-006
#    -45    15       2.3899748733E-006
#    -45    16       5.1917771353E-006
#    -45    17       8.0621197713E-006
#    -45    18       1.1235000619E-005
#    -45    19       1.2610864316E-005
#    -45    20       1.3510570045E-005
#    -45    21       1.1717986424E-005
#    -45    22       1.6898450571E-005
#    -45    23       1.9107788938E-005
#    -45    24       1.6399930186E-005
#    -45    25       1.5611565169E-005
#    -45    26       1.3444503998E-005
#    -45    27       1.1169771565E-005
#    -45    28       1.0954949980E-005
#    -45    29       8.7669908251E-006
#    -45    30       6.4185374570E-006
#    -45    31       6.3018780053E-006
#    -45    32       6.9437678710E-006
#    -45    33       8.9826123354E-006
#    -45    34       7.7291043328E-006
#    -45    35       6.8642611402E-006
#    -45    36       5.6755989136E-006
#    -45    37       4.2629549829E-006
#    -45    38       3.6074930667E-006
#    -45    39       2.9665511571E-006
#    -45    40       2.7627429172E-006
#    -45    41       3.4422574136E-006
#    -45    42       3.2163848300E-006
#    -45    43       2.8583499858E-006
#    -45    44       2.7009747056E-006
#    -45    45       1.7685596958E-006
#    -45    46       1.4810734737E-006
#    -45    47       1.2891966448E-006
#    -45    48       1.3595667124E-006
#    -45    49       1.3636962063E-006
#    -45    50       1.0166788219E-006
#    -45    51       4.2540748777E-007
#    -45    52       3.1149486960E-007
#    -44    12       8.3749327825E-007
#    -44    13       4.8521979481E-007
#    -44    14       1.6068628580E-006
#    -44    15       4.3420197316E-006
#    -44    16       6.8508801392E-006
#    -44    17       1.2702868043E-005
#    -44    18       1.5508275560E-005
#    -44    19       1.9031706619E-005
#    -44    20       2.2508256487E-005
#    -44    21       2.4044957120E-005
#    -44    22       2.4269770962E-005
#    -44    23       2.4580045556E-005
#    -44    24       2.4074258032E-005
#    -44    25       2.1174982800E-005
#    -44    26       1.6918821950E-005
#    -44    27       1.5220635869E-005
#    -44    28       1.1018238599E-005
#    -44    29       7.4822187700E-006
#    -44    30       5.6804954133E-006
#    -44    31       4.9339131407E-006
#    -44    32       4.7801644860E-006
#    -44    33       5.0956610125E-006
#    -44    34       5.4927788790E-006
#    -44    35       4.8816359367E-006
#    -44    36       4.4691218781E-006
#    -44    37       3.4182530739E-006
#    -44    38       2.9327525269E-006
#    -44    39       3.4068973617E-006
#    -44    40       3.8418116946E-006
#    -44    41       4.0341634129E-006
#    -44    42       4.8401073829E-006
#    -44    43       4.1311549592E-006
#    -44    44       3.1940783897E-006
#    -44    45       2.7011311565E-006
#    -44    46       1.8210675828E-006
#    -44    47       2.2485915271E-006
#    -44    48       1.0245765474E-006
#    -44    49       1.5333325932E-006
#    -44    50       1.2676691626E-006
#    -44    51       8.2696201793E-007
#    -44    52       3.1326281412E-007
#    -44    53       4.6164404394E-007
#    -43    11       1.1687337706E-006
#    -43    12       7.5619008291E-007
#    -43    13       1.3200432177E-006
#    -43    14       1.4873422404E-006
#    -43    15       3.9252280834E-006
#    -43    16       1.0698670978E-005
#    -43    17       1.5834853153E-005
#    -43    18       2.2174790789E-005
#    -43    19       2.8379912564E-005
#    -43    20       2.8479127998E-005
#    -43    21       2.9395406535E-005
#    -43    22       3.0220113713E-005
#    -43    23       2.8153591468E-005
#    -43    24       2.3810162560E-005
#    -43    25       1.8608683452E-005
#    -43    26       1.5989048734E-005
#    -43    27       1.2116618821E-005
#    -43    28       7.4676052885E-006
#    -43    29       4.3728232657E-006
#    -43    30       2.8912958581E-006
#    -43    31       1.8851111586E-006
#    -43    32       2.3050490426E-006
#    -43    33       2.9096635184E-006
#    -43    34       3.7685067416E-006
#    -43    35       4.0865411897E-006
#    -43    36       4.9980532192E-006
#    -43    37       4.3832148420E-006
#    -43    38       5.2230158439E-006
#    -43    39       5.2266078677E-006
#    -43    40       6.4250784918E-006
#    -43    41       6.5557062677E-006
#    -43    42       6.3112718148E-006
#    -43    43       4.7278559764E-006
#    -43    44       4.1311586174E-006
#    -43    45       2.8583730156E-006
#    -43    46       2.7776414607E-006
#    -43    47       1.8589636081E-006
#    -43    48       2.0851949775E-006
#    -43    49       3.0979476697E-006
#    -43    50       1.2837470126E-006
#    -43    51       9.7182744384E-007
#    -43    52       4.1948210368E-007
#    -43    53       3.4269177850E-007
#    -42     9       4.7795555745E-007
#    -42    10       5.4205624776E-007
#    -42    11       8.6164412911E-007
#    -42    12       5.3475210620E-006
#    -42    13       5.0968483569E-006
#    -42    14       3.8781074102E-006
#    -42    15       7.3023151819E-006
#    -42    16       1.3022298453E-005
#    -42    17       2.2784877247E-005
#    -42    18       1.6051609609E-005
#    -42    19       2.3348735810E-005
#    -42    20       2.9484833952E-005
#    -42    21       2.4489443796E-005
