 Diffraction intensities for potential:6x6MoS210001.in                         
#    -54    14       3.6315040836E-006
#    -54    15       8.0856086372E-006
#    -54    16       6.1082515751E-006
#    -54    17       1.8878881523E-007
#    -54    18       8.0225346993E-006
#    -54    19       5.2776951815E-006
#    -54    20       4.7769106741E-006
#    -53     9       3.4366200555E-006
#    -53    10       1.8668732191E-006
#    -53    11       8.5681149463E-006
#    -53    12       3.2425558609E-006
#    -53    13       1.0749144590E-005
#    -53    14       5.0978956004E-006
#    -53    15       6.1036116284E-006
#    -53    16       6.7363577806E-006
#    -53    17       5.0544224088E-006
#    -53    18       3.7685626776E-006
#    -53    19       1.0818433029E-005
#    -53    20       6.0662091598E-006
#    -53    21       7.3745742652E-006
#    -53    22       6.3125051204E-006
#    -53    23       6.2607135441E-006
#    -53    24       4.5928808120E-006
#    -52     6       7.5006041857E-007
#    -52     7       2.2153666228E-006
#    -52     8       1.2315834180E-006
#    -52     9       4.0012403263E-006
#    -52    10       1.5711983453E-006
#    -52    11       3.7501000604E-006
#    -52    12       7.3122622449E-006
#    -52    13       7.6086511400E-006
#    -52    14       7.7561190140E-006
#    -52    15       6.3317007015E-006
#    -52    16       4.8866922672E-006
#    -52    17       1.0846865847E-005
#    -52    18       7.0031446376E-006
#    -52    19       1.0589762745E-005
#    -52    20       5.7145248843E-006
#    -52    21       1.1569070570E-005
#    -52    22       1.1507652706E-005
#    -52    23       2.2869345009E-006
#    -52    24       7.4148792472E-006
#    -52    25       1.0604823994E-006
#    -52    26       6.7179676997E-006
#    -51     3       3.4506622338E-006
#    -51     4       2.6872138406E-006
#    -51     5       4.1630733912E-006
#    -51     6       1.7179463707E-006
#    -51     7       4.0194372048E-006
#    -51     8       5.4541537048E-006
#    -51     9       7.7067565846E-006
#    -51    10       5.9168791338E-006
#    -51    11       7.6984725047E-006
#    -51    12       7.4156737300E-006
#    -51    13       7.8362617107E-006
#    -51    14       1.0015453870E-005
#    -51    15       6.9726167017E-006
#    -51    16       8.7280711888E-006
#    -51    17       1.0632124590E-005
#    -51    18       9.8746221277E-006
#    -51    19       8.7645602075E-006
#    -51    20       8.9182230131E-006
#    -51    21       8.8918073922E-006
#    -51    22       1.1183696395E-005
#    -51    23       7.7273796492E-006
#    -51    24       4.9162966476E-006
#    -51    25       1.0898757379E-005
#    -51    26       3.6363837299E-006
#    -51    27       7.5427745925E-006
#    -50     1       1.4751335490E-006
#    -50     2       3.4922604648E-006
#    -50     3       4.6713470257E-006
#    -50     4       2.2820605115E-006
#    -50     5       3.5038346226E-006
#    -50     6       8.4394062757E-006
#    -50     7       5.6835511914E-006
#    -50     8       6.3618433089E-006
#    -50     9       7.6972531243E-006
#    -50    10       6.1044546960E-006
#    -50    11       6.7304325793E-006
#    -50    12       1.3461155707E-005
#    -50    13       1.0602553552E-005
#    -50    14       1.0577491858E-005
#    -50    15       1.1912713351E-005
#    -50    16       1.3269973111E-005
#    -50    17       1.5806845010E-005
#    -50    18       1.1061052283E-005
#    -50    19       1.3292658761E-005
#    -50    20       1.2266139056E-005
#    -50    21       1.2822989781E-005
#    -50    22       1.7391926856E-005
#    -50    23       1.2658111148E-005
#    -50    24       7.8150014053E-006
#    -50    25       2.0881126507E-006
#    -50    26       1.1188771567E-005
#    -50    27       8.9981762498E-006
#    -50    28       8.2899491277E-006
#    -49    -1       1.4749668884E-006
#    -49     0       2.7437195840E-006
#    -49     1       1.6117271160E-006
#    -49     2       5.0598860963E-006
#    -49     3       5.6773786295E-006
#    -49     4       6.6476003595E-006
#    -49     5       3.8346072460E-006
#    -49     6       1.0845515142E-005
#    -49     7       5.3192451935E-006
#    -49     8       8.5073164134E-006
#    -49     9       8.5318677996E-006
#    -49    10       7.0486827645E-006
#    -49    11       9.1663502449E-006
#    -49    12       1.5931687889E-005
#    -49    13       1.2010205209E-005
#    -49    14       1.5175267012E-005
#    -49    15       1.5447654251E-005
#    -49    16       2.1433389941E-005
#    -49    17       9.7302026411E-006
#    -49    18       1.2393987225E-005
#    -49    19       1.6104014375E-005
#    -49    20       2.1411045790E-005
#    -49    21       1.1494106864E-005
#    -49    22       1.7401483823E-005
#    -49    23       1.5616752562E-005
#    -49    24       1.5092912023E-005
#    -49    25       1.3856868538E-005
#    -49    26       1.3275828159E-005
#    -49    27       1.6696434237E-005
#    -49    28       1.3196777305E-005
#    -49    29       6.2917202602E-006
#    -48    -3       3.4508318339E-006
#    -48    -2       3.4918687416E-006
#    -48    -1       1.6117312827E-006
#    -48     0       3.8603909485E-006
#    -48     1       1.1120891145E-005
#    -48     2       2.6684153282E-006
#    -48     3       5.1593077085E-006
#    -48     4       3.7655168112E-006
#    -48     5       5.3807043799E-006
#    -48     6       6.6056843931E-006
#    -48     7       5.1171396972E-006
#    -48     8       3.4954823476E-006
#    -48     9       1.2782994344E-005
#    -48    10       7.3957511540E-006
#    -48    11       6.3773042510E-006
#    -48    12       2.8954259543E-005
#    -48    13       9.3805456331E-006
#    -48    14       1.7404163502E-005
#    -48    15       1.6846768689E-005
#    -48    16       2.4606176210E-005
#    -48    17       1.3548561183E-005
#    -48    18       7.8283241059E-006
#    -48    19       2.1042056633E-005
#    -48    20       1.7217684515E-005
#    -48    21       1.8045003673E-005
#    -48    22       4.9525972299E-005
#    -48    23       2.4507225886E-005
#    -48    24       8.4354167557E-006
#    -48    25       3.3225364376E-005
#    -48    26       1.3213223193E-005
#    -48    27       1.3203690010E-005
#    -48    28       3.6388141056E-006
#    -48    29       5.5313509405E-006
#    -48    30       2.4877210469E-006
#    -47    -4       2.6873055405E-006
#    -47    -3       4.6715878207E-006
#    -47    -2       5.0605081497E-006
#    -47    -1       1.1120716192E-005
#    -47     0       6.5597295247E-006
#    -47     1       9.8802835155E-006
#    -47     2       3.9338513908E-006
#    -47     3       7.6288029032E-006
#    -47     4       1.9334641444E-006
#    -47     5       8.5492486308E-006
#    -47     6       8.2842885821E-006
#    -47     7       9.1127889394E-006
#    -47     8       6.6199551221E-006
#    -47     9       1.1047592954E-005
#    -47    10       9.7101056462E-006
#    -47    11       1.4304529111E-005
#    -47    12       1.2898932502E-005
#    -47    13       2.2662992108E-005
#    -47    14       1.9230549553E-005
#    -47    15       1.8261260482E-005
#    -47    16       1.8642376923E-005
#    -47    17       1.8522239912E-005
#    -47    18       1.9833101626E-005
#    -47    19       2.1872690843E-005
#    -47    20       1.9755230312E-005
#    -47    21       2.7934731752E-005
#    -47    22       2.7686194198E-005
#    -47    23       2.4086299420E-005
#    -47    24       2.1240329911E-005
#    -47    25       1.6667264906E-005
#    -47    26       9.4785073914E-006
#    -47    27       5.8670607627E-006
#    -47    28       5.1535655823E-006
#    -47    29       1.0054067411E-005
#    -47    30       6.3505804803E-006
#    -47    31       8.4752460172E-006
#    -46    -6       7.5003733789E-007
#    -46    -5       4.1632675200E-006
#    -46    -4       2.2823408519E-006
#    -46    -3       5.6778709083E-006
#    -46    -2       2.6682194970E-006
#    -46    -1       9.8799764465E-006
#    -46     0       6.3294040815E-006
#    -46     1       7.4896734770E-006
#    -46     2       4.8756434285E-006
#    -46     3       7.8975894497E-006
#    -46     4       4.3257925228E-006
#    -46     5       6.1880589889E-006
#    -46     6       7.3274659065E-006
#    -46     7       7.4850151124E-006
#    -46     8       8.3584629113E-006
#    -46     9       9.3304250631E-006
#    -46    10       8.9561748015E-006
#    -46    11       1.3997396018E-005
#    -46    12       1.4588782521E-005
#    -46    13       1.8460582660E-005
#    -46    14       1.4036229192E-005
#    -46    15       1.6677207644E-005
#    -46    16       1.5986380128E-005
#    -46    17       1.7721580301E-005
#    -46    18       2.0323364905E-005
#    -46    19       1.7447243103E-005
#    -46    20       2.0107759495E-005
#    -46    21       3.0047082775E-005
#    -46    22       2.2086662897E-005
#    -46    23       1.5498119387E-005
#    -46    24       1.9650656449E-005
#    -46    25       1.7302283091E-005
#    -46    26       2.7983951071E-005
#    -46    27       3.0767345628E-005
#    -46    28       2.8596598458E-005
#    -46    29       9.2567032162E-006
#    -46    30       1.0133380124E-005
#    -46    31       1.2492302416E-005
#    -45    -7       2.2156885340E-006
#    -45    -6       1.7185984645E-006
#    -45    -5       3.5045469869E-006
#    -45    -4       6.6485330453E-006
#    -45    -3       5.1591311797E-006
#    -45    -2       3.9333094110E-006
#    -45    -1       7.4890257812E-006
#    -45     0       5.6988293997E-006
#    -45     1       7.2915903834E-006
#    -45     2       9.1259544385E-006
#    -45     3       8.5707394834E-006
#    -45     4       8.3386300660E-006
#    -45     5       9.1418246155E-006
#    -45     6       7.5287532575E-006
#    -45     7       8.7676391615E-006
#    -45     8       9.8333750509E-006
#    -45     9       9.6229266821E-006
#    -45    10       9.8966360519E-006
#    -45    11       1.3285659904E-005
#    -45    12       1.3513372982E-005
#    -45    13       1.2225512662E-005
#    -45    14       1.5701515110E-005
#    -45    15       1.5872284909E-005
#    -45    16       1.7629283566E-005
#    -45    17       1.8185184174E-005
#    -45    18       1.3583874788E-005
#    -45    19       2.1309045292E-005
#    -45    20       1.6589953599E-005
#    -45    21       2.4076071445E-005
#    -45    22       2.0610894012E-005
#    -45    23       1.5317167534E-005
#    -45    24       2.1765359679E-005
#    -45    25       2.3453029790E-005
#    -45    26       2.0843699199E-005
#    -45    27       1.8073271122E-005
#    -45    28       2.5417783827E-005
#    -45    29       2.1543790965E-005
#    -45    30       3.2994800617E-005
#    -45    31       9.7606065552E-006
#    -45    32       7.2711867334E-006
#    -44    -9       3.4384365816E-006
#    -44    -8       1.2319972390E-006
#    -44    -7       4.0208570284E-006
#    -44    -6       8.4418098669E-006
#    -44    -5       3.8344231207E-006
#    -44    -4       3.7644408790E-006
#    -44    -3       7.6273368552E-006
#    -44    -2       4.8744134512E-006
#    -44    -1       7.2907633170E-006
#    -44     0       8.1712575712E-006
#    -44     1       8.0934473655E-006
#    -44     2       1.0779218741E-005
#    -44     3       1.1115978214E-005
#    -44     4       8.9380424964E-006
#    -44     5       8.4451024839E-006
#    -44     6       1.1131250780E-005
#    -44     7       9.2245446855E-006
#    -44     8       9.8063958550E-006
#    -44     9       9.9926436635E-006
#    -44    10       9.1474949517E-006
#    -44    11       1.0875022876E-005
#    -44    12       1.1083992027E-005
#    -44    13       1.3824975798E-005
#    -44    14       1.1904192539E-005
#    -44    15       1.3575325362E-005
#    -44    16       1.6490856937E-005
#    -44    17       1.8942695332E-005
#    -44    18       1.5799169440E-005
#    -44    19       9.4628632570E-006
#    -44    20       1.8764213067E-005
#    -44    21       1.7276758139E-005
#    -44    22       2.0572974468E-005
#    -44    23       1.3966244860E-005
#    -44    24       1.4864959486E-005
#    -44    25       2.1769777001E-005
#    -44    26       2.6804500969E-005
#    -44    27       2.8991668491E-005
#    -44    28       4.0234504153E-005
#    -44    29       2.0087179564E-005
#    -44    30       2.2340605060E-005
#    -44    31       1.5707460714E-005
#    -44    32       5.6823034265E-006
#    -43   -10       1.8683822470E-006
#    -43    -9       4.0030575679E-006
#    -43    -8       5.4557445593E-006
#    -43    -7       5.6834986530E-006
#    -43    -6       1.0843983428E-005
#    -43    -5       5.3786542971E-006
#    -43    -4       1.9318199359E-006
#    -43    -3       7.8940022197E-006
#    -43    -2       9.1230928751E-006
#    -43    -1       8.0925156951E-006
#    -43     0       5.8286167085E-006
#    -43     1       1.1530432498E-005
#    -43     2       1.1476853231E-005
#    -43     3       1.4260114277E-005
#    -43     4       1.1630304200E-005
#    -43     5       1.0408323387E-005
#    -43     6       1.0358689722E-005
#    -43     7       7.9576206743E-006
#    -43     8       8.7107498341E-006
#    -43     9       9.0304442224E-006
#    -43    10       9.3777941436E-006
#    -43    11       6.1155137958E-006
#    -43    12       9.1248033752E-006
#    -43    13       8.7894726435E-006
#    -43    14       1.3999306648E-005
#    -43    15       1.1592820051E-005
#    -43    16       1.3973647522E-005
#    -43    17       1.4071573073E-005
#    -43    18       1.5433102843E-005
#    -43    19       1.4841947637E-005
#    -43    20       1.4308091769E-005
#    -43    21       1.4243312108E-005
#    -43    22       1.6005622291E-005
#    -43    23       1.8108835988E-005
#    -43    24       1.7013710074E-005
#    -43    25       2.2337456818E-005
#    -43    26       2.4878009745E-005
#    -43    27       3.0530804004E-005
#    -43    28       3.1770153794E-005
#    -43    29       2.2337309511E-005
#    -43    30       1.4009518864E-005
#    -43    31       1.1907378117E-005
#    -43    32       9.1095864675E-006
#    -42   -11       8.5703433307E-006
#    -42   -10       1.5714088449E-006
#    -42    -9       7.7073593014E-006
#    -42    -8       6.3614478642E-006
#    -42    -7       5.3183889826E-006
#    -42    -6       6.6002661051E-006
#    -42    -5       8.5422340791E-006
#    -42    -4       4.3219286799E-006
#    -42    -3       8.5670515659E-006
#    -42    -2       1.0777416079E-005
#    -42    -1       1.1530606915E-005
#    -42     0       3.9971338258E-005
#    -42     1       1.7598263860E-005
#    -42     2       1.1707793084E-005
#    -42     3       1.5689394127E-005
#    -42     4       1.0103783125E-005
#    -42     5       1.1672431036E-005
#    -42     6       1.2965171639E-005
#    -42     7       6.9613436711E-006
#    -42     8       6.2584754314E-006
#    -42     9       7.5513514149E-006
#    -42    10       5.2447758778E-006
#    -42    11       2.6337070160E-006
#    -42    12       1.2967417126E-004
#    -42    13       9.2559539628E-006
#    -42    14       9.7305006401E-006
#    -42    15       1.0953880602E-005
#    -42    16       2.1740503309E-005
#    -42    17       1.7954262441E-005
#    -42    18       1.2985482325E-004
#    -42    19       1.8339241005E-005
#    -42    20       1.3946018949E-005
#    -42    21       1.1971304504E-005
#    -42    22       1.5740513320E-005
#    -42    23       1.4228951319E-005
#    -42    24       5.9063792725E-005
#    -42    25       2.9758511897E-005
#    -42    26       2.4751688933E-005
#    -42    27       1.8385675319E-005
#    -42    28       1.0927291047E-005
#    -42    29       2.0034037220E-005
#    -42    30       2.2216213486E-005
#    -42    31       1.0499920289E-005
#    -42    32       5.8015011972E-006
#    -42    33       1.2633912404E-005
#    -41   -12       3.2452576299E-006
#    -41   -11       3.7526275848E-006
#    -41   -10       5.9168609534E-006
#    -41    -9       7.6944777913E-006
#    -41    -8       8.4994124114E-006
#    -41    -7       5.1112091605E-006
#    -41    -6       8.2763460303E-006
#    -41    -5       6.1815470186E-006
#    -41    -4       8.3325210058E-006
#    -41    -3       1.1112256955E-005
#    -41    -2       1.1476548484E-005
#    -41    -1       1.7597768630E-005
#    -41     0       1.8734832008E-005
