 Diffraction intensities for potential:1x1MoS210001.in                         
#     -9     3       4.0963253351E-007
#     -8     0       5.5175290676E-003
#     -8     1       6.9669649367E-003
#     -8     2       2.1012790457E-003
#     -8     3       4.0330595887E-004
#     -8     4       2.5574833916E-004
#     -8     5       2.7952579833E-004
#     -7    -1       6.7118262504E-003
#     -7     0       1.2439508167E-002
#     -7     1       1.8102252268E-002
#     -7     2       6.8031035716E-003
#     -7     3       5.1220586610E-003
#     -7     4       6.0386769716E-004
#     -7     5       1.1974453710E-003
#     -6    -3       5.7240594317E-007
#     -6    -2       1.9970620539E-003
#     -6    -1       1.7864297337E-002
#     -6     0       1.9283386168E-002
#     -6     1       1.0842291366E-002
#     -6     2       6.8298172943E-004
#     -6     3       9.7038557626E-003
#     -6     4       1.4743807065E-002
#     -6     5       1.6312168139E-002
#     -5    -3       4.2177649002E-004
#     -5    -2       6.5223784879E-003
#     -5    -1       1.1408177864E-002
#     -5     0       3.2253538926E-002
#     -5     1       6.6187714834E-003
#     -5     2       5.5588212391E-003
#     -5     3       1.3560101259E-002
#     -5     4       3.0182321148E-002
#     -5     5       1.6138055923E-002
#     -4    -4       2.0059189318E-004
#     -4    -3       5.4447463344E-003
#     -4    -2       4.9716958701E-004
#     -4    -1       6.8121105448E-003
#     -4     0       2.3702662941E-002
#     -4     1       1.0009632384E-002
#     -4     2       1.7154205153E-002
#     -4     3       1.8332411573E-002
#     -4     4       2.8459756888E-003
#     -4     5       4.3805915299E-002
#     -3    -5       2.5212861682E-004
#     -3    -4       6.6182564568E-004
#     -3    -3       1.0520418151E-002
#     -3    -2       5.9847017108E-003
#     -3    -1       9.0260784891E-003
#     -3     0       2.1074194662E-002
#     -3     1       1.3842473598E-002
#     -3     2       1.1395361359E-002
#     -3     3       1.0564394336E-002
#     -3     4       8.8197795958E-003
#     -2    -5       1.3416321094E-003
#     -2    -4       1.4312847799E-002
#     -2    -3       1.3435978602E-002
#     -2    -2       1.8189359332E-002
#     -2    -1       1.1378711458E-002
#     -2     0       1.4313309964E-002
#     -2     1       1.2877457115E-002
#     -2     2       7.3505970912E-003
#     -2     3       4.1835669885E-003
#     -1    -5       1.6916141462E-002
#     -1    -4       2.8743785188E-002
#     -1    -3       1.7608052123E-002
#     -1    -2       1.1525391731E-002
#     -1    -1       1.0955879603E-002
#     -1     0       1.5333088893E-002
#     -1     1       1.2897652667E-002
#     -1     2       6.5616503551E-003
#     -1     3       1.7127354292E-003
#      0    -5       1.6930668850E-002
#      0    -4       2.7778319111E-003
#      0    -3       9.4686519848E-003
#      0    -2       7.0011194789E-003
#      0    -1       1.2036453533E-002
#      0     0       1.3900635227E-002
#      0     1       2.4304812371E-002
#      0     2       1.8824333769E-002
#      1    -5       4.3588263089E-002
#      1    -4       9.1275669658E-003
#      1    -3       3.6088476779E-003
#      1    -2       6.5736580561E-003
#      1    -1       2.3705090195E-002
#      1     0       6.6652478394E-002
#      2    -3       1.6340249990E-003
#      2    -2       1.8681479583E-002
