 Diffraction intensities for potential:gv5x5_30D10002.in                       
#    -20     4       1.4987015827E-005
#    -20     5       6.1061904944E-003
#    -20     6       3.8643984243E-004
#    -20     7       2.1153186783E-004
#    -20     8       1.7517067584E-004
#    -20     9       7.2497199991E-005
#    -20    10       2.0880614196E-003
#    -20    11       1.1154478178E-005
#    -20    12       7.4651612255E-004
#    -20    13       8.9165928873E-005
#    -20    14       1.7523100008E-004
#    -20    15       1.5586823704E-003
#    -20    16       3.2241457831E-004
#    -20    17       6.7124504519E-005
#    -20    18       3.5872632543E-004
#    -20    19       1.1417548333E-003
#    -20    20       5.0323522028E-004
#    -20    21       4.4532021980E-004
#    -20    22       1.6086443475E-004
#    -20    23       1.7482672255E-004
#    -20    24       6.8617584803E-005
#    -20    25       1.9538696068E-004
#    -20    26       6.1012198330E-006
#    -20    27       1.6032780165E-004
#    -19    -8       4.2344936902E-005
#    -19    -7       5.3867629343E-005
#    -19    -6       5.2248118234E-005
#    -19    -5       1.0418456983E-006
#    -19    -4       6.4038669541E-005
#    -19    -3       7.8189709333E-005
#    -19    -2       5.0001816696E-004
#    -19    -1       4.0396914693E-004
#    -19     0       2.4306292595E-004
#    -19     1       3.1755385594E-004
#    -19     2       2.3913113180E-004
#    -19     3       1.6728908000E-004
#    -19     4       8.2761693860E-004
#    -19     5       5.4876261029E-004
#    -19     6       5.4942489155E-004
#    -19     7       6.8020201839E-005
#    -19     8       4.6506740486E-005
#    -19     9       1.4727285807E-004
#    -19    10       4.5126308910E-004
#    -19    11       2.3204230107E-004
#    -19    12       6.8263159109E-004
#    -19    13       6.6671317951E-004
#    -19    14       1.1775123629E-004
#    -19    15       1.0211671090E-004
#    -19    16       5.8307275222E-004
#    -19    17       1.5312144778E-005
#    -19    18       2.9811620707E-004
#    -19    19       2.8722305145E-004
#    -19    20       1.8055582207E-004
#    -19    21       4.3521369564E-004
#    -19    22       3.7719851538E-004
#    -19    23       3.8857100556E-004
#    -19    24       2.0418137770E-004
#    -19    25       1.6052656597E-004
#    -19    26       1.3814225812E-004
#    -19    27       1.3538974113E-004
#    -18    -9       1.2264403718E-005
#    -18    -8       1.4993972292E-005
#    -18    -7       1.2809900835E-005
#    -18    -6       6.7264384553E-005
#    -18    -5       5.0482063711E-004
#    -18    -4       1.5886163316E-004
#    -18    -3       2.6256500386E-005
#    -18    -2       2.5951789139E-004
#    -18    -1       1.2422352888E-004
#    -18     0       5.5936982300E-004
#    -18     1       9.2837800808E-004
#    -18     2       9.1591403566E-004
#    -18     3       2.3722635189E-004
#    -18     4       4.9544000560E-004
#    -18     5       3.9061516614E-004
#    -18     6       3.2166908354E-004
#    -18     7       4.7219731683E-004
#    -18     8       4.5711390802E-005
#    -18     9       1.7153798339E-006
#    -18    10       1.2814345958E-003
#    -18    11       1.0637006388E-004
#    -18    12       6.4228931813E-005
#    -18    13       5.3549279863E-005
#    -18    14       2.0328694864E-004
#    -18    15       6.4886790026E-005
#    -18    16       1.2229260465E-003
#    -18    17       1.4770161447E-005
#    -18    18       8.0425065802E-005
#    -18    19       1.4158706962E-004
#    -18    20       7.8805730768E-005
#    -18    21       1.0740193321E-003
#    -18    22       7.0275136345E-005
#    -18    23       2.9260248611E-004
#    -18    24       1.8515534004E-004
#    -18    25       4.9800497179E-005
#    -18    26       1.2610341121E-004
#    -18    27       1.0037457022E-005
#    -17   -10       1.6277570345E-004
#    -17    -9       2.1728756826E-005
#    -17    -8       2.6174512226E-004
#    -17    -7       3.1163531541E-005
#    -17    -6       1.5531452210E-004
#    -17    -5       6.1504769687E-004
#    -17    -4       1.7593850181E-005
#    -17    -3       2.0502592150E-005
#    -17    -2       1.5985836515E-004
#    -17    -1       4.7354491190E-004
#    -17     0       1.2526383156E-003
#    -17     1       3.3786139802E-004
#    -17     2       9.8707198443E-005
#    -17     3       3.3593879072E-004
#    -17     4       1.2323538452E-004
#    -17     5       7.3024331885E-004
#    -17     6       1.5175616573E-004
#    -17     7       1.9902053292E-004
#    -17     8       5.3516600082E-004
#    -17     9       6.0516539803E-004
#    -17    10       7.5738473645E-004
#    -17    11       5.0060054780E-005
#    -17    12       6.7241344751E-004
#    -17    13       1.1161526853E-005
#    -17    14       6.3971065612E-004
#    -17    15       3.7827946687E-004
#    -17    16       4.9298004389E-005
#    -17    17       2.9345837797E-004
#    -17    18       9.9513341143E-004
#    -17    19       4.4579296795E-005
#    -17    20       1.6018952552E-004
#    -17    21       1.2819952310E-004
#    -17    22       9.9762690449E-004
#    -17    23       6.7315551408E-005
#    -17    24       6.3862301136E-005
#    -17    25       6.7148957177E-005
#    -17    26       3.3983278708E-004
#    -17    27       3.3395514193E-004
#    -16   -11       1.2666918513E-004
#    -16   -10       9.3042916271E-006
#    -16    -9       1.0231084316E-005
#    -16    -8       2.4338150217E-005
#    -16    -7       2.8934610512E-004
#    -16    -6       5.9625430589E-006
#    -16    -5       1.0637237111E-004
#    -16    -4       2.7871328022E-004
#    -16    -3       2.8025558692E-004
#    -16    -2       2.6947031426E-004
#    -16    -1       8.9583909442E-004
#    -16     0       1.1033687408E-003
#    -16     1       1.8171983914E-004
#    -16     2       3.1159737252E-004
#    -16     3       5.4533897965E-004
#    -16     4       2.0644484009E-004
#    -16     5       5.4762687534E-005
#    -16     6       8.6436927730E-004
#    -16     7       9.0509818200E-005
#    -16     8       1.1387863443E-004
#    -16     9       2.0166871211E-005
#    -16    10       3.1507391111E-004
#    -16    11       2.6007774072E-004
#    -16    12       1.0999311374E-003
#    -16    13       5.1951325719E-006
#    -16    14       5.5040937538E-004
#    -16    15       7.5184658704E-005
#    -16    16       1.3924245703E-004
#    -16    17       2.2732500150E-003
#    -16    18       4.4803205364E-004
#    -16    19       3.7266132766E-004
#    -16    20       3.3918879196E-005
#    -16    21       1.4604917380E-004
#    -16    22       5.4903225570E-006
#    -16    23       3.3368077385E-004
#    -16    24       7.8226126225E-005
#    -16    25       1.0819606378E-004
#    -16    26       7.2803563021E-005
#    -16    27       3.3980621763E-005
#    -15   -13       2.7798513684E-005
#    -15   -12       5.3667460028E-006
#    -15   -11       7.8586388659E-005
#    -15   -10       3.9158221134E-004
#    -15    -9       7.3963657910E-005
#    -15    -8       1.9327406732E-005
#    -15    -7       6.0074804984E-005
#    -15    -6       1.8168825774E-004
#    -15    -5       4.9114622810E-003
#    -15    -4       2.2629194559E-004
#    -15    -3       1.0414703134E-005
#    -15    -2       5.0950498033E-006
#    -15    -1       2.0942839122E-004
#    -15     0       1.6144033537E-002
#    -15     1       7.4656005620E-005
#    -15     2       3.0675739361E-004
#    -15     3       5.3070519018E-005
#    -15     4       5.5377091135E-005
#    -15     5       6.5500380283E-003
#    -15     6       2.6242703232E-004
#    -15     7       3.2295092893E-004
#    -15     8       1.8888745568E-005
#    -15     9       6.4253932998E-004
#    -15    10       6.7414543174E-003
#    -15    11       5.4306951404E-004
#    -15    12       1.2733657257E-004
#    -15    13       6.0514545229E-004
#    -15    14       3.3864792283E-004
#    -15    15       9.5243323269E-003
#    -15    16       3.0223080358E-004
#    -15    17       4.7928522025E-004
#    -15    18       6.1972178821E-004
#    -15    19       2.6126923062E-005
#    -15    20       8.4689524971E-004
#    -15    21       9.2739399715E-005
#    -15    22       1.6211225399E-004
#    -15    23       1.6713251968E-004
#    -15    24       6.7797097307E-005
#    -15    25       2.2973110251E-004
#    -15    26       1.4698066435E-005
#    -15    27       2.0147444365E-004
#    -15    28       2.1237238056E-005
#    -14   -14       6.3392288633E-006
#    -14   -13       3.5600691142E-005
#    -14   -12       1.7850107965E-006
#    -14   -11       2.3688607131E-004
#    -14   -10       9.1125676683E-005
#    -14    -9       1.8611240057E-004
#    -14    -8       6.6049038252E-005
#    -14    -7       1.0668652546E-004
#    -14    -6       2.9069644671E-004
#    -14    -5       3.0965918944E-004
#    -14    -4       6.4595926384E-004
#    -14    -3       5.2527456883E-004
#    -14    -2       1.4547631188E-004
#    -14    -1       1.0367542274E-003
#    -14     0       1.1206941571E-004
#    -14     1       6.4044416500E-004
#    -14     2       6.2075320296E-005
#    -14     3       9.7173864041E-004
#    -14     4       2.6507998354E-005
#    -14     5       2.9933599584E-005
#    -14     6       6.7791888237E-004
#    -14     7       5.1700827781E-004
#    -14     8       1.7328638982E-003
#    -14     9       2.1872097240E-005
#    -14    10       1.7227322387E-004
#    -14    11       1.9040361997E-004
#    -14    12       4.9827902865E-005
#    -14    13       1.0804459609E-004
#    -14    14       1.4188588202E-004
#    -14    15       2.1612279600E-004
#    -14    16       5.3550282849E-004
#    -14    17       1.5264259255E-004
#    -14    18       2.9151522528E-004
#    -14    19       3.4924637444E-004
#    -14    20       3.0702962818E-004
#    -14    21       3.8448048105E-004
#    -14    22       1.3649367067E-004
#    -14    23       6.9166524930E-005
#    -14    24       6.7718783892E-005
#    -14    25       3.8775499091E-004
#    -14    26       2.0023127823E-004
#    -14    27       4.4247618703E-005
#    -14    28       1.5241599870E-005
#    -13   -15       1.0778391605E-005
#    -13   -14       7.9124101901E-006
#    -13   -13       4.5119253530E-005
#    -13   -12       3.5472504307E-005
#    -13   -11       2.8602106371E-004
#    -13   -10       2.4071003324E-004
#    -13    -9       9.5456617055E-005
#    -13    -8       6.4478094187E-004
#    -13    -7       6.0770306982E-005
#    -13    -6       5.5317096667E-004
#    -13    -5       5.1072016722E-004
#    -13    -4       6.4343526163E-004
#    -13    -3       3.6084502494E-004
#    -13    -2       7.5243905570E-004
#    -13    -1       2.6608851577E-004
#    -13     0       1.5341414958E-003
#    -13     1       6.7158222289E-004
#    -13     2       6.1486315052E-004
#    -13     3       2.1426318288E-004
#    -13     4       3.2219401097E-004
#    -13     5       3.7144758615E-004
#    -13     6       4.2327853496E-005
#    -13     7       1.3656324860E-004
#    -13     8       2.1646145204E-004
#    -13     9       3.8328420014E-005
#    -13    10       1.8920931897E-004
#    -13    11       1.8490233954E-004
#    -13    12       1.9998912801E-004
#    -13    13       1.8463251623E-004
#    -13    14       6.8122048647E-004
#    -13    15       1.0357170544E-003
#    -13    16       1.9297403912E-004
#    -13    17       1.0284514604E-003
#    -13    18       8.8191710534E-004
#    -13    19       3.9067159463E-004
#    -13    20       2.0538514999E-004
#    -13    21       6.1711505113E-004
#    -13    22       3.4338154775E-004
#    -13    23       2.9240203026E-004
#    -13    24       3.6483746492E-004
#    -13    25       2.6266895074E-004
#    -13    26       5.1619798976E-005
#    -13    27       3.2737577223E-005
#    -13    28       1.8046704755E-005
#    -12   -15       2.6491129284E-004
#    -12   -14       2.1799552041E-005
#    -12   -13       2.7285482186E-005
#    -12   -12       6.3123032881E-005
#    -12   -11       4.1270964459E-004
#    -12   -10       5.7294562081E-004
#    -12    -9       3.0407266051E-004
#    -12    -8       2.4492992934E-004
#    -12    -7       4.5338424221E-004
#    -12    -6       2.3978796511E-004
#    -12    -5       2.0456582573E-003
