 Diffraction intensities for potential:gv5x5_25D10004.in                       
#    -45    11       7.1675266340E-006
#    -45    12       1.6845065407E-006
#    -45    13       3.2984877583E-005
#    -45    14       3.9311344244E-005
#    -45    15       9.3650967172E-006
#    -45    16       1.3234405970E-006
#    -44     7       7.6364930599E-006
#    -44     8       3.6409546720E-005
#    -44     9       1.6367067886E-005
#    -44    10       1.3549885726E-005
#    -44    11       2.4126967263E-005
#    -44    12       2.7113571020E-005
#    -44    13       1.7983282883E-005
#    -44    14       2.1643350245E-005
#    -44    15       2.3868631296E-006
#    -44    16       7.5246684401E-006
#    -44    17       4.2624244484E-006
#    -44    18       4.8540112506E-006
#    -44    19       1.1252489360E-006
#    -44    20       8.1976788471E-006
#    -43     4       1.9297855639E-005
#    -43     5       2.4133793131E-005
#    -43     6       5.0593427953E-006
#    -43     7       2.4625191588E-005
#    -43     8       6.0132866773E-005
#    -43     9       1.4773671640E-005
#    -43    10       2.8514834256E-005
#    -43    11       3.5092479461E-005
#    -43    12       3.9985355085E-005
#    -43    13       4.5841218739E-005
#    -43    14       3.1091344385E-005
#    -43    15       2.1917399938E-005
#    -43    16       1.3797614994E-005
#    -43    17       2.4610094714E-005
#    -43    18       4.8836170723E-006
#    -43    19       1.5708021388E-005
#    -43    20       4.4922180838E-006
#    -43    21       3.2903835732E-006
#    -43    22       2.1504640754E-005
#    -42     2       1.4455889782E-005
#    -42     3       4.5741255548E-006
#    -42     4       1.4902407410E-005
#    -42     5       5.1560371245E-005
#    -42     6       3.5355250129E-005
#    -42     7       5.4319942208E-005
#    -42     8       2.1026305329E-005
#    -42     9       2.3585637206E-005
#    -42    10       9.3021376918E-005
#    -42    11       6.4665513804E-005
#    -42    12       3.2142063872E-006
#    -42    13       6.8865639628E-005
#    -42    14       9.8491175699E-005
#    -42    15       5.3596251546E-005
#    -42    16       6.3572415219E-005
#    -42    17       4.7801864839E-005
#    -42    18       4.4415210374E-005
#    -42    19       1.7097042566E-005
#    -42    20       1.8194250225E-005
#    -42    21       7.5214833035E-006
#    -42    22       7.5720384513E-006
#    -42    23       1.4236174118E-005
#    -41     0       2.1451530452E-006
#    -41     1       1.2649827260E-005
#    -41     2       3.7158610533E-005
#    -41     3       2.3558523798E-006
#    -41     4       2.0028234916E-005
#    -41     5       3.1907740869E-005
#    -41     6       6.7706775281E-006
#    -41     7       5.0919178134E-005
#    -41     8       3.4614805134E-005
#    -41     9       1.9871668602E-005
#    -41    10       9.9746587627E-005
#    -41    11       2.2589770949E-005
#    -41    12       1.1973045265E-005
#    -41    13       6.9785813182E-005
#    -41    14       9.7048338078E-005
#    -41    15       1.4251112576E-005
#    -41    16       1.5391881667E-005
#    -41    17       9.8669979935E-005
#    -41    18       3.0880245659E-005
#    -41    19       4.6517066377E-005
#    -41    20       2.7295473845E-005
#    -41    21       2.5412146991E-005
#    -41    22       1.7936159720E-005
#    -41    23       5.7906247630E-006
#    -41    24       3.0381107228E-005
#    -40    -2       9.0546727803E-006
#    -40    -1       3.0339007460E-005
#    -40     0       6.5548738015E-006
#    -40     1       5.2154361564E-005
#    -40     2       6.1316526217E-005
#    -40     3       4.9534702698E-005
#    -40     4       8.9912566611E-005
#    -40     5       7.9492393705E-005
#    -40     6       2.8210845340E-005
#    -40     7       5.0611688852E-005
#    -40     8       6.2728932680E-005
#    -40     9       1.0396595429E-004
#    -40    10       1.4932869354E-004
#    -40    11       4.4465036228E-005
#    -40    12       1.7428071357E-005
#    -40    13       1.4323037470E-004
#    -40    14       3.5986109869E-005
#    -40    15       8.8803622469E-006
#    -40    16       6.0223580955E-005
#    -40    17       1.1415984250E-004
#    -40    18       1.5671392071E-005
#    -40    19       5.1888890310E-007
#    -40    20       1.0766338706E-004
#    -40    21       2.2232975731E-005
#    -40    22       5.1222773395E-005
#    -40    23       7.6700376614E-006
#    -40    24       4.8850316854E-005
#    -40    25       2.2267806948E-005
#    -39    -4       3.7145262991E-005
#    -39    -3       2.1569042418E-005
#    -39    -2       1.0995099680E-005
#    -39    -1       3.9996559549E-006
#    -39     0       2.1351311975E-005
#    -39     1       2.1058635573E-005
#    -39     2       1.6097139639E-005
#    -39     3       1.8650542185E-005
#    -39     4       2.0352435662E-004
#    -39     5       1.5377432867E-004
#    -39     6       8.6078887034E-007
#    -39     7       1.8515906295E-004
#    -39     8       1.9136044547E-004
#    -39     9       2.4013780319E-005
#    -39    10       9.0498635810E-005
#    -39    11       1.0045478276E-004
#    -39    12       4.6356938017E-005
#    -39    13       7.7850360967E-007
#    -39    14       6.8246760048E-005
#    -39    15       9.6457318468E-006
#    -39    16       2.2558290837E-005
#    -39    17       2.4307539682E-005
#    -39    18       5.1507150419E-006
#    -39    19       1.2588360930E-004
#    -39    20       1.1869966436E-005
#    -39    21       1.2320874261E-005
#    -39    22       3.5187231456E-006
#    -39    23       1.1657358990E-005
#    -39    24       2.7292701737E-007
#    -39    25       1.5012582975E-005
#    -39    26       2.6343781190E-005
#    -38    -5       2.6525205685E-005
#    -38    -4       9.3023587364E-005
#    -38    -3       4.1775867955E-005
#    -38    -2       5.8660094661E-006
#    -38    -1       1.2257043880E-005
#    -38     0       1.1829783627E-005
#    -38     1       8.7219380547E-006
#    -38     2       1.1363599759E-006
#    -38     3       2.8169370947E-005
#    -38     4       7.2022653045E-005
#    -38     5       7.6929740990E-005
#    -38     6       2.2539162028E-005
#    -38     7       1.0194278885E-004
#    -38     8       1.4291060411E-004
#    -38     9       1.0131817729E-005
#    -38    10       9.4228724841E-005
#    -38    11       7.7280118448E-005
#    -38    12       1.5805099270E-005
#    -38    13       1.7295960204E-004
#    -38    14       1.8756664987E-004
#    -38    15       1.3678943938E-004
#    -38    16       2.0528301599E-005
#    -38    17       1.4848178212E-004
#    -38    18       9.3355922518E-006
#    -38    19       2.7757901022E-005
#    -38    20       7.0583806777E-005
#    -38    21       4.2801084835E-007
#    -38    22       5.3862748105E-005
#    -38    23       6.7044548413E-005
#    -38    24       4.8809542878E-005
#    -38    25       5.7619481361E-006
#    -38    26       6.2346779770E-007
#    -37    -7       1.4463788231E-005
#    -37    -6       4.5529923931E-005
#    -37    -5       9.1902174240E-006
#    -37    -4       1.0599347445E-005
#    -37    -3       5.1940226406E-005
#    -37    -2       1.0313586951E-004
#    -37    -1       1.4261161770E-004
#    -37     0       1.4443801605E-005
#    -37     1       1.0866497172E-004
#    -37     2       1.9664822213E-004
#    -37     3       4.9303030185E-005
#    -37     4       1.2313363594E-005
#    -37     5       8.7741511851E-005
#    -37     6       1.2893116755E-005
#    -37     7       3.4939573239E-005
#    -37     8       1.2641711292E-005
#    -37     9       6.1873790345E-005
#    -37    10       8.0587893590E-005
#    -37    11       6.6895183275E-005
#    -37    12       2.7721756997E-005
#    -37    13       9.5481344877E-005
#    -37    14       1.2880873135E-004
#    -37    15       7.4618999615E-005
#    -37    16       2.1739223396E-005
#    -37    17       4.6995672102E-005
#    -37    18       8.5322608831E-005
#    -37    19       1.3556414971E-005
#    -37    20       1.2718096794E-005
#    -37    21       1.0158275643E-004
#    -37    22       2.3772963179E-006
#    -37    23       6.1509006930E-005
#    -37    24       2.2253043138E-005
#    -37    25       3.0135629314E-005
#    -37    26       4.7944232742E-005
#    -37    27       3.8305884017E-006
#    -36    -8       1.2497563757E-005
#    -36    -7       4.7424413119E-005
#    -36    -6       5.5875207754E-005
#    -36    -5       3.0528275598E-005
#    -36    -4       7.1402235265E-005
#    -36    -3       1.3467934995E-005
#    -36    -2       6.1911487349E-005
#    -36    -1       8.7562836820E-005
#    -36     0       3.0912735816E-005
#    -36     1       7.6449769485E-005
#    -36     2       8.1431346299E-005
#    -36     3       3.3447020505E-005
#    -36     4       1.5897508541E-005
#    -36     5       1.4582231311E-005
#    -36     6       7.5143135320E-005
#    -36     7       2.9606469213E-004
#    -36     8       6.4227727702E-005
#    -36     9       7.6943940475E-005
#    -36    10       2.4307700120E-004
#    -36    11       6.2365382656E-005
#    -36    12       1.4435954758E-006
#    -36    13       9.2911123367E-005
#    -36    14       6.6636152508E-005
#    -36    15       7.7649897558E-006
#    -36    16       8.0933107994E-005
#    -36    17       2.2254177422E-004
#    -36    18       6.3416564607E-006
#    -36    19       6.7981057824E-005
#    -36    20       1.6262625796E-005
#    -36    21       5.9073495534E-005
#    -36    22       5.5690310668E-005
#    -36    23       4.4217330207E-006
#    -36    24       1.2650016171E-004
#    -36    25       2.4267300804E-006
#    -36    26       7.7678935324E-005
#    -36    27       8.4806296821E-006
#    -35    -9       5.6422250513E-005
#    -35    -8       1.0078663105E-005
#    -35    -7       4.7247090531E-005
#    -35    -6       2.2238378056E-005
#    -35    -5       5.8712801822E-006
#    -35    -4       6.5907491120E-005
#    -35    -3       5.5044292822E-006
#    -35    -2       2.6919780568E-005
#    -35    -1       1.7957432326E-004
#    -35     0       1.2235303834E-004
#    -35     1       1.8229258882E-004
#    -35     2       2.5187623227E-004
#    -35     3       4.2644910036E-005
#    -35     4       1.9251313673E-004
#    -35     5       3.8474532550E-004
#    -35     6       4.6658648185E-005
#    -35     7       2.2192736670E-005
#    -35     8       2.3565473415E-004
#    -35     9       1.0617188777E-004
#    -35    10       1.0086232621E-004
#    -35    11       6.4240637507E-005
#    -35    12       4.8829959449E-005
#    -35    13       3.5942379097E-005
#    -35    14       5.8854367728E-005
#    -35    15       6.8972244362E-005
#    -35    16       1.8815646017E-004
#    -35    17       8.8924764086E-005
#    -35    18       1.4695999567E-005
#    -35    19       1.2656505818E-005
#    -35    20       9.5100878811E-005
#    -35    21       2.0167616577E-005
#    -35    22       1.1639084015E-004
#    -35    23       2.1652302735E-005
#    -35    24       7.9719819443E-005
#    -35    25       7.0859129180E-006
#    -35    26       2.1422477480E-005
#    -35    27       2.0651958814E-005
#    -34   -11       1.0252939850E-005
#    -34   -10       2.3402347328E-005
#    -34    -9       7.7413804300E-005
#    -34    -8       1.5222913996E-004
#    -34    -7       1.0603118236E-004
#    -34    -6       1.0076579113E-004
#    -34    -5       6.9154889669E-005
#    -34    -4       1.4546964131E-004
#    -34    -3       1.0912767480E-004
#    -34    -2       2.3371034522E-005
#    -34    -1       1.5659124281E-006
#    -34     0       1.2535611165E-005
#    -34     1       2.0426407400E-006
#    -34     2       4.7654093011E-005
#    -34     3       1.0701485028E-004
#    -34     4       3.3406667202E-004
#    -34     5       1.7070559407E-004
#    -34     6       4.5517490881E-005
#    -34     7       1.6249768108E-004
#    -34     8       9.7705630886E-005
#    -34     9       1.3375531192E-004
#    -34    10       2.9610568973E-004
#    -34    11       2.3827386499E-005
#    -34    12       4.0631682618E-005
#    -34    13       1.6732351673E-004
#    -34    14       4.3349681389E-004
#    -34    15       4.2304215749E-005
#    -34    16       4.1930600127E-005
#    -34    17       1.6551106226E-004
#    -34    18       1.1271866183E-005
#    -34    19       1.3774834672E-004
#    -34    20       8.0121995975E-005
#    -34    21       1.5683511302E-004
#    -34    22       5.1834072407E-005
#    -34    23       9.1840501761E-007
#    -34    24       3.5963865766E-005
#    -34    25       6.2279714640E-005
#    -34    26       2.6756841439E-006
#    -34    27       9.3123724139E-005
#    -33   -12       4.8727455164E-005
#    -33   -11       3.1923170532E-005
#    -33   -10       3.3528117153E-005
#    -33    -9       2.5151568435E-005
#    -33    -8       1.5548353648E-004
#    -33    -7       7.9474085723E-005
#    -33    -6       1.4152165881E-004
#    -33    -5       2.5184227956E-004
#    -33    -4       2.3325342432E-004
#    -33    -3       5.0374196467E-005
#    -33    -2       3.2618408147E-004
#    -33    -1       2.7906757203E-004
#    -33     0       1.9692628655E-004
#    -33     1       2.2011814919E-005
#    -33     2       3.6860633224E-005
#    -33     3       5.7764688567E-005
#    -33     4       1.1560530849E-005
#    -33     5       6.7713986827E-005
#    -33     6       7.9213292148E-005
#    -33     7       1.0769704315E-005
#    -33     8       1.7745259346E-005
#    -33     9       6.3603382765E-005
#    -33    10       3.2938846362E-005
#    -33    11       8.8049344239E-005
#    -33    12       3.8379056682E-005
#    -33    13       2.8489570098E-005
#    -33    14       1.5374821067E-004
#    -33    15       1.6046274781E-004
#    -33    16       8.3698818247E-006
#    -33    17       9.8880667884E-005
#    -33    18       6.8246771093E-005
#    -33    19       6.8486661992E-005
#    -33    20       4.0815931358E-005
#    -33    21       4.0278691871E-005
#    -33    22       1.2782998360E-004
#    -33    23       2.3832415803E-004
#    -33    24       1.0151024921E-004
#    -33    25       4.5233347545E-005
#    -33    26       1.0550113722E-005
#    -33    27       7.8307908607E-006
#    -32   -13       1.0202456986E-004
#    -32   -12       1.8907968281E-005
#    -32   -11       1.3632867322E-004
#    -32   -10       1.1543660117E-004
#    -32    -9       1.8005706642E-004
#    -32    -8       1.3242547310E-006
#    -32    -7       4.0750145526E-005
#    -32    -6       8.0546796632E-006
#    -32    -5       5.5770261528E-005
#    -32    -4       3.5481226497E-005
#    -32    -3       1.6029736362E-004
#    -32    -2       4.8894554842E-004
#    -32    -1       4.1404519306E-004
#    -32     0       2.3839475367E-005
#    -32     1       3.1360726302E-005
#    -32     2       2.6489225680E-004
#    -32     3       9.0006633954E-005
#    -32     4       5.0245326214E-005
#    -32     5       7.5037132353E-005
#    -32     6       3.3779287380E-005
#    -32     7       1.9755390250E-004
#    -32     8       3.2444912827E-006
#    -32     9       5.4064044254E-005
#    -32    10       1.3010018790E-006
#    -32    11       3.5185385051E-005
#    -32    12       5.9887905360E-005
#    -32    13       4.2124475980E-005
#    -32    14       5.2451376830E-006
#    -32    15       1.3785868608E-004
#    -32    16       1.8748867637E-004
#    -32    17       4.1451053104E-006
#    -32    18       8.1343860916E-005
#    -32    19       6.0809547399E-005
#    -32    20       7.5309089535E-005
#    -32    21       3.1980099863E-004
#    -32    22       2.1123601277E-005
#    -32    23       6.2707250425E-005
#    -32    24       3.8011198225E-005
#    -32    25       1.2244892277E-005
#    -32    26       7.8087393969E-005
#    -32    27       2.7304360565E-006
#    -32    28       1.9107097270E-005
#    -31   -14       2.6920163947E-005
#    -31   -13       4.4814341238E-005
#    -31   -12       6.3256923256E-005
#    -31   -11       9.1726389454E-005
#    -31   -10       3.7535834167E-005
#    -31    -9       9.7044881891E-005
#    -31    -8       1.2473419758E-004
#    -31    -7       1.0988274565E-004
#    -31    -6       3.5272617312E-005
#    -31    -5       1.1709441153E-004
#    -31    -4       3.6791185280E-004
#    -31    -3       1.3815598203E-004
#    -31    -2       3.8374015467E-005
#    -31    -1       8.8261249767E-005
#    -31     0       9.1295438647E-005
#    -31     1       1.3251409437E-004
#    -31     2       6.1540598754E-005
#    -31     3       1.3597061424E-004
#    -31     4       3.4435300924E-005
#    -31     5       6.3713589861E-005
#    -31     6       1.1913862423E-004
#    -31     7       6.6182397614E-005
#    -31     8       6.3312958515E-005
#    -31     9       3.7825563963E-005
#    -31    10       4.8057976566E-005
#    -31    11       2.0479134134E-005
#    -31    12       5.5198545598E-005
