 Diffraction intensities for potential:ga5x5_04D10007.in                       
#    -28    13       2.6890269102E-006
#    -28    14       1.1069215699E-005
#    -28    15       6.0116074007E-006
#    -27     7       1.1988228381E-006
#    -27     8       6.6691435074E-006
#    -27     9       1.3983543883E-005
#    -27    10       6.0547332493E-006
#    -27    11       2.3713034422E-005
#    -27    12       2.7982312315E-005
#    -27    13       2.2160839453E-005
#    -27    14       7.8511045978E-006
#    -27    15       2.6330751001E-005
#    -27    16       5.9557996724E-006
#    -27    17       1.6740518886E-005
#    -27    18       4.0423442387E-006
#    -27    19       3.8699432730E-006
#    -27    20       9.8459745506E-006
#    -26     4       9.1150643048E-006
#    -26     5       1.1274038056E-007
#    -26     6       5.3252032979E-006
#    -26     7       2.1910859176E-005
#    -26     8       1.5581112733E-006
#    -26     9       1.2293880255E-005
#    -26    10       6.3157001609E-005
#    -26    11       7.8550248006E-006
#    -26    12       4.2655828308E-005
#    -26    13       3.1003417994E-005
#    -26    14       1.8987552166E-005
#    -26    15       2.7336122410E-005
#    -26    16       1.0575005225E-005
#    -26    17       2.5976694507E-005
#    -26    18       1.5164530573E-005
#    -26    19       2.6998529583E-005
#    -26    20       5.2978552121E-006
#    -26    21       8.2230438776E-006
#    -26    22       9.5798078574E-006
#    -25     2       3.1246694385E-007
#    -25     3       7.6804056794E-006
#    -25     4       6.8056636584E-006
#    -25     5       7.0723170560E-004
#    -25     6       1.1253285069E-005
#    -25     7       4.2161911328E-006
#    -25     8       2.2086407726E-005
#    -25     9       3.1420542325E-006
#    -25    10       1.0028541539E-003
#    -25    11       5.4076395621E-005
#    -25    12       4.9042211007E-005
#    -25    13       2.6026396086E-005
#    -25    14       2.9641390731E-005
#    -25    15       2.4824072261E-004
#    -25    16       8.3864032433E-006
#    -25    17       4.2852149400E-006
#    -25    18       3.0806490030E-006
#    -25    19       1.1674717827E-005
#    -25    20       1.6580015185E-004
#    -25    21       7.0822315150E-006
#    -25    22       4.3727994366E-006
#    -25    23       9.1474760054E-006
#    -24     0       8.9185367098E-006
#    -24     1       8.3621061890E-006
#    -24     2       1.6226141608E-006
#    -24     3       3.1055983174E-005
