 Diffraction intensities for potential:_6x6_03D10005.in                        
#    -54    14       7.2949861105E-006
#    -54    15       5.3836641619E-006
#    -54    16       1.2325122227E-005
#    -54    17       1.9435408874E-006
#    -54    18       7.8920506348E-005
#    -54    19       1.2295819221E-005
#    -54    20       2.3559092019E-005
#    -53     9       3.1147132234E-005
#    -53    10       1.7048318178E-006
#    -53    11       1.1532293140E-005
#    -53    12       8.7194881576E-007
#    -53    13       2.3969744070E-005
#    -53    14       9.3143320093E-006
#    -53    15       5.1500480823E-005
#    -53    16       5.8516138311E-006
#    -53    17       1.8318867684E-005
#    -53    18       3.3645548892E-006
#    -53    19       3.4786924793E-005
#    -53    20       6.2546651969E-006
#    -53    21       7.6966612837E-005
#    -53    22       6.4468542525E-006
#    -53    23       2.7341152305E-005
#    -53    24       8.1525696842E-006
#    -52     6       7.5928059878E-006
#    -52     7       3.3923621499E-006
#    -52     8       2.1838143475E-006
#    -52     9       2.8651799131E-006
#    -52    10       5.2592606993E-006
#    -52    11       3.3112760699E-006
#    -52    12       5.0247212474E-005
#    -52    13       4.2642673006E-006
#    -52    14       2.4742239911E-005
#    -52    15       9.2376724974E-006
#    -52    16       1.3296152534E-005
#    -52    17       9.6027058592E-006
#    -52    18       6.4541404633E-005
#    -52    19       1.2113489137E-005
#    -52    20       2.0992384531E-005
#    -52    21       1.0732987364E-005
#    -52    22       3.9550197686E-005
#    -52    23       1.2953974787E-006
#    -52    24       6.6696306958E-005
#    -52    25       2.8626195912E-006
#    -52    26       1.8072713717E-005
#    -51     3       3.2256272493E-005
#    -51     4       4.7394027640E-006
#    -51     5       1.1574603304E-005
#    -51     6       2.1056858484E-006
#    -51     7       1.4021913644E-005
#    -51     8       4.7334499569E-006
#    -51     9       5.6636507638E-005
#    -51    10       4.5737400250E-006
#    -51    11       1.9118141419E-005
#    -51    12       8.1422793790E-006
#    -51    13       2.4284346734E-005
#    -51    14       6.2631095756E-006
#    -51    15       6.3969628899E-005
#    -51    16       8.9446564052E-006
#    -51    17       3.7934647651E-005
#    -51    18       1.0672909898E-005
#    -51    19       2.8555065699E-005
#    -51    20       1.6172626226E-005
#    -51    21       9.7894866410E-005
#    -51    22       1.5870424242E-005
#    -51    23       3.0576838998E-005
#    -51    24       1.6347972197E-006
#    -51    25       3.2293162449E-005
#    -51    26       5.6984053870E-006
#    -51    27       5.9229619564E-005
#    -50     1       4.1707942798E-006
#    -50     2       7.9735815562E-006
#    -50     3       4.7019817815E-006
#    -50     4       7.6788139563E-006
#    -50     5       4.9398559236E-006
#    -50     6       5.9166776828E-005
#    -50     7       1.0985207149E-005
