 Diffraction intensities for potential:ensembletest210001.in                   
#    -45    11       6.6516047067E-007
#    -45    12       3.6989433096E-005
#    -45    13       3.3962585032E-005
#    -45    14       8.9686128705E-006
#    -45    15       6.1064649162E-005
#    -45    16       8.4912781239E-006
#    -44     7       2.9528390657E-005
#    -44     8       5.0190894001E-006
#    -44     9       2.6413181599E-005
#    -44    10       1.4543389734E-005
#    -44    11       5.6411321793E-006
#    -44    12       7.4516513373E-005
#    -44    13       2.5129546591E-006
#    -44    14       5.3812789047E-005
#    -44    15       3.6471788829E-005
#    -44    16       6.1661147498E-006
#    -44    17       5.1509151681E-005
#    -44    18       9.2615679103E-006
#    -44    19       2.1441791757E-005
#    -44    20       2.2591997201E-005
#    -43     4       1.9450712157E-005
#    -43     5       4.4018917916E-006
#    -43     6       6.1759178356E-006
#    -43     7       3.2792210403E-005
#    -43     8       1.8707392724E-006
#    -43     9       4.0988929010E-005
#    -43    10       3.4500730910E-006
#    -43    11       4.1834635170E-005
#    -43    12       6.1370801052E-005
#    -43    13       4.6334296583E-006
#    -43    14       1.0324198025E-004
#    -43    15       6.3525949150E-006
#    -43    16       4.0708596233E-005
#    -43    17       7.0511296618E-005
#    -43    18       1.6452808559E-005
#    -43    19       1.0345363112E-004
#    -43    20       7.8819349308E-006
#    -43    21       1.9730628873E-005
#    -43    22       3.6761475895E-005
#    -42     2       6.1813926846E-006
#    -42     3       1.7756167367E-005
#    -42     4       2.1911436725E-005
#    -42     5       3.1546901088E-007
#    -42     6       4.6463575951E-006
#    -42     7       3.5090692279E-006
#    -42     8       4.9879783436E-005
#    -42     9       3.3914886791E-005
#    -42    10       8.5418216116E-006
#    -42    11       7.9454085920E-005
#    -42    12       6.3873274443E-006
#    -42    13       9.5721929715E-005
#    -42    14       5.2616102729E-005
#    -42    15       8.7020686652E-006
#    -42    16       9.8775280268E-005
#    -42    17       6.7626803995E-006
#    -42    18       6.1832777671E-005
#    -42    19       8.2390063944E-005
#    -42    20       1.0368120190E-005
#    -42    21       7.5748735290E-005
#    -42    22       1.2035341524E-005
#    -42    23       6.2115448530E-005
#    -41     0       1.9344893053E-005
#    -41     1       1.1827866605E-005
#    -41     2       1.6104703478E-006
#    -41     3       4.9001014441E-005
#    -41     4       4.8335176115E-006
#    -41     5       2.0401727407E-005
#    -41     6       1.7645595246E-005
#    -41     7       7.9464970816E-006
#    -41     8       5.7555635423E-005
#    -41     9       9.3392274113E-006
#    -41    10       4.9877520510E-005
#    -41    11       7.7415573827E-005
#    -41    12       6.4677909521E-006
#    -41    13       1.0045341534E-004
#    -41    14       1.0394001270E-005
#    -41    15       7.6167344179E-005
#    -41    16       1.0994008596E-004
#    -41    17       8.2657552644E-006
#    -41    18       1.5274985396E-004
#    -41    19       1.0911306338E-005
#    -41    20       9.2269309051E-005
#    -41    21       8.7748112623E-005
#    -41    22       2.0868834410E-005
#    -41    23       7.5693366142E-005
#    -41    24       3.3912151465E-006
#    -40    -2       1.3634275067E-005
#    -40    -1       3.6306277861E-006
#    -40     0       6.7369712522E-005
#    -40     1       9.6410411387E-006
#    -40     2       4.7406249736E-005
#    -40     3       1.8726975167E-005
#    -40     4       5.9216912433E-006
#    -40     5       5.8049267151E-005
#    -40     6       8.9677056599E-006
#    -40     7       9.1002785818E-005
#    -40     8       6.7434727144E-005
#    -40     9       3.5536799395E-006
#    -40    10       1.3071832151E-004
#    -40    11       1.1891001156E-005
#    -40    12       9.3471321549E-005
#    -40    13       1.1158679516E-004
#    -40    14       2.5447303662E-005
#    -40    15       1.4168796211E-004
#    -40    16       1.8934641171E-005
#    -40    17       1.1520775144E-004
#    -40    18       1.2063846337E-004
#    -40    19       1.4920620973E-005
#    -40    20       1.0536349560E-004
#    -40    21       1.5250844161E-005
#    -40    22       1.1003395443E-005
#    -40    23       4.0309079708E-005
#    -40    24       2.2246963715E-005
#    -40    25       4.4411150314E-005
#    -39    -4       1.9490095700E-006
#    -39    -3       3.3919784207E-005
#    -39    -2       1.7335322051E-006
#    -39    -1       3.6856943830E-005
#    -39     0       1.3436517351E-005
#    -39     1       2.7432649611E-006
#    -39     2       4.2029183713E-005
#    -39     3       4.4262927426E-006
#    -39     4       4.6102122893E-005
#    -39     5       3.9900089690E-005
#    -39     6       5.6147003902E-006
#    -39     7       8.8149335559E-005
#    -39     8       7.9905932389E-006
#    -39     9       6.9144742469E-005
#    -39    10       6.1554698237E-005
#    -39    11       1.8127480340E-005
#    -39    12       1.7224045723E-004
#    -39    13       1.1957080497E-005
#    -39    14       1.2503100042E-004
#    -39    15       1.1017291855E-004
#    -39    16       1.2446455971E-005
#    -39    17       1.7486109281E-004
#    -39    18       2.9454678844E-005
#    -39    19       9.2380395125E-005
#    -39    20       9.1192129663E-005
#    -39    21       1.7479973624E-005
#    -39    22       1.1540380652E-004
#    -39    23       1.6871358385E-005
#    -39    24       1.0359776428E-004
#    -39    25       1.5865383065E-004
#    -39    26       4.8302492441E-006
#    -38    -5       3.5528935226E-006
#    -38    -4       1.5395021716E-005
#    -38    -3       3.2283866501E-005
#    -38    -2       6.9248836892E-006
#    -38    -1       4.5010929263E-005
#    -38     0       6.0547071897E-006
#    -38     1       1.6737832261E-005
#    -38     2       4.3900423758E-005
#    -38     3       4.1088696034E-006
#    -38     4       8.1263412094E-005
#    -38     5       1.0214016359E-005
#    -38     6       4.2574044730E-005
#    -38     7       5.6777060504E-005
#    -38     8       5.8761882400E-006
#    -38     9       1.0793032090E-004
#    -38    10       8.8704192882E-006
#    -38    11       1.0032421752E-004
#    -38    12       1.0885708545E-004
#    -38    13       2.5573067546E-005
#    -38    14       2.0165228742E-004
#    -38    15       2.2481910192E-005
#    -38    16       8.6482243114E-005
#    -38    17       1.4254998316E-004
#    -38    18       2.4757833453E-005
#    -38    19       1.6988372476E-004
#    -38    20       1.2736450452E-005
#    -38    21       1.0434889280E-004
#    -38    22       1.0121290345E-004
#    -38    23       5.7875676198E-006
#    -38    24       1.9579650568E-004
#    -38    25       8.5742574229E-006
#    -38    26       6.0952309568E-005
#    -37    -7       2.1517198010E-005
#    -37    -6       1.5027505366E-005
#    -37    -5       1.3894417299E-006
#    -37    -4       2.8931484587E-005
#    -37    -3       3.9243320930E-006
#    -37    -2       3.0995518754E-005
#    -37    -1       2.3527878139E-005
#    -37     0       2.8684828285E-006
#    -37     1       4.1413141567E-005
#    -37     2       1.1046983607E-005
#    -37     3       5.0614302761E-005
#    -37     4       6.2901564529E-005
#    -37     5       7.9056160857E-006
#    -37     6       6.5783310602E-005
#    -37     7       7.6827294795E-006
#    -37     8       7.2793900552E-005
#    -37     9       6.4493403334E-005
#    -37    10       1.1384781301E-005
#    -37    11       1.2502462295E-004
#    -37    12       7.2135294110E-006
#    -37    13       1.0437082660E-004
#    -37    14       1.0154314090E-004
#    -37    15       1.2655562938E-005
#    -37    16       1.8368009810E-004
#    -37    17       3.0086471303E-005
#    -37    18       1.0023474998E-004
#    -37    19       1.0446987585E-004
#    -37    20       1.9413905265E-005
#    -37    21       1.4181058843E-004
#    -37    22       1.7755446109E-005
#    -37    23       1.1427877819E-004
#    -37    24       9.6560638498E-005
#    -37    25       6.8086651967E-006
#    -37    26       6.5734704875E-005
#    -37    27       5.7387378967E-006
#    -36    -8       5.6353757557E-006
#    -36    -7       4.1240404876E-005
#    -36    -6       3.0076174681E-006
#    -36    -5       2.0854580015E-005
#    -36    -4       5.8233622392E-005
#    -36    -3       3.2592945445E-006
#    -36    -2       6.8284133723E-005
#    -36    -1       5.4055160021E-006
#    -36     0       3.1153413110E-005
#    -36     1       3.9024033877E-005
#    -36     2       4.0661025078E-006
#    -36     3       1.0670903016E-004
#    -36     4       9.9766490013E-006
#    -36     5       6.1104853606E-005
#    -36     6       5.5832892363E-005
#    -36     7       8.7262347588E-006
#    -36     8       8.2050988112E-005
#    -36     9       1.2587562513E-005
#    -36    10       5.3513836837E-005
#    -36    11       6.0114007827E-005
#    -36    12       1.1909551978E-005
#    -36    13       1.1689623077E-004
#    -36    14       1.2402827662E-005
#    -36    15       1.0756830414E-004
#    -36    16       1.5378297606E-004
#    -36    17       1.1660732401E-005
#    -36    18       1.6483030332E-004
#    -36    19       1.1336245074E-005
#    -36    20       1.0198972067E-004
#    -36    21       1.1837871333E-004
#    -36    22       2.7602315542E-005
#    -36    23       1.7613691456E-004
#    -36    24       1.6865394519E-005
#    -36    25       6.9219538377E-005
#    -36    26       3.6245630580E-005
#    -36    27       3.2551493174E-006
#    -35    -9       4.9948454157E-006
#    -35    -8       3.5936411748E-005
#    -35    -7       1.9649089957E-005
#    -35    -6       8.3055337188E-007
#    -35    -5       5.9219988283E-005
#    -35    -4       1.0463612153E-005
#    -35    -3       6.3960160270E-005
#    -35    -2       4.5240152911E-005
#    -35    -1       6.8268691011E-006
#    -35     0       1.3438453746E-004
#    -35     1       1.5846777980E-005
#    -35     2       8.3769187195E-005
#    -35     3       7.1015982341E-005
#    -35     4       1.0602593934E-005
#    -35     5       1.2709709619E-005
#    -35     6       1.5457537184E-005
#    -35     7       5.2454272652E-005
#    -35     8       6.7289756264E-005
#    -35     9       4.9678812644E-006
#    -35    10       2.7028438572E-004
#    -35    11       3.1448164158E-006
#    -35    12       6.9729842926E-005
#    -35    13       5.6592460043E-005
#    -35    14       1.2687437806E-005
#    -35    15       3.2984496343E-004
#    -35    16       2.6086734153E-005
#    -35    17       5.2907916918E-005
#    -35    18       6.5393393504E-005
#    -35    19       2.0949949083E-005
#    -35    20       2.1526379647E-004
#    -35    21       1.2046118551E-005
#    -35    22       1.0262974954E-004
#    -35    23       1.7255137067E-004
#    -35    24       1.9496617259E-005
#    -35    25       1.5386250210E-004
#    -35    26       3.4905547093E-005
#    -35    27       1.6118142084E-004
#    -34   -11       3.6158135533E-006
#    -34   -10       2.4541095932E-005
#    -34    -9       4.4764770929E-006
#    -34    -8       5.9680498791E-005
#    -34    -7       9.5082083572E-006
#    -34    -6       3.6904247287E-005
#    -34    -5       4.0706007886E-005
#    -34    -4       9.7532510886E-006
#    -34    -3       8.6285874223E-005
#    -34    -2       7.5334984099E-006
#    -34    -1       5.9648155436E-005
#    -34     0       6.0579958868E-005
#    -34     1       4.6495807952E-006
#    -34     2       1.1682821060E-004
#    -34     3       1.2597273234E-005
#    -34     4       7.3550398072E-005
#    -34     5       5.8818246511E-005
#    -34     6       3.8224949055E-006
#    -34     7       6.1306015706E-005
#    -34     8       5.8187494085E-006
#    -34     9       3.1138869719E-005
#    -34    10       2.3175392566E-005
#    -34    11       7.1520160275E-006
#    -34    12       6.3961842158E-005
#    -34    13       1.0741028299E-005
#    -34    14       6.3313917863E-005
#    -34    15       8.5637631482E-005
#    -34    16       7.2758228219E-006
#    -34    17       1.1770961051E-004
#    -34    18       1.2460614370E-005
#    -34    19       5.7751718891E-005
#    -34    20       7.9574921637E-005
#    -34    21       1.4329674258E-005
#    -34    22       2.3932305235E-004
#    -34    23       2.9541570658E-005
#    -34    24       1.8523444999E-004
#    -34    25       1.1174684927E-004
#    -34    26       1.5054585400E-005
#    -34    27       2.5222551885E-005
#    -33   -12       6.6748836038E-007
#    -33   -11       3.5420491117E-005
#    -33   -10       5.9591136272E-006
#    -33    -9       3.6610336950E-005
#    -33    -8       3.9063219081E-005
#    -33    -7       6.9212862272E-006
#    -33    -6       6.3926963609E-005
#    -33    -5       1.0159746130E-005
#    -33    -4       6.6230227533E-005
#    -33    -3       7.9553534755E-005
#    -33    -2       1.1248831453E-005
#    -33    -1       1.0859153847E-004
#    -33     0       1.9630567312E-005
#    -33     1       6.4665656399E-005
#    -33     2       9.7600232213E-005
#    -33     3       1.2157082997E-005
#    -33     4       9.4886888438E-005
#    -33     5       9.1598127458E-006
#    -33     6       2.6208472335E-005
#    -33     7       2.8131259563E-005
#    -33     8       3.5503109361E-006
#    -33     9       3.7206148825E-005
#    -33    10       4.5637779113E-006
#    -33    11       2.7303794206E-005
#    -33    12       3.7826382399E-005
#    -33    13       7.1652616793E-006
#    -33    14       8.5857077624E-005
#    -33    15       1.3781164293E-005
#    -33    16       5.4463469376E-005
#    -33    17       7.3041871370E-005
#    -33    18       5.7974040108E-006
#    -33    19       6.5487464262E-005
#    -33    20       6.5050271841E-006
#    -33    21       1.0067512561E-004
#    -33    22       2.0891212751E-004
#    -33    23       1.4640954937E-005
#    -33    24       1.5280593219E-004
#    -33    25       2.9510612201E-005
#    -33    26       8.4940763500E-005
#    -33    27       2.8098625408E-005
#    -32   -13       3.2342378306E-006
#    -32   -12       5.8273982637E-005
#    -32   -11       4.6503345948E-005
#    -32   -10       7.2628231967E-006
#    -32    -9       7.5015628305E-005
#    -32    -8       7.2442205657E-006
#    -32    -7       5.2012331792E-005
#    -32    -6       5.6661234842E-005
#    -32    -5       6.0249921389E-006
#    -32    -4       1.1314163084E-004
#    -32    -3       1.3035347455E-005
#    -32    -2       7.5435093380E-005
#    -32    -1       8.8064720492E-005
#    -32     0       6.6393187681E-006
#    -32     1       1.2682280021E-004
#    -32     2       1.0798691417E-005
#    -32     3       6.3216886106E-005
#    -32     4       3.6921166075E-005
#    -32     5       4.0667581372E-006
#    -32     6       2.8113962853E-005
#    -32     7       2.1046560974E-006
#    -32     8       2.1624903754E-005
#    -32     9       2.0160184399E-005
#    -32    10       2.3123419892E-006
#    -32    11       3.7344177558E-005
#    -32    12       5.4437987203E-006
#    -32    13       2.7496967858E-005
#    -32    14       2.8943283113E-005
#    -32    15       4.3274248980E-006
#    -32    16       4.0557408431E-005
#    -32    17       3.8801680770E-006
#    -32    18       4.8477684586E-005
#    -32    19       2.1996687920E-005
#    -32    20       5.4729536909E-006
#    -32    21       9.6889639442E-005
#    -32    22       2.8122568981E-005
#    -32    23       1.6722734497E-004
#    -32    24       1.3693438446E-004
#    -32    25       1.6614182170E-005
#    -32    26       1.6615848858E-004
#    -32    27       2.4382736818E-005
#    -32    28       5.8512015723E-005
#    -31   -14       3.6098915312E-005
#    -31   -13       6.0991303067E-006
#    -31   -12       9.2336396173E-005
#    -31   -11       6.1379124408E-006
#    -31   -10       5.6382512045E-005
#    -31    -9       4.6140801967E-005
#    -31    -8       6.9401405729E-006
#    -31    -7       9.9473090207E-005
#    -31    -6       1.5421604387E-005
#    -31    -5       6.7172203950E-005
#    -31    -4       8.6702003675E-005
#    -31    -3       1.0899421900E-005
#    -31    -2       1.5282692268E-004
#    -31    -1       2.1469660395E-005
#    -31     0       7.0914920220E-005
#    -31     1       6.6635207225E-005
#    -31     2       1.0512624680E-005
#    -31     3       6.4038878386E-005
#    -31     4       6.4332117702E-006
#    -31     5       1.8788029307E-005
#    -31     6       2.0936061696E-005
#    -31     7       2.8659849863E-006
#    -31     8       2.1692246377E-005
#    -31     9       2.3814730051E-006
#    -31    10       1.2959411731E-005
#    -31    11       1.0996447418E-005
#    -31    12       1.0732665681E-005
#    -31    13       1.2961706841E-005
#    -31    14       3.2429141033E-006
#    -31    15       2.1415187852E-006
#    -31    16       1.1989339156E-005
#    -31    17       2.4437835449E-006
#    -31    18       1.3008415428E-005
#    -31    19       9.9556840572E-007
#    -31    20       2.1701905408E-005
#    -31    21       9.9960036148E-005
#    -31    22       9.0937735173E-006
#    -31    23       1.4226398851E-004
#    -31    24       2.6778775114E-005
#    -31    25       1.0120882467E-004
#    -31    26       7.8830702379E-005
#    -31    27       5.4234496322E-006
#    -31    28       2.1382479713E-004
#    -30   -15       3.9208320551E-005
#    -30   -14       6.4051174634E-006
#    -30   -13       4.9303914226E-005
