 Diffraction intensities for potential:gv5x5_20D10003.in                       
#    -28    13       7.1676264122E-006
#    -28    14       5.6812041349E-006
#    -28    15       3.3774877136E-005
#    -27     7       7.4147450586E-005
#    -27     8       9.9337242612E-005
#    -27     9       9.6168398212E-005
#    -27    10       9.8668488156E-006
#    -27    11       2.0484838805E-005
#    -27    12       1.8413046978E-004
#    -27    13       8.2576508205E-005
#    -27    14       2.3120821798E-005
#    -27    15       4.9199828868E-006
#    -27    16       1.5737663434E-004
#    -27    17       2.1108660229E-005
#    -27    18       7.4457191478E-005
#    -27    19       1.0307320849E-004
#    -27    20       1.2197751752E-004
#    -26     4       1.1569074272E-004
#    -26     5       8.3234143345E-005
#    -26     6       2.4190355426E-004
#    -26     7       1.4847796637E-004
#    -26     8       1.4095592159E-004
#    -26     9       1.1506980457E-005
#    -26    10       1.2638301164E-005
#    -26    11       1.0496342924E-004
#    -26    12       8.7725228502E-005
#    -26    13       1.3385961930E-004
#    -26    14       7.0286446540E-005
#    -26    15       1.0925139629E-005
#    -26    16       1.6452280463E-004
#    -26    17       1.4846775755E-004
#    -26    18       2.2229164004E-005
#    -26    19       8.4662863563E-005
#    -26    20       9.5088065954E-005
#    -26    21       1.0136796085E-004
#    -26    22       1.2622376183E-004
#    -25     2       6.5581834180E-005
#    -25     3       1.8357377062E-004
#    -25     4       6.1784583719E-005
#    -25     5       5.9178457341E-004
#    -25     6       1.0402957916E-004
#    -25     7       1.1290956506E-005
#    -25     8       7.3460650103E-005
#    -25     9       3.6773966455E-005
#    -25    10       3.8726679202E-004
#    -25    11       1.1469840058E-004
#    -25    12       1.5747273324E-004
#    -25    13       1.8913407215E-005
#    -25    14       2.0956810376E-004
#    -25    15       1.0186618285E-004
#    -25    16       1.6200016957E-004
#    -25    17       1.4854042231E-004
#    -25    18       2.4269080936E-004
#    -25    19       2.0485754604E-004
#    -25    20       2.3306362279E-004
#    -25    21       1.5007072400E-004
#    -25    22       5.2527135535E-005
#    -25    23       2.3644350103E-005
#    -24     0       1.2603203267E-004
#    -24     1       1.4384393881E-006
#    -24     2       1.7119479241E-004
#    -24     3       4.5292831092E-005
#    -24     4       3.1016420492E-006
#    -24     5       5.9171912558E-005
#    -24     6       8.1027042308E-005
#    -24     7       3.3663406073E-004
#    -24     8       1.2892845054E-005
#    -24     9       6.9634268659E-005
#    -24    10       1.7194188831E-004
#    -24    11       4.9135846821E-004
#    -24    12       7.0067390792E-004
#    -24    13       2.8184585775E-005
#    -24    14       2.9368337590E-005
#    -24    15       2.2112165190E-004
#    -24    16       1.7007364873E-004
#    -24    17       2.4722703167E-004
#    -24    18       1.2810175401E-004
#    -24    19       3.4030060486E-005
#    -24    20       8.8107204137E-006
#    -24    21       5.4560254193E-005
#    -24    22       2.6039948589E-004
#    -24    23       2.0609924029E-004
#    -24    24       4.7463618104E-005
#    -23    -2       2.7370264060E-004
#    -23    -1       1.6953037621E-004
#    -23     0       1.1909135601E-004
#    -23     1       2.6117591097E-004
#    -23     2       2.7570258172E-004
#    -23     3       1.7557383279E-005
#    -23     4       3.0099848357E-004
#    -23     5       2.0248922532E-004
#    -23     6       3.3781397985E-004
#    -23     7       2.2718055581E-004
#    -23     8       2.3154434374E-006
#    -23     9       3.9578768319E-004
#    -23    10       4.1864668245E-004
#    -23    11       2.7471169669E-004
#    -23    12       1.2738521888E-004
#    -23    13       3.1531243423E-004
#    -23    14       5.1322300330E-006
#    -23    15       8.3327918410E-005
#    -23    16       2.9968276396E-004
#    -23    17       3.6072387800E-005
#    -23    18       1.3696809874E-004
#    -23    19       9.3391796087E-005
#    -23    20       1.6846206522E-005
#    -23    21       7.0243723315E-006
#    -23    22       6.5164372411E-006
#    -23    23       3.2129106253E-006
#    -23    24       1.7877300115E-004
#    -23    25       8.6252269546E-005
#    -22    -4       1.6536265593E-004
#    -22    -3       5.0040882153E-006
#    -22    -2       2.9975273171E-004
#    -22    -1       9.7375663716E-004
#    -22     0       1.4967389208E-004
#    -22     1       1.1939471029E-005
#    -22     2       2.7392552115E-004
#    -22     3       3.4515499470E-004
#    -22     4       3.3692089599E-004
#    -22     5       2.3542689701E-005
#    -22     6       7.3554817999E-005
#    -22     7       2.6036672350E-004
#    -22     8       3.6224065880E-004
#    -22     9       6.5493651913E-005
#    -22    10       8.6450378266E-005
#    -22    11       3.8988170530E-005
#    -22    12       3.4749382090E-004
#    -22    13       2.6147346704E-005
#    -22    14       1.4265418889E-004
#    -22    15       2.9650386360E-004
#    -22    16       1.1553197390E-004
#    -22    17       2.7100822580E-004
#    -22    18       6.2523434922E-005
#    -22    19       2.5081958596E-005
#    -22    20       2.4908579139E-004
#    -22    21       1.4937632117E-004
#    -22    22       1.2999050276E-004
#    -22    23       2.1396225121E-004
#    -22    24       1.1431928711E-005
#    -22    25       8.8216809351E-005
#    -22    26       1.9554301307E-005
#    -21    -5       1.1183053096E-004
#    -21    -4       1.4100846804E-004
#    -21    -3       2.2565246824E-004
#    -21    -2       1.3639827499E-004
#    -21    -1       4.5211514506E-004
#    -21     0       1.2584149570E-004
#    -21     1       4.7150669397E-005
#    -21     2       2.0810990716E-005
#    -21     3       1.3913582023E-005
#    -21     4       4.6104246145E-004
#    -21     5       7.6357568603E-006
#    -21     6       3.3809653257E-004
#    -21     7       5.8989399839E-004
#    -21     8       6.0685417478E-004
#    -21     9       1.1322541508E-004
#    -21    10       2.2249146146E-004
#    -21    11       7.6208419988E-004
#    -21    12       2.9149605228E-004
#    -21    13       1.3353297983E-004
#    -21    14       1.6593232740E-004
#    -21    15       4.0333409887E-004
#    -21    16       1.2800123322E-004
#    -21    17       2.7954909273E-004
#    -21    18       2.1131203756E-005
#    -21    19       1.1345173460E-004
#    -21    20       7.0574033244E-007
#    -21    21       2.1191992861E-005
#    -21    22       1.6648339244E-004
#    -21    23       1.1133438802E-004
#    -21    24       2.0178623363E-004
#    -21    25       6.7453840604E-005
#    -21    26       4.0830305607E-005
#    -20    -7       2.1630277500E-004
#    -20    -6       2.6605722806E-004
#    -20    -5       6.2358392349E-004
#    -20    -4       4.8771060801E-004
#    -20    -3       2.0740275815E-005
#    -20    -2       2.4387441797E-004
#    -20    -1       1.6923919591E-005
#    -20     0       5.2959490752E-003
#    -20     1       2.1174126073E-004
#    -20     2       8.4311599241E-006
#    -20     3       3.8643121087E-004
#    -20     4       2.9023666204E-004
#    -20     5       4.6002590426E-003
