 Diffraction intensities for potential:restest_32_10010001.in                  
#    -45    11       8.8955491938E-007
#    -45    12       1.0615783782E-005
#    -45    13       1.0164922006E-005
#    -45    14       1.8812010952E-005
#    -45    15       1.1041121317E-005
#    -45    16       1.3006275844E-005
#    -44     7       5.0466826776E-006
#    -44     8       5.9404287289E-006
#    -44     9       1.0898399055E-005
#    -44    10       4.3926297936E-006
#    -44    11       7.6483155359E-006
#    -44    12       2.1160163737E-005
#    -44    13       1.1668356077E-005
#    -44    14       2.1821574646E-005
#    -44    15       1.3504942786E-005
#    -44    16       2.2606768636E-005
#    -44    17       9.0733642070E-006
#    -44    18       1.5316426076E-005
#    -44    19       7.6368178700E-006
#    -44    20       5.8250494116E-006
#    -43     4       6.3019798922E-006
#    -43     5       5.6164415390E-006
#    -43     6       8.5371254314E-006
#    -43     7       9.0831154619E-006
#    -43     8       1.1140926357E-005
#    -43     9       1.2066267038E-005
#    -43    10       1.1636921701E-005
#    -43    11       2.1465072919E-005
#    -43    12       2.1774697404E-005
#    -43    13       1.5997233660E-005
#    -43    14       2.2814302282E-005
#    -43    15       1.7612208120E-005
#    -43    16       1.3703779660E-005
#    -43    17       1.8841548478E-005
#    -43    18       4.9256476023E-005
#    -43    19       1.9652143420E-005
#    -43    20       1.8890249045E-005
#    -43    21       1.0075011355E-005
#    -43    22       1.8306781238E-005
#    -42     2       5.6504934652E-006
#    -42     3       7.9932516494E-006
#    -42     4       7.4986381078E-006
#    -42     5       5.8996722524E-006
#    -42     6       1.2717068335E-006
#    -42     7       5.8275901776E-006
#    -42     8       2.5191343899E-005
#    -42     9       1.4863426161E-005
#    -42    10       1.9186869343E-005
#    -42    11       1.9867222133E-005
#    -42    12       2.8544539407E-005
#    -42    13       4.2729567239E-005
#    -42    14       2.0055856676E-005
#    -42    15       2.1332731156E-005
#    -42    16       2.5577973717E-005
#    -42    17       2.3591426349E-005
#    -42    18       2.6024242801E-005
#    -42    19       3.2855454785E-005
#    -42    20       2.4553707305E-005
#    -42    21       1.8604757026E-005
#    -42    22       1.6792994635E-005
#    -42    23       3.6164009039E-005
#    -41     0       7.2468580527E-006
#    -41     1       7.6353230139E-006
#    -41     2       5.1683449904E-006
#    -41     3       1.1736506969E-005
#    -41     4       7.7263434574E-006
#    -41     5       1.0469605811E-005
#    -41     6       1.5824475540E-005
#    -41     7       1.6208876267E-005
#    -41     8       1.3519073003E-005
#    -41     9       2.1536244112E-005
#    -41    10       2.0531432959E-005
#    -41    11       3.5971519238E-005
#    -41    12       2.3900736016E-005
#    -41    13       2.5863245764E-005
#    -41    14       2.7274632382E-005
#    -41    15       3.0373356134E-005
#    -41    16       3.9198711702E-005
#    -41    17       3.1949359103E-005
#    -41    18       4.3566876764E-005
#    -41    19       3.4380099468E-005
#    -41    20       3.2226729130E-005
#    -41    21       2.9214363176E-005
#    -41    22       2.9220824430E-005
#    -41    23       1.5247033852E-005
#    -41    24       1.4796144662E-005
#    -40    -2       5.6523931570E-006
#    -40    -1       7.6396210002E-006
#    -40     0       1.3448317023E-005
#    -40     1       1.4347485584E-005
#    -40     2       2.4480968094E-005
#    -40     3       7.2836495588E-006
#    -40     4       1.7183739690E-005
#    -40     5       1.7455754263E-005
#    -40     6       1.6411241093E-005
#    -40     7       3.4291112226E-005
#    -40     8       2.1461157603E-005
#    -40     9       1.2365401100E-005
#    -40    10       3.8349194075E-005
#    -40    11       2.5828302722E-005
#    -40    12       3.6475772456E-005
#    -40    13       3.8513048095E-005
#    -40    14       6.3426400427E-005
#    -40    15       2.5198852645E-005
#    -40    16       3.6945957993E-005
#    -40    17       4.8008491117E-005
#    -40    18       4.3020077004E-005
#    -40    19       4.4752466352E-005
#    -40    20       1.7795207431E-005
#    -40    21       5.1612194520E-005
#    -40    22       8.4431002519E-006
#    -40    23       1.2762903303E-005
#    -40    24       2.7160144901E-005
#    -40    25       7.8945893725E-006
#    -39    -4       6.3027108585E-006
#    -39    -3       7.9920489459E-006
#    -39    -2       5.1682202857E-006
#    -39    -1       1.4346831538E-005
#    -39     0       3.0939331080E-006
#    -39     1       1.0794535818E-005
#    -39     2       8.6604756900E-006
#    -39     3       9.3222504752E-006
#    -39     4       2.0356289165E-005
#    -39     5       1.2608154778E-005
#    -39     6       1.5951601680E-005
#    -39     7       1.9551621810E-005
#    -39     8       1.7401582123E-005
#    -39     9       2.7513262464E-005
#    -39    10       2.4554346550E-005
#    -39    11       4.0626109709E-005
#    -39    12       4.3012468971E-005
#    -39    13       3.4012949384E-005
#    -39    14       4.4216741250E-005
#    -39    15       4.4867361964E-005
#    -39    16       5.1061114423E-005
#    -39    17       4.2249193510E-005
#    -39    18       6.4099420155E-005
#    -39    19       4.8496457380E-005
#    -39    20       3.0357988566E-005
