 Diffraction intensities for potential:ga5x5_10D10001.in                       
#    -28    13       2.1765980025E-005
#    -28    14       5.5098117211E-006
#    -28    15       1.2509852705E-005
#    -27     7       3.2817697727E-005
#    -27     8       1.2047037539E-004
#    -27     9       2.6373297282E-007
#    -27    10       3.9774531320E-006
#    -27    11       4.7744156647E-005
#    -27    12       2.4273881057E-005
#    -27    13       4.6816575041E-005
#    -27    14       5.8871622978E-005
#    -27    15       2.3264243725E-005
#    -27    16       1.2899745747E-005
#    -27    17       2.4608303438E-005
#    -27    18       1.1056088454E-006
#    -27    19       3.0371424273E-005
#    -27    20       6.8594277614E-006
#    -26     4       4.9848820074E-005
#    -26     5       5.4417040479E-005
#    -26     6       1.2523877506E-004
#    -26     7       6.4899767233E-005
#    -26     8       6.0546034241E-005
#    -26     9       3.7797461255E-005
#    -26    10       9.0508654450E-005
#    -26    11       4.7931296705E-005
#    -26    12       5.8993162375E-005
#    -26    13       6.6568707684E-005
#    -26    14       7.0349957208E-005
#    -26    15       1.7567396409E-005
#    -26    16       1.4173376129E-005
#    -26    17       8.1523767688E-006
#    -26    18       8.6681502186E-007
#    -26    19       8.6083606834E-006
#    -26    20       4.0025629476E-005
#    -26    21       1.4193729721E-005
#    -26    22       2.7659984686E-005
#    -25     2       1.6037858707E-004
#    -25     3       1.3215895169E-005
#    -25     4       3.7513287152E-005
#    -25     5       3.8863062106E-004
#    -25     6       4.5406447046E-005
#    -25     7       1.3315998621E-004
#    -25     8       4.4361050144E-005
#    -25     9       2.1914059832E-005
#    -25    10       6.9352520432E-004
#    -25    11       8.6277478016E-005
#    -25    12       4.4476152098E-005
#    -25    13       1.0924190755E-005
#    -25    14       2.1203649875E-005
#    -25    15       7.8921598398E-004
#    -25    16       1.8377605419E-004
#    -25    17       6.3592910579E-005
#    -25    18       1.2928640426E-005
#    -25    19       1.2170705501E-004
#    -25    20       6.0920693054E-004
#    -25    21       5.4918020738E-005
#    -25    22       2.9894339603E-005
#    -25    23       2.3623670016E-005
#    -24     0       1.1005700740E-004
#    -24     1       3.9092208486E-004
#    -24     2       9.2613294122E-005
#    -24     3       1.0479138051E-004
#    -24     4       2.8571696336E-004
#    -24     5       2.4150485238E-004
#    -24     6       5.4990571084E-005
#    -24     7       8.3231713757E-005
#    -24     8       3.1510300806E-005
#    -24     9       6.3141337963E-005
#    -24    10       7.4608843582E-005
#    -24    11       8.1973884108E-006
#    -24    12       1.5341981690E-005
#    -24    13       2.0399624525E-004
#    -24    14       2.1180487402E-004
#    -24    15       2.2125262375E-004
#    -24    16       1.2819389710E-005
#    -24    17       8.2327105981E-005
#    -24    18       3.6889495063E-004
#    -24    19       2.6411395592E-004
#    -24    20       6.1236570552E-005
#    -24    21       1.1436490811E-004
#    -24    22       1.5421580086E-005
#    -24    23       1.1292547219E-004
#    -24    24       2.5325101741E-005
#    -23    -2       1.2322378703E-004
#    -23    -1       1.3309317757E-005
#    -23     0       2.4224860287E-005
#    -23     1       9.7169803188E-005
#    -23     2       4.6223152971E-005
#    -23     3       8.0221439251E-005
#    -23     4       1.8773750284E-004
#    -23     5       1.0581465565E-004
#    -23     6       1.4142688671E-005
#    -23     7       4.3583380042E-006
#    -23     8       1.9013717039E-005
#    -23     9       9.4259819021E-005
#    -23    10       1.7403590231E-005
#    -23    11       1.1716875446E-005
#    -23    12       7.2925622208E-005
#    -23    13       7.8755956176E-006
#    -23    14       9.0590281130E-005
#    -23    15       6.0439461946E-005
#    -23    16       5.5971912975E-005
#    -23    17       5.6312616816E-004
#    -23    18       6.1246719457E-006
#    -23    19       1.4333166292E-004
#    -23    20       9.9526551448E-005
#    -23    21       1.1343710517E-004
#    -23    22       1.0323973873E-004
#    -23    23       8.2373209119E-005
#    -23    24       1.6395472170E-005
#    -23    25       4.3269732978E-005
#    -22    -4       3.4244235742E-005
#    -22    -3       3.6029521073E-007
#    -22    -2       5.7089020762E-005
#    -22    -1       1.0522787805E-004
#    -22     0       8.5501711588E-005
#    -22     1       1.1841618465E-005
#    -22     2       7.6653017626E-005
#    -22     3       5.4659731835E-005
#    -22     4       2.7350313342E-005
#    -22     5       4.5110420744E-006
#    -22     6       2.6650377315E-005
#    -22     7       3.1277816753E-004
#    -22     8       4.8100593691E-005
#    -22     9       6.1395431488E-005
#    -22    10       5.4193616574E-005
#    -22    11       3.5196847953E-004
#    -22    12       3.6130613315E-005
#    -22    13       1.6635637500E-004
#    -22    14       3.0829899702E-004
#    -22    15       6.3262112082E-005
#    -22    16       5.0218192639E-006
#    -22    17       7.1681097233E-005
#    -22    18       3.1337374079E-005
#    -22    19       2.2782311141E-004
#    -22    20       1.4070650064E-005
#    -22    21       9.8398950178E-005
#    -22    22       1.0657817013E-004
#    -22    23       1.3068229600E-005
#    -22    24       4.3775889209E-005
#    -22    25       1.1938125714E-005
#    -22    26       1.2213759201E-004
#    -21    -5       8.0866648002E-006
#    -21    -4       4.4031484499E-005
#    -21    -3       9.2992338836E-005
#    -21    -2       8.0295266251E-005
#    -21    -1       7.6482170826E-005
#    -21     0       2.4156115825E-004
#    -21     1       1.1842094047E-004
#    -21     2       6.1439846866E-005
#    -21     3       6.9594112065E-004
#    -21     4       3.9749821764E-004
#    -21     5       2.3596686067E-004
#    -21     6       2.8512021970E-005
#    -21     7       1.3978154040E-004
#    -21     8       3.2171794345E-004
#    -21     9       5.2530631550E-005
#    -21    10       3.5121419550E-005
#    -21    11       6.5483401573E-005
#    -21    12       7.6673123812E-005
#    -21    13       4.5756110777E-004
#    -21    14       6.9671007109E-005
#    -21    15       1.2956366161E-004
#    -21    16       3.2663737289E-005
#    -21    17       5.3826201870E-005
#    -21    18       1.3204719863E-004
#    -21    19       2.1362852363E-006
#    -21    20       1.1719281919E-004
#    -21    21       2.5702371651E-005
#    -21    22       5.2562698277E-006
#    -21    23       8.3568319575E-006
#    -21    24       1.4480705959E-004
#    -21    25       2.5156908523E-005
#    -21    26       2.8746334340E-005
#    -20    -7       1.3129809549E-005
#    -20    -6       2.2380262195E-006
#    -20    -5       7.3030820019E-004
#    -20    -4       1.4625415614E-004
#    -20    -3       3.7496970322E-004
#    -20    -2       2.3465408656E-005
#    -20    -1       3.4858944220E-005
#    -20     0       5.6664975272E-003
#    -20     1       2.3166865904E-004
#    -20     2       2.1463731241E-004
#    -20     3       2.2039391645E-005
#    -20     4       3.6494639929E-005
#    -20     5       9.0651383771E-003
#    -20     6       8.2225712689E-006
#    -20     7       6.1788435424E-005
#    -20     8       3.3084844155E-004
#    -20     9       2.4351937821E-004
#    -20    10       3.9268667054E-003
#    -20    11       1.4822666696E-005
#    -20    12       2.6353511268E-004
#    -20    13       1.1929379108E-004
#    -20    14       9.1980520901E-005
#    -20    15       6.7586641835E-003
#    -20    16       5.7420460251E-005
#    -20    17       4.2193017853E-005
#    -20    18       1.2992391857E-005
#    -20    19       2.2816812261E-004
#    -20    20       1.8928138757E-003
#    -20    21       2.0201544664E-004
#    -20    22       1.1553048682E-004
#    -20    23       2.1964096669E-005
#    -20    24       1.0233329174E-004
#    -20    25       4.9403545139E-004
#    -20    26       1.7373082624E-005
#    -20    27       3.5536728757E-005
#    -19    -8       4.9143333565E-007
#    -19    -7       5.0915720279E-005
#    -19    -6       2.0183640716E-005
#    -19    -5       3.5872238792E-005
#    -19    -4       6.3973276080E-005
#    -19    -3       2.1350955165E-004
#    -19    -2       1.5305650570E-004
#    -19    -1       2.4187718375E-004
#    -19     0       2.9760937349E-004
#    -19     1       6.6920464852E-004
#    -19     2       6.0481138529E-004
#    -19     3       2.4916781409E-004
#    -19     4       3.2368058420E-004
#    -19     5       1.9886327865E-004
#    -19     6       3.6704702018E-004
#    -19     7       1.6021084382E-004
#    -19     8       1.3988208639E-004
#    -19     9       4.6165807210E-005
#    -19    10       6.7257861041E-005
#    -19    11       3.9073487242E-005
#    -19    12       2.5577904214E-005
#    -19    13       2.6289191653E-005
#    -19    14       5.6172570504E-004
#    -19    15       8.5343829908E-005
#    -19    16       1.8558967916E-004
#    -19    17       3.0461044861E-007
#    -19    18       2.7630724336E-004
#    -19    19       2.7208676605E-004
#    -19    20       1.9966435819E-004
#    -19    21       1.0704378324E-004
#    -19    22       9.2495248247E-005
#    -19    23       4.4811413499E-005
#    -19    24       5.3906581286E-005
#    -19    25       1.2252947840E-005
#    -19    26       4.5135272931E-005
#    -19    27       4.0497078226E-005
#    -18    -9       8.3959491587E-006
#    -18    -8       1.5077147057E-004
#    -18    -7       9.0493239597E-005
#    -18    -6       1.7467236582E-005
#    -18    -5       2.9862045189E-004
#    -18    -4       4.3888071090E-004
#    -18    -3       3.4579073815E-004
#    -18    -2       1.6710214127E-004
#    -18    -1       3.5321792209E-004
