 Diffraction intensities for potential:ga5x5_06D10002.in                       
#    -20     4       9.3272568490E-005
#    -20     5       8.8102983969E-003
#    -20     6       1.0927899254E-004
#    -20     7       3.2936514168E-005
#    -20     8       1.4096421378E-004
#    -20     9       1.3991358815E-005
#    -20    10       6.5136853248E-003
#    -20    11       2.2502302949E-006
#    -20    12       6.5123810653E-005
#    -20    13       1.5520838701E-004
#    -20    14       2.6662490311E-005
#    -20    15       7.6649070603E-003
#    -20    16       3.4331215327E-007
#    -20    17       3.5342862970E-005
#    -20    18       1.4655972842E-004
#    -20    19       8.1458865132E-005
#    -20    20       1.8181771868E-003
#    -20    21       1.7123720225E-004
#    -20    22       4.4364712942E-005
#    -20    23       9.5723793014E-005
#    -20    24       7.8068609587E-005
#    -20    25       6.9615881619E-005
#    -20    26       1.6081416918E-004
#    -20    27       9.8071660153E-006
#    -19    -8       8.4830302558E-005
#    -19    -7       6.3700822425E-005
#    -19    -6       2.9371162838E-005
#    -19    -5       2.1175535874E-004
#    -19    -4       1.3024684210E-005
#    -19    -3       3.6795236965E-004
#    -19    -2       4.7052839644E-005
#    -19    -1       1.9739500094E-004
#    -19     0       6.5922178650E-006
#    -19     1       4.0734667638E-005
#    -19     2       3.8526915074E-006
#    -19     3       2.4226093505E-004
#    -19     4       7.4010777667E-005
#    -19     5       2.7496731839E-004
#    -19     6       3.4413160994E-005
#    -19     7       1.2485227541E-004
#    -19     8       3.6040348063E-005
#    -19     9       1.3693292958E-004
#    -19    10       5.7878488750E-005
#    -19    11       8.4715526812E-005
#    -19    12       1.8510486793E-005
#    -19    13       7.5297665517E-005
#    -19    14       8.4729951584E-006
#    -19    15       1.8039033859E-005
#    -19    16       1.3171973463E-004
#    -19    17       3.1508478364E-004
#    -19    18       6.2365562976E-005
#    -19    19       8.1183284211E-005
#    -19    20       4.5558609173E-005
#    -19    21       9.5000623048E-006
#    -19    22       2.6668309798E-004
#    -19    23       2.5431604320E-006
#    -19    24       5.8786353136E-005
#    -19    25       1.1007819999E-004
#    -19    26       8.4813519946E-005
#    -19    27       1.1860911978E-004
#    -18    -9       6.6420226831E-005
#    -18    -8       1.9115372465E-005
#    -18    -7       7.5381274239E-005
#    -18    -6       3.9172968099E-005
#    -18    -5       1.9003373797E-005
#    -18    -4       1.3564358793E-004
#    -18    -3       2.1154642092E-004
#    -18    -2       5.9076689763E-005
#    -18    -1       2.8601152792E-004
#    -18     0       1.4475553962E-004
#    -18     1       7.0468673812E-005
#    -18     2       1.3702809569E-004
#    -18     3       1.0499558152E-007
#    -18     4       2.0069606701E-004
#    -18     5       3.7911774199E-005
#    -18     6       3.0957307953E-004
#    -18     7       6.2072581847E-005
#    -18     8       1.1240017985E-005
#    -18     9       1.9475683021E-004
#    -18    10       2.3139519474E-004
#    -18    11       1.1781675777E-004
#    -18    12       2.9621069181E-005
#    -18    13       2.7990122777E-004
#    -18    14       1.9584967358E-005
#    -18    15       4.7624632308E-004
#    -18    16       1.0055042730E-004
#    -18    17       1.3124170646E-004
#    -18    18       1.6716782029E-004
#    -18    19       2.3383276138E-005
#    -18    20       2.4448910595E-004
#    -18    21       2.6012259670E-004
#    -18    22       8.0948594786E-005
#    -18    23       9.8965753902E-005
#    -18    24       5.1976536148E-007
#    -18    25       2.9129311629E-005
#    -18    26       3.3492040797E-005
#    -18    27       3.2069564849E-005
#    -17   -10       3.1605484704E-005
#    -17    -9       1.2280124641E-004
#    -17    -8       1.3060532364E-004
#    -17    -7       3.6880078858E-004
#    -17    -6       3.8541752296E-005
#    -17    -5       1.7622907281E-004
#    -17    -4       3.5360948583E-005
#    -17    -3       9.7644178643E-005
#    -17    -2       7.9977363161E-005
#    -17    -1       2.2316859540E-004
#    -17     0       2.3855163586E-004
#    -17     1       1.0039648115E-004
#    -17     2       2.7205602423E-004
#    -17     3       1.7170372198E-004
#    -17     4       5.6977495563E-004
#    -17     5       7.0106588701E-005
#    -17     6       3.5853319969E-004
#    -17     7       5.9045759100E-005
#    -17     8       5.9872977169E-005
#    -17     9       5.1851627087E-006
#    -17    10       2.3775195422E-004
#    -17    11       1.3875376418E-006
#    -17    12       4.2981454218E-005
#    -17    13       4.0224992084E-004
#    -17    14       8.7763845250E-006
#    -17    15       6.8635218522E-004
#    -17    16       4.1485896425E-005
#    -17    17       8.2228248073E-005
#    -17    18       7.0043030243E-005
#    -17    19       1.6805529685E-004
#    -17    20       2.2215504170E-004
#    -17    21       1.0641853250E-004
#    -17    22       1.7238573975E-004
#    -17    23       9.6034318465E-005
#    -17    24       9.7303145182E-005
#    -17    25       5.3624334981E-005
#    -17    26       4.8866429531E-005
#    -17    27       7.2067442385E-005
#    -16   -11       7.7376486921E-005
#    -16   -10       3.0210636941E-005
#    -16    -9       5.3256143813E-006
#    -16    -8       2.2881973340E-005
#    -16    -7       1.0911122607E-004
#    -16    -6       1.3975206705E-004
#    -16    -5       6.8173099539E-005
#    -16    -4       5.6240976596E-005
#    -16    -3       4.5404342708E-005
#    -16    -2       2.4225230693E-004
#    -16    -1       9.8782050704E-005
#    -16     0       2.5984658804E-004
#    -16     1       2.1058813083E-005
#    -16     2       1.2748330424E-005
#    -16     3       5.3788807355E-005
#    -16     4       2.1154066803E-004
#    -16     5       2.2985067537E-004
#    -16     6       3.3019325662E-004
#    -16     7       2.0515520770E-004
#    -16     8       5.6910950548E-006
#    -16     9       8.1442718488E-005
#    -16    10       4.4896001689E-005
#    -16    11       1.0335933151E-004
#    -16    12       3.6874416391E-006
#    -16    13       2.2174433461E-005
#    -16    14       3.6920477773E-005
#    -16    15       1.1603993576E-004
#    -16    16       2.7556290259E-004
#    -16    17       2.7132039161E-004
#    -16    18       2.5124075791E-005
#    -16    19       2.0461620889E-004
#    -16    20       1.9642232395E-004
#    -16    21       6.2733435804E-005
#    -16    22       9.2856396266E-005
#    -16    23       1.2694886831E-004
#    -16    24       1.7568506903E-004
#    -16    25       2.7004964093E-005
#    -16    26       6.1450454206E-005
#    -16    27       3.5897981750E-005
#    -15   -13       1.5601659877E-005
#    -15   -12       7.6977862393E-005
#    -15   -11       5.9290065506E-005
#    -15   -10       9.4010202040E-004
#    -15    -9       4.8097593292E-005
#    -15    -8       4.0771031925E-005
#    -15    -7       4.1501199385E-004
#    -15    -6       1.0726832507E-004
#    -15    -5       8.5269946668E-003
#    -15    -4       1.3824784930E-004
#    -15    -3       1.9707053179E-005
#    -15    -2       5.7437338348E-004
#    -15    -1       1.7978867634E-005
#    -15     0       3.4284938078E-002
#    -15     1       9.4894786713E-006
#    -15     2       4.6653210085E-004
#    -15     3       6.7881816502E-005
#    -15     4       2.6519538843E-005
#    -15     5       1.3562997010E-002
#    -15     6       1.7616122995E-004
#    -15     7       7.3802580535E-005
#    -15     8       2.1077424176E-005
#    -15     9       1.0576753378E-004
#    -15    10       1.2992708395E-002
#    -15    11       1.8110693511E-004
#    -15    12       1.8212081322E-004
#    -15    13       2.4823583773E-004
#    -15    14       1.0112062129E-004
