 Diffraction intensities for potential:_5x5_02D10001.in                        
#    -45    11       1.3129026025E-005
#    -45    12       9.4145220687E-007
#    -45    13       4.6790946554E-006
#    -45    14       4.7224455369E-005
#    -45    15       4.6968263446E-005
#    -45    16       3.9241653862E-005
#    -44     7       2.8846620612E-005
#    -44     8       2.1499333167E-005
#    -44     9       2.4760107591E-006
#    -44    10       4.1798837483E-006
#    -44    11       3.2581664189E-005
#    -44    12       1.0085267770E-004
#    -44    13       2.9539865678E-005
#    -44    14       7.1990018236E-006
#    -44    15       4.3642967010E-006
#    -44    16       4.7968237766E-005
#    -44    17       3.4157885070E-005
#    -44    18       3.6787074899E-005
#    -44    19       4.4364973262E-006
#    -44    20       7.4236034779E-007
#    -43     4       1.9386242494E-005
#    -43     5       1.0834230123E-005
#    -43     6       3.9299433998E-006
#    -43     7       6.4501413299E-006
#    -43     8       3.5974078111E-005
#    -43     9       5.7845641706E-005
#    -43    10       3.0912599798E-005
#    -43    11       9.5526029658E-006
#    -43    12       1.6199557274E-005
#    -43    13       4.8674981484E-005
#    -43    14       9.7420964398E-005
#    -43    15       4.5577435145E-005
#    -43    16       5.1370561987E-006
#    -43    17       9.6949039818E-006
#    -43    18       1.1447652931E-004
#    -43    19       7.9020018580E-005
#    -43    20       5.5093993133E-005
#    -43    21       1.5105169212E-005
#    -43    22       1.1683738926E-005
#    -42     2       1.4342049047E-005
#    -42     3       8.2245786037E-007
#    -42     4       2.8539859074E-006
#    -42     5       1.2566738552E-005
#    -42     6       1.1741191814E-005
#    -42     7       1.7109760324E-005
#    -42     8       3.5521440723E-006
#    -42     9       6.2931365484E-006
#    -42    10       4.5385444171E-005
#    -42    11       6.3763032666E-005
#    -42    12       6.8797365132E-005
#    -42    13       1.6916800841E-005
#    -42    14       1.3957931963E-005
#    -42    15       6.9330707461E-005
#    -42    16       9.8634544872E-005
#    -42    17       4.9071786352E-005
#    -42    18       1.3197574121E-005
#    -42    19       5.8202881915E-006
#    -42    20       4.6585953410E-005
#    -42    21       6.2874564369E-005
#    -42    22       5.1093175440E-005
#    -42    23       4.9009979449E-006
#    -41     0       3.2877880144E-006
#    -41     1       3.7293496706E-006
#    -41     2       5.4727231232E-006
#    -41     3       4.6536483676E-005
#    -41     4       1.8091573680E-005
#    -41     5       4.1877745769E-006
#    -41     6       2.5680948040E-006
#    -41     7       4.3599512026E-005
#    -41     8       6.2550322121E-005
#    -41     9       5.7324088772E-005
#    -41    10       1.0250233408E-005
#    -41    11       3.9836522801E-006
#    -41    12       6.7560861674E-005
#    -41    13       1.3009501261E-004
#    -41    14       7.4349533635E-005
#    -41    15       8.2364130694E-006
#    -41    16       9.4295475233E-006
#    -41    17       7.6690407402E-005
#    -41    18       1.6242336315E-004
#    -41    19       8.6027980884E-005
#    -41    20       2.4839041493E-005
#    -41    21       1.0899774917E-005
#    -41    22       5.6312754112E-005
#    -41    23       5.3283861633E-005
#    -41    24       3.2176871404E-005
#    -40    -2       5.5603566789E-007
#    -40    -1       1.3129253509E-005
#    -40     0       6.2440636802E-005
#    -40     1       4.0269822113E-005
#    -40     2       6.0079268054E-006
#    -40     3       3.6451074929E-006
#    -40     4       5.5049791009E-005
#    -40     5       7.9557893126E-005
#    -40     6       6.0473183482E-005
#    -40     7       1.3628727827E-005
#    -40     8       6.3659194709E-006
#    -40     9       3.0931954880E-005
#    -40    10       1.2747043102E-004
#    -40    11       8.2330612422E-005
#    -40    12       1.4539987115E-005
#    -40    13       1.5061387010E-005
#    -40    14       1.5742573110E-004
#    -40    15       1.2101183267E-004
#    -40    16       9.4470600321E-005
#    -40    17       1.7220069436E-005
#    -40    18       2.0151421195E-005
#    -40    19       1.2543700440E-004
#    -40    20       1.0423752908E-004
#    -40    21       6.5239477780E-005
#    -40    22       1.3159335701E-006
#    -40    23       6.8738627666E-006
#    -40    24       5.3664363775E-005
#    -40    25       3.4559085126E-005
#    -39    -4       1.4242142737E-005
#    -39    -3       3.1578342578E-005
#    -39    -2       7.3727404489E-006
#    -39    -1       6.2842522632E-006
#    -39     0       1.6413363914E-006
#    -39     1       3.0332481049E-005
#    -39     2       5.0541877652E-005
#    -39     3       2.8155543705E-005
#    -39     4       9.2128768432E-006
#    -39     5       4.1090785906E-006
#    -39     6       5.2703078488E-005
#    -39     7       1.0123318978E-004
#    -39     8       5.4994572079E-005
#    -39     9       6.7339554598E-006
#    -39    10       1.2582654115E-005
#    -39    11       1.0159574765E-004
#    -39    12       1.6999138354E-004
