 Diffraction intensities for potential:_5x5_05D10006.in                        
#    -45    11       1.0977668962E-005
#    -45    12       2.9674112702E-005
#    -45    13       4.5133394686E-005
#    -45    14       8.0448015316E-007
#    -45    15       3.4136240176E-004
#    -45    16       2.9134708445E-005
#    -44     7       6.5027741364E-005
#    -44     8       4.6548127804E-005
#    -44     9       1.2091199366E-006
#    -44    10       1.4579431223E-005
#    -44    11       3.6242728435E-007
#    -44    12       1.5543087694E-004
#    -44    13       6.8090960313E-005
#    -44    14       1.6779928806E-006
#    -44    15       1.3446645330E-005
#    -44    16       1.9934993328E-005
#    -44    17       1.1881931953E-004
#    -44    18       7.9205276170E-005
#    -44    19       5.8954739768E-006
#    -44    20       2.9970696467E-006
#    -43     4       1.3615264929E-005
#    -43     5       3.1832336124E-005
#    -43     6       4.0065305516E-005
#    -43     7       6.9682341246E-005
#    -43     8       6.4081082067E-007
#    -43     9       1.0387138535E-004
#    -43    10       2.4617023392E-005
#    -43    11       1.6230190285E-004
#    -43    12       2.3343903414E-004
#    -43    13       1.1690962307E-006
#    -43    14       1.8570245463E-004
#    -43    15       7.8123320615E-005
#    -43    16       1.9213562924E-004
#    -43    17       1.8824716017E-004
#    -43    18       5.7344598401E-006
#    -43    19       1.6209636972E-004
#    -43    20       6.4225791840E-005
#    -43    21       6.5536914618E-005
#    -43    22       1.2868628881E-004
#    -42     2       1.5869802640E-006
#    -42     3       4.1160254264E-005
#    -42     4       4.1913029285E-005
#    -42     5       1.5350645317E-005
#    -42     6       1.8239563142E-005
#    -42     7       3.4381078118E-006
#    -42     8       1.3017225812E-004
#    -42     9       1.5927325052E-004
#    -42    10       6.2333556321E-005
#    -42    11       1.0576459899E-004
#    -42    12       4.8705860096E-006
#    -42    13       3.4785527518E-004
#    -42    14       2.2017772766E-004
#    -42    15       9.8576943008E-005
#    -42    16       1.4954863333E-004
#    -42    17       3.9487144090E-007
#    -42    18       2.3356427464E-004
#    -42    19       2.3641696255E-004
#    -42    20       6.5083940354E-005
#    -42    21       1.1197492249E-004
#    -42    22       1.6577786926E-006
#    -42    23       6.1273825425E-005
#    -41     0       1.3413995132E-005
#    -41     1       5.4477320313E-007
#    -41     2       1.6071324726E-005
#    -41     3       1.2573066763E-004
#    -41     4       8.9967428901E-007
#    -41     5       7.1661499372E-006
#    -41     6       1.9518213296E-007
#    -41     7       9.5896620110E-005
#    -41     8       1.4353056339E-004
#    -41     9       1.3250618465E-005
#    -41    10       3.3186846507E-005
#    -41    11       1.9590350631E-006
#    -41    12       1.5463374846E-004
#    -41    13       3.3716650312E-004
#    -41    14       2.2847865650E-005
#    -41    15       5.1897306161E-005
#    -41    16       7.2319010706E-006
#    -41    17       2.6436682235E-004
#    -41    18       2.4271655807E-004
#    -41    19       2.4305534095E-005
#    -41    20       1.7503402836E-005
#    -41    21       5.9387168487E-006
#    -41    22       1.8946812986E-004
#    -41    23       1.0491551868E-004
#    -41    24       1.2572718567E-005
#    -40    -2       1.6831361008E-005
#    -40    -1       2.5687295655E-006
#    -40     0       4.0300576547E-004
#    -40     1       1.7125280557E-005
#    -40     2       2.9786704239E-005
#    -40     3       2.2014967447E-005
#    -40     4       2.8521962226E-005
#    -40     5       3.7137127815E-004
#    -40     6       5.2688517156E-006
#    -40     7       1.0276392415E-004
#    -40     8       9.8887819387E-005
#    -40     9       2.9736023748E-005
#    -40    10       7.6000936107E-004
#    -40    11       6.4698251404E-005
#    -40    12       1.7439090447E-004
#    -40    13       1.4538902184E-004
#    -40    14       2.7612183154E-005
#    -40    15       1.0411719433E-003
#    -40    16       5.3787906643E-005
#    -40    17       1.3555497213E-004
#    -40    18       1.7197873784E-004
#    -40    19       9.3765375931E-005
#    -40    20       7.8882205498E-004
#    -40    21       2.1269208488E-005
#    -40    22       3.9447133985E-005
#    -40    23       9.0780182945E-005
#    -40    24       1.7280657499E-005
#    -40    25       2.6741318949E-004
#    -39    -4       3.5282045556E-006
#    -39    -3       5.7446744802E-005
#    -39    -2       1.8675975301E-005
#    -39    -1       2.3468621562E-006
#    -39     0       1.0935877132E-005
#    -39     1       2.2520777374E-006
#    -39     2       9.3789455598E-005
#    -39     3       7.4057580291E-005
#    -39     4       1.2108550804E-006
#    -39     5       3.1834190728E-005
#    -39     6       4.0709161842E-006
#    -39     7       2.2360728274E-004
#    -39     8       1.2208921545E-004
#    -39     9       2.9290241506E-006
#    -39    10       3.0367450576E-005
#    -39    11       2.4536029170E-005
#    -39    12       3.2211995924E-004
#    -39    13       2.3780712635E-004
#    -39    14       5.1790507380E-006
#    -39    15       4.5950652241E-005
#    -39    16       3.6469690533E-005
#    -39    17       4.9363246030E-004
#    -39    18       3.5992774408E-004
#    -39    19       2.4999649337E-006
#    -39    20       3.1989119408E-005
#    -39    21       1.4846343304E-005
#    -39    22       2.2036428016E-004
#    -39    23       1.9274951868E-004
#    -39    24       2.7786240929E-006
#    -39    25       1.1331648514E-004
#    -39    26       7.1530437774E-006
#    -38    -5       2.6454027314E-005
#    -38    -4       6.0931160274E-005
#    -38    -3       1.1039740618E-004
#    -38    -2       1.7311735044E-006
#    -38    -1       8.0101982537E-005
#    -38     0       3.4193146644E-005
#    -38     1       8.1023896979E-005
#    -38     2       1.2210190465E-004
#    -38     3       1.2401068385E-006
#    -38     4       1.4913084952E-004
#    -38     5       6.0955484123E-005
#    -38     6       1.5698946406E-004
#    -38     7       2.3343629024E-004
#    -38     8       2.0932064356E-006
#    -38     9       1.8223543639E-004
#    -38    10       1.3927766279E-004
#    -38    11       4.0681274212E-004
#    -38    12       4.2419102525E-004
#    -38    13       5.2844796599E-006
#    -38    14       4.6156435417E-004
#    -38    15       1.4827970902E-004
#    -38    16       3.0235712030E-004
#    -38    17       4.2332700195E-004
#    -38    18       1.7294672020E-006
#    -38    19       2.1266933124E-004
#    -38    20       1.5876461994E-004
#    -38    21       3.3079545601E-004
#    -38    22       4.2853061491E-004
#    -38    23       1.0485701911E-005
#    -38    24       3.8994864784E-004
#    -38    25       8.9332531991E-005
#    -38    26       1.9734955285E-004
#    -37    -7       5.5403884462E-005
#    -37    -6       2.4961807267E-005
#    -37    -5       1.6019294488E-005
#    -37    -4       4.3332937684E-005
#    -37    -3       8.6569070484E-007
#    -37    -2       8.2053537023E-005
#    -37    -1       7.6889190911E-005
#    -37     0       3.0132807746E-005
#    -37     1       6.9522451062E-005
#    -37     2       9.5656361400E-007
#    -37     3       1.9640922629E-004
#    -37     4       2.1700782512E-004
#    -37     5       7.2516094309E-005
#    -37     6       1.1710924948E-004
#    -37     7       8.2758919901E-007
#    -37     8       2.7588730323E-004
#    -37     9       3.0994106638E-004
#    -37    10       1.1258381633E-004
#    -37    11       2.4094397012E-004
#    -37    12       1.0885132174E-005
#    -37    13       4.0849238542E-004
#    -37    14       3.5687120958E-004
#    -37    15       1.9375263420E-004
#    -37    16       3.1224398041E-004
#    -37    17       6.6612337118E-006
#    -37    18       4.0859922930E-004
#    -37    19       2.9048753623E-004
#    -37    20       1.1557831958E-004
#    -37    21       1.9696768906E-004
#    -37    22       4.1509124469E-006
#    -37    23       2.3356010888E-004
#    -37    24       3.8281946557E-004
#    -37    25       1.0227454296E-004
#    -37    26       1.2466932299E-004
#    -37    27       2.9204394913E-006
#    -36    -8       4.2397708112E-005
#    -36    -7       9.8715018353E-005
#    -36    -6       1.2697226716E-006
#    -36    -5       1.4119553462E-005
#    -36    -4       8.6271788800E-006
#    -36    -3       9.4212818974E-005
#    -36    -2       1.2606908593E-004
#    -36    -1       6.0346819761E-006
#    -36     0       2.1418233314E-005
#    -36     1       3.3710347364E-006
#    -36     2       9.4668549808E-005
#    -36     3       2.8682947730E-004
#    -36     4       2.8968501036E-006
#    -36     5       5.8320141360E-005
#    -36     6       1.8213495607E-006
#    -36     7       1.3883370133E-004
#    -36     8       2.0393296149E-004
#    -36     9       1.7671864500E-005
#    -36    10       4.0816019304E-005
#    -36    11       1.5747585764E-006
#    -36    12       1.8493717821E-004
#    -36    13       3.3621007457E-004
#    -36    14       2.4351664680E-005
#    -36    15       6.9111784618E-005
#    -36    16       1.5716855578E-005
#    -36    17       4.0131091035E-004
#    -36    18       1.9098992748E-004
#    -36    19       4.9819165468E-005
#    -36    20       8.1160280508E-006
#    -36    21       2.3363111994E-005
#    -36    22       1.6917296798E-004
#    -36    23       3.4510563430E-004
#    -36    24       3.5723200499E-005
#    -36    25       6.2107977535E-005
#    -36    26       3.1982371563E-005
#    -36    27       2.1207142932E-004
#    -35    -9       1.4291106019E-005
