 Diffraction intensities for potential:restest_18_5010001.in                   
#    -45    11       7.9416102078E-007
#    -45    12       1.5750008107E-005
#    -45    13       1.0854847735E-005
#    -45    14       1.6472649018E-005
#    -45    15       1.0520989878E-005
#    -45    16       1.4081421765E-005
#    -44     7       6.9674955614E-006
#    -44     8       6.5551067384E-006
#    -44     9       1.1877744227E-005
#    -44    10       5.4522883377E-006
#    -44    11       8.1454481410E-006
#    -44    12       2.2610048241E-005
#    -44    13       1.0518654585E-005
#    -44    14       2.0926415551E-005
#    -44    15       1.2255071585E-005
#    -44    16       2.2123619511E-005
#    -44    17       9.0325810331E-006
#    -44    18       1.5919564846E-005
#    -44    19       7.8637094449E-006
#    -44    20       6.1881519926E-006
#    -43     4       5.5279405120E-006
#    -43     5       5.8416164399E-006
#    -43     6       7.0704180745E-006
#    -43     7       1.0060582130E-005
#    -43     8       1.2351460506E-005
#    -43     9       1.2497455219E-005
#    -43    10       1.2292407344E-005
#    -43    11       1.8749066003E-005
#    -43    12       2.2283640422E-005
#    -43    13       1.4323991789E-005
#    -43    14       2.2538756367E-005
#    -43    15       1.7961518470E-005
#    -43    16       1.3814407817E-005
#    -43    17       1.7624787359E-005
#    -43    18       4.9299039823E-005
#    -43    19       1.8419923337E-005
#    -43    20       1.7709936725E-005
#    -43    21       8.3950771425E-006
#    -43    22       1.9044369407E-005
#    -42     2       6.4945173311E-006
#    -42     3       7.2830029561E-006
#    -42     4       7.3399293552E-006
#    -42     5       5.7840092156E-006
#    -42     6       1.6517228779E-006
#    -42     7       5.5374489206E-006
#    -42     8       2.3369828053E-005
#    -42     9       1.4844631847E-005
#    -42    10       1.8955042940E-005
#    -42    11       2.1300206216E-005
#    -42    12       3.2231692693E-005
#    -42    13       4.9548426961E-005
#    -42    14       2.0351015805E-005
#    -42    15       2.1672083351E-005
#    -42    16       2.4557921287E-005
#    -42    17       2.6459670895E-005
#    -42    18       2.1598151947E-005
#    -42    19       2.9881007580E-005
#    -42    20       2.2625485783E-005
#    -42    21       1.7670211171E-005
#    -42    22       1.6274364487E-005
#    -42    23       2.8895097171E-005
#    -41     0       6.4406485340E-006
#    -41     1       5.9993791973E-006
#    -41     2       5.0187136675E-006
#    -41     3       1.1761006980E-005
#    -41     4       7.4482485280E-006
#    -41     5       9.9796095307E-006
#    -41     6       1.1224585219E-005
#    -41     7       1.5363542359E-005
#    -41     8       1.3187034577E-005
#    -41     9       1.9846517612E-005
#    -41    10       2.0953738296E-005
#    -41    11       3.2212139871E-005
#    -41    12       2.3374743427E-005
#    -41    13       2.6968112128E-005
#    -41    14       2.7382391453E-005
#    -41    15       2.9866224488E-005
#    -41    16       3.7546475703E-005
#    -41    17       2.8460964743E-005
#    -41    18       4.1364317728E-005
#    -41    19       3.2222397733E-005
#    -41    20       3.1999209658E-005
#    -41    21       3.0318108272E-005
#    -41    22       2.9322781857E-005
#    -41    23       1.6200049224E-005
#    -41    24       1.5128848832E-005
#    -40    -2       6.4960484790E-006
#    -40    -1       6.0003356006E-006
#    -40     0       1.3407523663E-005
#    -40     1       1.5067425148E-005
#    -40     2       2.6285275212E-005
#    -40     3       8.7023800160E-006
#    -40     4       1.6976075727E-005
#    -40     5       1.6426242164E-005
#    -40     6       1.4813168032E-005
#    -40     7       3.7393018331E-005
#    -40     8       2.2336771208E-005
#    -40     9       1.1361252922E-005
#    -40    10       4.0032768774E-005
#    -40    11       2.6183683895E-005
#    -40    12       3.7891764499E-005
#    -40    13       3.9313942978E-005
#    -40    14       6.1905408181E-005
#    -40    15       2.4666375265E-005
#    -40    16       3.8310161995E-005
#    -40    17       4.9104276866E-005
#    -40    18       4.4997243096E-005
#    -40    19       4.5444529017E-005
#    -40    20       2.0297735859E-005
#    -40    21       4.7258348427E-005
#    -40    22       4.8860189805E-006
#    -40    23       1.2910725933E-005
#    -40    24       2.6898929628E-005
#    -40    25       5.0500824051E-006
#    -39    -4       5.5274930164E-006
#    -39    -3       7.2818748755E-006
#    -39    -2       5.0183411581E-006
#    -39    -1       1.5067319801E-005
#    -39     0       4.3954888776E-006
#    -39     1       1.2323082505E-005
#    -39     2       1.1484824080E-005
#    -39     3       8.7677002507E-006
#    -39     4       1.9294076501E-005
#    -39     5       1.2761012592E-005
#    -39     6       1.6225153221E-005
#    -39     7       2.2189129648E-005
#    -39     8       1.8190007854E-005
#    -39     9       2.7010389320E-005
#    -39    10       2.3584325623E-005
#    -39    11       3.9682304694E-005
#    -39    12       4.3829182311E-005
#    -39    13       3.3282492891E-005
#    -39    14       4.4304057634E-005
#    -39    15       4.6321560272E-005
#    -39    16       5.2630685287E-005
#    -39    17       4.3020970945E-005
#    -39    18       6.5624553449E-005
#    -39    19       4.8983114928E-005
#    -39    20       2.9595075937E-005
#    -39    21       3.1096669034E-005
#    -39    22       2.6493440434E-005
#    -39    23       4.3095651563E-005
#    -39    24       4.1593596060E-005
#    -39    25       5.4699100290E-005
#    -39    26       1.2095410637E-005
#    -38    -5       5.8414348162E-006
#    -38    -4       7.3392974874E-006
#    -38    -3       1.1760753920E-005
#    -38    -2       2.6284870474E-005
#    -38    -1       1.2323827359E-005
#    -38     0       1.0193277514E-005
#    -38     1       6.5182472659E-006
#    -38     2       1.5093097797E-005
#    -38     3       2.4334027458E-005
#    -38     4       2.0517639018E-005
#    -38     5       2.0183271676E-005
#    -38     6       1.6341330035E-005
#    -38     7       2.1813683565E-005
#    -38     8       1.6948023352E-005
#    -38     9       2.9076149368E-005
#    -38    10       3.0870094830E-005
#    -38    11       3.7964730297E-005
#    -38    12       3.8145725888E-005
#    -38    13       5.9222354385E-005
#    -38    14       4.2737026982E-005
#    -38    15       4.6569598177E-005
#    -38    16       3.6960747123E-005
#    -38    17       5.1275869090E-005
#    -38    18       9.9258119330E-005
#    -38    19       5.1316711503E-005
#    -38    20       4.4893858825E-005
#    -38    21       4.0185440739E-005
#    -38    22       4.3730462196E-005
#    -38    23       1.2075833347E-005
#    -38    24       5.3245526571E-005
#    -38    25       1.5220589375E-005
#    -38    26       1.9301263073E-005
#    -37    -7       6.9666679053E-006
#    -37    -6       7.0707096643E-006
#    -37    -5       5.7836727970E-006
#    -37    -4       7.4488652018E-006
#    -37    -3       8.7021776277E-006
#    -37    -2       1.1484804089E-005
#    -37    -1       6.5188375573E-006
#    -37     0       9.2695673758E-006
#    -37     1       1.0326288391E-005
#    -37     2       1.5338562588E-005
#    -37     3       2.0239248006E-005
#    -37     4       2.2318353487E-005
#    -37     5       2.0884830248E-005
#    -37     6       1.7373810685E-005
#    -37     7       2.3112658181E-005
#    -37     8       3.4543950650E-005
#    -37     9       2.6251788907E-005
#    -37    10       3.0779134904E-005
#    -37    11       3.3867353053E-005
#    -37    12       3.9070349760E-005
#    -37    13       4.0424965399E-005
#    -37    14       3.6070654652E-005
#    -37    15       3.9736856247E-005
#    -37    16       4.5001553530E-005
#    -37    17       4.7723761150E-005
#    -37    18       4.3578429920E-005
#    -37    19       5.0548450134E-005
#    -37    20       4.4044989549E-005
#    -37    21       3.6620851468E-005
#    -37    22       2.5619034859E-005
#    -37    23       4.5610202334E-005
#    -37    24       3.0232247017E-005
#    -37    25       1.5194324582E-005
#    -37    26       1.2015847283E-005
#    -37    27       3.0430916878E-005
#    -36    -8       6.5558311624E-006
#    -36    -7       1.0060701402E-005
#    -36    -6       1.6517633288E-006
#    -36    -5       9.9801901208E-006
#    -36    -4       1.6978622747E-005
#    -36    -3       8.7691455909E-006
#    -36    -2       1.5095305766E-005
#    -36    -1       1.0327772820E-005
#    -36     0       1.1790911140E-005
#    -36     1       1.3868261413E-005
#    -36     2       1.8116681458E-005
#    -36     3       2.6571569741E-005
#    -36     4       2.4862655628E-005
#    -36     5       2.3552490852E-005
#    -36     6       2.4213534759E-005
#    -36     7       2.3407996554E-005
#    -36     8       2.2330186350E-005
#    -36     9       2.5273529704E-005
#    -36    10       2.3150368517E-005
#    -36    11       2.8009313536E-005
#    -36    12       2.2893791987E-005
#    -36    13       3.0172488764E-005
#    -36    14       2.9782455213E-005
#    -36    15       4.0370619288E-005
#    -36    16       4.5419820265E-005
#    -36    17       4.7204722186E-005
#    -36    18       4.8982039539E-005
#    -36    19       4.7348946463E-005
#    -36    20       4.0945834055E-005
#    -36    21       4.6036921462E-005
#    -36    22       3.6908580078E-005
#    -36    23       3.4772070726E-005
#    -36    24       4.5586772172E-005
#    -36    25       1.7471610689E-005
#    -36    26       1.2144200903E-005
#    -36    27       1.9023706812E-005
#    -35    -9       1.1878305780E-005
#    -35    -8       1.2352558951E-005
#    -35    -7       5.5375980028E-006
#    -35    -6       1.1224171342E-005
#    -35    -5       1.6428128076E-005
#    -35    -4       1.9296563142E-005
#    -35    -3       2.4340125245E-005
#    -35    -2       1.5343383599E-005
#    -35    -1       1.3870011046E-005
