 Diffraction intensities for potential:restest_32_15010001.in                  
#    -37     1       1.0579774669E-005
#    -37     2       1.5004793585E-005
#    -37     3       2.1317898974E-005
#    -37     4       2.0483670235E-005
#    -37     5       1.9360849791E-005
#    -37     6       1.6254771339E-005
#    -37     7       2.3767152956E-005
#    -37     8       3.2947898119E-005
#    -37     9       2.6200920916E-005
#    -37    10       2.9382296062E-005
#    -37    11       3.0221813716E-005
#    -37    12       3.3278885103E-005
#    -37    13       3.5061975374E-005
#    -37    14       3.6338555900E-005
#    -37    15       4.1099920181E-005
#    -37    16       4.8079425605E-005
#    -37    17       4.9325478019E-005
#    -37    18       5.1962814571E-005
#    -37    19       5.3707118855E-005
#    -37    20       4.4141810212E-005
#    -37    21       3.6812114594E-005
#    -37    22       2.6364327866E-005
#    -37    23       5.2002390924E-005
#    -37    24       2.9435223078E-005
#    -37    25       1.6729444655E-005
#    -37    26       1.2910115864E-005
#    -37    27       3.1757939504E-005
#    -36    -8       5.7472652380E-006
#    -36    -7       8.9044690721E-006
#    -36    -6       1.5113896874E-006
#    -36    -5       1.0656648715E-005
#    -36    -4       1.7095208935E-005
#    -36    -3       9.5133546993E-006
#    -36    -2       1.5419618311E-005
#    -36    -1       1.0577390752E-005
#    -36     0       1.2769944095E-005
#    -36     1       1.4428145216E-005
#    -36     2       1.7345480826E-005
#    -36     3       2.4809139951E-005
#    -36     4       2.2329553130E-005
#    -36     5       2.3203869782E-005
#    -36     6       2.9171177428E-005
#    -36     7       2.4658830655E-005
#    -36     8       2.1664042787E-005
#    -36     9       2.2979795535E-005
#    -36    10       2.0736432984E-005
#    -36    11       2.6691865993E-005
#    -36    12       2.2515901947E-005
#    -36    13       3.0281549071E-005
#    -36    14       3.0912522641E-005
#    -36    15       4.1820971871E-005
#    -36    16       4.9343012706E-005
#    -36    17       5.1794953883E-005
#    -36    18       5.2284260890E-005
#    -36    19       4.9680399033E-005
#    -36    20       3.7922035477E-005
#    -36    21       4.5076857751E-005
#    -36    22       3.6421673570E-005
#    -36    23       3.3525918692E-005
#    -36    24       4.4953635635E-005
#    -36    25       2.1748980641E-005
#    -36    26       1.1101424748E-005
#    -36    27       1.9955975156E-005
#    -35    -9       1.0699115318E-005
#    -35    -8       1.0959163819E-005
#    -35    -7       6.0157663738E-006
#    -35    -6       1.6859012824E-005
#    -35    -5       1.7691975415E-005
#    -35    -4       2.0540621323E-005
#    -35    -3       2.4805152836E-005
#    -35    -2       1.5000495576E-005
#    -35    -1       1.4425622077E-005
#    -35     0       4.9735491766E-005
#    -35     1       2.2464269154E-005
#    -35     2       3.7369043866E-005
#    -35     3       2.3771294086E-005
#    -35     4       2.0618753891E-005
#    -35     5       2.7145963173E-006
#    -35     6       2.4501889968E-005
#    -35     7       2.4772498493E-005
#    -35     8       1.9703631970E-005
#    -35     9       1.9334338100E-005
#    -35    10       1.6008793055E-004
#    -35    11       1.4071869886E-005
#    -35    12       2.3108442315E-005
#    -35    13       2.0267867981E-005
#    -35    14       3.2114278513E-005
#    -35    15       1.7523070439E-004
#    -35    16       4.4199817527E-005
#    -35    17       2.6582019956E-005
#    -35    18       3.1880421841E-005
#    -35    19       4.3008234294E-005
#    -35    20       7.4215599521E-005
#    -35    21       6.0124287373E-005
#    -35    22       3.7167650463E-005
#    -35    23       5.7355632369E-005
#    -35    24       5.4224070839E-005
#    -35    25       3.8325974640E-005
#    -35    26       6.4688245434E-005
#    -35    27       6.0073316724E-005
#    -34   -11       8.4856744727E-007
#    -34   -10       4.1763927333E-006
#    -34    -9       1.2116352982E-005
#    -34    -8       2.4924116949E-005
#    -34    -7       1.6352354341E-005
#    -34    -6       1.6668084336E-005
#    -34    -5       1.2423390544E-005
#    -34    -4       2.0786144188E-005
#    -34    -3       2.1305710827E-005
#    -34    -2       1.7339862241E-005
#    -34    -1       2.2460177813E-005
#    -34     0       1.8384360090E-005
#    -34     1       2.4524122956E-005
#    -34     2       2.5162578818E-005
#    -34     3       2.6776132064E-005
#    -34     4       2.7754750648E-005
#    -34     5       1.9184747151E-005
#    -34     6       1.8849344353E-005
#    -34     7       1.4630807722E-005
#    -34     8       7.5432127709E-006
#    -34     9       1.1643437082E-005
#    -34    10       1.1612245201E-005
#    -34    11       1.5240611341E-005
#    -34    12       1.3106372832E-005
#    -34    13       1.9667415654E-005
#    -34    14       2.2421048855E-005
#    -34    15       2.3848647918E-005
#    -34    16       2.6948132055E-005
#    -34    17       3.5843663611E-005
#    -34    18       4.8845186619E-005
#    -34    19       2.1949625469E-005
#    -34    20       3.0957772954E-005
#    -34    21       2.2659841119E-005
#    -34    22       3.5803777525E-005
#    -34    23       6.0956278315E-005
#    -34    24       8.2443846382E-005
#    -34    25       2.0723506413E-005
#    -34    26       5.5664727317E-005
#    -34    27       1.9154827518E-005
#    -33   -12       9.9394834638E-006
#    -33   -11       7.5978850820E-006
#    -33   -10       1.1551071359E-005
#    -33    -9       1.5004385646E-005
#    -33    -8       1.3560820750E-005
#    -33    -7       3.3781950415E-005
#    -33    -6       1.5762190889E-005
#    -33    -5       1.8331814990E-005
#    -33    -4       2.0469900787E-005
#    -33    -3       2.4800890490E-005
#    -33    -2       3.7368772431E-005
#    -33    -1       2.4524640081E-005
#    -33     0       2.4410301441E-005
#    -33     1       2.2814559905E-005
#    -33     2       3.1585466441E-005
#    -33     3       3.2071301323E-005
#    -33     4       2.3736936304E-005
#    -33     5       1.6384130473E-005
#    -33     6       1.1796881084E-005
#    -33     7       8.2466918217E-006
#    -33     8       1.0047299480E-005
#    -33     9       8.9882914843E-006
#    -33    10       1.0920420882E-005
#    -33    11       9.8070921509E-006
#    -33    12       1.2054270178E-005
#    -33    13       1.7754406428E-005
#    -33    14       1.9945274666E-005
#    -33    15       1.8460512787E-005
#    -33    16       2.7838558977E-005
#    -33    17       3.7325298870E-005
#    -33    18       1.5978744834E-005
#    -33    19       1.6797277543E-005
#    -33    20       1.6781990555E-005
#    -33    21       2.5394037456E-005
#    -33    22       4.7261445382E-005
#    -33    23       4.1495109148E-005
#    -33    24       3.1499124934E-005
#    -33    25       6.2141734067E-005
#    -33    26       4.2458658355E-005
#    -33    27       2.2666915092E-005
#    -32   -13       1.0221458976E-005
