 Diffraction intensities for potential:_5x5_02D10002.in                        
#    -45    11       8.6204998997E-007
#    -45    12       1.7806371237E-005
#    -45    13       4.5063879243E-005
#    -45    14       9.4152975595E-006
#    -45    15       5.7870127151E-005
#    -45    16       6.1160256900E-006
#    -44     7       1.0328119996E-006
#    -44     8       2.1315723104E-005
#    -44     9       4.4586164532E-006
#    -44    10       6.5821735477E-006
#    -44    11       2.2180115103E-005
#    -44    12       8.5598126002E-006
#    -44    13       5.2723960769E-005
#    -44    14       1.0977468795E-005
#    -44    15       5.3167839721E-005
#    -44    16       6.6418386053E-005
#    -44    17       4.0802028410E-006
#    -44    18       4.6656682579E-005
#    -44    19       5.5887606049E-006
#    -44    20       1.9975308972E-005
#    -43     4       1.3129905411E-005
#    -43     5       2.2662479179E-006
#    -43     6       2.0595838546E-005
#    -43     7       3.1931161512E-006
#    -43     8       3.0299023388E-005
#    -43     9       3.3913608826E-005
#    -43    10       5.0717701621E-006
#    -43    11       8.3401684131E-005
#    -43    12       9.9134538797E-006
#    -43    13       3.7343846087E-005
#    -43    14       6.1732555362E-005
#    -43    15       6.6962250618E-006
#    -43    16       6.6779368582E-005
#    -43    17       1.5092954445E-005
#    -43    18       1.0248282779E-004
#    -43    19       6.5409909888E-005
#    -43    20       6.2712102139E-006
#    -43    21       2.7657513227E-005
#    -43    22       2.3520669910E-006
#    -42     2       3.6950298662E-005
#    -42     3       3.8211049535E-006
#    -42     4       2.9297473583E-005
#    -42     5       1.3962934481E-006
#    -42     6       8.8362049634E-006
#    -42     7       2.1195150736E-005
#    -42     8       7.7290883485E-006
#    -42     9       6.7982045060E-005
#    -42    10       8.4056489116E-006
#    -42    11       5.8319017997E-005
#    -42    12       7.8467736002E-005
#    -42    13       1.3367967953E-005
#    -42    14       7.8395978049E-005
#    -42    15       1.0766798777E-005
#    -42    16       6.7735409588E-005
#    -42    17       8.2350337914E-005
#    -42    18       5.4477655081E-006
#    -42    19       1.2624677686E-004
#    -42    20       1.0114274699E-005
#    -42    21       4.6405674231E-005
#    -42    22       5.1126252710E-005
#    -42    23       1.6505452591E-005
#    -41     0       2.3130189258E-005
#    -41     1       1.2845339569E-005
#    -41     2       1.2505934646E-005
#    -41     3       3.6255383932E-006
#    -41     4       1.7446920735E-005
#    -41     5       3.0097262018E-005
#    -41     6       7.7526499222E-006
#    -41     7       7.7046880362E-005
#    -41     8       4.9278878928E-006
#    -41     9       5.6757078570E-005
#    -41    10       5.7721691767E-005
#    -41    11       1.4978584470E-005
#    -41    12       1.2512566467E-004
#    -41    13       1.0928222665E-005
#    -41    14       6.6874788689E-005
#    -41    15       7.6546968934E-005
#    -41    16       1.2639301658E-005
#    -41    17       1.2788486437E-004
#    -41    18       1.9222404366E-005
#    -41    19       9.6858728747E-005
#    -41    20       9.0453872932E-005
#    -41    21       1.2749710020E-005
#    -41    22       1.4146204916E-004
#    -41    23       7.5827478847E-006
#    -41    24       5.1357178216E-005
#    -40    -2       3.6767428703E-005
#    -40    -1       1.2683835258E-005
#    -40     0       5.8487269530E-005
#    -40     1       4.8510528070E-006
#    -40     2       6.5348036508E-005
#    -40     3       2.2785042083E-005
#    -40     4       1.3037494331E-005
#    -40     5       6.3095830874E-005
#    -40     6       3.8519304537E-006
#    -40     7       8.9382230847E-005
#    -40     8       5.7972416036E-005
#    -40     9       4.3211335141E-006
#    -40    10       1.3488368441E-004
#    -40    11       8.7405907559E-006
#    -40    12       9.2318891862E-005
#    -40    13       1.2180609629E-004
#    -40    14       2.4547849497E-005
#    -40    15       1.3482266777E-004
#    -40    16       2.0077709199E-005
#    -40    17       1.2633634096E-004
#    -40    18       1.1067485692E-004
#    -40    19       2.9436173855E-005
#    -40    20       1.1414720448E-004
#    -40    21       8.3292650124E-006
#    -40    22       2.0939081130E-005
#    -40    23       3.7484049005E-005
#    -40    24       1.5655158211E-005
#    -40    25       4.0467376863E-005
#    -39    -4       1.3046119693E-005
#    -39    -3       3.7646671026E-006
#    -39    -2       1.2368745000E-005
