 Diffraction intensities for potential:ga5x5_03D10004.in                       
#    -28    13       9.2354464091E-006
#    -28    14       2.0490919481E-005
#    -28    15       1.6666225929E-005
#    -27     7       1.4623192787E-006
#    -27     8       1.5933577277E-006
#    -27     9       2.6356023431E-006
#    -27    10       1.4007322454E-005
#    -27    11       1.2968946756E-005
#    -27    12       2.1784168713E-005
#    -27    13       6.9619719228E-005
#    -27    14       8.4509446794E-006
#    -27    15       7.2783814938E-006
#    -27    16       2.6105572729E-005
#    -27    17       3.6800064479E-005
#    -27    18       2.4924348778E-005
#    -27    19       3.0578512699E-005
#    -27    20       1.3156973800E-005
#    -26     4       8.2780634814E-006
#    -26     5       2.0843661768E-006
#    -26     6       1.4127637372E-006
#    -26     7       8.1561493995E-006
#    -26     8       6.8129736021E-006
#    -26     9       2.6402189467E-005
#    -26    10       1.1717346728E-006
#    -26    11       9.4132224577E-006
#    -26    12       3.8505724418E-005
#    -26    13       2.2334902029E-006
#    -26    14       1.8894018735E-005
#    -26    15       2.5023153600E-005
#    -26    16       4.7347845464E-005
#    -26    17       1.9404705896E-005
#    -26    18       1.2676382579E-006
#    -26    19       4.2921946501E-005
#    -26    20       6.6226758166E-005
#    -26    21       1.2725436969E-005
#    -26    22       5.0793621636E-006
#    -25     2       1.4395720036E-005
#    -25     3       2.0379616990E-008
#    -25     4       2.2639256322E-006
#    -25     5       8.7771383131E-004
#    -25     6       3.2240970083E-005
#    -25     7       1.1981774832E-005
#    -25     8       2.7243446109E-006
#    -25     9       8.7372470308E-006
#    -25    10       8.4998562388E-004
#    -25    11       2.3441987177E-005
#    -25    12       1.7856270600E-005
#    -25    13       4.1909830850E-006
#    -25    14       2.9489431787E-005
#    -25    15       3.2320013951E-004
#    -25    16       3.5845951487E-005
#    -25    17       5.3997274746E-007
#    -25    18       5.3532229346E-006
#    -25    19       2.8821502102E-005
#    -25    20       2.4185231874E-004
#    -25    21       6.2240524549E-005
#    -25    22       1.8672358768E-005
#    -25    23       1.1434997661E-005
#    -24     0       1.8383160488E-006
#    -24     1       1.0102651478E-005
#    -24     2       5.8127475584E-006
#    -24     3       1.1391228580E-005
#    -24     4       3.3719292135E-006
#    -24     5       6.2117446830E-006
#    -24     6       2.0839375810E-005
#    -24     7       2.5028857119E-005
#    -24     8       7.9351777578E-006
#    -24     9       2.8480462102E-005
#    -24    10       5.6853410126E-005
#    -24    11       7.1210238977E-005
#    -24    12       5.3353024458E-006
#    -24    13       1.6559299166E-005
#    -24    14       4.3948869042E-005
#    -24    15       6.3040079888E-005
#    -24    16       6.1296254023E-005
#    -24    17       3.8460088702E-005
#    -24    18       3.3250020801E-005
#    -24    19       4.0663266849E-005
#    -24    20       3.1324044875E-005
#    -24    21       1.7848971097E-005
#    -24    22       6.4747750642E-005
#    -24    23       5.1197182410E-005
#    -24    24       1.7489667864E-005
#    -23    -2       2.9961582687E-005
#    -23    -1       3.5693667271E-005
#    -23     0       1.2411801331E-005
#    -23     1       7.1551937045E-006
#    -23     2       3.4351967471E-006
#    -23     3       9.0140318031E-006
#    -23     4       2.1720831388E-005
#    -23     5       4.9553740943E-005
#    -23     6       1.8632438786E-005
#    -23     7       8.1553213605E-006
#    -23     8       1.3419268892E-004
#    -23     9       2.3121418657E-005
#    -23    10       3.7304724480E-005
#    -23    11       1.3693379139E-005
#    -23    12       7.7568929678E-005
#    -23    13       8.0470836564E-005
#    -23    14       3.7878196904E-005
#    -23    15       1.1593561106E-005
#    -23    16       3.1899449082E-005
#    -23    17       1.1204890173E-004
#    -23    18       6.8609978147E-005
#    -23    19       4.0782390088E-005
#    -23    20       2.6909733790E-005
#    -23    21       1.4704359659E-005
#    -23    22       1.1334628443E-005
#    -23    23       6.7518809325E-005
#    -23    24       9.3495243410E-005
#    -23    25       1.5957963426E-005
#    -22    -4       1.4842967684E-005
#    -22    -3       2.2396733600E-006
#    -22    -2       2.4610504865E-005
#    -22    -1       4.0677269570E-005
#    -22     0       3.5548744293E-005
#    -22     1       1.0638446224E-005
#    -22     2       7.7506913523E-006
#    -22     3       6.1421623845E-006
#    -22     4       5.9115911168E-005
#    -22     5       1.2950898752E-005
#    -22     6       3.5127107794E-006
#    -22     7       6.5488200273E-005
#    -22     8       1.0772367262E-004
#    -22     9       1.5511588124E-005
#    -22    10       9.8147690477E-006
#    -22    11       1.0490175583E-005
#    -22    12       9.3563632320E-005
#    -22    13       8.9449624718E-005
#    -22    14       2.0900331046E-005
#    -22    15       6.6472763223E-006
#    -22    16       1.8628166620E-005
#    -22    17       8.0117898439E-005
#    -22    18       1.0152740621E-004
#    -22    19       5.8687469792E-005
#    -22    20       7.2999256822E-005
#    -22    21       4.6449948540E-005
#    -22    22       2.3655412324E-005
#    -22    23       7.7221931771E-006
#    -22    24       7.5666627355E-005
#    -22    25       6.7478189929E-006
#    -22    26       4.6694628838E-005
#    -21    -5       1.0224913965E-005
#    -21    -4       6.4167620849E-005
#    -21    -3       1.1725998515E-005
#    -21    -2       2.1482362590E-005
#    -21    -1       1.3077861548E-005
#    -21     0       4.9364902922E-005
#    -21     1       1.3591240314E-005
#    -21     2       3.7777721689E-005
#    -21     3       4.8656901035E-005
#    -21     4       2.2242309708E-005
#    -21     5       1.0107786467E-005
#    -21     6       7.9721510711E-005
#    -21     7       6.0014373042E-005
#    -21     8       5.8107516769E-005
#    -21     9       1.1172006893E-005
#    -21    10       8.5478423866E-005
#    -21    11       1.8479137214E-005
#    -21    12       3.6007137150E-005
#    -21    13       6.0922901654E-005
#    -21    14       3.2849635052E-005
#    -21    15       6.3706191437E-005
#    -21    16       5.5028858094E-005
#    -21    17       5.3478697518E-005
#    -21    18       3.8604351757E-005
#    -21    19       5.6071672132E-006
#    -21    20       2.8044791704E-005
#    -21    21       1.0848634849E-004
#    -21    22       6.9413108343E-005
#    -21    23       3.6383904661E-006
#    -21    24       1.3252662591E-005
#    -21    25       4.5168661048E-006
#    -21    26       3.7195399829E-005
#    -20    -7       9.8138174349E-006
#    -20    -6       3.6947720593E-005
#    -20    -5       5.9388301198E-004
#    -20    -4       1.5113741969E-004
#    -20    -3       6.5137678366E-005
#    -20    -2       9.2250020658E-005
#    -20    -1       8.1741046181E-006
#    -20     0       7.5400745614E-003
#    -20     1       7.3346524578E-006
#    -20     2       8.3619354374E-005
#    -20     3       5.7239709696E-005
#    -20     4       1.6214373372E-005
#    -20     5       1.0867219781E-002
#    -20     6       8.2727939371E-005
#    -20     7       5.3907984836E-006
#    -20     8       2.7950314355E-005
#    -20     9       1.5322347635E-005
#    -20    10       5.6396446061E-003
#    -20    11       2.5737462567E-005
#    -20    12       3.0408937762E-006
#    -20    13       9.8046902197E-006
#    -20    14       4.4163069278E-005
#    -20    15       6.9351967561E-003
#    -20    16       4.9226294306E-005
#    -20    17       1.4522324394E-005
#    -20    18       2.1344265519E-005
#    -20    19       2.4267720787E-005
#    -20    20       2.0089708401E-003
#    -20    21       6.6840450891E-005
#    -20    22       9.2847735412E-005
#    -20    23       2.0560038028E-005
#    -20    24       4.9582713553E-005
#    -20    25       1.9001382607E-004
#    -20    26       5.3658810649E-005
#    -20    27       8.5284029769E-006
#    -19    -8       3.5807349378E-005
#    -19    -7       4.5627866444E-005
#    -19    -6       5.3709510658E-005
#    -19    -5       1.0736867463E-006
#    -19    -4       2.8603404438E-005
#    -19    -3       4.2874370632E-005
#    -19    -2       1.0012345721E-004
#    -19    -1       1.2870612242E-005
#    -19     0       5.5395686174E-005
#    -19     1       3.5816067637E-005
#    -19     2       2.2960663708E-005
#    -19     3       3.2214639079E-006
#    -19     4       1.1191703396E-004
#    -19     5       1.1017078723E-004
#    -19     6       1.0205430486E-005
#    -19     7       5.5270159515E-005
#    -19     8       4.4559787520E-005
#    -19     9       2.5583313273E-005
#    -19    10       1.1492497204E-004
#    -19    11       2.4429163025E-005
#    -19    12       1.3206976411E-005
#    -19    13       3.9523726571E-006
#    -19    14       6.4044025089E-005
#    -19    15       1.2793640921E-004
#    -19    16       4.0240862542E-005
#    -19    17       8.0489227953E-007
#    -19    18       2.8744399344E-005
#    -19    19       4.9764686463E-005
#    -19    20       4.6822281345E-005
#    -19    21       1.4958995303E-005
#    -19    22       3.2978775524E-006
#    -19    23       4.5874141608E-005
#    -19    24       1.6528818847E-004
#    -19    25       3.4897905780E-005
#    -19    26       7.4995732471E-006
#    -19    27       6.0307446693E-007
#    -18    -9       5.2994161314E-005
#    -18    -8       6.0318852189E-006
#    -18    -7       5.4645724936E-005
#    -18    -6       1.1592964669E-004
#    -18    -5       8.3395675780E-005
#    -18    -4       1.5286995021E-004
#    -18    -3       1.2082961986E-005
#    -18    -2       7.9459932597E-005
#    -18    -1       2.0719230265E-005
#    -18     0       1.5454137067E-004
#    -18     1       3.2444358922E-005
#    -18     2       7.5317284720E-005
#    -18     3       9.6970235609E-005
#    -18     4       8.5575197081E-005
#    -18     5       1.4901400451E-005
#    -18     6       1.6467836199E-005
#    -18     7       5.6572954292E-005
#    -18     8       4.7043073245E-005
#    -18     9       1.5650947192E-005
#    -18    10       5.4370363179E-005
#    -18    11       5.4400436030E-005
#    -18    12       8.3575170647E-005
#    -18    13       7.7721276287E-005
#    -18    14       3.9481362538E-005
#    -18    15       9.6898136419E-005
#    -18    16       1.4965824694E-005
#    -18    17       3.7936500051E-005
#    -18    18       5.8104230149E-005
#    -18    19       1.1278852502E-004
#    -18    20       6.9593460112E-005
#    -18    21       1.1086689595E-005
#    -18    22       5.2259563597E-005
#    -18    23       1.2280183308E-005
#    -18    24       2.9329577067E-005
#    -18    25       6.4038725493E-006
#    -18    26       3.1407753275E-005
#    -18    27       4.2934378126E-005
#    -17   -10       5.8883121586E-006
#    -17    -9       6.8462352946E-005
#    -17    -8       7.5464465719E-005
#    -17    -7       5.2929667689E-005
#    -17    -6       5.3080587216E-005
#    -17    -5       1.5111683195E-004
#    -17    -4       1.6774568668E-004
#    -17    -3       3.1761028955E-005
#    -17    -2       7.0965975601E-005
