 Diffraction intensities for potential:ga5x5_01D10002.in                       
#    -28    13       9.4774611746E-007
#    -28    14       2.6573161439E-007
#    -28    15       6.4106122581E-007
#    -27     7       1.0195901258E-006
#    -27     8       1.5825412719E-006
#    -27     9       3.0086751885E-008
#    -27    10       1.5252573747E-006
#    -27    11       3.4915443756E-006
#    -27    12       1.3590591706E-006
#    -27    13       2.1269901027E-006
#    -27    14       2.2436686173E-006
#    -27    15       4.8149459159E-007
#    -27    16       2.4287145698E-007
#    -27    17       2.3625740136E-007
#    -27    18       7.1453155567E-007
#    -27    19       4.8065687251E-008
#    -27    20       2.4271149138E-007
#    -26     4       2.4028120535E-006
#    -26     5       4.2501063535E-007
#    -26     6       1.7827020513E-006
#    -26     7       2.2453356406E-006
#    -26     8       4.7282564446E-006
#    -26     9       7.3430160589E-007
#    -26    10       2.2950733858E-006
#    -26    11       2.1981846946E-006
#    -26    12       2.2296101534E-006
#    -26    13       2.3171213559E-006
#    -26    14       1.8362366357E-006
#    -26    15       1.3875416878E-006
#    -26    16       9.7954628173E-007
#    -26    17       1.3674586491E-006
#    -26    18       1.5885588677E-007
#    -26    19       8.8201801589E-008
#    -26    20       1.4384080741E-007
#    -26    21       3.5807495368E-008
#    -26    22       8.0508103407E-007
#    -25     2       3.6203302130E-006
#    -25     3       8.7442433302E-007
#    -25     4       1.3354924585E-006
#    -25     5       7.9540384262E-004
#    -25     6       2.4376310207E-006
#    -25     7       2.3900339652E-006
#    -25     8       1.7596574844E-006
#    -25     9       3.1666918104E-006
#    -25    10       8.4695302164E-004
#    -25    11       2.9408376723E-006
#    -25    12       2.2499404513E-006
#    -25    13       2.9181983824E-006
#    -25    14       9.2242272125E-007
#    -25    15       4.2625352299E-004
#    -25    16       7.8199733393E-007
#    -25    17       4.1056495652E-007
#    -25    18       5.6711768667E-007
#    -25    19       4.5486133261E-007
#    -25    20       2.9667851169E-004
#    -25    21       7.0445699762E-007
#    -25    22       3.8320967200E-008
#    -25    23       1.8043930314E-006
#    -24     0       2.3207141544E-006
#    -24     1       4.2506893652E-006
#    -24     2       3.1524541919E-006
#    -24     3       2.7053182125E-006
#    -24     4       3.8806990417E-006
#    -24     5       2.9835160226E-006
#    -24     6       3.4695730556E-006
#    -24     7       4.6316737659E-006
#    -24     8       3.8256094214E-006
#    -24     9       6.8321109915E-006
#    -24    10       7.5331708779E-006
#    -24    11       4.4028097004E-006
#    -24    12       4.3408944500E-006
#    -24    13       5.2077388746E-006
#    -24    14       2.1540189936E-006
#    -24    15       1.5715011201E-006
#    -24    16       2.3189952767E-007
#    -24    17       8.5831316103E-008
#    -24    18       6.7528133193E-008
#    -24    19       3.4205376339E-007
#    -24    20       1.5003630307E-006
#    -24    21       3.7004732943E-006
#    -24    22       1.4172312140E-006
#    -24    23       1.9854897842E-006
#    -24    24       1.4732764125E-006
#    -23    -2       5.3063091936E-006
#    -23    -1       4.0467404791E-006
#    -23     0       3.3707867708E-006
#    -23     1       3.4211164353E-006
#    -23     2       4.8984996696E-006
#    -23     3       7.4619417961E-006
#    -23     4       4.2010460979E-006
#    -23     5       2.9698120863E-006
#    -23     6       1.1977556267E-005
#    -23     7       1.0865748114E-005
#    -23     8       7.6152153511E-006
#    -23     9       1.2285000520E-005
#    -23    10       1.3147749740E-005
#    -23    11       1.2317350656E-005
#    -23    12       8.0374612854E-006
#    -23    13       5.8782321337E-006
#    -23    14       3.3479303372E-006
#    -23    15       2.9141898900E-006
#    -23    16       1.7151968493E-007
#    -23    17       3.4634929717E-007
#    -23    18       4.5468857869E-007
#    -23    19       6.5334965088E-007
