 Diffraction intensities for potential:smallensembletest10001.in               
#    -15     6       2.0702661843E-003
#    -15     7       1.2997776175E-003
#    -15     8       1.5485230986E-004
#    -15     9       5.5960733028E-005
#    -14     2       1.5999497573E-004
#    -14     3       9.7981676500E-004
#    -14     4       3.9837013782E-003
#    -14     5       1.1603140540E-003
#    -14     6       1.0178815929E-004
#    -14     7       1.8906506433E-003
#    -14     8       1.2705485490E-003
#    -14     9       6.7539722731E-005
#    -14    10       1.4614655271E-005
#    -14    11       5.9924904238E-004
#    -14    12       3.6681486297E-004
#    -13     0       9.4222045866E-004
#    -13     1       2.0190944765E-003
#    -13     2       3.5968393492E-004
#    -13     3       8.4932185184E-004
#    -13     4       2.9756718492E-004
#    -13     5       2.5226927833E-003
#    -13     6       2.7563042055E-003
#    -13     7       1.1389765702E-003
#    -13     8       1.0212890942E-004
#    -13     9       1.1212069955E-003
#    -13    10       6.1126351314E-004
#    -13    11       1.1609780101E-003
#    -13    12       2.1278983195E-004
#    -13    13       5.5111934496E-004
#    -12    -2       1.6008403056E-004
#    -12    -1       2.0201236380E-003
#    -12     0       1.1878366920E-002
#    -12     1       1.2268208844E-003
#    -12     2       5.6125970005E-005
#    -12     3       9.1221970928E-004
#    -12     4       1.5004876308E-002
#    -12     5       6.1785349452E-004
#    -12     6       9.0289566656E-005
#    -12     7       6.6703926976E-004
#    -12     8       5.1633032864E-003
#    -12     9       5.6608914190E-004
#    -12    10       4.1577532397E-006
#    -12    11       1.1005237329E-003
#    -12    12       5.0646674497E-003
#    -12    13       9.6985292425E-004
#    -12    14       3.1172916052E-005
#    -11    -3       9.7927644961E-004
#    -11    -2       3.5975812858E-004
#    -11    -1       1.2278425663E-003
#    -11     0       2.1551721603E-004
#    -11     1       2.4213958363E-004
#    -11     2       1.4434384987E-003
#    -11     3       3.3863453539E-004
#    -11     4       1.1245010880E-004
#    -11     5       7.4527400282E-005
#    -11     6       1.2251159040E-004
#    -11     7       2.4574524183E-005
#    -11     8       1.1279196098E-004
#    -11     9       1.4176270679E-003
#    -11    10       1.8995425096E-003
#    -11    11       2.9942101089E-004
#    -11    12       5.1814416845E-005
#    -11    13       3.2631879445E-005
#    -11    14       6.3852221012E-004
#    -10    -4       3.9840049450E-003
#    -10    -3       8.4954343102E-004
#    -10    -2       5.6151063881E-005
#    -10    -1       2.4220203180E-004
#    -10     0       1.1546827004E-004
#    -10     1       5.5566323184E-004
#    -10     2       3.0408294875E-005
#    -10     3       1.1630090388E-004
#    -10     4       3.2863286726E-004
#    -10     5       1.2894675405E-004
#    -10     6       7.9097058063E-005
#    -10     7       2.1791925984E-004
#    -10     8       8.6061152308E-004
#    -10     9       8.9817245836E-004
#    -10    10       1.0066498241E-004
#    -10    11       4.0578112822E-004
#    -10    12       1.7440178107E-003
#    -10    13       2.7074473573E-004
#    -10    14       9.1352442363E-006
#     -9    -6       2.0716458343E-003
#     -9    -5       1.1606455812E-003
#     -9    -4       2.9741898064E-004
#     -9    -3       9.1145621349E-004
#     -9    -2       1.4442298370E-003
#     -9    -1       5.5601384950E-004
#     -9     0       1.8668132714E-004
#     -9     1       1.0915561895E-004
#     -9     2       6.6951653410E-004
#     -9     3       1.4216886882E-004
#     -9     4       2.4230415468E-005
#     -9     5       2.0147761729E-004
#     -9     6       1.7321528941E-004
#     -9     7       3.2824319950E-004
#     -9     8       9.7532513826E-005
#     -9     9       1.5980964252E-004
#     -9    10       8.5466099999E-004
#     -9    11       1.8753689779E-003
#     -9    12       2.0332221492E-004
#     -9    13       1.3076330456E-003
#     -9    14       1.3591099309E-004
#     -9    15       5.1194329379E-004
#     -8    -7       1.2997713783E-003
#     -8    -6       1.0200254000E-004
#     -8    -5       2.5241120282E-003
#     -8    -4       1.5004193549E-002
#     -8    -3       3.3817040493E-004
#     -8    -2       3.0387580622E-005
#     -8    -1       1.0929280432E-004
#     -8     0       2.9427213817E-002
#     -8     1       1.0717275755E-003
#     -8     2       7.7829021788E-006
#     -8     3       1.1610002523E-003
#     -8     4       2.8937064986E-002
#     -8     5       4.6014439836E-004
#     -8     6       1.4543704525E-004
#     -8     7       1.5106105448E-004
#     -8     8       4.1666583278E-002
#     -8     9       2.7969245628E-004
#     -8    10       4.7998161274E-005
#     -8    11       6.0779253988E-004
#     -8    12       5.2360131376E-003
#     -8    13       8.9501466183E-004
#     -8    14       3.6820456528E-006
#     -8    15       9.1169736596E-004
#     -7    -8       1.5464636116E-004
#     -7    -7       1.8908072746E-003
#     -7    -6       2.7582314056E-003
#     -7    -5       6.1805811451E-004
#     -7    -4       1.1230073417E-004
#     -7    -3       1.1613118884E-004
#     -7    -2       6.6996784486E-004
#     -7    -1       1.0718064464E-003
#     -7     0       4.3512554204E-005
#     -7     1       8.8034165749E-004
